data,1241490600,808570.0;28653.0;812710.0;34424.0;762982.0;27601.0;814896.0;37860.0;1.19528991042;1.02084086963;1.31107020449;1.03188587435,6533.0 311.0 109594;9022.0 461.0 109596;8616.0 469.0 109597;4386.0 206.0 109598;6587.0 347.0 109599;2386.0 80.0 109600;1915.0 60.0 109601;8524.0 558.0 109602;2527.0 146.0 109603;23018.0 822.0 109476;14061.0 1006.0 109605;1601.0 45.0 109606;2124.0 84.0 109608;2564.0 133.0 109609;1253.0 52.0 109610;197.0 10.0 109611;173.0 16.0 109612;624.0 9.0 109613;2220.0 146.0 109614;1816.0 95.0 109615;1275.0 78.0 109617;74.0 3.0 109618;10881.0 361.0 109517,109594.0 1314;109596.0 1314;109597.0 1314;109598.0 1314;109599.0 1314;109600.0 1314;109601.0 1314;109602.0 1314;109603.0 1314;109476.0 1314;109605.0 1314;109606.0 1314;109608.0 1314;109609.0 1314;109610.0 1314;109611.0 1314;109612.0 1314;109613.0 1314;109614.0 1314;109615.0 1314;109617.0 1314;109618.0 1314;109517.0 1314,109594 64;109596 42;109597 61;109598 75;109599 58;109600 49;109601 58;109602 55;109603 69;109476 35;109605 44;109606 58;109608 52;109609 63;109610 73;109611 66;109612 67;109613 41;109614 68;109615 59;109617 52;109618 49;109517 56
data,1241490900,809369.0;28692.0;813544.0;34467.0;763798.0;27635.0;815688.0;37903.0;1.19511082962;1.02062616118;1.3107964495;1.03276159343,6576.0 312.0 109594;9045.0 461.0 109596;8670.0 474.0 109597;4411.0 206.0 109598;6636.0 347.0 109599;2409.0 80.0 109600;1943.0 60.0 109601;8568.0 563.0 109602;2559.0 149.0 109603;23045.0 822.0 109476;14136.0 1016.0 109605;1632.0 46.0 109606;2149.0 84.0 109608;2601.0 136.0 109609;1290.0 54.0 109610;225.0 11.0 109611;217.0 20.0 109612;659.0 9.0 109613;2263.0 150.0 109614;1858.0 96.0 109615;1300.0 79.0 109617;96.0 4.0 109618;10923.0 362.0 109517,109594.0 18686;109596.0 18686;109597.0 18686;109598.0 18686;109599.0 18686;109600.0 18686;109601.0 18686;109602.0 18686;109603.0 18686;109476.0 18686;109605.0 18686;109606.0 18686;109608.0 18686;109609.0 18686;109610.0 18686;109611.0 18686;109612.0 18686;109613.0 18686;109614.0 18686;109615.0 18686;109617.0 18686;109618.0 18686;109517.0 18686,109594 787;109596 812;109597 834;109598 793;109599 885;109600 816;109601 791;109602 795;109603 771;109476 860;109605 809;109606 870;109608 812;109609 773;109610 800;109611 820;109612 805;109613 825;109614 814;109615 849;109617 794;109618 794;109517 777
data,1241491200,810235.0;28732.0;814425.0;34501.0;764677.0;27678.0;816592.0;37969.0;1.19460885186;1.02070870637;1.31120072323;1.03356754167,6607.0 314.0 109594;9070.0 461.0 109596;8727.0 476.0 109597;4428.0 207.0 109598;6654.0 347.0 109599;2438.0 80.0 109600;1965.0 61.0 109601;8631.0 567.0 109602;2594.0 149.0 109603;23069.0 822.0 109476;14275.0 1023.0 109605;1663.0 46.0 109606;2169.0 85.0 109608;2638.0 137.0 109609;1324.0 56.0 109610;243.0 11.0 109611;284.0 26.0 109612;680.0 9.0 109613;2318.0 152.0 109614;1885.0 96.0 109615;1345.0 82.0 109617;128.0 4.0 109618;10957.0 364.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 876;109596 851;109597 938;109598 863;109599 855;109600 869;109601 821;109602 894;109603 871;109476 836;109605 895;109606 841;109608 863;109609 867;109610 829;109611 847;109612 904;109613 852;109614 848;109615 879;109617 927;109618 892;109517 882
data,1241491500,811084.0;28769.0;815294.0;34540.0;765555.0;27726.0;817445.0;38030.0;1.19439824082;1.0210614732;1.31162248073;1.03434905052,6655.0 318.0 109594;9091.0 461.0 109596;8770.0 477.0 109597;4454.0 209.0 109598;6673.0 347.0 109599;2453.0 80.0 109600;1980.0 61.0 109601;8711.0 574.0 109602;2635.0 151.0 109603;23094.0 822.0 109476;14407.0 1032.0 109605;1680.0 46.0 109606;2200.0 85.0 109608;2674.0 138.0 109609;1358.0 57.0 109610;259.0 11.0 109611;362.0 32.0 109612;700.0 9.0 109613;2378.0 155.0 109614;1901.0 96.0 109615;1389.0 84.0 109617;147.0 4.0 109618;10990.0 365.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 899;109596 842;109597 886;109598 881;109599 882;109600 835;109601 863;109602 833;109603 884;109476 868;109605 866;109606 897;109608 903;109609 887;109610 859;109611 848;109612 853;109613 838;109614 901;109615 878;109617 879;109618 856;109517 862
data,1241491500,811967.0;28812.0;816171.0;34597.0;766417.0;27773.0;818346.0;38090.0;1.19459929742;1.02122782116;1.31171347977;1.03486085136,6694.0 321.0 109594;9112.0 463.0 109596;8825.0 482.0 109597;4475.0 209.0 109598;6682.0 347.0 109599;2472.0 82.0 109600;2000.0 63.0 109601;8795.0 579.0 109602;2694.0 156.0 109603;23110.0 823.0 109476;14553.0 1039.0 109605;1694.0 46.0 109606;2232.0 89.0 109608;2714.0 144.0 109609;1380.0 57.0 109610;273.0 12.0 109611;442.0 36.0 109612;720.0 10.0 109613;2428.0 158.0 109614;1923.0 98.0 109615;1441.0 88.0 109617;165.0 4.0 109618;11014.0 365.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 850;109596 841;109597 891;109598 894;109599 883;109600 852;109601 863;109602 839;109603 851;109476 857;109605 844;109606 833;109608 861;109609 867;109610 895;109611 931;109612 901;109613 838;109614 910;109615 909;109617 855;109618 903;109517 832
data,1241491800,812857.0;28849.0;817111.0;34646.0;767263.0;27817.0;819226.0;38161.0;1.19469055531;1.02152599172;1.3125002837;1.03600163984,6739.0 324.0 109594;9125.0 463.0 109596;8908.0 489.0 109597;4494.0 209.0 109598;6704.0 347.0 109599;2491.0 84.0 109600;2030.0 65.0 109601;8904.0 590.0 109602;2737.0 158.0 109603;23126.0 823.0 109476;14656.0 1040.0 109605;1711.0 46.0 109606;2263.0 89.0 109608;2780.0 149.0 109609;1400.0 57.0 109610;289.0 12.0 109611;532.0 42.0 109612;739.0 10.0 109613;2489.0 161.0 109614;1939.0 98.0 109615;1508.0 94.0 109617;177.0 4.0 109618;11037.0 366.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 815;109596 809;109597 857;109598 867;109599 893;109600 863;109601 852;109602 942;109603 892;109476 849;109605 848;109606 875;109608 872;109609 824;109610 987;109611 908;109612 880;109613 884;109614 884;109615 835;109617 846;109618 877;109517 841
data,1241492100,813702.0;28882.0;818019.0;34693.0;768117.0;27853.0;820107.0;38215.0;1.19485879555;1.02160432278;1.31280875674;1.03663851708,6792.0 325.0 109594;9137.0 464.0 109596;9017.0 495.0 109597;4508.0 210.0 109598;6723.0 347.0 109599;2506.0 84.0 109600;2052.0 65.0 109601;9082.0 605.0 109602;2783.0 159.0 109603;23137.0 823.0 109476;14705.0 1040.0 109605;1724.0 46.0 109606;2277.0 89.0 109608;2830.0 153.0 109609;1413.0 57.0 109610;300.0 13.0 109611;601.0 46.0 109612;754.0 10.0 109613;2551.0 165.0 109614;1956.0 98.0 109615;1601.0 101.0 109617;187.0 4.0 109618;11050.0 368.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 895;109596 838;109597 873;109598 934;109599 865;109600 879;109601 879;109602 894;109603 878;109476 867;109605 878;109606 882;109608 857;109609 858;109610 827;109611 809;109612 881;109613 862;109614 879;109615 851;109617 892;109618 877;109517 845
data,1241492400,814574.0;28917.0;818920.0;34746.0;768964.0;27899.0;821007.0;38269.0;1.1952001707;1.02202127772;1.31303880993;1.03721243313,6822.0 326.0 109594;9149.0 464.0 109596;9081.0 496.0 109597;4533.0 213.0 109598;6733.0 349.0 109599;2520.0 84.0 109600;2065.0 65.0 109601;9293.0 624.0 109602;2827.0 163.0 109603;23151.0 824.0 109476;14751.0 1043.0 109605;1740.0 46.0 109606;2290.0 89.0 109608;2911.0 156.0 109609;1421.0 58.0 109610;318.0 14.0 109611;697.0 54.0 109612;766.0 10.0 109613;2591.0 165.0 109614;1969.0 99.0 109615;1690.0 105.0 109617;197.0 4.0 109618;11072.0 369.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 856;109596 859;109597 904;109598 885;109599 886;109600 863;109601 906;109602 816;109603 869;109476 845;109605 884;109606 870;109608 894;109609 868;109610 879;109611 867;109612 900;109613 852;109614 836;109615 854;109617 868;109618 867;109517 872
data,1241492700,815470.0;28946.0;819778.0;34793.0;769818.0;27933.0;821864.0;38330.0;1.1956802307;1.02223077264;1.31388783781;1.03832586604,6837.0 326.0 109594;9165.0 465.0 109596;9149.0 500.0 109597;4559.0 215.0 109598;6742.0 349.0 109599;2529.0 84.0 109600;2081.0 66.0 109601;9556.0 643.0 109602;2862.0 163.0 109603;23159.0 824.0 109476;14783.0 1043.0 109605;1752.0 46.0 109606;2305.0 89.0 109608;2963.0 157.0 109609;1440.0 59.0 109610;336.0 14.0 109611;794.0 62.0 109612;777.0 11.0 109613;2620.0 169.0 109614;1980.0 100.0 109615;1748.0 107.0 109617;208.0 4.0 109618;11100.0 371.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 877;109596 888;109597 868;109598 869;109599 874;109600 880;109601 857;109602 845;109603 833;109476 847;109605 845;109606 898;109608 865;109609 857;109610 906;109611 893;109612 857;109613 905;109614 849;109615 884;109617 838;109618 876;109517 889
data,1241493300,816348.0;28987.0;820631.0;34845.0;770700.0;27973.0;822698.0;38394.0;1.19581669578;1.0221761627;1.31430143357;1.0391161627,6860.0 327.0 109594;9184.0 466.0 109596;9209.0 505.0 109597;4579.0 216.0 109598;6753.0 350.0 109599;2547.0 84.0 109600;2093.0 66.0 109601;9804.0 661.0 109602;2890.0 165.0 109603;23169.0 824.0 109476;14838.0 1051.0 109605;1757.0 46.0 109606;2310.0 89.0 109608;2984.0 158.0 109609;1448.0 59.0 109610;348.0 14.0 109611;907.0 72.0 109612;787.0 11.0 109613;2658.0 169.0 109614;1997.0 100.0 109615;1820.0 111.0 109617;222.0 4.0 109618;11134.0 371.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 917;109596 896;109597 851;109598 821;109599 874;109600 905;109601 860;109602 832;109603 859;109476 837;109605 960;109606 859;109608 884;109609 879;109610 861;109611 878;109612 834;109613 871;109614 842;109615 848;109617 930;109618 829;109517 873
data,1241493600,817216.0;29028.0;821506.0;34909.0;771600.0;28022.0;823599.0;38463.0;1.19631738793;1.02241369071;1.31476184091;1.0399782517,6869.0 328.0 109594;9206.0 468.0 109596;9310.0 518.0 109597;4601.0 218.0 109598;6760.0 350.0 109599;2562.0 84.0 109600;2100.0 66.0 109601;10054.0 678.0 109602;2925.0 169.0 109603;23175.0 824.0 109476;14897.0 1055.0 109605;1770.0 48.0 109606;2326.0 90.0 109608;3007.0 161.0 109609;1463.0 60.0 109610;356.0 14.0 109611;1043.0 79.0 109612;800.0 11.0 109613;2685.0 171.0 109614;2011.0 100.0 109615;1867.0 115.0 109617;235.0 4.0 109618;11151.0 372.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 818;109596 887;109597 916;109598 870;109599 873;109600 847;109601 871;109602 919;109603 903;109476 806;109605 822;109606 903;109608 857;109609 875;109610 859;109611 838;109612 901;109613 894;109614 872;109615 916;109617 845;109618 886;109517 822
