data,1241598300,1097734.0;40125.0;1103975.0;49984.0;1038533.0;38734.0;1108352.0;55499.0;1.23866492374;1.02036162677;1.36990206078;1.08347922736,5395.0 249.0 109632;7648.0 226.0 109601;1904.0 41.0 109634;7004.0 337.0 109635;1276.0 39.0 109636;16794.0 934.0 109638;6175.0 317.0 109641;2280.0 89.0 109644;5615.0 80.0 109613;6640.0 292.0 109646;546.0 13.0 109647;8229.0 386.0 109616;3082.0 112.0 109650;2433.0 107.0 109652;558.0 11.0 109653;96.0 3.0 109654;3691.0 122.0 109625;2996.0 62.0 109627;3488.0 85.0 109628,109632.0 18576;109601.0 18576;109634.0 18576;109635.0 18576;109636.0 18576;109638.0 18576;109641.0 18576;109644.0 18576;109613.0 18576;109646.0 18576;109647.0 18576;109616.0 18576;109650.0 18576;109652.0 18576;109653.0 18576;109654.0 18576;109625.0 18576;109627.0 18576;109628.0 18576,109632 993;109601 1017;109634 909;109635 981;109636 991;109638 958;109641 981;109644 972;109613 1005;109646 991;109647 1031;109616 935;109650 1012;109652 966;109653 979;109654 988;109625 950;109627 979;109628 938
data,1241598300,1097811.0;40127.0;1104067.0;49985.0;1038611.0;38735.0;1108412.0;55501.0;1.23861162946;1.02033204967;1.36990507747;1.08346926582,5400.0 249.0 109632;7653.0 226.0 109601;1908.0 41.0 109634;7010.0 337.0 109635;1283.0 40.0 109636;16798.0 934.0 109638;6180.0 317.0 109641;2286.0 89.0 109644;5621.0 80.0 109613;6644.0 292.0 109646;550.0 13.0 109647;8235.0 386.0 109616;3084.0 112.0 109650;2435.0 107.0 109652;562.0 11.0 109653;100.0 3.0 109654;3696.0 122.0 109625;3000.0 62.0 109627;3497.0 85.0 109628,109632.0 1424;109601.0 1424;109634.0 1424;109635.0 1424;109636.0 1424;109638.0 1424;109641.0 1424;109644.0 1424;109613.0 1424;109646.0 1424;109647.0 1424;109616.0 1424;109650.0 1424;109652.0 1424;109653.0 1424;109654.0 1424;109625.0 1424;109627.0 1424;109628.0 1424,109632 93;109601 87;109634 68;109635 70;109636 86;109638 59;109641 72;109644 71;109613 68;109646 91;109647 81;109616 77;109650 68;109652 79;109653 67;109654 75;109625 82;109627 63;109628 67
data,1241599200,1098836.0;40153.0;1105120.0;50008.0;1039674.0;38758.0;1109488.0;55522.0;1.23835433203;1.02018528621;1.36948529377;1.08357232926,5444.0 250.0 109632;7707.0 226.0 109601;1975.0 44.0 109634;7057.0 337.0 109635;1337.0 41.0 109636;16856.0 935.0 109638;6242.0 319.0 109641;2344.0 89.0 109644;5671.0 80.0 109613;6722.0 295.0 109646;602.0 14.0 109647;8329.0 389.0 109616;3135.0 115.0 109650;2477.0 107.0 109652;612.0 14.0 109653;145.0 4.0 109654;3746.0 122.0 109625;3047.0 63.0 109627;3547.0 85.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109646.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1008;109601 1000;109634 1026;109635 1038;109636 1034;109638 1053;109641 1073;109644 1019;109613 1020;109646 1018;109647 1049;109616 1062;109650 1056;109652 1081;109653 1129;109654 1121;109625 1052;109627 1094;109628 1067
data,1241600100,1099952.0;40165.0;1106186.0;50031.0;1040752.0;38780.0;1110522.0;55540.0;1.23861686253;1.02043774183;1.36963445037;1.0840478952,5517.0 252.0 109632;7747.0 226.0 109601;2033.0 45.0 109634;7107.0 339.0 109635;1384.0 41.0 109636;16900.0 936.0 109638;6326.0 323.0 109641;2381.0 89.0 109644;5703.0 80.0 109613;6839.0 301.0 109646;644.0 15.0 109647;8393.0 389.0 109616;3208.0 117.0 109650;2523.0 108.0 109652;716.0 17.0 109653;175.0 4.0 109654;3786.0 122.0 109625;3099.0 63.0 109627;3580.0 85.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109646.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1054;109601 1080;109634 1023;109635 1036;109636 1047;109638 1032;109641 998;109644 1027;109613 1091;109646 1064;109647 1051;109616 1063;109650 1045;109652 1079;109653 1107;109654 1003;109625 1053;109627 1084;109628 1063
data,1241601000,1101020.0;40184.0;1107272.0;50045.0;1041822.0;38811.0;1111571.0;55562.0;1.23836428578;1.02071230788;1.36956517749;1.084169587,5567.0 252.0 109632;7788.0 228.0 109601;2095.0 46.0 109634;7160.0 339.0 109635;1422.0 41.0 109636;16961.0 938.0 109638;6423.0 324.0 109641;2409.0 89.0 109644;5734.0 81.0 109613;6985.0 303.0 109646;709.0 16.0 109647;8445.0 392.0 109616;3301.0 118.0 109650;2567.0 108.0 109652;793.0 17.0 109653;217.0 4.0 109654;3818.0 122.0 109625;3143.0 63.0 109627;3610.0 85.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109646.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1015;109601 1053;109634 1054;109635 1026;109636 1058;109638 1036;109641 1081;109644 1130;109613 1029;109646 1032;109647 1060;109616 1048;109650 1088;109652 1066;109653 999;109654 1100;109625 1043;109627 1045;109628 1037
data,1241601600,1102028.0;40205.0;1108294.0;50068.0;1042897.0;38829.0;1112660.0;55586.0;1.23827705067;1.02053369958;1.36935329207;1.08403200298,5624.0 253.0 109632;7835.0 228.0 109601;2184.0 47.0 109634;7228.0 344.0 109635;1472.0 44.0 109636;17036.0 940.0 109638;6512.0 330.0 109641;2431.0 89.0 109644;5761.0 81.0 109613;7077.0 303.0 109646;768.0 17.0 109647;8528.0 394.0 109616;3358.0 119.0 109650;2603.0 108.0 109652;857.0 17.0 109653;255.0 5.0 109654;3841.0 122.0 109625;3170.0 63.0 109627;3629.0 85.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109646.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1051;109601 1041;109634 1118;109635 999;109636 1060;109638 1028;109641 956;109644 1080;109613 1033;109646 1080;109647 1088;109616 1064;109650 1076;109652 1042;109653 1029;109654 1081;109625 1019;109627 1066;109628 1089
data,1241602500,1103094.0;40227.0;1109271.0;50092.0;1043962.0;38848.0;1113678.0;55612.0;1.23829919195;1.02041973944;1.36931621329;1.08402541089,5665.0 253.0 109632;7864.0 230.0 109601;2236.0 49.0 109634;7329.0 346.0 109635;1516.0 44.0 109636;17119.0 943.0 109638;6661.0 337.0 109641;2451.0 90.0 109644;5792.0 81.0 109613;7156.0 304.0 109646;825.0 19.0 109647;8594.0 396.0 109616;3408.0 119.0 109650;2623.0 108.0 109652;905.0 17.0 109653;298.0 7.0 109654;3867.0 122.0 109625;3196.0 63.0 109627;3641.0 85.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109646.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1032;109601 1047;109634 1026;109635 1050;109636 1104;109638 1034;109641 1054;109644 1012;109613 1113;109646 1053;109647 1055;109616 1061;109650 1053;109652 1043;109653 1039;109654 1104;109625 1069;109627 1033;109628 1018
data,1241603100,1104159.0;40253.0;1110335.0;50122.0;1045000.0;38868.0;1114732.0;55637.0;1.23824825823;1.02025625745;1.36907298053;1.08410292889,5694.0 254.0 109632;7900.0 230.0 109601;2302.0 50.0 109634;7463.0 355.0 109635;1559.0 44.0 109636;17188.0 945.0 109638;6862.0 343.0 109641;2465.0 90.0 109644;5824.0 81.0 109613;7237.0 309.0 109646;874.0 19.0 109647;8667.0 398.0 109616;3449.0 120.0 109650;2649.0 109.0 109652;940.0 17.0 109653;358.0 9.0 109654;3894.0 122.0 109625;3229.0 63.0 109627;3656.0 85.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109646.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1038;109601 975;109634 1029;109635 1070;109636 1013;109638 1056;109641 1098;109644 1071;109613 1085;109646 1033;109647 1080;109616 1031;109650 1051;109652 1062;109653 1001;109654 1129;109625 1045;109627 1079;109628 1054
data,1241604000,1105218.0;40283.0;1111418.0;50151.0;1046096.0;38890.0;1115807.0;55660.0;1.2380218626;1.01998208701;1.3686117474;1.08399221714,5721.0 255.0 109632;7936.0 230.0 109601;2357.0 52.0 109634;7631.0 360.0 109635;1605.0 45.0 109636;17277.0 950.0 109638;7026.0 347.0 109641;2497.0 91.0 109644;5842.0 82.0 109613;7373.0 315.0 109646;902.0 19.0 109647;8738.0 398.0 109616;3482.0 120.0 109650;2674.0 110.0 109652;970.0 17.0 109653;417.0 10.0 109654;3915.0 123.0 109625;3250.0 63.0 109627;3680.0 85.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109646.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 1059;109601 1047;109634 1040;109635 1025;109636 1056;109638 1040;109641 983;109644 1054;109613 1058;109646 1084;109647 1024;109616 1054;109650 1066;109652 1026;109653 1094;109654 1083;109625 1054;109627 1078;109628 1075
data,1241604600,1106249.0;40307.0;1112440.0;50182.0;1047184.0;38912.0;1116842.0;55680.0;1.23806596688;1.01984218214;1.36829551896;1.08404097226,5754.0 256.0 109632;7969.0 231.0 109601;2410.0 52.0 109634;7792.0 366.0 109635;1645.0 45.0 109636;17386.0 955.0 109638;7161.0 351.0 109641;2520.0 91.0 109644;5860.0 82.0 109613;7498.0 320.0 109646;946.0 21.0 109647;8798.0 402.0 109616;3504.0 121.0 109650;2702.0 110.0 109652;994.0 17.0 109653;470.0 12.0 109654;3927.0 123.0 109625;3270.0 63.0 109627;3709.0 85.0 109628,109632.0 20000;109601.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109613.0 20000;109646.0 20000;109647.0 20000;109616.0 20000;109650.0 20000;109652.0 20000;109653.0 20000;109654.0 20000;109625.0 20000;109627.0 20000;109628.0 20000,109632 965;109601 1077;109634 1066;109635 1048;109636 1045;109638 1090;109641 1056;109644 1043;109613 1044;109646 1058;109647 1085;109616 1040;109650 1080;109652 1086;109653 1010;109654 1064;109625 1054;109627 1054;109628 1035
