data,1241866500,1821483.0;65578.0;1830496.0;82778.0;1715429.0;63437.0;1833444.0;89852.0;1.25606785068;1.02715703207;1.3612160267;1.08533255613,4075.0 106.0 109728;8406.0 183.0 109697;13618.0 294.0 109667;4990.0 203.0 109734;2777.0 61.0 109735;5409.0 199.0 109711;4807.0 160.0 109746;9232.0 450.0 109742;4565.0 190.0 109743;1882.0 48.0 109745;879.0 12.0 109714;2432.0 70.0 109747;4339.0 199.0 109748;4027.0 162.0 109749;4831.0 134.0 109720;21289.0 1083.0 109721;7295.0 264.0 109722;3233.0 47.0 109723;3166.0 66.0 109726,109728.0 4623;109697.0 4623;109667.0 4623;109734.0 4623;109735.0 4623;109711.0 4623;109714.0 4623;109742.0 4623;109743.0 4623;109745.0 4623;109746.0 4623;109747.0 4623;109748.0 4623;109749.0 4623;109720.0 4623;109721.0 4623;109722.0 4623;109723.0 4623;109726.0 4623,109728 267;109697 252;109667 242;109734 231;109735 240;109711 215;109746 264;109742 252;109743 220;109745 223;109714 254;109747 231;109748 239;109749 282;109720 236;109721 255;109722 255;109723 247;109726 218
data,1241867100,1822291.0;65601.0;1831286.0;82798.0;1716229.0;63456.0;1834241.0;89888.0;1.25594592675;1.02708107488;1.3612960718;1.08539171575,4118.0 107.0 109728;8450.0 185.0 109697;13660.0 294.0 109667;5035.0 204.0 109734;2830.0 63.0 109735;914.0 13.0 109714;9281.0 451.0 109742;5442.0 199.0 109711;3268.0 47.0 109723;1917.0 49.0 109745;4868.0 164.0 109746;2479.0 72.0 109747;4372.0 200.0 109748;4070.0 163.0 109749;4873.0 135.0 109720;21332.0 1083.0 109721;7328.0 264.0 109722;4610.0 191.0 109743;3195.0 67.0 109726,109728.0 15377;109697.0 15377;109667.0 15377;109734.0 15377;109735.0 15377;109711.0 15377;109714.0 15377;109742.0 15377;109743.0 15377;109745.0 15377;109746.0 15377;109747.0 15377;109748.0 15377;109749.0 15377;109720.0 15377;109721.0 15377;109722.0 15377;109723.0 15377;109726.0 15377,109728 782;109697 812;109667 756;109734 802;109735 829;109714 786;109742 832;109711 775;109723 810;109745 816;109746 890;109747 844;109748 847;109749 790;109720 788;109721 831;109722 787;109743 800;109726 800
data,1241867700,1823359.0;65629.0;1832324.0;82829.0;1717281.0;63483.0;1835333.0;89915.0;1.25590429654;1.02705210054;1.36111140585;1.08563112872,4164.0 108.0 109728;8522.0 187.0 109697;13693.0 294.0 109667;5082.0 206.0 109734;2900.0 66.0 109735;5484.0 200.0 109711;4977.0 170.0 109746;9363.0 456.0 109742;4662.0 191.0 109743;1973.0 51.0 109745;954.0 14.0 109714;2540.0 73.0 109747;4429.0 204.0 109748;4139.0 165.0 109749;4922.0 135.0 109720;21365.0 1083.0 109721;7362.0 264.0 109722;3302.0 47.0 109723;3247.0 68.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1048;109697 1001;109667 1052;109734 1075;109735 1038;109711 1069;109746 1065;109742 1067;109743 1066;109745 1034;109714 1023;109747 1113;109748 1090;109749 1001;109720 1129;109721 1041;109722 994;109723 1041;109726 1053
data,1241868300,1824396.0;65647.0;1833422.0;82860.0;1718355.0;63515.0;1836361.0;89962.0;1.25599155103;1.02722986854;1.36146119831;1.08611042882,4213.0 109.0 109728;8576.0 187.0 109697;13727.0 294.0 109667;4693.0 192.0 109743;5143.0 208.0 109734;2999.0 69.0 109735;5137.0 178.0 109746;9461.0 462.0 109742;5524.0 201.0 109711;2031.0 51.0 109745;1002.0 15.0 109714;2587.0 74.0 109747;4525.0 209.0 109748;4181.0 165.0 109749;4961.0 136.0 109720;21393.0 1084.0 109721;7386.0 264.0 109722;3348.0 47.0 109723;3291.0 68.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1007;109697 1060;109667 1029;109743 1102;109734 1042;109735 1033;109746 1036;109742 1037;109711 1064;109745 1036;109714 1102;109747 1053;109748 1067;109749 1071;109720 1044;109721 1076;109722 1026;109723 1064;109726 1051
data,1241869200,1825490.0;65681.0;1834522.0;82889.0;1719418.0;63547.0;1837349.0;89994.0;1.25578033473;1.02719591992;1.36132431008;1.08609878599,4253.0 109.0 109728;8608.0 187.0 109697;13749.0 294.0 109667;5224.0 211.0 109734;3087.0 71.0 109735;1061.0 17.0 109714;4741.0 197.0 109743;9573.0 465.0 109742;5568.0 202.0 109711;2072.0 52.0 109745;5317.0 183.0 109746;2627.0 74.0 109747;4618.0 210.0 109748;4219.0 166.0 109749;5002.0 138.0 109720;21452.0 1086.0 109721;7407.0 264.0 109722;3375.0 48.0 109723;3325.0 68.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1080;109697 1016;109667 1041;109734 1104;109735 1052;109714 1078;109743 1012;109742 1100;109711 1024;109745 1060;109746 988;109747 1097;109748 1038;109749 1036;109720 1027;109721 1058;109722 1096;109723 1034;109726 1059
data,1241869800,1826482.0;65716.0;1835583.0;82928.0;1720460.0;63578.0;1838410.0;90041.0;1.25565820907;1.02708540469;1.36126353705;1.08619424033,4284.0 109.0 109728;8630.0 187.0 109697;13767.0 295.0 109667;5305.0 212.0 109734;3154.0 72.0 109735;5617.0 205.0 109711;5436.0 189.0 109746;9738.0 478.0 109742;4803.0 201.0 109743;2106.0 53.0 109745;1119.0 18.0 109714;2675.0 75.0 109747;4716.0 213.0 109748;4253.0 166.0 109749;5047.0 138.0 109720;21489.0 1089.0 109721;7433.0 264.0 109722;3414.0 49.0 109723;3353.0 68.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1007;109697 1006;109667 1065;109734 1139;109735 1059;109711 1091;109746 1061;109742 1029;109743 1040;109745 1045;109714 1063;109747 1096;109748 1057;109749 1038;109720 1026;109721 1028;109722 1093;109723 987;109726 1070
data,1241870400,1827610.0;65748.0;1836578.0;82966.0;1721508.0;63600.0;1839434.0;90085.0;1.25571694182;1.02694940969;1.36134829697;1.08639643633,4307.0 110.0 109728;8646.0 187.0 109697;13787.0 295.0 109667;5341.0 212.0 109734;3203.0 73.0 109735;5693.0 212.0 109711;5556.0 191.0 109746;9922.0 490.0 109742;4905.0 206.0 109743;2136.0 54.0 109745;1154.0 18.0 109714;2703.0 75.0 109747;4770.0 214.0 109748;4287.0 167.0 109749;5070.0 138.0 109720;21577.0 1094.0 109721;7445.0 264.0 109722;3442.0 49.0 109723;3390.0 70.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1040;109697 985;109667 1000;109734 1030;109735 1068;109711 1016;109746 1024;109742 1013;109743 1086;109745 1062;109714 1066;109747 1108;109748 1052;109749 1099;109720 1075;109721 1033;109722 1087;109723 1115;109726 1041
data,1241871000,1828653.0;65789.0;1837620.0;83001.0;1722591.0;63627.0;1840436.0;90132.0;1.25546795924;1.02668517424;1.36124502641;1.08645778866,4330.0 112.0 109728;8663.0 187.0 109697;13801.0 295.0 109667;5378.0 215.0 109734;3239.0 74.0 109735;1184.0 18.0 109714;10179.0 500.0 109742;4993.0 208.0 109743;3462.0 49.0 109723;2162.0 54.0 109745;5663.0 194.0 109746;2724.0 76.0 109747;4853.0 219.0 109748;4314.0 167.0 109749;5097.0 138.0 109720;21635.0 1094.0 109721;7461.0 266.0 109722;5830.0 218.0 109711;3408.0 70.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1016;109697 1064;109667 1043;109734 1111;109735 1029;109714 1042;109742 1079;109743 1070;109723 1096;109745 1062;109746 1002;109747 1079;109748 1049;109749 1042;109720 1084;109721 1004;109722 1084;109711 1007;109726 1037
data,1241871300,1829702.0;65825.0;1838668.0;83034.0;1723671.0;63650.0;1841488.0;90181.0;1.2552844154;1.02643990577;1.3612429662;1.08660585239,4365.0 113.0 109728;8674.0 187.0 109697;13816.0 295.0 109667;5058.0 209.0 109743;5435.0 218.0 109734;3280.0 75.0 109735;1208.0 18.0 109714;10452.0 511.0 109742;5951.0 222.0 109711;2191.0 55.0 109745;5760.0 196.0 109746;2745.0 76.0 109747;4935.0 220.0 109748;4337.0 168.0 109749;5117.0 139.0 109720;21679.0 1095.0 109721;7494.0 268.0 109722;3486.0 49.0 109723;3441.0 73.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1077;109697 1025;109667 1043;109743 1078;109734 1044;109735 1027;109714 1015;109742 1037;109711 1036;109745 1054;109746 1052;109747 1072;109748 1079;109749 1076;109720 1065;109721 1064;109722 1006;109723 1073;109726 1077
data,1241871900,1830731.0;65860.0;1839729.0;83086.0;1724722.0;63696.0;1842599.0;90237.0;1.25538462719;1.02658725046;1.3613087201;1.08682942557,4392.0 115.0 109728;8697.0 187.0 109697;13833.0 296.0 109667;5499.0 220.0 109734;3316.0 75.0 109735;6055.0 225.0 109711;1233.0 18.0 109714;10753.0 529.0 109742;5115.0 210.0 109743;2215.0 55.0 109745;5830.0 199.0 109746;2773.0 78.0 109747;5032.0 229.0 109748;4361.0 168.0 109749;5141.0 140.0 109720;21726.0 1099.0 109721;7533.0 272.0 109722;3511.0 51.0 109723;3470.0 73.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1047;109697 1052;109667 1002;109734 1056;109735 1069;109711 1089;109714 1003;109742 1060;109743 1074;109745 1042;109746 1111;109747 1031;109748 998;109749 1065;109720 1043;109721 1052;109722 1050;109723 1075;109726 1081
data,1241872500,1831808.0;65902.0;1840795.0;83125.0;1725764.0;63738.0;1843650.0;90284.0;1.25518456141;1.02659319993;1.36117408134;1.08686510882,4437.0 115.0 109728;8718.0 188.0 109697;13847.0 296.0 109667;5231.0 220.0 109743;5548.0 221.0 109734;3341.0 75.0 109735;5899.0 201.0 109746;11031.0 537.0 109742;6163.0 229.0 109711;2238.0 56.0 109745;1250.0 19.0 109714;2797.0 78.0 109747;5158.0 237.0 109748;4375.0 169.0 109749;5163.0 140.0 109720;21775.0 1101.0 109721;7565.0 272.0 109722;3529.0 51.0 109723;3486.0 73.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1058;109697 1004;109667 1029;109743 1055;109734 1114;109735 1047;109746 1051;109742 1072;109711 1052;109745 1109;109714 1103;109747 1031;109748 1075;109749 1032;109720 1035;109721 1021;109722 1026;109723 1054;109726 1032
