data,1242005400,2115985.0;75256.0;2125548.0;94272.0;1992955.0;72512.0;2130436.0;103176.0;1.24704825125;1.02301934198;1.36170066118;1.09524726006,16722.0 757.0 109762;7574.0 243.0 109731;1261.0 38.0 109780;3599.0 138.0 109765;8909.0 289.0 109763;71.0 1.0 109730;7846.0 260.0 109769;1950.0 33.0 109770;2206.0 52.0 109771;12666.0 532.0 109740;2408.0 73.0 109773;10402.0 562.0 109774;13217.0 666.0 109775;1465.0 37.0 109776;1092.0 19.0 109777;1922.0 67.0 109778;1284.0 32.0 109779;17958.0 804.0 109684;829.0 36.0 109782;195.0 7.0 109783;10438.0 263.0 109745,109730.0 2003;109731.0 2003;109765.0 2003;109763.0 2003;109777.0 2003;109762.0 2003;109769.0 2003;109770.0 2003;109771.0 2003;109740.0 2003;109773.0 2003;109774.0 2003;109775.0 2003;109776.0 2003;109745.0 2003;109778.0 2003;109779.0 2003;109780.0 2003;109782.0 2003;109783.0 2003;109684.0 2003,109762 92;109731 102;109780 94;109765 91;109763 111;109730 93;109769 92;109770 106;109771 92;109740 94;109773 92;109774 102;109775 83;109776 88;109777 97;109778 76;109779 98;109684 105;109782 103;109783 106;109745 86
data,1242005400,2116859.0;75275.0;2126413.0;94298.0;1993792.0;72540.0;2131290.0;103213.0;1.24708492747;1.02314896538;1.36186174775;1.09538463569,16761.0 758.0 109762;7610.0 243.0 109731;3637.0 140.0 109765;1317.0 32.0 109779;10466.0 263.0 109745;7884.0 261.0 109769;1988.0 33.0 109770;2241.0 53.0 109771;12729.0 535.0 109740;108.0 2.0 109730;10436.0 563.0 109774;2452.0 75.0 109773;1494.0 37.0 109776;1129.0 20.0 109777;1957.0 67.0 109778;8957.0 292.0 109763;18014.0 805.0 109684;881.0 39.0 109782;238.0 9.0 109783;1296.0 38.0 109780;13284.0 670.0 109775,109730.0 17997;109731.0 17997;109765.0 17997;109763.0 17997;109777.0 17997;109762.0 17997;109769.0 17997;109770.0 17997;109771.0 17997;109740.0 17997;109773.0 17997;109774.0 17997;109775.0 17997;109776.0 17997;109745.0 17997;109778.0 17997;109779.0 17997;109780.0 17997;109782.0 17997;109783.0 17997;109684.0 17997,109762 821;109731 838;109765 866;109779 871;109745 902;109769 899;109770 837;109771 828;109740 868;109730 901;109774 866;109773 858;109776 857;109777 867;109778 849;109763 882;109684 840;109782 846;109783 805;109780 855;109775 841
data,1242005700,2117728.0;75300.0;2127324.0;94323.0;1994732.0;72576.0;2132259.0;103239.0;1.24697908161;1.02325453084;1.3616924691;1.0953063332,16813.0 760.0 109762;9026.0 295.0 109763;7630.0 243.0 109731;1168.0 20.0 109777;7925.0 262.0 109769;2030.0 36.0 109770;2274.0 53.0 109771;12785.0 536.0 109740;146.0 3.0 109730;10480.0 565.0 109774;2515.0 76.0 109773;1524.0 38.0 109776;10490.0 263.0 109745;2007.0 69.0 109778;1353.0 32.0 109779;18039.0 805.0 109684;944.0 42.0 109782;287.0 11.0 109783;1329.0 39.0 109780;13352.0 671.0 109775;3673.0 141.0 109765,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109763 968;109731 927;109777 921;109769 960;109770 945;109771 927;109740 950;109730 911;109774 914;109773 1017;109776 952;109745 945;109778 938;109779 936;109684 969;109782 979;109783 984;109780 953;109775 976;109765 977
data,1242006000,2118697.0;75333.0;2128279.0;94356.0;1995700.0;72622.0;2133220.0;103278.0;1.24687968958;1.02342621382;1.36161949643;1.09532441032,10534.0 265.0 109745;16847.0 760.0 109762;7659.0 244.0 109731;3718.0 142.0 109765;9103.0 298.0 109763;187.0 3.0 109730;7972.0 264.0 109769;2081.0 37.0 109770;2308.0 55.0 109771;12836.0 538.0 109740;2583.0 78.0 109773;10540.0 569.0 109774;13411.0 672.0 109775;1554.0 39.0 109776;1200.0 23.0 109777;2034.0 69.0 109778;1390.0 35.0 109779;18074.0 805.0 109684;1032.0 46.0 109782;325.0 11.0 109783;1357.0 40.0 109780,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109745 961;109762 969;109731 970;109765 964;109763 968;109730 994;109769 956;109770 941;109771 987;109740 972;109773 950;109774 957;109775 962;109776 961;109777 949;109778 896;109779 963;109684 948;109782 920;109783 910;109780 902
data,1242006600,2119671.0;75358.0;2129211.0;94382.0;1996631.0;72656.0;2134211.0;103322.0;1.24683667747;1.02355873561;1.36174109701;1.09544466057,16874.0 761.0 109762;9186.0 302.0 109763;3772.0 145.0 109765;10558.0 265.0 109745;8032.0 266.0 109769;2118.0 37.0 109770;2345.0 56.0 109771;12868.0 538.0 109740;2612.0 78.0 109773;10635.0 573.0 109774;13463.0 674.0 109775;1588.0 39.0 109776;1242.0 24.0 109777;2055.0 69.0 109778;1451.0 38.0 109779;18101.0 806.0 109684;1125.0 49.0 109782;359.0 11.0 109783;1383.0 40.0 109780;7692.0 245.0 109731;218.0 3.0 109730,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 967;109763 950;109765 961;109745 930;109769 937;109770 951;109771 937;109740 970;109773 968;109774 975;109775 972;109776 960;109777 961;109778 878;109779 991;109684 924;109782 990;109783 963;109780 967;109731 912;109730 936
data,1242006900,2120630.0;75390.0;2130161.0;94418.0;1997566.0;72698.0;2135175.0;103363.0;1.24679061716;1.02369948161;1.36170423329;1.09545725279,16917.0 764.0 109762;7710.0 245.0 109731;1430.0 44.0 109780;3823.0 147.0 109765;9306.0 307.0 109763;238.0 4.0 109730;8089.0 268.0 109769;2157.0 38.0 109770;2371.0 56.0 109771;12906.0 539.0 109740;2642.0 78.0 109773;10719.0 575.0 109774;13504.0 674.0 109775;1609.0 40.0 109776;1287.0 24.0 109777;2071.0 69.0 109778;1509.0 42.0 109779;18142.0 808.0 109684;1227.0 56.0 109782;388.0 12.0 109783;10582.0 265.0 109745,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109731 989;109780 941;109765 932;109763 931;109730 995;109769 959;109770 1000;109771 948;109740 941;109773 947;109774 1001;109775 972;109776 941;109777 899;109778 963;109779 964;109684 905;109782 964;109783 945;109745 912
data,1242007200,2121537.0;75420.0;2131129.0;94455.0;1998510.0;72736.0;2136141.0;103401.0;1.24674976697;1.02378124814;1.36162935421;1.09547271431,16969.0 766.0 109762;9378.0 308.0 109763;3875.0 147.0 109765;260.0 4.0 109730;8149.0 271.0 109769;2188.0 38.0 109770;2403.0 57.0 109771;12938.0 539.0 109740;2666.0 79.0 109773;10856.0 586.0 109774;13555.0 679.0 109775;1640.0 41.0 109776;10601.0 265.0 109745;2088.0 69.0 109778;1592.0 45.0 109779;18165.0 809.0 109684;1327.0 58.0 109782;424.0 15.0 109783;1462.0 44.0 109780;7732.0 246.0 109731;1327.0 26.0 109777,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 982;109763 930;109765 1011;109730 1024;109769 932;109770 929;109771 920;109740 919;109773 953;109774 939;109775 942;109776 965;109745 926;109778 893;109779 966;109684 965;109782 1001;109783 956;109780 951;109731 949;109777 947
data,1242007500,2122451.0;75451.0;2132067.0;94496.0;1999475.0;72765.0;2137116.0;103444.0;1.24676685921;1.02371537951;1.36160106489;1.09535005649,17041.0 770.0 109762;9460.0 314.0 109763;3907.0 149.0 109765;1657.0 49.0 109779;1353.0 26.0 109777;2100.0 69.0 109778;8208.0 272.0 109769;2224.0 42.0 109770;2425.0 59.0 109771;12965.0 540.0 109740;283.0 4.0 109730;11022.0 593.0 109774;13607.0 681.0 109775;1670.0 41.0 109776;10618.0 265.0 109745;2682.0 79.0 109773;7750.0 248.0 109731;1485.0 44.0 109780;1406.0 60.0 109782;480.0 18.0 109783;18190.0 810.0 109684,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109763 995;109765 986;109779 975;109777 959;109778 963;109769 948;109770 928;109771 886;109740 928;109730 948;109774 977;109775 939;109776 951;109745 973;109773 951;109731 938;109780 952;109782 976;109783 935;109684 941
data,1242007800,2123451.0;75490.0;2133034.0;94525.0;2000444.0;72796.0;2138027.0;103476.0;1.24652710504;1.02360862454;1.36137968373;1.09525100995,298.0 4.0 109730;7801.0 251.0 109731;3940.0 149.0 109765;1735.0 50.0 109779;10630.0 265.0 109745;2117.0 71.0 109778;8236.0 272.0 109769;2270.0 42.0 109770;2447.0 59.0 109771;12993.0 541.0 109740;17087.0 771.0 109762;11198.0 601.0 109774;13668.0 683.0 109775;1685.0 41.0 109776;1387.0 27.0 109777;2703.0 81.0 109773;9542.0 315.0 109763;18214.0 810.0 109684;1513.0 66.0 109782;532.0 18.0 109783;1504.0 45.0 109780,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 970;109731 983;109765 924;109779 911;109745 945;109778 991;109769 917;109770 948;109771 941;109740 985;109762 943;109774 951;109775 988;109776 897;109777 961;109773 983;109763 919;109684 967;109782 993;109783 929;109780 954
data,1242008100,2124400.0;75517.0;2134008.0;94550.0;2001408.0;72833.0;2138991.0;103509.0;1.24639889116;1.02372693849;1.36132155021;1.09533343158,17128.0 772.0 109762;9614.0 317.0 109763;3966.0 149.0 109765;1789.0 50.0 109779;1419.0 28.0 109777;8289.0 274.0 109769;2309.0 43.0 109770;2470.0 59.0 109771;13029.0 543.0 109740;2724.0 81.0 109773;11377.0 605.0 109774;13748.0 686.0 109775;1716.0 42.0 109776;10649.0 266.0 109745;2144.0 72.0 109778;7848.0 251.0 109731;18235.0 810.0 109684;1621.0 70.0 109782;562.0 19.0 109783;1528.0 46.0 109780;309.0 4.0 109730,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 891;109763 968;109765 911;109779 964;109777 942;109769 980;109770 971;109771 900;109740 910;109773 977;109774 989;109775 977;109776 941;109745 950;109778 964;109731 959;109684 1004;109782 985;109783 944;109780 931;109730 942
data,1242008400,2125356.0;75550.0;2134956.0;94584.0;2002353.0;72863.0;2139938.0;103543.0;1.24630966906;1.02367859533;1.36118379379;1.09534731316,326.0 4.0 109730;7876.0 252.0 109731;3986.0 150.0 109765;9692.0 321.0 109763;10666.0 266.0 109745;17192.0 775.0 109762;8325.0 274.0 109769;2336.0 43.0 109770;2480.0 59.0 109771;13084.0 545.0 109740;2742.0 82.0 109773;11541.0 611.0 109774;13829.0 689.0 109775;1742.0 43.0 109776;1441.0 28.0 109777;2172.0 74.0 109778;1828.0 51.0 109779;1555.0 47.0 109780;1757.0 76.0 109782;600.0 21.0 109783;18252.0 810.0 109684,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 902;109731 925;109765 987;109763 1028;109745 939;109762 972;109769 951;109770 957;109771 888;109740 968;109773 915;109774 943;109775 973;109776 960;109777 934;109778 973;109779 947;109780 953;109782 1001;109783 908;109684 976
