data,1241954400,1994535.0;71122.0;2003252.0;89309.0;1882032.0;68734.0;2007112.0;97315.0;1.25025137963;1.0241942093;1.35970871264;1.09140956825,2685.0 58.0 109760;7468.0 334.0 109761;8862.0 414.0 109762;4776.0 165.0 109763;1501.0 23.0 109764;4156.0 144.0 109766;1678.0 37.0 109767;12418.0 264.0 109697;2941.0 101.0 109769;4054.0 157.0 109740;3710.0 113.0 109741;7107.0 104.0 109723;7723.0 215.0 109745;2213.0 72.0 109731;10591.0 510.0 109684;5677.0 202.0 109686;2359.0 56.0 109752;6675.0 240.0 109755;4202.0 121.0 109756;3487.0 91.0 109758,109760.0 8579;109697.0 8579;109762.0 8579;109731.0 8579;109764.0 8579;109766.0 8579;109767.0 8579;109769.0 8579;109761.0 8579;109740.0 8579;109741.0 8579;109745.0 8579;109763.0 8579;109684.0 8579;109755.0 8579;109686.0 8579;109752.0 8579;109723.0 8579;109756.0 8579;109758.0 8579,109760 414;109761 414;109762 422;109763 457;109764 439;109766 441;109767 450;109697 421;109769 447;109740 424;109741 452;109723 378;109745 416;109731 421;109684 444;109686 446;109752 433;109755 410;109756 395;109758 455
data,1241955000,1995073.0;71140.0;2003852.0;89323.0;1882617.0;68746.0;2007654.0;97331.0;1.2500937643;1.02407175511;1.35958776403;1.09121495261,2706.0 58.0 109760;7502.0 337.0 109761;8905.0 416.0 109762;2241.0 73.0 109731;1527.0 23.0 109764;4197.0 146.0 109766;1708.0 38.0 109767;12448.0 264.0 109697;2979.0 103.0 109769;4084.0 158.0 109740;3730.0 114.0 109741;7139.0 104.0 109723;7753.0 215.0 109745;4803.0 165.0 109763;10619.0 510.0 109684;5720.0 203.0 109686;2381.0 56.0 109752;6702.0 240.0 109755;4230.0 121.0 109756;3509.0 91.0 109758,109760.0 11421;109697.0 11421;109762.0 11421;109731.0 11421;109764.0 11421;109766.0 11421;109767.0 11421;109769.0 11421;109761.0 11421;109740.0 11421;109741.0 11421;109745.0 11421;109763.0 11421;109684.0 11421;109755.0 11421;109686.0 11421;109752.0 11421;109723.0 11421;109756.0 11421;109758.0 11421,109760 541;109761 551;109762 582;109731 571;109764 540;109766 560;109767 594;109697 566;109769 547;109740 558;109741 588;109723 577;109745 602;109763 587;109684 569;109686 540;109752 590;109755 628;109756 550;109758 580
data,1241955600,1996077.0;71181.0;2004883.0;89354.0;1883571.0;68767.0;2008646.0;97376.0;1.24979323903;1.02379095566;1.35944528233;1.09083597804,2764.0 60.0 109760;12480.0 264.0 109697;8955.0 417.0 109762;2301.0 75.0 109731;1555.0 23.0 109764;4282.0 152.0 109766;7610.0 341.0 109761;3035.0 103.0 109769;1754.0 39.0 109767;4144.0 161.0 109740;3786.0 115.0 109741;7793.0 216.0 109745;4844.0 166.0 109763;10664.0 512.0 109684;6744.0 241.0 109755;5779.0 205.0 109686;2433.0 59.0 109752;7178.0 104.0 109723;4265.0 121.0 109756;3548.0 92.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1065;109697 975;109762 981;109731 1008;109764 1037;109766 1051;109761 1027;109769 967;109767 961;109740 1011;109741 1056;109745 1010;109763 968;109684 984;109755 937;109686 971;109752 1025;109723 1001;109756 1038;109758 927
data,1241956500,1997090.0;71214.0;2005876.0;89377.0;1884583.0;68792.0;2009674.0;97412.0;1.24955088909;1.02365809121;1.35931185021;1.09060081984,2824.0 62.0 109760;12510.0 264.0 109697;8995.0 419.0 109762;4888.0 168.0 109763;1574.0 23.0 109764;4396.0 154.0 109766;1803.0 41.0 109767;3072.0 105.0 109769;7708.0 343.0 109761;4187.0 162.0 109740;3837.0 117.0 109741;7208.0 104.0 109723;7826.0 216.0 109745;2352.0 75.0 109731;10710.0 513.0 109684;5843.0 206.0 109686;2493.0 60.0 109752;6777.0 241.0 109755;4303.0 122.0 109756;3601.0 94.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1012;109697 1016;109762 981;109763 991;109764 982;109766 1016;109767 1016;109769 993;109761 957;109740 1043;109741 980;109723 1023;109745 1009;109731 973;109684 1028;109686 999;109752 991;109755 985;109756 966;109758 1039
data,1241957100,1998085.0;71238.0;2006853.0;89408.0;1885558.0;68818.0;2010688.0;97443.0;1.24957710504;1.02368040997;1.35927772968;1.09041427003,2870.0 62.0 109760;7795.0 345.0 109761;9052.0 422.0 109762;2386.0 75.0 109731;1593.0 23.0 109764;4487.0 158.0 109766;1851.0 42.0 109767;12544.0 266.0 109697;3118.0 105.0 109769;4268.0 168.0 109740;3882.0 118.0 109741;7235.0 105.0 109723;7856.0 216.0 109745;4947.0 172.0 109763;10776.0 516.0 109684;5888.0 206.0 109686;2542.0 61.0 109752;6802.0 242.0 109755;4338.0 124.0 109756;3654.0 94.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1026;109761 1066;109762 1032;109731 970;109764 948;109766 1027;109767 943;109697 1013;109769 1036;109740 989;109741 990;109723 1006;109745 993;109763 979;109684 1014;109686 973;109752 1053;109755 983;109756 965;109758 994
data,1241957700,1999106.0;71271.0;2007823.0;89454.0;1886542.0;68845.0;2011708.0;97478.0;1.2496756582;1.02359674499;1.35914138675;1.09017690907,2922.0 66.0 109760;7846.0 348.0 109761;9125.0 426.0 109762;6843.0 247.0 109755;1611.0 24.0 109764;2419.0 76.0 109731;4577.0 160.0 109766;12563.0 267.0 109697;3170.0 108.0 109769;1901.0 45.0 109767;4379.0 172.0 109740;3914.0 119.0 109741;7876.0 216.0 109745;5019.0 174.0 109763;10836.0 518.0 109684;5935.0 210.0 109686;2578.0 61.0 109752;7256.0 105.0 109723;4381.0 128.0 109756;3703.0 96.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 996;109761 955;109762 1026;109755 964;109764 969;109731 1035;109766 1010;109697 979;109769 991;109767 1033;109740 1011;109741 946;109745 965;109763 1004;109684 1048;109686 1025;109752 988;109723 1027;109756 997;109758 1031
data,1241958300,2000086.0;71301.0;2008791.0;89489.0;1887510.0;68883.0;2012714.0;97522.0;1.24964872423;1.02370739643;1.35916937649;1.08995213597,2982.0 68.0 109760;12597.0 268.0 109697;9200.0 430.0 109762;5087.0 177.0 109763;1631.0 25.0 109764;4630.0 161.0 109766;1950.0 46.0 109767;3212.0 108.0 109769;7921.0 353.0 109761;4479.0 180.0 109740;3945.0 120.0 109741;7900.0 216.0 109745;2453.0 78.0 109731;10878.0 519.0 109684;6908.0 248.0 109755;5987.0 210.0 109686;2622.0 62.0 109752;7285.0 107.0 109723;4425.0 128.0 109756;3730.0 97.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 1055;109762 1001;109763 1028;109764 938;109766 995;109767 1015;109769 1057;109761 992;109740 975;109741 997;109745 1034;109731 1027;109684 1006;109755 923;109686 974;109752 982;109723 998;109756 997;109758 1008
data,1241958900,2001116.0;71328.0;2009809.0;89522.0;1888524.0;68920.0;2013722.0;97555.0;1.24964658606;1.0238468018;1.35913387228;1.08979692271,3035.0 70.0 109760;8003.0 356.0 109761;9290.0 433.0 109762;6960.0 252.0 109755;1664.0 25.0 109764;4698.0 162.0 109766;12629.0 268.0 109697;3246.0 109.0 109769;5141.0 177.0 109763;1985.0 46.0 109767;4636.0 187.0 109740;3990.0 122.0 109741;7917.0 216.0 109745;2491.0 80.0 109731;10941.0 521.0 109684;6030.0 213.0 109686;2658.0 63.0 109752;7313.0 108.0 109723;4450.0 128.0 109756;3763.0 98.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 990;109761 1007;109762 1030;109755 980;109764 1022;109766 1004;109697 1045;109769 998;109763 1028;109767 999;109740 987;109741 1043;109745 930;109731 952;109684 1008;109686 1020;109752 942;109723 995;109756 980;109758 1040
data,1241959500,2002088.0;71365.0;2010747.0;89549.0;1889472.0;68944.0;2014804.0;97593.0;1.24939914227;1.02365569917;1.3588882908;1.08954526942,3080.0 70.0 109760;12644.0 268.0 109697;9388.0 438.0 109762;5173.0 177.0 109763;1684.0 25.0 109764;4737.0 162.0 109766;2002.0 46.0 109767;3296.0 110.0 109769;8084.0 359.0 109761;4817.0 194.0 109740;4018.0 122.0 109741;7354.0 110.0 109723;7930.0 216.0 109745;2527.0 80.0 109731;10989.0 522.0 109684;6086.0 214.0 109686;2676.0 64.0 109752;7000.0 253.0 109755;4494.0 131.0 109756;3799.0 100.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 981;109762 972;109763 999;109764 1015;109766 961;109767 933;109769 1065;109761 1018;109740 1000;109741 982;109723 1022;109745 1011;109731 957;109684 1082;109686 1005;109752 994;109755 984;109756 967;109758 1054
data,1241959800,2003111.0;71393.0;2011756.0;89587.0;1890473.0;68969.0;2015755.0;97625.0;1.24945054959;1.02360602632;1.35885364989;1.08938783074,3111.0 70.0 109760;12667.0 269.0 109697;9498.0 442.0 109762;7049.0 253.0 109755;1695.0 26.0 109764;4781.0 164.0 109766;2022.0 46.0 109767;3339.0 111.0 109769;5238.0 181.0 109763;5008.0 205.0 109740;4066.0 124.0 109741;7942.0 216.0 109745;2555.0 82.0 109731;11041.0 526.0 109684;6130.0 215.0 109686;2707.0 65.0 109752;8186.0 363.0 109761;7378.0 110.0 109723;4540.0 131.0 109756;3834.0 100.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1035;109697 1011;109762 985;109755 1013;109764 940;109766 1000;109767 993;109769 1029;109763 984;109740 1034;109741 984;109745 1001;109731 965;109684 950;109686 1028;109752 968;109761 1025;109723 1003;109756 1017;109758 1035
data,1241960400,2004105.0;71422.0;2012753.0;89630.0;1891454.0;68998.0;2016759.0;97665.0;1.24954349499;1.02359742035;1.35885593279;1.08935494585,3138.0 70.0 109760;8265.0 365.0 109761;9608.0 448.0 109762;2598.0 85.0 109731;1705.0 28.0 109764;4812.0 165.0 109766;2042.0 46.0 109767;12682.0 269.0 109697;3381.0 114.0 109769;5241.0 215.0 109740;4115.0 127.0 109741;7955.0 218.0 109745;5283.0 181.0 109763;11126.0 531.0 109684;7080.0 253.0 109755;6178.0 217.0 109686;2739.0 65.0 109752;7401.0 110.0 109723;4562.0 132.0 109756;3873.0 103.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 964;109761 904;109762 1039;109731 1044;109764 1014;109766 1003;109767 1007;109697 968;109769 995;109740 1000;109741 1003;109745 985;109763 1015;109684 1004;109755 982;109686 1012;109752 1011;109723 1027;109756 989;109758 1034
