
New Run at  02/10/2015 08:48:49
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio; extremeGreedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241939400,1978445.0;70938.0;1978696.0;73942.0;1879535.0;83816.0;1990099.0;71067.0;1.04221461512;1.24371695555;0.99595185025;1.06885570433,1253.0 33.0 109760;70558.0 1629.0 109697;980.0 44.0 109762;989.0 27.0 109763;760.0 15.0 109764;800.0 28.0 109766;1153.0 53.0 109761;225.0 5.0 109769;677.0 21.0 109767;734.0 19.0 109740;1159.0 31.0 109741;3101.0 99.0 109745;3237.0 127.0 109746;513.0 22.0 109731;1568.0 65.0 109684;1590.0 68.0 109755;1790.0 63.0 109686;4447.0 66.0 109723;1492.0 43.0 109756;1294.0 39.0 109758,109760.0 18239;109697.0 18239;109762.0 18239;109763.0 18239;109764.0 18239;109766.0 18239;109767.0 18239;109769.0 18239;109761.0 18239;109740.0 18239;109741.0 18239;109745.0 18239;109746.0 18239;109731.0 18239;109684.0 18239;109755.0 18239;109686.0 18239;109723.0 18239;109756.0 18239;109758.0 18239,109760 914;109697 909;109762 913;109763 901;109764 897;109766 922;109761 961;109769 950;109767 888;109740 908;109741 866;109745 910;109746 927;109731 910;109684 880;109755 912;109686 918;109723 903;109756 924;109758 926
data,1241940300,1979442.0;70960.0;1979662.0;73953.0;1880519.0;83837.0;1991163.0;71096.0;1.04206287482;1.24361851053;0.996018781251;1.06889749393,1266.0 33.0 109760;71241.0 1634.0 109697;995.0 44.0 109762;527.0 22.0 109731;774.0 16.0 109764;812.0 29.0 109766;697.0 21.0 109767;240.0 6.0 109769;1168.0 53.0 109761;749.0 19.0 109740;1173.0 31.0 109741;4457.0 66.0 109723;3115.0 99.0 109745;3255.0 127.0 109746;1008.0 27.0 109763;1580.0 65.0 109684;1804.0 65.0 109686;1605.0 68.0 109755;1504.0 43.0 109756;1316.0 40.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 978;109697 958;109762 991;109731 1011;109764 958;109766 960;109767 1033;109769 978;109761 1008;109740 1014;109741 1002;109723 1014;109745 1064;109746 1025;109763 1004;109684 967;109686 1021;109755 990;109756 1002;109758 1022
data,1241941200,1980465.0;70990.0;1980627.0;73967.0;1881516.0;83857.0;1992117.0;71123.0;1.04185026159;1.24337291039;0.996013491042;1.06886390599,1276.0 33.0 109760;71934.0 1641.0 109697;1013.0 46.0 109762;543.0 23.0 109731;789.0 16.0 109764;825.0 29.0 109766;1183.0 53.0 109761;253.0 6.0 109769;713.0 23.0 109767;765.0 20.0 109740;1184.0 31.0 109741;4473.0 66.0 109723;3126.0 99.0 109745;3266.0 127.0 109746;1020.0 28.0 109763;1598.0 65.0 109684;1818.0 65.0 109686;1618.0 68.0 109755;1523.0 43.0 109756;1331.0 40.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1027;109697 1015;109762 999;109731 1024;109764 1003;109766 1026;109761 971;109769 1025;109767 995;109740 993;109741 989;109723 1031;109745 954;109746 950;109763 928;109684 998;109686 1015;109755 1051;109756 1002;109758 1004
data,1241942100,1981450.0;71014.0;1981684.0;73982.0;1882521.0;83880.0;1993138.0;71145.0;1.04167155917;1.24324789969;0.995969769302;1.06879402274,1296.0 33.0 109760;1200.0 55.0 109761;1024.0 46.0 109762;1039.0 28.0 109763;806.0 16.0 109764;837.0 29.0 109766;72690.0 1649.0 109697;268.0 6.0 109769;733.0 23.0 109767;786.0 21.0 109740;1190.0 32.0 109741;4492.0 66.0 109723;3139.0 99.0 109745;3283.0 127.0 109746;560.0 23.0 109731;1615.0 67.0 109684;1830.0 66.0 109686;1633.0 68.0 109755;1541.0 43.0 109756;1346.0 40.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1005;109761 967;109762 986;109763 1040;109764 983;109766 948;109697 1039;109769 1001;109767 1022;109740 1011;109741 935;109723 985;109745 1021;109746 1052;109731 1032;109684 996;109686 1018;109755 962;109756 1004;109758 993
data,1241943000,1982409.0;71025.0;1982687.0;73994.0;1883495.0;83902.0;1994158.0;71170.0;1.04165610733;1.24333986916;0.996137796857;1.06894839173,1306.0 33.0 109760;1214.0 55.0 109761;1043.0 47.0 109762;581.0 23.0 109731;819.0 16.0 109764;856.0 29.0 109766;747.0 23.0 109767;73386.0 1659.0 109697;285.0 6.0 109769;807.0 21.0 109740;1203.0 32.0 109741;3156.0 99.0 109745;3305.0 127.0 109746;1051.0 28.0 109763;1630.0 68.0 109684;1654.0 68.0 109755;1851.0 66.0 109686;4508.0 66.0 109723;1551.0 43.0 109756;1358.0 40.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1020;109761 1014;109762 989;109731 1013;109764 1011;109766 1025;109767 969;109697 995;109769 1026;109740 952;109741 1005;109745 1020;109746 992;109763 1011;109684 1003;109755 1017;109686 987;109723 987;109756 978;109758 986
data,1241943900,1983477.0;71051.0;1983684.0;74007.0;1884441.0;83921.0;1995163.0;71192.0;1.04149522559;1.24321167433;0.996115700973;1.06890176057,1316.0 33.0 109760;1225.0 55.0 109761;1060.0 48.0 109762;1061.0 28.0 109763;838.0 16.0 109764;876.0 29.0 109766;762.0 23.0 109767;74095.0 1669.0 109697;298.0 6.0 109769;822.0 21.0 109740;1219.0 32.0 109741;4522.0 66.0 109723;3171.0 99.0 109745;3323.0 127.0 109746;598.0 23.0 109731;1648.0 69.0 109684;1867.0 66.0 109686;1666.0 69.0 109755;1570.0 43.0 109756;1371.0 40.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 975;109761 955;109762 982;109763 1045;109764 995;109766 1008;109767 996;109697 981;109769 965;109740 1010;109741 1035;109723 1002;109745 1005;109746 1023;109731 1059;109684 1001;109686 990;109755 937;109756 998;109758 1038
data,1241945100,1984512.0;71065.0;1984670.0;74034.0;1885442.0;83943.0;1996150.0;71216.0;1.04169571713;1.24328094636;0.996282203983;1.06905554522,1325.0 33.0 109760;1235.0 55.0 109761;1076.0 48.0 109762;611.0 23.0 109731;853.0 16.0 109764;899.0 33.0 109766;775.0 23.0 109767;74826.0 1686.0 109697;302.0 6.0 109769;834.0 22.0 109740;1226.0 33.0 109741;3179.0 100.0 109745;3333.0 128.0 109746;1075.0 28.0 109763;1665.0 69.0 109684;1685.0 70.0 109755;1885.0 67.0 109686;4541.0 66.0 109723;1584.0 43.0 109756;1385.0 40.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 973;109761 968;109762 975;109731 1022;109764 1031;109766 1031;109767 978;109697 1061;109769 941;109740 1060;109741 957;109745 987;109746 1025;109763 974;109684 1018;109755 1010;109686 1006;109723 981;109756 1018;109758 984
data,1241946000,1985530.0;71080.0;1985684.0;74052.0;1886202.0;83958.0;1997178.0;71232.0;1.04173124489;1.24337725248;0.996293734444;1.06905097673,1337.0 33.0 109760;1250.0 55.0 109761;1090.0 49.0 109762;1698.0 70.0 109755;868.0 16.0 109764;622.0 23.0 109731;921.0 34.0 109766;75554.0 1696.0 109697;312.0 6.0 109769;793.0 23.0 109767;853.0 22.0 109740;1238.0 33.0 109741;3192.0 103.0 109745;3339.0 128.0 109746;1094.0 29.0 109763;1689.0 69.0 109684;1899.0 68.0 109686;1303.0 23.0 109752;4555.0 66.0 109723;1598.0 44.0 109756;1406.0 40.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 5185;109723.0 20000;109756.0 20000;109758.0 20000,109760 1009;109761 978;109762 980;109755 1015;109764 999;109731 1017;109766 1061;109697 987;109769 1035;109767 956;109740 1028;109741 1024;109745 1028;109746 976;109763 983;109684 1041;109686 873;109752 8;109723 1029;109756 988;109758 985
data,1241947200,1986513.0;71101.0;1986647.0;74069.0;1887188.0;83963.0;1998119.0;71256.0;1.04167316945;1.24304967331;0.996358872175;1.06909605837,1349.0 33.0 109760;76230.0 1709.0 109697;1107.0 50.0 109762;1106.0 29.0 109763;877.0 16.0 109764;930.0 34.0 109766;811.0 24.0 109767;327.0 6.0 109769;1268.0 55.0 109761;874.0 23.0 109740;1255.0 33.0 109741;3206.0 103.0 109745;3339.0 128.0 109746;643.0 23.0 109731;1709.0 69.0 109684;1715.0 71.0 109755;1918.0 68.0 109686;1318.0 23.0 109752;4568.0 66.0 109723;1609.0 44.0 109756;1415.0 40.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 287;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1022;109697 961;109762 1022;109763 1018;109764 971;109766 1015;109767 1013;109769 1001;109761 995;109740 977;109741 1028;109745 941;109746 21;109731 1049;109684 986;109755 959;109686 1019;109752 1006;109723 1044;109756 947;109758 1005
data,1241948400,1987466.0;71113.0;1987717.0;74083.0;1888189.0;83980.0;1999123.0;71283.0;1.04163296627;1.24302858112;0.996545565082;1.06926853408,1371.0 33.0 109760;1284.0 55.0 109761;1124.0 50.0 109762;661.0 23.0 109731;899.0 16.0 109764;952.0 34.0 109766;76969.0 1718.0 109697;342.0 6.0 109769;831.0 24.0 109767;888.0 24.0 109740;1268.0 33.0 109741;3216.0 103.0 109745;1128.0 29.0 109763;1721.0 71.0 109684;1739.0 72.0 109755;1930.0 69.0 109686;1340.0 23.0 109752;4586.0 66.0 109723;1617.0 44.0 109756;1439.0 40.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 993;109761 987;109762 994;109731 1028;109764 1029;109766 1041;109697 1014;109769 1010;109767 1049;109740 988;109741 996;109745 1004;109763 1089;109684 973;109755 990;109686 964;109752 967;109723 931;109756 957;109758 996
