
New Run at  02/10/2015 06:49:27
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio; extremeGreedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241766300,1589452.0;57928.0;1591170.0;76091.0;1498399.0;67083.0;1591805.0;74186.0;1.3121261547;1.22841153101;1.27876568398;1.15993662103,2051.0 53.0 109697;1937.0 49.0 109698;83746.0 3487.0 109635;1620.0 83.0 109699;1465.0 37.0 109701;1412.0 27.0 109702;1348.0 68.0 109704;2662.0 100.0 109673;1073.0 38.0 109706;1020.0 49.0 109675;661.0 23.0 109708;676.0 31.0 109709;522.0 19.0 109710;722.0 25.0 109707;2116.0 73.0 109651;69.0 1.0 109716;2833.0 108.0 109689;2562.0 101.0 109690;5258.0 120.0 109667;5786.0 74.0 109660,109697.0 11555;109635.0 11555;109667.0 11555;109699.0 11555;109701.0 11555;109702.0 11555;109704.0 11555;109673.0 11555;109706.0 11555;109707.0 11555;109708.0 11555;109709.0 11555;109710.0 11555;109651.0 11555;109716.0 11555;109698.0 11555;109689.0 11555;109690.0 11555;109675.0 11555;109660.0 11555,109697 568;109698 594;109635 570;109699 570;109701 602;109702 549;109704 602;109673 571;109706 581;109675 561;109708 589;109709 604;109710 584;109707 559;109651 581;109716 592;109689 590;109690 578;109667 555;109660 555
data,1241766900,1590440.0;57953.0;1592138.0;76111.0;1499415.0;67100.0;1592797.0;74204.0;1.31192221876;1.22812348469;1.27852214552;1.15989003037,2102.0 55.0 109697;1975.0 49.0 109698;5329.0 124.0 109667;1665.0 83.0 109699;1514.0 37.0 109701;1472.0 28.0 109702;1386.0 68.0 109704;2729.0 103.0 109673;1120.0 39.0 109706;1065.0 49.0 109675;698.0 23.0 109708;755.0 34.0 109709;561.0 19.0 109710;2171.0 74.0 109651;757.0 26.0 109707;83794.0 3488.0 109635;2892.0 110.0 109689;101.0 1.0 109716;2594.0 102.0 109690;5827.0 74.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 1003;109698 1008;109667 1045;109699 1015;109701 986;109702 979;109704 958;109673 963;109706 998;109675 976;109708 1020;109709 1037;109710 1035;109651 976;109707 1038;109635 1023;109689 940;109716 1023;109690 985;109660 992
data,1241767800,1591431.0;57965.0;1593126.0;76135.0;1500452.0;67120.0;1593742.0;74233.0;1.31206756617;1.22815113648;1.27879511254;1.1600563054,2161.0 56.0 109697;1999.0 49.0 109698;5405.0 125.0 109667;1561.0 37.0 109701;1502.0 28.0 109702;1426.0 70.0 109704;2814.0 107.0 109673;1157.0 40.0 109706;789.0 26.0 109707;726.0 23.0 109708;836.0 36.0 109709;615.0 21.0 109710;2218.0 74.0 109651;1704.0 84.0 109699;136.0 1.0 109716;83867.0 3493.0 109635;2983.0 115.0 109689;2631.0 102.0 109690;1099.0 49.0 109675;5866.0 74.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 993;109698 993;109667 1018;109701 949;109702 959;109704 1026;109673 1025;109706 946;109707 996;109708 967;109709 1053;109710 1061;109651 967;109699 1031;109716 1000;109635 997;109689 1021;109690 963;109675 984;109660 1051
data,1241768700,1592426.0;57981.0;1594109.0;76156.0;1501511.0;67142.0;1594790.0;74261.0;1.31207804928;1.22811578665;1.27888309839;1.16017980974,2190.0 56.0 109697;2031.0 50.0 109698;83962.0 3495.0 109635;1736.0 84.0 109699;1589.0 37.0 109701;1537.0 28.0 109702;1498.0 75.0 109704;2958.0 112.0 109673;1206.0 41.0 109706;816.0 26.0 109707;764.0 24.0 109708;884.0 36.0 109709;664.0 22.0 109710;2246.0 74.0 109651;178.0 2.0 109716;5472.0 127.0 109667;3058.0 116.0 109689;2677.0 102.0 109690;1119.0 50.0 109675;5893.0 74.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 969;109698 1042;109635 1001;109699 1001;109701 1055;109702 1029;109704 955;109673 1064;109706 1048;109707 1000;109708 1002;109709 955;109710 988;109651 967;109716 1003;109667 924;109689 979;109690 1021;109675 1016;109660 981
data,1241769300,1593459.0;58005.0;1595111.0;76174.0;1502507.0;67154.0;1595787.0;74292.0;1.31187155046;1.22780909102;1.27891767539;1.16011927628,2221.0 56.0 109697;84062.0 3497.0 109635;1765.0 84.0 109699;1624.0 38.0 109701;1564.0 28.0 109702;1605.0 76.0 109704;3067.0 115.0 109673;1263.0 44.0 109706;848.0 27.0 109707;801.0 25.0 109708;936.0 36.0 109709;721.0 24.0 109710;2267.0 74.0 109651;203.0 2.0 109716;2061.0 50.0 109698;5535.0 127.0 109667;3132.0 117.0 109689;2713.0 103.0 109690;1167.0 52.0 109675;5925.0 74.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 974;109635 1019;109699 982;109701 989;109702 964;109704 1026;109673 993;109706 997;109707 971;109708 1024;109709 1028;109710 1000;109651 1008;109716 932;109698 987;109667 952;109689 986;109690 1072;109675 994;109660 1102
data,1241770200,1594485.0;58023.0;1596120.0;76188.0;1503480.0;67165.0;1596735.0;74302.0;1.31172045794;1.22762471197;1.27875668541;1.16010267077,2255.0 56.0 109697;84174.0 3500.0 109635;1779.0 84.0 109699;1663.0 39.0 109701;1591.0 28.0 109702;1686.0 77.0 109704;3210.0 116.0 109673;1317.0 44.0 109706;1203.0 52.0 109675;834.0 25.0 109708;978.0 37.0 109709;805.0 28.0 109710;882.0 27.0 109707;2297.0 74.0 109651;234.0 3.0 109716;2091.0 51.0 109698;3191.0 117.0 109689;2748.0 103.0 109690;5605.0 127.0 109667;5946.0 75.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 1020;109635 1058;109699 1001;109701 965;109702 1021;109704 1029;109673 968;109706 948;109675 990;109708 1004;109709 1007;109710 969;109707 1065;109651 1012;109716 983;109698 1043;109689 913;109690 996;109667 1022;109660 986
data,1241771100,1595497.0;58044.0;1597124.0;76205.0;1504480.0;67184.0;1597748.0;74318.0;1.3115458876;1.22749037954;1.27856964533;1.16010263825,2284.0 56.0 109697;2122.0 51.0 109698;1795.0 84.0 109699;1704.0 40.0 109701;1616.0 28.0 109702;1765.0 78.0 109704;3351.0 120.0 109673;1364.0 44.0 109706;1240.0 52.0 109675;864.0 25.0 109708;1034.0 38.0 109709;920.0 33.0 109710;902.0 27.0 109707;84295.0 3502.0 109635;5643.0 127.0 109667;262.0 4.0 109716;2320.0 74.0 109651;3251.0 119.0 109689;2775.0 103.0 109690;5986.0 75.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 989;109698 1033;109699 1022;109701 997;109702 1020;109704 1028;109673 955;109706 1013;109675 993;109708 952;109709 982;109710 962;109707 960;109635 1040;109667 985;109716 1003;109651 948;109689 1090;109690 1018;109660 1010
data,1241772000,1596461.0;58054.0;1598121.0;76225.0;1505453.0;67198.0;1598799.0;74340.0;1.31163784717;1.22748250513;1.27865933569;1.16019940831,2306.0 56.0 109697;2149.0 51.0 109698;930.0 29.0 109707;1812.0 84.0 109699;1760.0 42.0 109701;1634.0 28.0 109702;1824.0 78.0 109704;3505.0 123.0 109673;1442.0 48.0 109706;1266.0 52.0 109675;900.0 27.0 109708;1078.0 39.0 109709;1052.0 35.0 109710;2336.0 74.0 109651;292.0 4.0 109716;84408.0 3505.0 109635;3308.0 119.0 109689;2804.0 104.0 109690;5681.0 127.0 109667;6003.0 75.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 1006;109698 1027;109707 987;109699 959;109701 998;109702 1028;109704 1031;109673 972;109706 1051;109675 958;109708 1042;109709 989;109710 1011;109651 928;109716 1013;109635 1003;109689 1015;109690 999;109667 1018;109660 965
data,1241772900,1597460.0;58069.0;1599166.0;76251.0;1506511.0;67211.0;1599780.0;74359.0;1.31170943137;1.22730836767;1.27867131555;1.16018400106,2321.0 56.0 109697;2180.0 52.0 109698;84546.0 3511.0 109635;1818.0 44.0 109701;1650.0 28.0 109702;1291.0 52.0 109675;1873.0 78.0 109704;3639.0 126.0 109673;1551.0 54.0 109706;968.0 29.0 109707;930.0 27.0 109708;1123.0 39.0 109709;1190.0 39.0 109710;1831.0 85.0 109699;322.0 4.0 109716;2359.0 74.0 109651;3372.0 121.0 109689;2842.0 105.0 109690;5705.0 127.0 109667;6024.0 75.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 972;109698 1031;109635 988;109701 978;109702 958;109675 996;109704 1083;109673 994;109706 981;109707 991;109708 1001;109709 987;109710 975;109699 1008;109716 1034;109651 1012;109689 1003;109690 975;109667 983;109660 1050
data,1241773800,1598541.0;58087.0;1600163.0;76262.0;1507533.0;67230.0;1600797.0;74377.0;1.31156192044;1.2272728199;1.27863688335;1.16021656736,2342.0 56.0 109697;2207.0 52.0 109698;84696.0 3511.0 109635;1851.0 85.0 109699;1866.0 44.0 109701;1671.0 28.0 109702;1916.0 78.0 109704;3773.0 128.0 109673;1680.0 55.0 109706;989.0 29.0 109707;957.0 27.0 109708;1158.0 39.0 109709;1310.0 42.0 109710;2375.0 74.0 109651;344.0 4.0 109716;5734.0 127.0 109667;3444.0 124.0 109689;2869.0 106.0 109690;1315.0 53.0 109675;6035.0 75.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 943;109698 1024;109635 987;109699 987;109701 958;109702 974;109704 1040;109673 998;109706 1017;109707 997;109708 1023;109709 1005;109710 1012;109651 1012;109716 974;109667 945;109689 1006;109690 1087;109675 1007;109660 1004
