
New Run at  02/09/2015 12:15:00
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,1004.0;32.0;984.0;22.0;1002.0;29.0;1025.0;34.0;0.701473577236;0.908058882236;1.04073170732,38.0 2.0 109473;47.0 1.0 109506;49.0 0.0 109508;48.0 2.0 109509;62.0 1.0 109510;54.0 1.0 109511;44.0 0.0 109512;65.0 4.0 109513;49.0 3.0 109514;44.0 0.0 109515;62.0 2.0 109484;43.0 1.0 109453;36.0 0.0 109492;42.0 1.0 109505;49.0 2.0 109494;54.0 1.0 109495;51.0 0.0 109498;46.0 0.0 109501;43.0 0.0 109502;58.0 1.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1010;109506 986;109508 1024;109509 960;109510 1058;109511 1019;109512 969;109513 1024;109514 1013;109515 976;109484 1006;109453 982;109492 1019;109505 949;109494 955;109495 1003;109498 1004;109501 984;109502 1002;109503 1057
data,1241162700,1985.0;61.0;1991.0;50.0;1910.0;54.0;2012.0;75.0;0.81720199916;0.920006866363;1.21300883225,102.0 4.0 109473;95.0 1.0 109506;94.0 2.0 109508;106.0 3.0 109509;111.0 2.0 109510;63.0 2.0 109505;72.0 1.0 109512;139.0 6.0 109513;110.0 4.0 109514;86.0 1.0 109515;136.0 6.0 109484;98.0 3.0 109453;10.0 0.0 109519;80.0 2.0 109492;102.0 2.0 109494;132.0 6.0 109495;105.0 2.0 109511;89.0 0.0 109498;73.0 0.0 109501;85.0 1.0 109502;103.0 2.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 15120;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 11554;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1017;109506 995;109508 1017;109509 1011;109510 982;109505 478;109512 1010;109513 968;109514 975;109515 1068;109484 1026;109453 952;109519 495;109492 983;109494 1060;109495 988;109511 983;109498 1012;109501 1003;109502 962;109503 1015
data,1241163600,3017.0;88.0;3030.0;78.0;2939.0;71.0;2981.0;109.0;0.882560756076;0.828230845371;1.25359473636,157.0 8.0 109473;137.0 2.0 109506;134.0 3.0 109508;155.0 3.0 109509;149.0 5.0 109510;138.0 2.0 109511;123.0 4.0 109512;220.0 7.0 109513;189.0 5.0 109514;116.0 1.0 109515;226.0 10.0 109484;158.0 4.0 109453;42.0 1.0 109519;127.0 2.0 109492;171.0 6.0 109494;202.0 6.0 109495;127.0 0.0 109498;109.0 1.0 109501;115.0 1.0 109502;172.0 5.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1012;109506 1030;109508 1021;109509 933;109510 1020;109511 1022;109512 972;109513 1003;109514 1027;109515 972;109484 954;109453 1072;109519 995;109492 998;109494 1023;109495 964;109498 999;109501 1022;109502 975;109503 986
data,1241164800,3945.0;110.0;4032.0;103.0;4003.0;85.0;3944.0;141.0;0.916159361472;0.761531124384;1.28214318643,252.0 12.0 109473;172.0 3.0 109506;176.0 3.0 109508;188.0 3.0 109509;197.0 5.0 109510;171.0 2.0 109511;176.0 5.0 109512;312.0 10.0 109513;257.0 8.0 109514;145.0 1.0 109515;327.0 12.0 109484;208.0 6.0 109453;68.0 2.0 109519;155.0 2.0 109492;245.0 9.0 109494;260.0 7.0 109495;153.0 1.0 109498;140.0 2.0 109501;148.0 2.0 109502;219.0 6.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 998;109506 1013;109508 1011;109509 1017;109510 1005;109511 1031;109512 990;109513 1050;109514 968;109515 1023;109484 1018;109453 953;109519 996;109492 974;109494 980;109495 938;109498 1030;109501 1006;109502 1018;109503 981
data,1241165700,4968.0;142.0;5073.0;128.0;5033.0;112.0;4953.0;173.0;0.882751268105;0.778546102764;1.22199947108,348.0 14.0 109473;204.0 3.0 109506;214.0 4.0 109508;218.0 3.0 109509;254.0 7.0 109510;216.0 4.0 109511;235.0 6.0 109512;396.0 12.0 109513;317.0 9.0 109514;172.0 1.0 109515;442.0 16.0 109484;278.0 11.0 109453;89.0 2.0 109519;175.0 2.0 109492;339.0 12.0 109494;316.0 7.0 109495;173.0 1.0 109498;172.0 2.0 109501;190.0 4.0 109502;262.0 6.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1013;109506 1022;109508 1062;109509 991;109510 1046;109511 991;109512 991;109513 969;109514 976;109515 965;109484 1036;109453 1007;109519 975;109492 937;109494 981;109495 984;109498 1021;109501 1054;109502 979;109503 1000
data,1241166900,5997.0;175.0;6078.0;162.0;6059.0;142.0;5914.0;194.0;0.913377520801;0.803125456817;1.1241296681,453.0 17.0 109473;233.0 3.0 109506;251.0 5.0 109508;234.0 3.0 109509;319.0 11.0 109510;253.0 5.0 109511;275.0 6.0 109512;454.0 14.0 109513;384.0 13.0 109514;189.0 1.0 109515;575.0 24.0 109484;394.0 17.0 109453;108.0 2.0 109519;212.0 3.0 109492;417.0 14.0 109494;341.0 7.0 109495;184.0 1.0 109498;204.0 4.0 109501;238.0 4.0 109502;297.0 6.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1069;109506 979;109508 971;109509 1037;109510 1013;109511 1017;109512 983;109513 977;109514 982;109515 953;109484 980;109453 958;109519 1012;109492 979;109494 1059;109495 963;109498 982;109501 1095;109502 977;109503 1014
data,1241167800,6932.0;206.0;7088.0;201.0;7058.0;163.0;6889.0;220.0;0.954253325736;0.7771364588;1.07462720222,539.0 20.0 109473;256.0 3.0 109506;280.0 6.0 109508;257.0 4.0 109509;383.0 12.0 109510;291.0 7.0 109511;308.0 7.0 109512;513.0 17.0 109513;490.0 19.0 109514;210.0 1.0 109515;781.0 36.0 109484;453.0 18.0 109453;126.0 2.0 109519;229.0 4.0 109492;507.0 18.0 109494;371.0 7.0 109495;199.0 1.0 109498;241.0 5.0 109501;265.0 4.0 109502;326.0 8.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 982;109508 976;109509 1019;109510 1053;109511 1108;109512 970;109513 994;109514 1038;109515 983;109484 980;109453 957;109519 997;109492 1005;109494 974;109495 1008;109498 975;109501 1020;109502 945;109503 1012
data,1241169000,7885.0;230.0;8062.0;232.0;8018.0;196.0;7910.0;252.0;0.986549890522;0.838038326808;1.09218930358,643.0 25.0 109473;274.0 3.0 109506;309.0 6.0 109508;287.0 6.0 109509;422.0 13.0 109510;327.0 8.0 109511;340.0 8.0 109512;567.0 19.0 109513;598.0 22.0 109514;230.0 1.0 109515;977.0 46.0 109484;529.0 21.0 109453;141.0 2.0 109519;257.0 4.0 109492;573.0 19.0 109494;393.0 7.0 109495;219.0 1.0 109498;279.0 6.0 109501;278.0 4.0 109502;356.0 9.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 994;109506 979;109508 987;109509 1014;109510 1003;109511 1009;109512 1052;109513 1015;109514 1023;109515 1028;109484 985;109453 953;109519 930;109492 1015;109494 971;109495 988;109498 1011;109501 985;109502 1050;109503 1008
data,1241169900,8918.0;254.0;9066.0;267.0;9006.0;217.0;8872.0;285.0;1.03402085494;0.845982818104;1.12786489211,742.0 27.0 109473;288.0 3.0 109506;349.0 9.0 109508;312.0 7.0 109509;491.0 15.0 109510;366.0 10.0 109511;364.0 9.0 109512;619.0 20.0 109513;683.0 29.0 109514;253.0 2.0 109515;1206.0 51.0 109484;593.0 21.0 109453;161.0 2.0 109519;273.0 4.0 109492;653.0 22.0 109494;406.0 9.0 109495;235.0 1.0 109498;302.0 6.0 109501;295.0 5.0 109502;412.0 13.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 955;109506 981;109508 1031;109509 966;109510 1001;109511 971;109512 976;109513 992;109514 963;109515 989;109484 1014;109453 1008;109519 1032;109492 962;109494 1067;109495 998;109498 1001;109501 1045;109502 1011;109503 1037
data,1241171100,9941.0;285.0;10027.0;293.0;9978.0;240.0;9885.0;314.0;1.01925257944;0.838982603834;1.10799598896,812.0 27.0 109473;297.0 3.0 109506;384.0 10.0 109508;341.0 7.0 109509;566.0 19.0 109510;407.0 12.0 109511;395.0 9.0 109512;657.0 20.0 109513;805.0 32.0 109514;273.0 3.0 109515;1369.0 55.0 109484;639.0 22.0 109453;178.0 2.0 109519;288.0 4.0 109492;747.0 25.0 109494;418.0 9.0 109495;249.0 1.0 109498;321.0 6.0 109501;323.0 6.0 109502;495.0 19.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 954;109506 987;109508 1019;109509 995;109510 1028;109511 1011;109512 992;109513 998;109514 958;109515 953;109484 1027;109453 1008;109519 977;109492 1029;109494 1032;109495 960;109498 1030;109501 1011;109502 1051;109503 980
