data,1241584500,1079594.0;40044.0;1083555.0;49620.0;1017929.0;37734.0;1087817.0;54941.0;1.23460721025;0.999397750091;1.36164447406,9104.0 334.0 109601;5383.0 79.0 109613;5587.0 322.0 109616;4240.0 195.0 109624;3393.0 140.0 109625;2510.0 43.0 109627;2836.0 82.0 109628;3627.0 155.0 109629;17807.0 1043.0 109631;7145.0 403.0 109632;1592.0 26.0 109633;1514.0 35.0 109634;4204.0 212.0 109635;925.0 22.0 109636;1357.0 44.0 109637;10532.0 701.0 109638;2758.0 143.0 109641;652.0 19.0 109644;3339.0 181.0 109646;95.0 1.0 109647;2245.0 108.0 109650;274.0 6.0 109652;213.0 6.0 109653,109601.0 11277;109613.0 11277;109616.0 11277;109624.0 11277;109625.0 11277;109627.0 11277;109628.0 11277;109629.0 11277;109631.0 11277;109632.0 11277;109633.0 11277;109634.0 11277;109635.0 11277;109636.0 11277;109637.0 11277;109638.0 11277;109641.0 11277;109644.0 11277;109646.0 11277;109647.0 11277;109650.0 11277;109652.0 11277;109653.0 11277,109601 485;109613 477;109616 488;109624 518;109625 482;109627 466;109628 520;109629 512;109631 474;109632 530;109633 476;109634 484;109635 495;109636 503;109637 512;109638 497;109641 457;109644 491;109646 498;109647 481;109650 483;109652 462;109653 486
data,1241584800,1079954.0;40053.0;1083926.0;49635.0;1018309.0;37746.0;1088191.0;54951.0;1.2346919004;0.999451122648;1.36157220495,9119.0 334.0 109601;5405.0 80.0 109613;5607.0 323.0 109616;4259.0 195.0 109624;3406.0 140.0 109625;2522.0 43.0 109627;2849.0 83.0 109628;3640.0 155.0 109629;17829.0 1045.0 109631;7155.0 404.0 109632;1608.0 26.0 109633;1522.0 35.0 109634;4215.0 213.0 109635;939.0 23.0 109636;1378.0 46.0 109637;10542.0 701.0 109638;2783.0 143.0 109641;668.0 19.0 109644;3352.0 182.0 109646;113.0 2.0 109647;2256.0 109.0 109650;302.0 7.0 109652;234.0 7.0 109653,109601.0 8723;109613.0 8723;109616.0 8723;109624.0 8723;109625.0 8723;109627.0 8723;109628.0 8723;109629.0 8723;109631.0 8723;109632.0 8723;109633.0 8723;109634.0 8723;109635.0 8723;109636.0 8723;109637.0 8723;109638.0 8723;109641.0 8723;109644.0 8723;109646.0 8723;109647.0 8723;109650.0 8723;109652.0 8723;109653.0 8723,109601 380;109613 394;109616 389;109624 359;109625 382;109627 386;109628 381;109629 372;109631 374;109632 382;109633 398;109634 370;109635 362;109636 353;109637 380;109638 390;109641 393;109644 362;109646 394;109647 371;109650 363;109652 390;109653 398
data,1241585100,1080799.0;40085.0;1084791.0;49673.0;1019215.0;37782.0;1088998.0;54980.0;1.23463152735;0.999498584261;1.36125879778,9160.0 335.0 109601;5444.0 80.0 109613;5646.0 324.0 109616;4278.0 195.0 109624;3431.0 141.0 109625;2544.0 44.0 109627;2892.0 85.0 109628;3667.0 156.0 109629;17888.0 1049.0 109631;7204.0 407.0 109632;1636.0 27.0 109633;1558.0 37.0 109634;4262.0 215.0 109635;963.0 23.0 109636;1423.0 47.0 109637;10572.0 703.0 109638;2817.0 145.0 109641;701.0 20.0 109644;3416.0 187.0 109646;163.0 4.0 109647;2279.0 109.0 109650;342.0 9.0 109652;282.0 11.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 867;109613 881;109616 859;109624 887;109625 856;109627 859;109628 857;109629 940;109631 885;109632 880;109633 876;109634 848;109635 902;109636 884;109637 817;109638 851;109641 865;109644 867;109646 822;109647 918;109650 873;109652 855;109653 851
data,1241585700,1081706.0;40121.0;1085655.0;49706.0;1020075.0;37812.0;1089836.0;55014.0;1.23439589324;0.99939008109;1.36097316798,9175.0 335.0 109601;5461.0 80.0 109613;5698.0 327.0 109616;4291.0 195.0 109624;3466.0 144.0 109625;2581.0 44.0 109627;2942.0 88.0 109628;3686.0 156.0 109629;17952.0 1050.0 109631;7262.0 411.0 109632;1655.0 27.0 109633;1589.0 38.0 109634;4292.0 215.0 109635;987.0 23.0 109636;1470.0 49.0 109637;10641.0 713.0 109638;2852.0 145.0 109641;744.0 22.0 109644;3468.0 188.0 109646;201.0 5.0 109647;2315.0 111.0 109650;377.0 9.0 109652;327.0 11.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 828;109613 876;109616 845;109624 874;109625 881;109627 881;109628 906;109629 858;109631 927;109632 867;109633 845;109634 878;109635 887;109636 900;109637 914;109638 853;109641 855;109644 865;109646 833;109647 810;109650 887;109652 837;109653 893
data,1241586000,1082558.0;40155.0;1086550.0;49731.0;1020956.0;37845.0;1090675.0;55045.0;1.23392572795;0.999339439274;1.360611261,9208.0 337.0 109601;5484.0 80.0 109613;5749.0 328.0 109616;4313.0 198.0 109624;3503.0 144.0 109625;2600.0 44.0 109627;2998.0 89.0 109628;3714.0 157.0 109629;18003.0 1054.0 109631;7317.0 411.0 109632;1676.0 27.0 109633;1613.0 38.0 109634;4312.0 215.0 109635;1003.0 23.0 109636;1527.0 49.0 109637;10748.0 716.0 109638;2870.0 145.0 109641;802.0 28.0 109644;3499.0 188.0 109646;243.0 5.0 109647;2371.0 114.0 109650;411.0 10.0 109652;363.0 11.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 891;109613 887;109616 861;109624 880;109625 833;109627 887;109628 849;109629 873;109631 952;109632 830;109633 916;109634 871;109635 857;109636 829;109637 896;109638 885;109641 818;109644 849;109646 833;109647 871;109650 867;109652 901;109653 864
data,1241586600,1083432.0;40180.0;1087431.0;49762.0;1021825.0;37868.0;1091595.0;55089.0;1.23392238685;0.999280863789;1.36080243415,9237.0 337.0 109601;5519.0 80.0 109613;5770.0 328.0 109616;4351.0 199.0 109624;3527.0 144.0 109625;2621.0 44.0 109627;3036.0 90.0 109628;3734.0 157.0 109629;18077.0 1057.0 109631;7365.0 412.0 109632;1693.0 27.0 109633;1637.0 38.0 109634;4340.0 216.0 109635;1032.0 25.0 109636;1556.0 50.0 109637;10854.0 723.0 109638;2894.0 145.0 109641;898.0 34.0 109644;3541.0 190.0 109646;270.0 6.0 109647;2425.0 117.0 109650;441.0 11.0 109652;390.0 12.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 858;109613 852;109616 830;109624 799;109625 889;109627 913;109628 891;109629 896;109631 855;109632 860;109633 828;109634 850;109635 908;109636 909;109637 850;109638 866;109641 899;109644 891;109646 909;109647 919;109650 881;109652 852;109653 795
data,1241587200,1084349.0;40200.0;1088320.0;49797.0;1022688.0;37898.0;1092494.0;55129.0;1.23421153095;0.999576786008;1.36114403563,9263.0 338.0 109601;5538.0 81.0 109613;5789.0 328.0 109616;4390.0 199.0 109624;3566.0 148.0 109625;2642.0 44.0 109627;3074.0 90.0 109628;3752.0 157.0 109629;18139.0 1058.0 109631;7417.0 414.0 109632;1706.0 27.0 109633;1646.0 38.0 109634;4357.0 217.0 109635;1051.0 25.0 109636;1585.0 51.0 109637;10997.0 732.0 109638;2909.0 147.0 109641;1016.0 39.0 109644;3599.0 196.0 109646;286.0 6.0 109647;2473.0 117.0 109650;465.0 11.0 109652;437.0 14.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 877;109613 922;109616 855;109624 908;109625 894;109627 892;109628 885;109629 872;109631 859;109632 886;109633 854;109634 888;109635 809;109636 854;109637 848;109638 825;109641 848;109644 863;109646 915;109647 829;109650 859;109652 869;109653 889
data,1241587500,1085184.0;40230.0;1089126.0;49828.0;1023559.0;37928.0;1093323.0;55161.0;1.23409524591;0.999540533301;1.36093378571,9290.0 339.0 109601;5550.0 82.0 109613;5802.0 328.0 109616;4413.0 199.0 109624;3613.0 151.0 109625;2649.0 44.0 109627;3090.0 90.0 109628;3761.0 158.0 109629;18194.0 1060.0 109631;7454.0 414.0 109632;1714.0 27.0 109633;1665.0 39.0 109634;4388.0 220.0 109635;1071.0 25.0 109636;1609.0 51.0 109637;11175.0 742.0 109638;2930.0 148.0 109641;1102.0 41.0 109644;3671.0 200.0 109646;308.0 6.0 109647;2499.0 118.0 109650;480.0 11.0 109652;475.0 15.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 857;109613 850;109616 894;109624 844;109625 901;109627 860;109628 823;109629 860;109631 856;109632 892;109633 925;109634 917;109635 893;109636 828;109637 884;109638 872;109641 895;109644 887;109646 819;109647 870;109650 885;109652 829;109653 859
data,1241588100,1086068.0;40263.0;1089983.0;49852.0;1024456.0;37956.0;1094204.0;55198.0;1.23371188509;0.999396937601;1.36074244201,9314.0 339.0 109601;5570.0 82.0 109613;5817.0 328.0 109616;4446.0 202.0 109624;3663.0 151.0 109625;2658.0 44.0 109627;3107.0 90.0 109628;3778.0 159.0 109629;18254.0 1064.0 109631;7473.0 415.0 109632;1727.0 27.0 109633;1683.0 39.0 109634;4428.0 222.0 109635;1090.0 26.0 109636;1626.0 51.0 109637;11364.0 749.0 109638;2963.0 151.0 109641;1181.0 42.0 109644;3765.0 201.0 109646;321.0 6.0 109647;2529.0 118.0 109650;495.0 11.0 109652;508.0 15.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 881;109613 860;109616 922;109624 864;109625 884;109627 874;109628 864;109629 838;109631 842;109632 867;109633 883;109634 877;109635 902;109636 892;109637 812;109638 861;109641 841;109644 910;109646 866;109647 843;109650 857;109652 872;109653 888
data,1241588700,1086897.0;40292.0;1090807.0;49877.0;1025308.0;37984.0;1095028.0;55226.0;1.23345120093;0.999346086423;1.36046674065,9338.0 341.0 109601;5588.0 82.0 109613;5835.0 329.0 109616;4475.0 204.0 109624;3692.0 151.0 109625;2669.0 44.0 109627;3126.0 90.0 109628;3804.0 160.0 109629;18338.0 1067.0 109631;7507.0 416.0 109632;1741.0 27.0 109633;1696.0 39.0 109634;4470.0 222.0 109635;1112.0 27.0 109636;1642.0 51.0 109637;11536.0 755.0 109638;3008.0 151.0 109641;1244.0 43.0 109644;3840.0 204.0 109646;330.0 7.0 109647;2559.0 120.0 109650;509.0 12.0 109652;525.0 15.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 848;109613 928;109616 841;109624 881;109625 879;109627 871;109628 887;109629 892;109631 861;109632 817;109633 857;109634 842;109635 913;109636 871;109637 869;109638 844;109641 868;109644 906;109646 877;109647 880;109650 885;109652 854;109653 829
data,1241589300,1087780.0;40317.0;1091637.0;49902.0;1026186.0;38006.0;1095896.0;55264.0;1.23336768526;0.999261004195;1.36058548982,9363.0 341.0 109601;5601.0 82.0 109613;5851.0 329.0 109616;4512.0 205.0 109624;3715.0 151.0 109625;2682.0 45.0 109627;3143.0 91.0 109628;3828.0 160.0 109629;18409.0 1069.0 109631;7536.0 418.0 109632;1756.0 27.0 109633;1707.0 39.0 109634;4507.0 222.0 109635;1136.0 27.0 109636;1654.0 51.0 109637;11733.0 763.0 109638;3043.0 152.0 109641;1308.0 46.0 109644;3934.0 209.0 109646;340.0 7.0 109647;2589.0 121.0 109650;524.0 12.0 109652;543.0 15.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 929;109613 851;109616 882;109624 878;109625 863;109627 865;109628 891;109629 889;109631 863;109632 814;109633 851;109634 852;109635 901;109636 861;109637 824;109638 906;109641 917;109644 857;109646 889;109647 848;109650 893;109652 804;109653 872
