data,1242005400,2111123.0;75692.0;2119763.0;95108.0;1986548.0;71307.0;2110764.0;106220.0;1.25139178118;1.00114425325;1.40355738996,20125.0 926.0 109762;6245.0 207.0 109731;1734.0 63.0 109780;4069.0 170.0 109765;6949.0 230.0 109763;65.0 6.0 109730;7702.0 260.0 109769;2242.0 39.0 109770;2261.0 55.0 109771;13976.0 571.0 109740;4767.0 176.0 109773;2219.0 96.0 109774;10731.0 550.0 109775;1809.0 51.0 109776;1247.0 28.0 109777;1127.0 23.0 109778;1279.0 37.0 109779;18891.0 867.0 109684;905.0 39.0 109782;216.0 9.0 109783;9501.0 243.0 109745,109730.0 2003;109731.0 2003;109765.0 2003;109763.0 2003;109777.0 2003;109762.0 2003;109769.0 2003;109770.0 2003;109771.0 2003;109740.0 2003;109773.0 2003;109774.0 2003;109775.0 2003;109776.0 2003;109745.0 2003;109778.0 2003;109779.0 2003;109780.0 2003;109782.0 2003;109783.0 2003;109684.0 2003,109762 92;109731 102;109780 94;109765 91;109763 111;109730 93;109769 92;109770 106;109771 92;109740 94;109773 92;109774 102;109775 83;109776 88;109777 97;109778 76;109779 98;109684 105;109782 103;109783 106;109745 86
data,1242005400,2111979.0;75719.0;2120629.0;95134.0;1987416.0;71332.0;2111701.0;106263.0;1.25128369978;1.00110664688;1.40357095644,20166.0 927.0 109762;6279.0 207.0 109731;4113.0 173.0 109765;1314.0 38.0 109779;9536.0 243.0 109745;7742.0 262.0 109769;2275.0 40.0 109770;2301.0 56.0 109771;14041.0 575.0 109740;111.0 7.0 109730;2286.0 100.0 109774;4797.0 176.0 109773;1836.0 51.0 109776;1294.0 29.0 109777;1171.0 23.0 109778;6998.0 232.0 109763;18915.0 867.0 109684;937.0 39.0 109782;253.0 10.0 109783;1789.0 66.0 109780;10772.0 551.0 109775,109730.0 17997;109731.0 17997;109765.0 17997;109763.0 17997;109777.0 17997;109762.0 17997;109769.0 17997;109770.0 17997;109771.0 17997;109740.0 17997;109773.0 17997;109774.0 17997;109775.0 17997;109776.0 17997;109745.0 17997;109778.0 17997;109779.0 17997;109780.0 17997;109782.0 17997;109783.0 17997;109684.0 17997,109762 821;109731 838;109765 866;109779 871;109745 902;109769 899;109770 837;109771 828;109740 868;109730 901;109774 866;109773 858;109776 857;109777 867;109778 849;109763 882;109684 840;109782 846;109783 805;109780 855;109775 841
data,1242005700,2113002.0;75739.0;2121579.0;95164.0;1988360.0;71354.0;2112622.0;106300.0;1.25139328938;1.00116036419;1.40375658929,20228.0 930.0 109762;7049.0 232.0 109763;6318.0 209.0 109731;1333.0 31.0 109777;7815.0 266.0 109769;2307.0 40.0 109770;2335.0 57.0 109771;14102.0 577.0 109740;147.0 8.0 109730;2357.0 105.0 109774;4855.0 178.0 109773;1870.0 52.0 109776;9566.0 243.0 109745;1200.0 23.0 109778;1359.0 39.0 109779;18949.0 870.0 109684;961.0 39.0 109782;289.0 10.0 109783;1836.0 66.0 109780;10832.0 553.0 109775;4168.0 174.0 109765,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109763 968;109731 927;109777 921;109769 960;109770 945;109771 927;109740 950;109730 911;109774 914;109773 1017;109776 952;109745 945;109778 938;109779 936;109684 969;109782 979;109783 984;109780 953;109775 976;109765 977
data,1242006000,2113962.0;75766.0;2122523.0;95199.0;1989277.0;71394.0;2113594.0;106344.0;1.25141915434;1.00135776567;1.40382910094,9584.0 243.0 109745;20293.0 934.0 109762;6363.0 212.0 109731;4213.0 174.0 109765;7085.0 232.0 109763;190.0 10.0 109730;7888.0 271.0 109769;2348.0 41.0 109770;2354.0 57.0 109771;14184.0 580.0 109740;4895.0 181.0 109773;2445.0 107.0 109774;10884.0 556.0 109775;1896.0 52.0 109776;1372.0 31.0 109777;1238.0 24.0 109778;1389.0 40.0 109779;19022.0 873.0 109684;991.0 40.0 109782;316.0 11.0 109783;1870.0 68.0 109780,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109745 961;109762 969;109731 970;109765 964;109763 968;109730 994;109769 956;109770 941;109771 987;109740 972;109773 950;109774 957;109775 962;109776 961;109777 949;109778 896;109779 963;109684 948;109782 920;109783 910;109780 902
data,1242006600,2114944.0;75811.0;2123457.0;95235.0;1990287.0;71426.0;2114572.0;106375.0;1.25117990996;1.00116871545;1.4034073382,20380.0 941.0 109762;7106.0 232.0 109763;4245.0 175.0 109765;9603.0 243.0 109745;7979.0 275.0 109769;2376.0 42.0 109770;2375.0 58.0 109771;14247.0 581.0 109740;4928.0 181.0 109773;2531.0 109.0 109774;10950.0 558.0 109775;1917.0 52.0 109776;1403.0 32.0 109777;1263.0 25.0 109778;1419.0 42.0 109779;19094.0 877.0 109684;1033.0 43.0 109782;340.0 11.0 109783;1917.0 70.0 109780;6416.0 215.0 109731;232.0 11.0 109730,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 967;109763 950;109765 961;109745 930;109769 937;109770 951;109771 937;109740 970;109773 968;109774 975;109775 972;109776 960;109777 961;109778 878;109779 991;109684 924;109782 990;109783 963;109780 967;109731 912;109730 936
data,1242006900,2115875.0;75848.0;2124409.0;95267.0;1991267.0;71460.0;2115572.0;106421.0;1.2509796078;1.0011044434;1.40328343538,20518.0 947.0 109762;6473.0 216.0 109731;1953.0 70.0 109780;4275.0 175.0 109765;7128.0 232.0 109763;272.0 13.0 109730;8059.0 277.0 109769;2413.0 43.0 109770;2395.0 58.0 109771;14291.0 582.0 109740;4957.0 181.0 109773;2622.0 116.0 109774;10997.0 559.0 109775;1941.0 53.0 109776;1441.0 32.0 109777;1287.0 25.0 109778;1458.0 45.0 109779;19173.0 881.0 109684;1069.0 45.0 109782;362.0 12.0 109783;9622.0 243.0 109745,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109731 989;109780 941;109765 932;109763 931;109730 995;109769 959;109770 1000;109771 948;109740 941;109773 947;109774 1001;109775 972;109776 941;109777 899;109778 963;109779 964;109684 905;109782 964;109783 945;109745 912
data,1242007200,2116803.0;75880.0;2125365.0;95317.0;1992183.0;71494.0;2116501.0;106462.0;1.25109405563;1.00113694005;1.40323129791,20673.0 956.0 109762;7143.0 234.0 109763;4309.0 176.0 109765;322.0 17.0 109730;8114.0 277.0 109769;2437.0 43.0 109770;2412.0 58.0 109771;14339.0 587.0 109740;4993.0 183.0 109773;2724.0 122.0 109774;11063.0 563.0 109775;1962.0 54.0 109776;9630.0 243.0 109745;1306.0 25.0 109778;1519.0 48.0 109779;19250.0 888.0 109684;1127.0 48.0 109782;385.0 14.0 109783;1990.0 71.0 109780;6504.0 216.0 109731;1460.0 32.0 109777,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 982;109763 930;109765 1011;109730 1024;109769 932;109770 929;109771 920;109740 919;109773 953;109774 939;109775 942;109776 965;109745 926;109778 893;109779 966;109684 965;109782 1001;109783 956;109780 951;109731 949;109777 947
data,1242007500,2117713.0;75906.0;2126389.0;95351.0;1993097.0;71524.0;2117477.0;106493.0;1.25104672876;1.00118504908;1.40311528741,20837.0 964.0 109762;7164.0 234.0 109763;4340.0 177.0 109765;1570.0 50.0 109779;1481.0 32.0 109777;1328.0 26.0 109778;8177.0 280.0 109769;2462.0 44.0 109770;2429.0 58.0 109771;14394.0 588.0 109740;368.0 18.0 109730;2836.0 124.0 109774;11127.0 566.0 109775;1981.0 54.0 109776;9657.0 243.0 109745;5017.0 185.0 109773;6532.0 216.0 109731;2037.0 74.0 109780;1198.0 51.0 109782;409.0 14.0 109783;19342.0 891.0 109684,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109763 995;109765 986;109779 975;109777 959;109778 963;109769 948;109770 928;109771 886;109740 928;109730 948;109774 977;109775 939;109776 951;109745 973;109773 951;109731 938;109780 952;109782 976;109783 935;109684 941
data,1242007800,2118669.0;75942.0;2127328.0;95387.0;1994019.0;71563.0;2118413.0;106529.0;1.25093808641;1.00124492511;1.40293741956,439.0 23.0 109730;6555.0 217.0 109731;4354.0 179.0 109765;1602.0 51.0 109779;9674.0 243.0 109745;1342.0 26.0 109778;8217.0 280.0 109769;2475.0 44.0 109770;2445.0 58.0 109771;14440.0 590.0 109740;21026.0 975.0 109762;2935.0 128.0 109774;11203.0 569.0 109775;2001.0 54.0 109776;1499.0 32.0 109777;5053.0 186.0 109773;7181.0 234.0 109763;19412.0 892.0 109684;1243.0 52.0 109782;433.0 15.0 109783;2096.0 77.0 109780,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 970;109731 983;109765 924;109779 911;109745 945;109778 991;109769 917;109770 948;109771 941;109740 985;109762 943;109774 951;109775 988;109776 897;109777 961;109773 983;109763 919;109684 967;109782 993;109783 929;109780 954
data,1242008100,2119650.0;75973.0;2128295.0;95429.0;1994967.0;71597.0;2119355.0;106568.0;1.25098881739;1.00129947509;1.40290410476,21190.0 981.0 109762;7202.0 234.0 109763;4390.0 181.0 109765;1640.0 51.0 109779;1515.0 32.0 109777;8240.0 280.0 109769;2490.0 44.0 109770;2453.0 58.0 109771;14495.0 592.0 109740;5086.0 187.0 109773;3034.0 134.0 109774;11258.0 573.0 109775;2016.0 55.0 109776;9693.0 243.0 109745;1361.0 27.0 109778;6586.0 219.0 109731;19536.0 899.0 109684;1299.0 54.0 109782;447.0 16.0 109783;2143.0 78.0 109780;518.0 29.0 109730,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 891;109763 968;109765 911;109779 964;109777 942;109769 980;109770 971;109771 900;109740 910;109773 977;109774 989;109775 977;109776 941;109745 950;109778 964;109731 959;109684 1004;109782 985;109783 944;109780 931;109730 942
data,1242008400,2120605.0;76012.0;2129249.0;95469.0;1995885.0;71628.0;2120327.0;106599.0;1.25087393477;1.00120943152;1.40258086082,640.0 38.0 109730;6607.0 219.0 109731;4430.0 184.0 109765;7220.0 235.0 109763;9705.0 243.0 109745;21399.0 991.0 109762;8249.0 280.0 109769;2507.0 44.0 109770;2462.0 58.0 109771;14526.0 593.0 109740;5108.0 187.0 109773;3121.0 137.0 109774;11320.0 573.0 109775;2030.0 55.0 109776;1527.0 32.0 109777;1380.0 28.0 109778;1658.0 52.0 109779;2172.0 79.0 109780;1347.0 55.0 109782;471.0 16.0 109783;19667.0 908.0 109684,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 902;109731 925;109765 987;109763 1028;109745 939;109762 972;109769 951;109770 957;109771 888;109740 968;109773 915;109774 943;109775 973;109776 960;109777 934;109778 973;109779 947;109780 953;109782 1001;109783 908;109684 976
