data,1241954400,1991170.0;71644.0;2000478.0;90299.0;1879249.0;67741.0;2007660.0;101640.0;1.2545202511;1.00183405579;1.40702885905,3330.0 87.0 109760;6746.0 247.0 109761;9656.0 482.0 109762;3430.0 116.0 109763;1482.0 26.0 109764;4755.0 187.0 109766;2702.0 93.0 109767;12147.0 265.0 109697;2847.0 97.0 109769;7166.0 305.0 109740;3321.0 95.0 109741;7051.0 118.0 109723;6397.0 164.0 109745;1665.0 46.0 109731;11545.0 575.0 109684;7104.0 274.0 109686;139.0 4.0 109752;6701.0 248.0 109755;3468.0 91.0 109756;3468.0 99.0 109758,109760.0 8579;109697.0 8579;109762.0 8579;109731.0 8579;109764.0 8579;109766.0 8579;109767.0 8579;109769.0 8579;109761.0 8579;109740.0 8579;109741.0 8579;109745.0 8579;109763.0 8579;109684.0 8579;109755.0 8579;109686.0 8579;109752.0 8579;109723.0 8579;109756.0 8579;109758.0 8579,109760 414;109761 414;109762 422;109763 457;109764 439;109766 441;109767 450;109697 421;109769 447;109740 424;109741 452;109723 378;109745 416;109731 421;109684 444;109686 446;109752 433;109755 410;109756 395;109758 455
data,1241955000,1991769.0;71659.0;2001028.0;90310.0;1879786.0;67758.0;2008194.0;101653.0;1.25444291217;1.00189081032;1.40696327134,3352.0 88.0 109760;6775.0 248.0 109761;9674.0 482.0 109762;1697.0 46.0 109731;1500.0 27.0 109764;4786.0 189.0 109766;2732.0 93.0 109767;12174.0 265.0 109697;2885.0 97.0 109769;7191.0 307.0 109740;3339.0 95.0 109741;7070.0 118.0 109723;6434.0 164.0 109745;3447.0 116.0 109763;11573.0 576.0 109684;7142.0 274.0 109686;160.0 4.0 109752;6737.0 248.0 109755;3500.0 92.0 109756;3502.0 101.0 109758,109760.0 11421;109697.0 11421;109762.0 11421;109731.0 11421;109764.0 11421;109766.0 11421;109767.0 11421;109769.0 11421;109761.0 11421;109740.0 11421;109741.0 11421;109745.0 11421;109763.0 11421;109684.0 11421;109755.0 11421;109686.0 11421;109752.0 11421;109723.0 11421;109756.0 11421;109758.0 11421,109760 541;109761 551;109762 582;109731 571;109764 540;109766 560;109767 594;109697 566;109769 547;109740 558;109741 588;109723 577;109745 602;109763 587;109684 569;109686 540;109752 590;109755 628;109756 550;109758 580
data,1241955600,1992782.0;71680.0;2002046.0;90348.0;1880758.0;67776.0;2009194.0;101678.0;1.25460289821;1.00185486479;1.40691194724,3406.0 90.0 109760;12216.0 266.0 109697;9724.0 486.0 109762;1736.0 48.0 109731;1537.0 28.0 109764;4872.0 193.0 109766;6823.0 249.0 109761;2923.0 97.0 109769;2771.0 94.0 109767;7247.0 309.0 109740;3393.0 97.0 109741;6476.0 165.0 109745;3499.0 117.0 109763;11649.0 582.0 109684;6771.0 248.0 109755;7195.0 276.0 109686;212.0 6.0 109752;7114.0 119.0 109723;3549.0 93.0 109756;3575.0 105.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1065;109697 975;109762 981;109731 1008;109764 1037;109766 1051;109761 1027;109769 967;109767 961;109740 1011;109741 1056;109745 1010;109763 968;109684 984;109755 937;109686 971;109752 1025;109723 1001;109756 1038;109758 927
data,1241956500,1993765.0;71708.0;2003051.0;90382.0;1881748.0;67798.0;2010185.0;101708.0;1.25457404425;1.00175559679;1.40677759982,3450.0 90.0 109760;12252.0 266.0 109697;9794.0 489.0 109762;3538.0 117.0 109763;1580.0 28.0 109764;4969.0 199.0 109766;2822.0 97.0 109767;2950.0 99.0 109769;6879.0 254.0 109761;7305.0 312.0 109740;3441.0 98.0 109741;7150.0 119.0 109723;6506.0 166.0 109745;1773.0 49.0 109731;11743.0 585.0 109684;7242.0 276.0 109686;259.0 7.0 109752;6809.0 251.0 109755;3588.0 93.0 109756;3643.0 107.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1012;109697 1016;109762 981;109763 991;109764 982;109766 1016;109767 1016;109769 993;109761 957;109740 1043;109741 980;109723 1023;109745 1009;109731 973;109684 1028;109686 999;109752 991;109755 985;109756 966;109758 1039
data,1241957100,1994790.0;71739.0;2004110.0;90414.0;1882801.0;67820.0;2011166.0;101735.0;1.25445761463;1.00160210589;1.40657966619,3505.0 92.0 109760;6994.0 258.0 109761;9854.0 492.0 109762;1813.0 49.0 109731;1603.0 28.0 109764;5121.0 209.0 109766;2868.0 97.0 109767;12280.0 266.0 109697;2995.0 102.0 109769;7382.0 315.0 109740;3487.0 99.0 109741;7175.0 119.0 109723;6527.0 166.0 109745;3569.0 118.0 109763;11844.0 587.0 109684;7275.0 277.0 109686;286.0 7.0 109752;6858.0 251.0 109755;3623.0 93.0 109756;3693.0 109.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1026;109761 1066;109762 1032;109731 970;109764 948;109766 1027;109767 943;109697 1013;109769 1036;109740 989;109741 990;109723 1006;109745 993;109763 979;109684 1014;109686 973;109752 1053;109755 983;109756 965;109758 994
data,1241957700,1995797.0;71778.0;2005099.0;90446.0;1883810.0;67847.0;2012249.0;101770.0;1.2542339632;1.00142530999;1.40625171997,3537.0 92.0 109760;7064.0 258.0 109761;9982.0 501.0 109762;6878.0 252.0 109755;1621.0 29.0 109764;1843.0 49.0 109731;5319.0 215.0 109766;12304.0 266.0 109697;3050.0 103.0 109769;2915.0 101.0 109767;7454.0 319.0 109740;3507.0 99.0 109741;6540.0 166.0 109745;3594.0 119.0 109763;11923.0 590.0 109684;7298.0 277.0 109686;311.0 7.0 109752;7196.0 119.0 109723;3642.0 93.0 109756;3763.0 111.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 996;109761 955;109762 1026;109755 964;109764 969;109731 1035;109766 1010;109697 979;109769 991;109767 1033;109740 1011;109741 946;109745 965;109763 1004;109684 1048;109686 1025;109752 988;109723 1027;109756 997;109758 1031
data,1241958300,1996821.0;71808.0;2006146.0;90478.0;1884804.0;67877.0;2013239.0;101820.0;1.2541421389;1.00143496111;1.40638447083,3572.0 93.0 109760;12319.0 266.0 109697;10122.0 507.0 109762;3617.0 119.0 109763;1641.0 29.0 109764;5468.0 219.0 109766;2977.0 102.0 109767;3121.0 107.0 109769;7122.0 262.0 109761;7544.0 322.0 109740;3542.0 99.0 109741;6588.0 168.0 109745;1866.0 49.0 109731;12021.0 593.0 109684;6923.0 254.0 109755;7312.0 277.0 109686;332.0 8.0 109752;7219.0 120.0 109723;3668.0 93.0 109756;3814.0 111.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 1055;109762 1001;109763 1028;109764 938;109766 995;109767 1015;109769 1057;109761 992;109740 975;109741 997;109745 1034;109731 1027;109684 1006;109755 923;109686 974;109752 982;109723 998;109756 997;109758 1008
data,1241958900,1997869.0;71842.0;2007203.0;90512.0;1885859.0;67906.0;2014276.0;101859.0;1.25401709836;1.00135374063;1.40627101049,3604.0 94.0 109760;7208.0 265.0 109761;10275.0 514.0 109762;6974.0 258.0 109755;1663.0 29.0 109764;5700.0 230.0 109766;12340.0 267.0 109697;3181.0 109.0 109769;3639.0 119.0 109763;3023.0 103.0 109767;7620.0 322.0 109740;3563.0 99.0 109741;6605.0 168.0 109745;1886.0 49.0 109731;12083.0 593.0 109684;7330.0 277.0 109686;362.0 10.0 109752;7237.0 120.0 109723;3690.0 94.0 109756;3862.0 112.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 990;109761 1007;109762 1030;109755 980;109764 1022;109766 1004;109697 1045;109769 998;109763 1028;109767 999;109740 987;109741 1043;109745 930;109731 952;109684 1008;109686 1020;109752 942;109723 995;109756 980;109758 1040
data,1241959500,1998842.0;71866.0;2008201.0;90536.0;1886898.0;67929.0;2015233.0;101897.0;1.25391794346;1.0012944072;1.40634257609,3629.0 94.0 109760;12356.0 267.0 109697;10465.0 519.0 109762;3655.0 120.0 109763;1683.0 30.0 109764;5905.0 235.0 109766;3053.0 103.0 109767;3245.0 111.0 109769;7286.0 265.0 109761;7676.0 323.0 109740;3578.0 99.0 109741;7254.0 122.0 109723;6627.0 168.0 109745;1904.0 50.0 109731;12139.0 594.0 109684;7348.0 277.0 109686;381.0 10.0 109752;7049.0 259.0 109755;3703.0 97.0 109756;3907.0 113.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 981;109762 972;109763 999;109764 1015;109766 961;109767 933;109769 1065;109761 1018;109740 1000;109741 982;109723 1022;109745 1011;109731 957;109684 1082;109686 1005;109752 994;109755 984;109756 967;109758 1054
data,1241959800,1999825.0;71897.0;2009267.0;90578.0;1887848.0;67954.0;2016224.0;101939.0;1.25390980841;1.00121932994;1.40631566011,3650.0 95.0 109760;12382.0 268.0 109697;10664.0 527.0 109762;7124.0 262.0 109755;1704.0 31.0 109764;6130.0 246.0 109766;3090.0 105.0 109767;3319.0 115.0 109769;3677.0 121.0 109763;7736.0 327.0 109740;3591.0 100.0 109741;6647.0 168.0 109745;1919.0 50.0 109731;12190.0 595.0 109684;7363.0 277.0 109686;406.0 10.0 109752;7346.0 266.0 109761;7272.0 122.0 109723;3731.0 97.0 109756;3968.0 116.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1035;109697 1011;109762 985;109755 1013;109764 940;109766 1000;109767 993;109769 1029;109763 984;109740 1034;109741 984;109745 1001;109731 965;109684 950;109686 1028;109752 968;109761 1025;109723 1003;109756 1017;109758 1035
data,1241960400,2000789.0;71923.0;2010279.0;90621.0;1888825.0;67992.0;2017231.0;101981.0;1.25402447093;1.00138156251;1.40636202067,3681.0 96.0 109760;7371.0 266.0 109761;10863.0 537.0 109762;1941.0 52.0 109731;1734.0 33.0 109764;6320.0 251.0 109766;3119.0 106.0 109767;12399.0 268.0 109697;3412.0 118.0 109769;7791.0 330.0 109740;3616.0 102.0 109741;6676.0 171.0 109745;3696.0 122.0 109763;12235.0 598.0 109684;7210.0 268.0 109755;7376.0 277.0 109686;428.0 10.0 109752;7292.0 122.0 109723;3749.0 97.0 109756;4012.0 117.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 964;109761 904;109762 1039;109731 1044;109764 1014;109766 1003;109767 1007;109697 968;109769 995;109740 1000;109741 1003;109745 985;109763 1015;109684 1004;109755 982;109686 1012;109752 1011;109723 1027;109756 989;109758 1034
