data,1241350800,414513.0;14740.0;417689.0;18106.0;391147.0;13747.0;415625.0;19502.0;1.21901808826;0.98834507155;1.31952663629,1354.0 33.0 109568;1143.0 30.0 109569;17972.0 1077.0 109571;6442.0 97.0 109536;5221.0 190.0 109541;15729.0 624.0 109542;5262.0 172.0 109551;5514.0 159.0 109553;9255.0 386.0 109476;20051.0 886.0 109524;5411.0 180.0 109557;3643.0 104.0 109560;7878.0 306.0 109561;3020.0 74.0 109562;3080.0 82.0 109563;2052.0 45.0 109564;1996.0 51.0 109565;2828.0 85.0 109566;2875.0 97.0 109567,109536.0 16129;109568.0 16129;109571.0 16129;109476.0 16129;109541.0 16129;109542.0 16129;109569.0 16129;109551.0 16129;109553.0 16129;109524.0 16129;109557.0 16129;109560.0 16129;109561.0 16129;109562.0 16129;109563.0 16129;109564.0 16129;109565.0 16129;109566.0 16129;109567.0 16129,109568 847;109569 847;109571 854;109536 839;109541 886;109542 848;109551 857;109553 826;109476 792;109524 823;109557 851;109560 862;109561 831;109562 877;109563 840;109564 851;109565 878;109566 803;109567 917
data,1241351100,414723.0;14741.0;417923.0;18113.0;391357.0;13748.0;415821.0;19504.0;1.21934131586;0.98832001933;1.31961865083,6453.0 97.0 109536;1367.0 33.0 109568;17981.0 1077.0 109571;9270.0 386.0 109476;5230.0 190.0 109541;15743.0 626.0 109542;1150.0 31.0 109569;5269.0 172.0 109551;5533.0 161.0 109553;20066.0 887.0 109524;5426.0 180.0 109557;3652.0 104.0 109560;7900.0 307.0 109561;3031.0 74.0 109562;3088.0 82.0 109563;2060.0 45.0 109564;2008.0 51.0 109565;2846.0 85.0 109566;2887.0 97.0 109567,109536.0 3871;109568.0 3871;109571.0 3871;109476.0 3871;109541.0 3871;109542.0 3871;109569.0 3871;109551.0 3871;109553.0 3871;109524.0 3871;109557.0 3871;109560.0 3871;109561.0 3871;109562.0 3871;109563.0 3871;109564.0 3871;109565.0 3871;109566.0 3871;109567.0 3871,109536 190;109568 201;109571 189;109476 190;109541 183;109542 199;109569 226;109551 208;109553 231;109524 193;109557 223;109560 192;109561 215;109562 195;109563 215;109564 207;109565 213;109566 201;109567 200
data,1241351700,415759.0;14762.0;418980.0;18134.0;392444.0;13780.0;416814.0;19542.0;1.21898055315;0.988935534311;1.32045367471,1422.0 34.0 109568;1195.0 31.0 109569;18050.0 1083.0 109571;9325.0 387.0 109476;6489.0 97.0 109536;15804.0 626.0 109542;5326.0 172.0 109551;5605.0 162.0 109553;20135.0 889.0 109524;5493.0 182.0 109557;3150.0 84.0 109563;3700.0 104.0 109560;7959.0 308.0 109561;3086.0 75.0 109562;5281.0 190.0 109541;2103.0 45.0 109564;2048.0 51.0 109565;2894.0 86.0 109566;2952.0 100.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1045;109569 1046;109571 998;109476 1097;109536 1011;109542 1073;109551 1013;109553 1049;109524 1090;109557 1069;109563 1071;109560 1043;109561 1093;109562 1054;109541 1074;109564 1010;109565 998;109566 1107;109567 1059
data,1241352300,416856.0;14796.0;420063.0;18171.0;393483.0;13810.0;417826.0;19594.0;1.21872615875;0.988802233957;1.32120246922,6522.0 97.0 109536;1232.0 31.0 109569;18144.0 1086.0 109571;9387.0 389.0 109476;15874.0 630.0 109542;1466.0 35.0 109568;5383.0 176.0 109551;5659.0 163.0 109553;5312.0 190.0 109541;20183.0 889.0 109524;5559.0 184.0 109557;3747.0 106.0 109560;8016.0 311.0 109561;3153.0 79.0 109562;3253.0 89.0 109563;2150.0 47.0 109564;2085.0 51.0 109565;2947.0 88.0 109566;3028.0 102.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1055;109569 1022;109571 1026;109476 1030;109542 1050;109568 1008;109551 1070;109553 1088;109541 1057;109524 1023;109557 1059;109560 1054;109561 1079;109562 1037;109563 1123;109564 1089;109565 1067;109566 1036;109567 1027
data,1241352900,417936.0;14823.0;421114.0;18203.0;394540.0;13834.0;418856.0;19652.0;1.21875654919;0.988622304249;1.32286549209,6540.0 97.0 109536;1513.0 36.0 109568;18249.0 1092.0 109571;9459.0 393.0 109476;5336.0 190.0 109541;15968.0 635.0 109542;1277.0 33.0 109569;5454.0 180.0 109551;5695.0 163.0 109553;20218.0 889.0 109524;5618.0 184.0 109557;3787.0 106.0 109560;8074.0 312.0 109561;3210.0 81.0 109562;3337.0 92.0 109563;2204.0 49.0 109564;2115.0 51.0 109565;3007.0 90.0 109566;3090.0 102.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1010;109568 1034;109571 1012;109476 1086;109541 1015;109542 1061;109569 1064;109551 1031;109553 1033;109524 1034;109557 1058;109560 1100;109561 1037;109562 1115;109563 1098;109564 1110;109565 1046;109566 1020;109567 1036
data,1241353500,418996.0;14849.0;422161.0;18239.0;395585.0;13865.0;419946.0;19711.0;1.21908947867;0.988991885198;1.32442655143,6566.0 98.0 109536;1318.0 33.0 109569;18400.0 1101.0 109571;9543.0 395.0 109476;5355.0 190.0 109541;16044.0 637.0 109542;1554.0 36.0 109568;5545.0 183.0 109551;5771.0 170.0 109553;20254.0 890.0 109524;5647.0 185.0 109557;3805.0 107.0 109560;8127.0 314.0 109561;3285.0 83.0 109562;3425.0 95.0 109563;2237.0 49.0 109564;2134.0 51.0 109565;3060.0 92.0 109566;3128.0 102.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1020;109569 1072;109571 1056;109476 1101;109541 1098;109542 1041;109568 1090;109551 1076;109553 989;109524 1075;109557 1026;109560 1052;109561 1053;109562 1077;109563 1057;109564 1041;109565 994;109566 1033;109567 1049
data,1241354100,420020.0;14879.0;423206.0;18279.0;396633.0;13891.0;420998.0;19773.0;1.2192614519;0.988646181535;1.32583280492,1576.0 36.0 109568;1347.0 34.0 109569;18617.0 1117.0 109571;9591.0 396.0 109476;5371.0 191.0 109541;16158.0 640.0 109542;5619.0 185.0 109551;5874.0 174.0 109553;20287.0 892.0 109524;5681.0 187.0 109557;6596.0 98.0 109536;3829.0 107.0 109560;8169.0 314.0 109561;3338.0 83.0 109562;3473.0 95.0 109563;2280.0 52.0 109564;2153.0 51.0 109565;3118.0 95.0 109566;3166.0 104.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1057;109569 1114;109571 1017;109476 1006;109541 1112;109542 1010;109551 1031;109553 1075;109524 1042;109557 1027;109536 1090;109560 1097;109561 1010;109562 1016;109563 1061;109564 1075;109565 1012;109566 1065;109567 1083
data,1241354700,421105.0;14923.0;424274.0;18314.0;397602.0;13918.0;422058.0;19819.0;1.21806664381;0.987785236609;1.32508537325,6614.0 98.0 109536;1368.0 34.0 109569;18903.0 1132.0 109571;9632.0 396.0 109476;5387.0 191.0 109541;16231.0 642.0 109542;1600.0 36.0 109568;5707.0 189.0 109551;5943.0 174.0 109553;20341.0 894.0 109524;5733.0 189.0 109557;3839.0 107.0 109560;8210.0 316.0 109561;3393.0 86.0 109562;3518.0 95.0 109563;2331.0 53.0 109564;2174.0 51.0 109565;3175.0 96.0 109566;3212.0 107.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1071;109569 1070;109571 1055;109476 1017;109541 1005;109542 1042;109568 1048;109551 1085;109553 1092;109524 1063;109557 1020;109560 1028;109561 1092;109562 1061;109563 1071;109564 1020;109565 1084;109566 1079;109567 997
data,1241355300,422204.0;14953.0;425386.0;18353.0;398630.0;13945.0;423140.0;19878.0;1.21819800019;0.987739790029;1.32642474362,6637.0 99.0 109536;1394.0 35.0 109569;19239.0 1148.0 109571;9667.0 398.0 109476;16308.0 645.0 109542;1611.0 36.0 109568;5800.0 191.0 109551;6024.0 176.0 109553;20416.0 898.0 109524;5771.0 190.0 109557;3552.0 95.0 109563;3857.0 108.0 109560;8244.0 316.0 109561;3438.0 87.0 109562;3274.0 109.0 109567;2378.0 54.0 109564;2190.0 51.0 109565;3213.0 96.0 109566;5410.0 193.0 109541,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1069;109569 1070;109571 1074;109476 1023;109542 1045;109568 1018;109551 1043;109553 1157;109524 1068;109557 1050;109563 1020;109560 1074;109561 1025;109562 960;109567 1091;109564 1042;109565 1035;109566 1111;109541 1025
data,1241355600,423284.0;14987.0;426425.0;18396.0;399680.0;13974.0;424230.0;19932.0;1.21842243759;0.987473540586;1.32698693439,1634.0 37.0 109568;1414.0 35.0 109569;19660.0 1173.0 109571;9700.0 399.0 109476;6660.0 99.0 109536;16351.0 645.0 109542;5875.0 197.0 109551;6079.0 178.0 109553;5432.0 193.0 109541;20486.0 901.0 109524;5805.0 192.0 109557;3879.0 109.0 109560;8267.0 316.0 109561;3484.0 88.0 109562;3569.0 96.0 109563;2403.0 54.0 109564;2203.0 51.0 109565;3238.0 96.0 109566;3323.0 109.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1048;109569 1023;109571 1080;109476 1110;109536 1032;109542 1041;109551 1073;109553 1093;109541 1048;109524 1047;109557 1043;109560 1037;109561 1024;109562 1076;109563 1031;109564 1011;109565 1018;109566 1075;109567 1090
data,1241356200,424321.0;15022.0;427498.0;18436.0;400727.0;13997.0;425337.0;20000.0;1.21814610368;0.986627294341;1.32820038059,1649.0 37.0 109568;1424.0 35.0 109569;20187.0 1203.0 109571;9719.0 399.0 109476;5461.0 194.0 109541;16391.0 647.0 109542;5949.0 198.0 109551;6131.0 180.0 109553;20546.0 902.0 109524;5843.0 192.0 109557;6671.0 99.0 109536;3899.0 109.0 109560;8287.0 316.0 109561;3514.0 88.0 109562;3597.0 96.0 109563;2428.0 54.0 109564;2223.0 53.0 109565;3263.0 97.0 109566;3353.0 109.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 999;109569 1108;109571 1108;109476 976;109541 1051;109542 1043;109551 1024;109553 1082;109524 1112;109557 1091;109536 1020;109560 1062;109561 979;109562 1066;109563 1071;109564 1059;109565 1079;109566 1032;109567 1038
