data,1241749200,1550576.0;57097.0;1562840.0;73488.0;1458151.0;54579.0;1562092.0;82081.0;1.27697289022;1.01648937099;1.4269731391,2513.0 76.0 109696;2260.0 60.0 109697;2505.0 84.0 109698;6999.0 384.0 109699;3892.0 169.0 109700;1696.0 48.0 109701;1269.0 26.0 109702;20003.0 1269.0 109703;4589.0 246.0 109704;1792.0 77.0 109706;323.0 9.0 109707;1361.0 79.0 109708;205.0 11.0 109709;50.0 0.0 109710;26567.0 1265.0 109635;2379.0 71.0 109651;6605.0 81.0 109660;6316.0 126.0 109667;3959.0 165.0 109673;1663.0 71.0 109675;6281.0 244.0 109683;4679.0 168.0 109689;3714.0 136.0 109690,109696.0 8333;109697.0 8333;109698.0 8333;109699.0 8333;109700.0 8333;109701.0 8333;109702.0 8333;109703.0 8333;109704.0 8333;109706.0 8333;109707.0 8333;109708.0 8333;109709.0 8333;109710.0 8333;109635.0 8333;109651.0 8333;109660.0 8333;109667.0 8333;109673.0 8333;109675.0 8333;109683.0 8333;109689.0 8333;109690.0 8333,109696 378;109697 376;109698 325;109699 357;109700 354;109701 333;109702 402;109703 371;109704 370;109706 377;109707 360;109708 358;109709 377;109710 365;109635 371;109651 363;109660 349;109667 340;109673 359;109675 359;109683 346;109689 377;109690 366
data,1241749500,1551125.0;57108.0;1563361.0;73508.0;1458661.0;54600.0;1562623.0;82102.0;1.27710080794;1.01668898414;1.42708345463,2532.0 77.0 109696;2282.0 60.0 109697;2530.0 84.0 109698;7021.0 385.0 109699;3915.0 170.0 109700;1707.0 48.0 109701;1294.0 26.0 109702;20032.0 1271.0 109703;4607.0 248.0 109704;1814.0 77.0 109706;346.0 10.0 109707;1386.0 79.0 109708;229.0 11.0 109709;79.0 2.0 109710;26584.0 1265.0 109635;2397.0 71.0 109651;6624.0 81.0 109660;6337.0 126.0 109667;3979.0 166.0 109673;1687.0 73.0 109675;6312.0 244.0 109683;4708.0 173.0 109689;3739.0 138.0 109690,109696.0 11667;109697.0 11667;109698.0 11667;109699.0 11667;109700.0 11667;109701.0 11667;109702.0 11667;109703.0 11667;109704.0 11667;109706.0 11667;109707.0 11667;109708.0 11667;109709.0 11667;109710.0 11667;109635.0 11667;109651.0 11667;109660.0 11667;109667.0 11667;109673.0 11667;109675.0 11667;109683.0 11667;109689.0 11667;109690.0 11667,109696 462;109697 513;109698 510;109699 505;109700 505;109701 524;109702 483;109703 542;109704 496;109706 550;109707 492;109708 476;109709 509;109710 526;109635 523;109651 499;109660 507;109667 469;109673 498;109675 517;109683 510;109689 496;109690 555
data,1241749800,1551990.0;57132.0;1564272.0;73543.0;1459523.0;54624.0;1563500.0;82136.0;1.27714015909;1.01667477268;1.42706959938,2577.0 79.0 109696;2308.0 60.0 109697;2558.0 84.0 109698;7079.0 390.0 109699;3966.0 173.0 109700;1731.0 48.0 109701;1328.0 26.0 109702;20083.0 1273.0 109703;4657.0 250.0 109704;1846.0 77.0 109706;379.0 10.0 109707;1424.0 81.0 109708;266.0 13.0 109709;133.0 6.0 109710;26615.0 1267.0 109635;2425.0 71.0 109651;6652.0 82.0 109660;6374.0 128.0 109667;4010.0 168.0 109673;1739.0 75.0 109675;6348.0 245.0 109683;4769.0 173.0 109689;3785.0 141.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 881;109697 880;109698 912;109699 866;109700 852;109701 870;109702 855;109703 854;109704 834;109706 893;109707 859;109708 874;109709 903;109710 848;109635 895;109651 900;109660 829;109667 857;109673 882;109675 861;109683 891;109689 818;109690 886
data,1241750100,1552887.0;57163.0;1565141.0;73572.0;1460338.0;54651.0;1564366.0;82171.0;1.27697952848;1.01664555903;1.4269378075,2634.0 82.0 109696;2342.0 60.0 109697;2593.0 85.0 109698;7134.0 392.0 109699;3996.0 173.0 109700;1750.0 48.0 109701;1354.0 26.0 109702;20126.0 1276.0 109703;4712.0 252.0 109704;1881.0 79.0 109706;401.0 10.0 109707;1456.0 81.0 109708;303.0 14.0 109709;204.0 11.0 109710;26656.0 1270.0 109635;2446.0 72.0 109651;6683.0 82.0 109660;6410.0 130.0 109667;4045.0 169.0 109673;1775.0 75.0 109675;6382.0 248.0 109683;4811.0 173.0 109689;3827.0 141.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 883;109697 855;109698 864;109699 837;109700 864;109701 804;109702 844;109703 895;109704 960;109706 848;109707 828;109708 895;109709 916;109710 875;109635 902;109651 849;109660 875;109667 887;109673 858;109675 846;109683 899;109689 845;109690 871
data,1241750400,1553735.0;57189.0;1566010.0;73604.0;1461215.0;54680.0;1565249.0;82211.0;1.27694247158;1.01666724212;1.42695718398,2688.0 83.0 109696;2361.0 60.0 109697;2613.0 85.0 109698;7194.0 395.0 109699;4023.0 173.0 109700;1781.0 49.0 109701;1369.0 26.0 109702;20188.0 1279.0 109703;4749.0 252.0 109704;1906.0 79.0 109706;421.0 10.0 109707;1481.0 84.0 109708;341.0 19.0 109709;293.0 16.0 109710;26704.0 1271.0 109635;2491.0 75.0 109651;6708.0 83.0 109660;6446.0 131.0 109667;4082.0 169.0 109673;1813.0 76.0 109675;6428.0 250.0 109683;4840.0 173.0 109689;3870.0 143.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 843;109697 900;109698 883;109699 897;109700 858;109701 899;109702 872;109703 894;109704 885;109706 821;109707 894;109708 848;109709 859;109710 872;109635 872;109651 884;109660 859;109667 832;109673 855;109675 881;109683 876;109689 848;109690 868
data,1241750700,1554548.0;57220.0;1566892.0;73643.0;1462073.0;54703.0;1566125.0;82248.0;1.27687590492;1.01647890508;1.42677406625,2731.0 86.0 109696;2381.0 61.0 109697;2624.0 85.0 109698;7289.0 402.0 109699;4046.0 174.0 109700;1816.0 50.0 109701;1382.0 26.0 109702;20276.0 1288.0 109703;4782.0 253.0 109704;1918.0 79.0 109706;441.0 11.0 109707;1528.0 86.0 109708;402.0 21.0 109709;361.0 16.0 109710;26757.0 1276.0 109635;2519.0 75.0 109651;6733.0 83.0 109660;6479.0 131.0 109667;4121.0 169.0 109673;1843.0 76.0 109675;6464.0 252.0 109683;4872.0 176.0 109689;3907.0 144.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 829;109697 888;109698 849;109699 863;109700 886;109701 852;109702 866;109703 866;109704 914;109706 849;109707 920;109708 871;109709 916;109710 825;109635 928;109651 829;109660 859;109667 844;109673 903;109675 830;109683 845;109689 879;109690 889
data,1241751000,1555444.0;57249.0;1567752.0;73677.0;1462908.0;54725.0;1566978.0;82290.0;1.27685342374;1.01637794005;1.42682476346,2788.0 89.0 109696;2396.0 62.0 109697;2632.0 85.0 109698;7404.0 410.0 109699;4075.0 176.0 109700;1832.0 50.0 109701;1397.0 26.0 109702;20408.0 1297.0 109703;4810.0 253.0 109704;1934.0 79.0 109706;457.0 12.0 109707;1570.0 87.0 109708;455.0 25.0 109709;418.0 17.0 109710;26804.0 1276.0 109635;2548.0 76.0 109651;6755.0 83.0 109660;6506.0 131.0 109667;4139.0 169.0 109673;1867.0 77.0 109675;6494.0 253.0 109683;4908.0 176.0 109689;3935.0 145.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 875;109697 863;109698 882;109699 885;109700 918;109701 823;109702 903;109703 895;109704 846;109706 909;109707 882;109708 814;109709 848;109710 859;109635 809;109651 865;109660 900;109667 908;109673 886;109675 877;109683 838;109689 865;109690 850
data,1241751300,1556325.0;57277.0;1568605.0;73721.0;1463796.0;54751.0;1567864.0;82332.0;1.27701986646;1.01632247725;1.42685653291,2867.0 94.0 109696;2415.0 62.0 109697;2647.0 86.0 109698;7519.0 419.0 109699;4107.0 177.0 109700;1852.0 51.0 109701;1410.0 26.0 109702;20544.0 1307.0 109703;4830.0 253.0 109704;1953.0 79.0 109706;482.0 14.0 109707;1613.0 90.0 109708;527.0 28.0 109709;463.0 20.0 109710;26847.0 1277.0 109635;2567.0 76.0 109651;6762.0 83.0 109660;6522.0 131.0 109667;4160.0 171.0 109673;1882.0 78.0 109675;6520.0 254.0 109683;4927.0 176.0 109689;3969.0 146.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 862;109697 845;109698 872;109699 797;109700 869;109701 872;109702 895;109703 906;109704 909;109706 888;109707 905;109708 878;109709 869;109710 859;109635 822;109651 878;109660 877;109667 827;109673 827;109675 897;109683 854;109689 924;109690 868
data,1241751600,1557216.0;57311.0;1569503.0;73760.0;1464657.0;54781.0;1568737.0;82369.0;1.27693746383;1.01626014776;1.42667327041,2936.0 96.0 109696;2422.0 63.0 109697;2659.0 86.0 109698;7679.0 424.0 109699;4140.0 179.0 109700;1884.0 54.0 109701;1424.0 26.0 109702;20700.0 1317.0 109703;4854.0 255.0 109704;1965.0 79.0 109706;499.0 14.0 109707;1661.0 94.0 109708;605.0 33.0 109709;501.0 21.0 109710;26872.0 1277.0 109635;2592.0 76.0 109651;6777.0 83.0 109660;6534.0 131.0 109667;4180.0 172.0 109673;1897.0 78.0 109675;6546.0 254.0 109683;4944.0 176.0 109689;4012.0 149.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 843;109697 888;109698 872;109699 875;109700 855;109701 840;109702 863;109703 894;109704 881;109706 901;109707 824;109708 888;109709 904;109710 848;109635 870;109651 917;109660 809;109667 848;109673 899;109675 843;109683 901;109689 844;109690 893
data,1241751900,1558063.0;57340.0;1570309.0;73789.0;1465532.0;54825.0;1569546.0;82407.0;1.27683221234;1.01650767091;1.42664980486,2994.0 102.0 109696;2434.0 63.0 109697;2677.0 87.0 109698;7812.0 430.0 109699;4168.0 179.0 109700;1916.0 56.0 109701;1436.0 26.0 109702;20866.0 1325.0 109703;4868.0 255.0 109704;1976.0 79.0 109706;514.0 14.0 109707;1704.0 94.0 109708;664.0 35.0 109709;534.0 22.0 109710;26890.0 1277.0 109635;2611.0 77.0 109651;6785.0 83.0 109660;6550.0 131.0 109667;4208.0 172.0 109673;1912.0 79.0 109675;6568.0 254.0 109683;4962.0 176.0 109689;4040.0 150.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 910;109697 864;109698 844;109699 927;109700 794;109701 895;109702 922;109703 863;109704 801;109706 925;109707 857;109708 838;109709 825;109710 863;109635 929;109651 902;109660 844;109667 879;109673 869;109675 832;109683 890;109689 887;109690 840
data,1241752200,1558895.0;57358.0;1571167.0;73821.0;1466404.0;54858.0;1570422.0;82441.0;1.27696925065;1.01673833394;1.42675612257,3067.0 103.0 109696;2456.0 63.0 109697;2697.0 87.0 109698;7918.0 435.0 109699;4200.0 180.0 109700;1946.0 56.0 109701;1452.0 26.0 109702;21072.0 1335.0 109703;4888.0 257.0 109704;1988.0 79.0 109706;527.0 14.0 109707;1741.0 96.0 109708;755.0 42.0 109709;569.0 23.0 109710;26908.0 1278.0 109635;2619.0 77.0 109651;6795.0 83.0 109660;6564.0 131.0 109667;4227.0 172.0 109673;1932.0 80.0 109675;6583.0 254.0 109683;4981.0 177.0 109689;4062.0 150.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 833;109697 843;109698 841;109699 869;109700 897;109701 843;109702 897;109703 889;109704 886;109706 867;109707 883;109708 895;109709 844;109710 841;109635 860;109651 857;109660 856;109667 868;109673 886;109675 879;109683 907;109689 877;109690 882
