data,1241736600,1512034.0;55829.0;1524141.0;71791.0;1421080.0;53318.0;1523304.0;80179.0;1.27569415273;1.0161481505;1.42552802906,1788.0 57.0 109696;1303.0 35.0 109697;1642.0 57.0 109698;4557.0 272.0 109699;2334.0 107.0 109700;768.0 20.0 109701;583.0 20.0 109702;8459.0 623.0 109703;1174.0 70.0 109704;447.0 14.0 109705;126.0 4.0 109706;25738.0 1240.0 109635;1697.0 55.0 109651;5955.0 73.0 109660;5664.0 112.0 109667;3013.0 137.0 109673;70.0 4.0 109675;5190.0 211.0 109683;3742.0 138.0 109689;2474.0 91.0 109690;22066.0 1997.0 109692;1651.0 48.0 109693,109696.0 1157;109697.0 1157;109698.0 1157;109699.0 1157;109700.0 1157;109701.0 1157;109702.0 1157;109703.0 1157;109704.0 1157;109705.0 1157;109706.0 1157;109635.0 1157;109651.0 1157;109660.0 1157;109667.0 1157;109673.0 1157;109675.0 1157;109683.0 1157;109689.0 1157;109690.0 1157;109692.0 1157;109693.0 1157,109696 51;109697 52;109698 57;109699 56;109700 50;109701 51;109702 62;109703 45;109704 65;109705 64;109706 48;109635 47;109651 51;109660 48;109667 46;109673 52;109675 52;109683 40;109689 51;109690 67;109692 43;109693 59
data,1241736900,1512910.0;55869.0;1524996.0;71829.0;1421934.0;53351.0;1524208.0;80206.0;1.27547899585;1.01602716791;1.42496703212,1808.0 57.0 109696;1333.0 35.0 109697;1688.0 59.0 109698;4599.0 274.0 109699;2399.0 112.0 109700;807.0 21.0 109701;604.0 20.0 109702;8528.0 630.0 109703;1221.0 74.0 109704;489.0 16.0 109705;161.0 6.0 109706;25773.0 1240.0 109635;1728.0 56.0 109651;5985.0 73.0 109660;5687.0 114.0 109667;3041.0 137.0 109673;101.0 4.0 109675;5245.0 214.0 109683;3790.0 141.0 109689;2522.0 91.0 109690;22103.0 2001.0 109692;1684.0 48.0 109693,109696.0 18843;109697.0 18843;109698.0 18843;109699.0 18843;109700.0 18843;109701.0 18843;109702.0 18843;109703.0 18843;109704.0 18843;109705.0 18843;109706.0 18843;109635.0 18843;109651.0 18843;109660.0 18843;109667.0 18843;109673.0 18843;109675.0 18843;109683.0 18843;109689.0 18843;109690.0 18843;109692.0 18843;109693.0 18843,109696 880;109697 836;109698 875;109699 925;109700 834;109701 861;109702 844;109703 841;109704 870;109705 881;109706 893;109635 854;109651 868;109660 816;109667 841;109673 872;109675 797;109683 836;109689 831;109690 865;109692 867;109693 856
data,1241737200,1513766.0;55906.0;1525959.0;71875.0;1422836.0;53380.0;1525159.0;80230.0;1.27536742163;1.01583705531;1.42436730627,1831.0 58.0 109696;1360.0 35.0 109697;1744.0 63.0 109698;4633.0 274.0 109699;2482.0 115.0 109700;837.0 22.0 109701;627.0 21.0 109702;8639.0 642.0 109703;1270.0 76.0 109704;538.0 18.0 109705;200.0 7.0 109706;25800.0 1241.0 109635;1758.0 57.0 109651;6012.0 73.0 109660;5710.0 114.0 109667;3067.0 138.0 109673;140.0 7.0 109675;5311.0 218.0 109683;3832.0 141.0 109689;2555.0 94.0 109690;22184.0 2005.0 109692;1729.0 50.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 968;109697 910;109698 932;109699 879;109700 891;109701 932;109702 878;109703 967;109704 920;109705 883;109706 914;109635 936;109651 929;109660 881;109667 862;109673 911;109675 937;109683 925;109689 921;109690 870;109692 875;109693 879
data,1241737500,1514717.0;55929.0;1526884.0;71908.0;1423790.0;53416.0;1526059.0;80267.0;1.27545638098;1.01606120654;1.42449245158,1869.0 60.0 109696;1379.0 35.0 109697;1805.0 65.0 109698;4670.0 276.0 109699;2532.0 117.0 109700;867.0 22.0 109701;651.0 21.0 109702;8795.0 652.0 109703;1327.0 79.0 109704;592.0 22.0 109705;245.0 10.0 109706;25812.0 1241.0 109635;1785.0 57.0 109651;6033.0 73.0 109660;5736.0 114.0 109667;3099.0 140.0 109673;185.0 9.0 109675;5362.0 218.0 109683;3860.0 141.0 109689;2584.0 94.0 109690;22245.0 2006.0 109692;1751.0 50.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 903;109697 909;109698 951;109699 899;109700 867;109701 917;109702 880;109703 903;109704 962;109705 944;109706 883;109635 859;109651 873;109660 937;109667 930;109673 863;109675 920;109683 937;109689 899;109690 903;109692 936;109693 925
data,1241737800,1515644.0;55966.0;1527789.0;71950.0;1424762.0;53456.0;1526965.0;80316.0;1.27538221325;1.01607805403;1.42444578654,1896.0 61.0 109696;1398.0 35.0 109697;1842.0 67.0 109698;4707.0 278.0 109699;2593.0 120.0 109700;880.0 24.0 109701;670.0 21.0 109702;8981.0 660.0 109703;1372.0 80.0 109704;652.0 23.0 109705;329.0 19.0 109706;25832.0 1242.0 109635;1802.0 57.0 109651;6047.0 73.0 109660;5765.0 115.0 109667;3120.0 140.0 109673;257.0 16.0 109675;5396.0 219.0 109683;3886.0 143.0 109689;2606.0 94.0 109690;22293.0 2007.0 109692;1765.0 50.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 932;109697 887;109698 921;109699 903;109700 831;109701 928;109702 939;109703 900;109704 932;109705 917;109706 934;109635 942;109651 880;109660 856;109667 904;109673 877;109675 914;109683 930;109689 923;109690 932;109692 922;109693 896
data,1241738100,1516616.0;56000.0;1528680.0;71986.0;1425662.0;53483.0;1527917.0;80367.0;1.27531968963;1.01598382175;1.42451032157,1926.0 62.0 109696;1413.0 36.0 109697;1894.0 69.0 109698;4746.0 280.0 109699;2644.0 121.0 109700;917.0 27.0 109701;686.0 21.0 109702;9140.0 671.0 109703;1426.0 82.0 109704;677.0 24.0 109705;441.0 24.0 109706;25844.0 1242.0 109635;1812.0 57.0 109651;6063.0 73.0 109660;5778.0 115.0 109667;3133.0 140.0 109673;334.0 19.0 109675;5439.0 221.0 109683;3927.0 144.0 109689;2623.0 94.0 109690;22329.0 2008.0 109692;1788.0 50.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 918;109697 940;109698 902;109699 939;109700 911;109701 948;109702 913;109703 833;109704 957;109705 898;109706 916;109635 943;109651 838;109660 925;109667 919;109673 922;109675 919;109683 882;109689 901;109690 917;109692 900;109693 859
data,1241738400,1517543.0;56034.0;1529548.0;72031.0;1426575.0;53518.0;1528846.0;80422.0;1.27539794707;1.01600219508;1.42462482509,1941.0 63.0 109696;1427.0 36.0 109697;1932.0 70.0 109698;4781.0 281.0 109699;2686.0 121.0 109700;951.0 28.0 109701;702.0 21.0 109702;9350.0 686.0 109703;1473.0 88.0 109704;736.0 26.0 109705;571.0 34.0 109706;25854.0 1243.0 109635;1833.0 57.0 109651;6074.0 73.0 109660;5788.0 116.0 109667;3144.0 140.0 109673;396.0 22.0 109675;5461.0 221.0 109683;3954.0 144.0 109689;2637.0 95.0 109690;22361.0 2010.0 109692;1796.0 50.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 897;109697 919;109698 927;109699 884;109700 888;109701 929;109702 976;109703 861;109704 891;109705 907;109706 910;109635 898;109651 883;109660 932;109667 875;109673 905;109675 903;109683 889;109689 923;109690 955;109692 915;109693 933
data,1241738700,1518448.0;56057.0;1530458.0;72073.0;1427520.0;53552.0;1529769.0;80473.0;1.27561981211;1.01616343953;1.4249328805,1965.0 64.0 109696;1444.0 36.0 109697;1970.0 70.0 109698;4812.0 284.0 109699;2708.0 121.0 109700;975.0 28.0 109701;717.0 21.0 109702;9604.0 700.0 109703;1550.0 91.0 109704;764.0 26.0 109705;687.0 40.0 109706;25877.0 1244.0 109635;1850.0 57.0 109651;6088.0 74.0 109660;5810.0 117.0 109667;3164.0 141.0 109673;456.0 26.0 109675;5479.0 222.0 109683;3978.0 145.0 109689;2657.0 95.0 109690;22393.0 2013.0 109692;1810.0 52.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 912;109697 923;109698 1008;109699 872;109700 907;109701 863;109702 904;109703 906;109704 963;109705 892;109706 926;109635 921;109651 910;109660 880;109667 844;109673 926;109675 909;109683 909;109689 906;109690 945;109692 899;109693 875
data,1241739000,1519385.0;56091.0;1531377.0;72119.0;1428423.0;53588.0;1530681.0;80519.0;1.27568141334;1.01621445003;1.4249129482,1986.0 64.0 109696;1463.0 37.0 109697;1997.0 70.0 109698;4862.0 287.0 109699;2729.0 121.0 109700;1011.0 31.0 109701;735.0 21.0 109702;9866.0 719.0 109703;1620.0 96.0 109704;780.0 26.0 109705;788.0 41.0 109706;25897.0 1245.0 109635;1863.0 57.0 109651;6107.0 74.0 109660;5828.0 117.0 109667;3174.0 141.0 109673;530.0 32.0 109675;5503.0 222.0 109683;4003.0 147.0 109689;2671.0 96.0 109690;22445.0 2017.0 109692;1819.0 52.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 908;109697 948;109698 909;109699 925;109700 870;109701 922;109702 907;109703 923;109704 905;109705 892;109706 953;109635 925;109651 932;109660 938;109667 882;109673 963;109675 851;109683 883;109689 849;109690 898;109692 900;109693 917
data,1241739300,1520271.0;56124.0;1532345.0;72159.0;1429295.0;53619.0;1531597.0;80563.0;1.27557601835;1.01617669565;1.42483153413,2002.0 64.0 109696;1480.0 38.0 109697;2021.0 70.0 109698;4915.0 289.0 109699;2745.0 121.0 109700;1038.0 31.0 109701;753.0 21.0 109702;10170.0 738.0 109703;1704.0 100.0 109704;799.0 26.0 109705;846.0 41.0 109706;25918.0 1245.0 109635;1873.0 58.0 109651;6120.0 74.0 109660;5839.0 118.0 109667;3189.0 141.0 109673;633.0 36.0 109675;5530.0 222.0 109683;4018.0 147.0 109689;2693.0 97.0 109690;22528.0 2024.0 109692;1831.0 52.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 871;109697 955;109698 868;109699 901;109700 947;109701 876;109702 909;109703 961;109704 910;109705 956;109706 938;109635 930;109651 921;109660 848;109667 873;109673 900;109675 916;109683 889;109689 923;109690 952;109692 905;109693 851
data,1241739600,1521206.0;56149.0;1533238.0;72201.0;1430178.0;53655.0;1532453.0;80608.0;1.27579131712;1.01640340149;1.4250725866,2010.0 64.0 109696;1496.0 38.0 109697;2030.0 70.0 109698;4950.0 290.0 109699;2763.0 123.0 109700;1056.0 32.0 109701;763.0 21.0 109702;10483.0 757.0 109703;1779.0 104.0 109704;811.0 26.0 109705;878.0 42.0 109706;25935.0 1247.0 109635;1896.0 59.0 109651;6135.0 74.0 109660;5853.0 118.0 109667;3202.0 141.0 109673;740.0 41.0 109675;5540.0 222.0 109683;4043.0 148.0 109689;2714.0 98.0 109690;22612.0 2027.0 109692;1849.0 53.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 919;109697 934;109698 912;109699 887;109700 931;109701 925;109702 884;109703 852;109704 930;109705 928;109706 911;109635 882;109651 965;109660 887;109667 933;109673 894;109675 888;109683 918;109689 939;109690 894;109692 866;109693 921
