data,1242005400,2106847.0;74953.0;2118791.0;95131.0;1985495.0;71584.0;2112876.0;106021.0;1.26205394994;1.0134239009;1.4104635395,16843.0 757.0 109762;7007.0 237.0 109731;1823.0 69.0 109780;4662.0 182.0 109765;8232.0 258.0 109763;91.0 7.0 109730;5047.0 158.0 109769;2014.0 31.0 109770;2348.0 63.0 109771;15016.0 641.0 109740;3018.0 106.0 109773;2019.0 91.0 109774;8918.0 439.0 109775;2065.0 63.0 109776;1106.0 22.0 109777;1289.0 38.0 109778;1264.0 39.0 109779;19699.0 876.0 109684;1263.0 46.0 109782;174.0 4.0 109783;11237.0 308.0 109745,109730.0 2003;109731.0 2003;109765.0 2003;109763.0 2003;109777.0 2003;109762.0 2003;109769.0 2003;109770.0 2003;109771.0 2003;109740.0 2003;109773.0 2003;109774.0 2003;109775.0 2003;109776.0 2003;109745.0 2003;109778.0 2003;109779.0 2003;109780.0 2003;109782.0 2003;109783.0 2003;109684.0 2003,109762 92;109731 102;109780 94;109765 91;109763 111;109730 93;109769 92;109770 106;109771 92;109740 94;109773 92;109774 102;109775 83;109776 88;109777 97;109778 76;109779 98;109684 105;109782 103;109783 106;109745 86
data,1242005400,2107704.0;74981.0;2119603.0;95172.0;1986319.0;71614.0;2113745.0;106052.0;1.26215607491;1.01346166694;1.41034272094,16865.0 757.0 109762;7038.0 237.0 109731;4692.0 184.0 109765;1308.0 42.0 109779;11270.0 309.0 109745;5105.0 163.0 109769;2059.0 32.0 109770;2386.0 64.0 109771;15041.0 642.0 109740;168.0 15.0 109730;2065.0 95.0 109774;3051.0 107.0 109773;2096.0 65.0 109776;1140.0 22.0 109777;1322.0 38.0 109778;8257.0 258.0 109763;19751.0 879.0 109684;1288.0 46.0 109782;220.0 8.0 109783;1852.0 69.0 109780;8973.0 444.0 109775,109730.0 17997;109731.0 17997;109765.0 17997;109763.0 17997;109777.0 17997;109762.0 17997;109769.0 17997;109770.0 17997;109771.0 17997;109740.0 17997;109773.0 17997;109774.0 17997;109775.0 17997;109776.0 17997;109745.0 17997;109778.0 17997;109779.0 17997;109780.0 17997;109782.0 17997;109783.0 17997;109684.0 17997,109762 821;109731 838;109765 866;109779 871;109745 902;109769 899;109770 837;109771 828;109740 868;109730 901;109774 866;109773 858;109776 857;109777 867;109778 849;109763 882;109684 840;109782 846;109783 805;109780 855;109775 841
data,1242005700,2108698.0;75019.0;2120509.0;95201.0;1987252.0;71637.0;2114726.0;106093.0;1.26195685075;1.0132755489;1.41018386317,16899.0 759.0 109762;8279.0 258.0 109763;7062.0 237.0 109731;1174.0 22.0 109777;5164.0 166.0 109769;2083.0 32.0 109770;2416.0 64.0 109771;15078.0 645.0 109740;255.0 16.0 109730;2112.0 97.0 109774;3086.0 107.0 109773;2146.0 66.0 109776;11303.0 311.0 109745;1345.0 38.0 109778;1376.0 44.0 109779;19802.0 879.0 109684;1330.0 48.0 109782;279.0 10.0 109783;1873.0 69.0 109780;9053.0 450.0 109775;4738.0 187.0 109765,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109763 968;109731 927;109777 921;109769 960;109770 945;109771 927;109740 950;109730 911;109774 914;109773 1017;109776 952;109745 945;109778 938;109779 936;109684 969;109782 979;109783 984;109780 953;109775 976;109765 977
data,1242006000,2109654.0;75060.0;2121450.0;95240.0;1988207.0;71668.0;2115668.0;106140.0;1.26179632918;1.01313276276;1.41004911176,11330.0 311.0 109745;16935.0 761.0 109762;7095.0 240.0 109731;4808.0 189.0 109765;8305.0 260.0 109763;350.0 21.0 109730;5246.0 169.0 109769;2106.0 32.0 109770;2444.0 65.0 109771;15121.0 645.0 109740;3112.0 110.0 109773;2166.0 98.0 109774;9155.0 453.0 109775;2180.0 67.0 109776;1204.0 24.0 109777;1362.0 39.0 109778;1440.0 47.0 109779;19850.0 884.0 109684;1356.0 48.0 109782;328.0 11.0 109783;1901.0 70.0 109780,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109745 961;109762 969;109731 970;109765 964;109763 968;109730 994;109769 956;109770 941;109771 987;109740 972;109773 950;109774 957;109775 962;109776 961;109777 949;109778 896;109779 963;109684 948;109782 920;109783 910;109780 902
data,1242006600,2110576.0;75081.0;2122450.0;95273.0;1989153.0;71711.0;2116653.0;106177.0;1.26183717971;1.01341781985;1.41010590371,17004.0 766.0 109762;8345.0 261.0 109763;4849.0 189.0 109765;11371.0 312.0 109745;5311.0 170.0 109769;2137.0 33.0 109770;2467.0 65.0 109771;15146.0 645.0 109740;3146.0 111.0 109773;2232.0 101.0 109774;9274.0 462.0 109775;2219.0 67.0 109776;1230.0 24.0 109777;1382.0 39.0 109778;1505.0 50.0 109779;19912.0 885.0 109684;1389.0 48.0 109782;373.0 13.0 109783;1942.0 72.0 109780;7117.0 240.0 109731;443.0 24.0 109730,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 967;109763 950;109765 961;109745 930;109769 937;109770 951;109771 937;109740 970;109773 968;109774 975;109775 972;109776 960;109777 961;109778 878;109779 991;109684 924;109782 990;109783 963;109780 967;109731 912;109730 936
data,1242006900,2111540.0;75114.0;2123414.0;95315.0;1990093.0;71749.0;2117646.0;106220.0;1.26184205879;1.01349335007;1.41003975662,17081.0 771.0 109762;7151.0 242.0 109731;1964.0 72.0 109780;4900.0 195.0 109765;8370.0 262.0 109763;519.0 24.0 109730;5351.0 171.0 109769;2150.0 33.0 109770;2488.0 65.0 109771;15168.0 646.0 109740;3209.0 116.0 109773;2298.0 104.0 109774;9431.0 469.0 109775;2258.0 69.0 109776;1250.0 25.0 109777;1406.0 39.0 109778;1560.0 51.0 109779;19980.0 889.0 109684;1414.0 49.0 109782;409.0 15.0 109783;11401.0 312.0 109745,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109731 989;109780 941;109765 932;109763 931;109730 995;109769 959;109770 1000;109771 948;109740 941;109773 947;109774 1001;109775 972;109776 941;109777 899;109778 963;109779 964;109684 905;109782 964;109783 945;109745 912
data,1242007200,2112537.0;75153.0;2124377.0;95346.0;1991076.0;71783.0;2118606.0;106269.0;1.26162094298;1.01342536406;1.4099846946,17167.0 772.0 109762;8393.0 262.0 109763;4972.0 197.0 109765;590.0 28.0 109730;5384.0 172.0 109769;2163.0 33.0 109770;2504.0 65.0 109771;15183.0 646.0 109740;3297.0 121.0 109773;2362.0 106.0 109774;9577.0 473.0 109775;2281.0 69.0 109776;11423.0 314.0 109745;1426.0 41.0 109778;1593.0 51.0 109779;20045.0 892.0 109684;1440.0 49.0 109782;474.0 19.0 109783;1996.0 72.0 109780;7182.0 243.0 109731;1269.0 25.0 109777,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 982;109763 930;109765 1011;109730 1024;109769 932;109770 929;109771 920;109740 919;109773 953;109774 939;109775 942;109776 965;109745 926;109778 893;109779 966;109684 965;109782 1001;109783 956;109780 951;109731 949;109777 947
data,1242007500,2113502.0;75176.0;2125326.0;95379.0;1992010.0;71816.0;2119588.0;106309.0;1.26168418387;1.01356859859;1.41007440693,17242.0 774.0 109762;8412.0 263.0 109763;5042.0 199.0 109765;1628.0 54.0 109779;1284.0 25.0 109777;1437.0 41.0 109778;5428.0 173.0 109769;2183.0 34.0 109770;2518.0 65.0 109771;15197.0 646.0 109740;687.0 33.0 109730;2417.0 108.0 109774;9678.0 474.0 109775;2299.0 69.0 109776;11457.0 315.0 109745;3385.0 126.0 109773;7209.0 244.0 109731;2019.0 72.0 109780;1464.0 51.0 109782;540.0 21.0 109783;20144.0 896.0 109684,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109763 995;109765 986;109779 975;109777 959;109778 963;109769 948;109770 928;109771 886;109740 928;109730 948;109774 977;109775 939;109776 951;109745 973;109773 951;109731 938;109780 952;109782 976;109783 935;109684 941
data,1242007800,2114433.0;75206.0;2126278.0;95413.0;1993042.0;71852.0;2120513.0;106352.0;1.26162109908;1.01359357335;1.41008781586,780.0 38.0 109730;7234.0 244.0 109731;5098.0 202.0 109765;1690.0 57.0 109779;11487.0 315.0 109745;1456.0 41.0 109778;5465.0 175.0 109769;2200.0 34.0 109770;2531.0 65.0 109771;15217.0 648.0 109740;17303.0 776.0 109762;2462.0 108.0 109774;9788.0 481.0 109775;2318.0 70.0 109776;1299.0 25.0 109777;3487.0 127.0 109773;8434.0 263.0 109763;20253.0 901.0 109684;1501.0 52.0 109782;580.0 22.0 109783;2039.0 73.0 109780,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 970;109731 983;109765 924;109779 911;109745 945;109778 991;109769 917;109770 948;109771 941;109740 985;109762 943;109774 951;109775 988;109776 897;109777 961;109773 983;109763 919;109684 967;109782 993;109783 929;109780 954
data,1242008100,2115393.0;75232.0;2127220.0;95453.0;1993987.0;71885.0;2121478.0;106394.0;1.26172767865;1.01368824418;1.41015567661,17352.0 778.0 109762;8446.0 263.0 109763;5149.0 204.0 109765;1741.0 59.0 109779;1315.0 25.0 109777;5521.0 177.0 109769;2208.0 34.0 109770;2543.0 65.0 109771;15242.0 649.0 109740;3547.0 128.0 109773;2521.0 110.0 109774;9928.0 489.0 109775;2340.0 70.0 109776;11505.0 316.0 109745;1463.0 41.0 109778;7259.0 245.0 109731;20335.0 902.0 109684;1555.0 57.0 109782;626.0 23.0 109783;2062.0 73.0 109780;906.0 49.0 109730,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 891;109763 968;109765 911;109779 964;109777 942;109769 980;109770 971;109771 900;109740 910;109773 977;109774 989;109775 977;109776 941;109745 950;109778 964;109731 959;109684 1004;109782 985;109783 944;109780 931;109730 942
data,1242008400,2116309.0;75262.0;2128147.0;95493.0;1994951.0;71913.0;2122454.0;106441.0;1.26174978086;1.01362776352;1.41017815693,1065.0 55.0 109730;7299.0 250.0 109731;5203.0 206.0 109765;8467.0 263.0 109763;11532.0 316.0 109745;17403.0 782.0 109762;5550.0 177.0 109769;2217.0 34.0 109770;2555.0 66.0 109771;15261.0 649.0 109740;3591.0 129.0 109773;2544.0 110.0 109774;10067.0 497.0 109775;2359.0 70.0 109776;1329.0 26.0 109777;1481.0 42.0 109778;1801.0 61.0 109779;2075.0 74.0 109780;1620.0 60.0 109782;662.0 25.0 109783;20410.0 905.0 109684,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 902;109731 925;109765 987;109763 1028;109745 939;109762 972;109769 951;109770 957;109771 888;109740 968;109773 915;109774 943;109775 973;109776 960;109777 934;109778 973;109779 947;109780 953;109782 1001;109783 908;109684 976
