
New Run at  02/05/2015 08:21:29
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241939400,1978494.0;71081.0;1980543.0;74354.0;1880135.0;82056.0;1992025.0;101031.0;1.04496385773;1.21479366051;1.41169564723,1192.0 35.0 109760;70757.0 1591.0 109697;1013.0 51.0 109762;940.0 38.0 109763;751.0 18.0 109764;834.0 39.0 109766;1149.0 55.0 109761;228.0 10.0 109769;681.0 24.0 109767;710.0 34.0 109740;1213.0 36.0 109741;3206.0 86.0 109745;3081.0 125.0 109746;521.0 18.0 109731;1485.0 80.0 109684;1485.0 63.0 109755;1810.0 62.0 109686;4522.0 60.0 109723;1470.0 46.0 109756;1356.0 49.0 109758,109760.0 18239;109697.0 18239;109762.0 18239;109763.0 18239;109764.0 18239;109766.0 18239;109767.0 18239;109769.0 18239;109761.0 18239;109740.0 18239;109741.0 18239;109745.0 18239;109746.0 18239;109731.0 18239;109684.0 18239;109755.0 18239;109686.0 18239;109723.0 18239;109756.0 18239;109758.0 18239,109760 914;109697 909;109762 913;109763 901;109764 897;109766 922;109761 961;109769 950;109767 888;109740 908;109741 866;109745 910;109746 927;109731 910;109684 880;109755 912;109686 918;109723 903;109756 924;109758 926
data,1241940300,1979542.0;71108.0;1981548.0;74370.0;1881163.0;82071.0;1992977.0;101057.0;1.04481510218;1.21453365546;1.41159584603,1210.0 35.0 109760;71475.0 1597.0 109697;1026.0 51.0 109762;539.0 20.0 109731;760.0 18.0 109764;847.0 39.0 109766;698.0 24.0 109767;246.0 10.0 109769;1156.0 56.0 109761;727.0 35.0 109740;1227.0 36.0 109741;4536.0 60.0 109723;3223.0 86.0 109745;3097.0 125.0 109746;954.0 38.0 109763;1497.0 82.0 109684;1823.0 63.0 109686;1506.0 64.0 109755;1485.0 46.0 109756;1377.0 51.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 978;109697 958;109762 991;109731 1011;109764 958;109766 960;109767 1033;109769 978;109761 1008;109740 1014;109741 1002;109723 1014;109745 1064;109746 1025;109763 1004;109684 967;109686 1021;109755 990;109756 1002;109758 1022
data,1241941200,1980576.0;71130.0;1982574.0;74385.0;1882118.0;82088.0;1993970.0;101078.0;1.04470738402;1.21442732333;1.4114864832,1223.0 35.0 109760;72202.0 1606.0 109697;1045.0 52.0 109762;558.0 20.0 109731;776.0 19.0 109764;867.0 39.0 109766;1167.0 57.0 109761;261.0 10.0 109769;711.0 24.0 109767;744.0 35.0 109740;1242.0 36.0 109741;4551.0 61.0 109723;3234.0 86.0 109745;3116.0 125.0 109746;972.0 38.0 109763;1513.0 83.0 109684;1832.0 63.0 109686;1526.0 65.0 109755;1501.0 46.0 109756;1394.0 51.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1027;109697 1015;109762 999;109731 1024;109764 1003;109766 1026;109761 971;109769 1025;109767 995;109740 993;109741 989;109723 1031;109745 954;109746 950;109763 928;109684 998;109686 1015;109755 1051;109756 1002;109758 1004
data,1241942100,1981525.0;71149.0;1983628.0;74398.0;1883107.0;82110.0;1995038.0;101102.0;1.04455614037;1.21437218137;1.4113649575,1243.0 36.0 109760;1185.0 57.0 109761;1061.0 52.0 109762;988.0 39.0 109763;793.0 19.0 109764;882.0 40.0 109766;72952.0 1612.0 109697;284.0 10.0 109769;728.0 24.0 109767;755.0 35.0 109740;1257.0 36.0 109741;4574.0 62.0 109723;3248.0 86.0 109745;3131.0 127.0 109746;579.0 21.0 109731;1530.0 83.0 109684;1846.0 63.0 109686;1535.0 65.0 109755;1512.0 46.0 109756;1406.0 51.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1005;109761 967;109762 986;109763 1040;109764 983;109766 948;109697 1039;109769 1001;109767 1022;109740 1011;109741 935;109723 985;109745 1021;109746 1052;109731 1032;109684 996;109686 1018;109755 962;109756 1004;109758 993
data,1241943000,1982549.0;71176.0;1984596.0;74418.0;1884069.0;82141.0;1996056.0;101129.0;1.04447063598;1.21437700311;1.41121551943,1264.0 37.0 109760;1203.0 57.0 109761;1076.0 52.0 109762;592.0 21.0 109731;808.0 19.0 109764;900.0 42.0 109766;747.0 24.0 109767;73634.0 1622.0 109697;297.0 10.0 109769;773.0 35.0 109740;1267.0 36.0 109741;3263.0 87.0 109745;3148.0 128.0 109746;998.0 39.0 109763;1542.0 84.0 109684;1551.0 66.0 109755;1863.0 65.0 109686;4583.0 62.0 109723;1524.0 47.0 109756;1424.0 51.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1020;109761 1014;109762 989;109731 1013;109764 1011;109766 1025;109767 969;109697 995;109769 1026;109740 952;109741 1005;109745 1020;109746 992;109763 1011;109684 1003;109755 1017;109686 987;109723 987;109756 978;109758 986
data,1241943900,1983571.0;71202.0;1985586.0;74435.0;1885043.0;82166.0;1997159.0;101146.0;1.0443451355;1.21430124774;1.4108850389,1277.0 37.0 109760;1216.0 57.0 109761;1093.0 52.0 109762;1009.0 39.0 109763;831.0 19.0 109764;920.0 42.0 109766;769.0 24.0 109767;74338.0 1634.0 109697;314.0 10.0 109769;786.0 35.0 109740;1290.0 36.0 109741;4596.0 62.0 109723;3274.0 87.0 109745;3158.0 128.0 109746;608.0 21.0 109731;1548.0 84.0 109684;1878.0 68.0 109686;1567.0 66.0 109755;1542.0 49.0 109756;1433.0 51.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 975;109761 955;109762 982;109763 1045;109764 995;109766 1008;109767 996;109697 981;109769 965;109740 1010;109741 1035;109723 1002;109745 1005;109746 1023;109731 1059;109684 1001;109686 990;109755 937;109756 998;109758 1038
data,1241945100,1984553.0;71229.0;1986610.0;74455.0;1886024.0;82194.0;1998179.0;101175.0;1.04420821427;1.21422384045;1.41073251822,1284.0 37.0 109760;1231.0 58.0 109761;1110.0 52.0 109762;621.0 21.0 109731;846.0 19.0 109764;936.0 42.0 109766;783.0 24.0 109767;75085.0 1649.0 109697;328.0 10.0 109769;802.0 35.0 109740;1305.0 36.0 109741;3285.0 87.0 109745;3178.0 128.0 109746;1016.0 39.0 109763;1564.0 85.0 109684;1590.0 66.0 109755;1888.0 69.0 109686;4603.0 62.0 109723;1564.0 51.0 109756;1452.0 51.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 973;109761 968;109762 975;109731 1022;109764 1031;109766 1031;109767 978;109697 1061;109769 941;109740 1060;109741 957;109745 987;109746 1025;109763 974;109684 1018;109755 1010;109686 1006;109723 981;109756 1018;109758 984
data,1241946000,1981345.0;71132.0;1986376.0;74429.0;1882648.0;82124.0;1998308.0;101163.0;1.0437002997;1.21505531785;1.4101144284,1302.0 37.0 109760;1245.0 58.0 109761;1128.0 52.0 109762;1606.0 67.0 109755;860.0 20.0 109764;632.0 21.0 109731;947.0 42.0 109766;75782.0 1657.0 109697;342.0 10.0 109769;799.0 24.0 109767;816.0 35.0 109740;1325.0 36.0 109741;3300.0 88.0 109745;3195.0 128.0 109746;1025.0 39.0 109763;1579.0 85.0 109684;1902.0 69.0 109686;0.0 0.0 109752;4613.0 62.0 109723;1572.0 51.0 109756;1468.0 51.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 5185;109723.0 20000;109756.0 20000;109758.0 20000,109760 1009;109761 978;109762 980;109755 1015;109764 999;109731 1017;109766 1061;109697 987;109769 1035;109767 956;109740 1028;109741 1024;109745 1028;109746 976;109763 983;109684 1041;109686 873;109752 8;109723 1029;109756 988;109758 985
data,1241947200,1982390.0;71154.0;1987363.0;74451.0;1883654.0;82134.0;1999319.0;101181.0;1.04371785781;1.21481912529;1.40995954839,1322.0 37.0 109760;76464.0 1669.0 109697;1142.0 53.0 109762;1042.0 40.0 109763;875.0 20.0 109764;963.0 43.0 109766;811.0 24.0 109767;357.0 11.0 109769;1262.0 59.0 109761;838.0 37.0 109740;1339.0 36.0 109741;3318.0 88.0 109745;3195.0 128.0 109746;657.0 21.0 109731;1593.0 85.0 109684;1622.0 69.0 109755;1917.0 69.0 109686;10.0 0.0 109752;4627.0 62.0 109723;1591.0 51.0 109756;1480.0 52.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 287;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1022;109697 961;109762 1022;109763 1018;109764 971;109766 1015;109767 1013;109769 1001;109761 995;109740 977;109741 1028;109745 941;109746 21;109731 1049;109684 986;109755 959;109686 1019;109752 1006;109723 1044;109756 947;109758 1005
data,1241948400,1983444.0;71178.0;1988378.0;74463.0;1884621.0;82145.0;2000264.0;101198.0;1.04355595911;1.21459438849;1.40980411289,1336.0 37.0 109760;1279.0 59.0 109761;1154.0 53.0 109762;670.0 21.0 109731;897.0 20.0 109764;982.0 43.0 109766;77172.0 1676.0 109697;372.0 12.0 109769;823.0 24.0 109767;856.0 37.0 109740;1355.0 37.0 109741;3334.0 89.0 109745;1064.0 40.0 109763;1607.0 85.0 109684;1634.0 69.0 109755;1933.0 69.0 109686;27.0 0.0 109752;4643.0 63.0 109723;1603.0 51.0 109756;1504.0 53.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 993;109761 987;109762 994;109731 1028;109764 1029;109766 1041;109697 1014;109769 1010;109767 1049;109740 988;109741 996;109745 1004;109763 1089;109684 973;109755 990;109686 964;109752 967;109723 931;109756 957;109758 996
