
New Run at  02/05/2015 08:26:29
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241939400,1978980.0;70927.0;1985224.0;92568.0;1873798.0;80108.0;1994098.0;103377.0;1.30101162745;1.19284202779;1.44646270731,1269.0 38.0 109760;8208.0 160.0 109697;999.0 49.0 109762;950.0 32.0 109763;766.0 12.0 109764;865.0 32.0 109766;1165.0 46.0 109761;223.0 8.0 109769;697.0 28.0 109767;783.0 26.0 109740;1194.0 35.0 109741;3603.0 95.0 109745;45892.0 1882.0 109746;580.0 21.0 109731;1611.0 53.0 109684;1552.0 66.0 109755;1792.0 55.0 109686;4698.0 62.0 109723;1492.0 38.0 109756;1327.0 44.0 109758,109760.0 18239;109697.0 18239;109762.0 18239;109763.0 18239;109764.0 18239;109766.0 18239;109767.0 18239;109769.0 18239;109761.0 18239;109740.0 18239;109741.0 18239;109745.0 18239;109746.0 18239;109731.0 18239;109684.0 18239;109755.0 18239;109686.0 18239;109723.0 18239;109756.0 18239;109758.0 18239,109760 914;109697 909;109762 913;109763 901;109764 897;109766 922;109761 961;109769 950;109767 888;109740 908;109741 866;109745 910;109746 927;109731 910;109684 880;109755 912;109686 918;109723 903;109756 924;109758 926
data,1241940300,1979945.0;70948.0;1986236.0;92591.0;1874783.0;80131.0;1995118.0;103392.0;1.30092091069;1.19278597725;1.44620986112,1307.0 38.0 109760;8253.0 161.0 109697;1048.0 50.0 109762;620.0 21.0 109731;812.0 13.0 109764;942.0 34.0 109766;734.0 30.0 109767;260.0 8.0 109769;1208.0 47.0 109761;826.0 29.0 109740;1240.0 36.0 109741;4740.0 63.0 109723;3682.0 97.0 109745;45965.0 1885.0 109746;1018.0 33.0 109763;1638.0 53.0 109684;1833.0 55.0 109686;1595.0 68.0 109755;1556.0 39.0 109756;1401.0 45.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 978;109697 958;109762 991;109731 1011;109764 958;109766 960;109767 1033;109769 978;109761 1008;109740 1014;109741 1002;109723 1014;109745 1064;109746 1025;109763 1004;109684 967;109686 1021;109755 990;109756 1002;109758 1022
data,1241941200,1980984.0;70971.0;1987260.0;92615.0;1875857.0;80160.0;1996106.0;103411.0;1.30084838842;1.19277361467;1.44604957121,1340.0 38.0 109760;8295.0 161.0 109697;1104.0 50.0 109762;651.0 22.0 109731;852.0 14.0 109764;1035.0 36.0 109766;1267.0 50.0 109761;303.0 11.0 109769;801.0 33.0 109767;885.0 30.0 109740;1290.0 38.0 109741;4795.0 64.0 109723;3734.0 97.0 109745;46035.0 1885.0 109746;1075.0 34.0 109763;1666.0 54.0 109684;1867.0 56.0 109686;1642.0 69.0 109755;1608.0 39.0 109756;1457.0 48.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1027;109697 1015;109762 999;109731 1024;109764 1003;109766 1026;109761 971;109769 1025;109767 995;109740 993;109741 989;109723 1031;109745 954;109746 950;109763 928;109684 998;109686 1015;109755 1051;109756 1002;109758 1004
data,1241942100,1982021.0;70990.0;1988269.0;92634.0;1876888.0;80185.0;1997062.0;103431.0;1.30078749063;1.19279511372;1.44600651948,1396.0 40.0 109760;1332.0 52.0 109761;1147.0 52.0 109762;1123.0 35.0 109763;904.0 14.0 109764;1125.0 39.0 109766;8319.0 161.0 109697;362.0 13.0 109769;870.0 34.0 109767;937.0 30.0 109740;1348.0 40.0 109741;4834.0 64.0 109723;3777.0 97.0 109745;46082.0 1886.0 109746;695.0 22.0 109731;1701.0 54.0 109684;1897.0 57.0 109686;1677.0 69.0 109755;1651.0 39.0 109756;1534.0 50.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1005;109761 967;109762 986;109763 1040;109764 983;109766 948;109697 1039;109769 1001;109767 1022;109740 1011;109741 935;109723 985;109745 1021;109746 1052;109731 1032;109684 996;109686 1018;109755 962;109756 1004;109758 993
data,1241943000,1983008.0;71008.0;1989295.0;92652.0;1877903.0;80204.0;1998087.0;103462.0;1.30068698069;1.19272427485;1.44605116912,1445.0 42.0 109760;1398.0 53.0 109761;1199.0 52.0 109762;721.0 22.0 109731;941.0 14.0 109764;1208.0 41.0 109766;948.0 36.0 109767;8358.0 161.0 109697;427.0 14.0 109769;969.0 30.0 109740;1411.0 41.0 109741;3824.0 98.0 109745;46136.0 1886.0 109746;1170.0 35.0 109763;1729.0 55.0 109684;1733.0 71.0 109755;1940.0 58.0 109686;4875.0 64.0 109723;1687.0 39.0 109756;1618.0 54.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1020;109761 1014;109762 989;109731 1013;109764 1011;109766 1025;109767 969;109697 995;109769 1026;109740 952;109741 1005;109745 1020;109746 992;109763 1011;109684 1003;109755 1017;109686 987;109723 987;109756 978;109758 986
data,1241943900,1984028.0;71037.0;1990344.0;92674.0;1878912.0;80224.0;1999051.0;103488.0;1.30044787461;1.19250732899;1.44587019244,1492.0 43.0 109760;1446.0 53.0 109761;1238.0 52.0 109762;1230.0 37.0 109763;974.0 14.0 109764;1324.0 44.0 109766;1011.0 39.0 109767;8382.0 161.0 109697;501.0 16.0 109769;1004.0 30.0 109740;1477.0 42.0 109741;4905.0 64.0 109723;3867.0 98.0 109745;46180.0 1887.0 109746;762.0 23.0 109731;1768.0 57.0 109684;1975.0 58.0 109686;1785.0 73.0 109755;1719.0 39.0 109756;1746.0 58.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 975;109761 955;109762 982;109763 1045;109764 995;109766 1008;109767 996;109697 981;109769 965;109740 1010;109741 1035;109723 1002;109745 1005;109746 1023;109731 1059;109684 1001;109686 990;109755 937;109756 998;109758 1038
data,1241945100,1985011.0;71054.0;1991304.0;92688.0;1879916.0;80248.0;2000043.0;103513.0;1.30035020699;1.19253232333;1.4458723368,1529.0 43.0 109760;1510.0 55.0 109761;1275.0 53.0 109762;793.0 24.0 109731;1006.0 14.0 109764;1433.0 45.0 109766;1097.0 40.0 109767;8415.0 161.0 109697;558.0 18.0 109769;1032.0 31.0 109740;1533.0 43.0 109741;3906.0 99.0 109745;46230.0 1889.0 109746;1270.0 37.0 109763;1802.0 57.0 109684;1827.0 74.0 109755;2006.0 58.0 109686;4935.0 64.0 109723;1743.0 39.0 109756;1846.0 58.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 973;109761 968;109762 975;109731 1022;109764 1031;109766 1031;109767 978;109697 1061;109769 941;109740 1060;109741 957;109745 987;109746 1025;109763 974;109684 1018;109755 1010;109686 1006;109723 981;109756 1018;109758 984
data,1241946000,1981662.0;70964.0;1991013.0;92679.0;1877975.0;80206.0;2000193.0;103508.0;1.29986645933;1.1926377333;1.44508538366,1579.0 45.0 109760;1563.0 56.0 109761;1313.0 53.0 109762;1898.0 76.0 109755;1023.0 14.0 109764;815.0 24.0 109731;1534.0 47.0 109766;8446.0 163.0 109697;657.0 21.0 109769;1185.0 43.0 109767;1050.0 31.0 109740;1607.0 45.0 109741;3943.0 99.0 109745;46278.0 1890.0 109746;1302.0 38.0 109763;1842.0 59.0 109684;2030.0 58.0 109686;0.0 0.0 109752;4958.0 64.0 109723;1766.0 39.0 109756;1926.0 60.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 5185;109723.0 20000;109756.0 20000;109758.0 20000,109760 1009;109761 978;109762 980;109755 1015;109764 999;109731 1017;109766 1061;109697 987;109769 1035;109767 956;109740 1028;109741 1024;109745 1028;109746 976;109763 983;109684 1041;109686 873;109752 8;109723 1029;109756 988;109758 985
data,1241947200,1982749.0;70987.0;1992007.0;92692.0;1878967.0;80220.0;2001155.0;103530.0;1.29969159238;1.19248361846;1.44502181141,1620.0 45.0 109760;8483.0 164.0 109697;1350.0 54.0 109762;1359.0 38.0 109763;1046.0 14.0 109764;1620.0 47.0 109766;1286.0 44.0 109767;726.0 21.0 109769;1651.0 60.0 109761;1074.0 33.0 109740;1678.0 45.0 109741;3971.0 99.0 109745;46279.0 1890.0 109746;836.0 24.0 109731;1895.0 59.0 109684;1982.0 77.0 109755;2049.0 59.0 109686;16.0 0.0 109752;4985.0 65.0 109723;1778.0 39.0 109756;2025.0 61.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 287;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1022;109697 961;109762 1022;109763 1018;109764 971;109766 1015;109767 1013;109769 1001;109761 995;109740 977;109741 1028;109745 941;109746 21;109731 1049;109684 986;109755 959;109686 1019;109752 1006;109723 1044;109756 947;109758 1005
data,1241948400,1983766.0;71002.0;1993027.0;92712.0;1879968.0;80241.0;2002127.0;103556.0;1.29969853078;1.1925201769;1.44511864642,1660.0 45.0 109760;1732.0 60.0 109761;1408.0 57.0 109762;860.0 24.0 109731;1069.0 14.0 109764;1715.0 50.0 109766;8520.0 164.0 109697;799.0 22.0 109769;1409.0 48.0 109767;1113.0 35.0 109740;1740.0 46.0 109741;3992.0 99.0 109745;1403.0 38.0 109763;1942.0 60.0 109684;2060.0 78.0 109755;2074.0 60.0 109686;30.0 0.0 109752;5005.0 65.0 109723;1796.0 39.0 109756;2123.0 64.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 993;109761 987;109762 994;109731 1028;109764 1029;109766 1041;109697 1014;109769 1010;109767 1049;109740 988;109741 996;109745 1004;109763 1089;109684 973;109755 990;109686 964;109752 967;109723 931;109756 957;109758 996
