
New Run at  02/10/2015 19:09:44
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,973.0;26.0;1012.0;34.0;1060.0;26.0;1028.0;18.0;1.25729705078;0.917924528302;0.655267883867,39.0 2.0 109473;52.0 1.0 109506;61.0 2.0 109508;48.0 3.0 109509;42.0 0.0 109510;47.0 1.0 109511;44.0 0.0 109512;50.0 0.0 109513;43.0 1.0 109514;42.0 1.0 109515;45.0 1.0 109484;65.0 4.0 109453;60.0 1.0 109492;64.0 3.0 109505;41.0 1.0 109494;44.0 0.0 109495;45.0 2.0 109498;28.0 0.0 109501;66.0 4.0 109502;86.0 7.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1010;109506 986;109508 1024;109509 960;109510 1058;109511 1019;109512 969;109513 1024;109514 1013;109515 976;109484 1006;109453 982;109492 1019;109505 949;109494 955;109495 1003;109498 1004;109501 984;109502 1002;109503 1057
data,1241162700,1909.0;54.0;1968.0;67.0;2003.0;60.0;1802.0;53.0;1.20354373683;1.0589671049;1.03976034858,86.0 3.0 109473;101.0 3.0 109506;107.0 2.0 109508;119.0 5.0 109509;82.0 4.0 109510;99.0 4.0 109505;76.0 0.0 109512;83.0 2.0 109513;81.0 3.0 109514;95.0 3.0 109515;108.0 5.0 109484;117.0 6.0 109453;10.0 0.0 109519;93.0 2.0 109492;78.0 2.0 109494;72.0 0.0 109495;86.0 2.0 109511;79.0 2.0 109498;72.0 3.0 109501;129.0 6.0 109502;195.0 10.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 15120;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 11554;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1017;109506 995;109508 1017;109509 1011;109510 982;109505 478;109512 1010;109513 968;109514 975;109515 1068;109484 1026;109453 952;109519 495;109492 983;109494 1060;109495 988;109511 983;109498 1012;109501 1003;109502 962;109503 1015
data,1241163600,2858.0;82.0;2951.0;96.0;2961.0;86.0;2805.0;86.0;1.13383640105;1.01229808651;1.06859701752,116.0 3.0 109473;158.0 6.0 109506;145.0 4.0 109508;170.0 5.0 109509;148.0 6.0 109510;127.0 2.0 109511;101.0 2.0 109512;114.0 3.0 109513;134.0 4.0 109514;135.0 3.0 109515;184.0 10.0 109484;182.0 8.0 109453;34.0 0.0 109519;129.0 2.0 109492;113.0 3.0 109494;98.0 1.0 109495;111.0 2.0 109498;124.0 3.0 109501;197.0 8.0 109502;332.0 17.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1012;109506 1030;109508 1021;109509 933;109510 1020;109511 1022;109512 972;109513 1003;109514 1027;109515 972;109484 954;109453 1072;109519 995;109492 998;109494 1023;109495 964;109498 999;109501 1022;109502 975;109503 986
data,1241164800,3824.0;101.0;3943.0;119.0;3991.0;114.0;3809.0;123.0;1.14265913023;1.08148284134;1.22261761487,142.0 3.0 109473;236.0 8.0 109506;185.0 4.0 109508;216.0 6.0 109509;208.0 6.0 109510;163.0 4.0 109511;150.0 5.0 109512;155.0 3.0 109513;178.0 4.0 109514;174.0 4.0 109515;289.0 13.0 109484;243.0 10.0 109453;58.0 1.0 109519;152.0 2.0 109492;150.0 3.0 109494;127.0 2.0 109495;133.0 2.0 109498;155.0 3.0 109501;241.0 8.0 109502;489.0 24.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 998;109506 1013;109508 1011;109509 1017;109510 1005;109511 1031;109512 990;109513 1050;109514 968;109515 1023;109484 1018;109453 953;109519 996;109492 974;109494 980;109495 938;109498 1030;109501 1006;109502 1018;109503 981
data,1241165700,4837.0;136.0;4930.0;146.0;4995.0;146.0;4798.0;145.0;1.05327824842;1.03957192487;1.07484276537,179.0 6.0 109473;304.0 11.0 109506;218.0 5.0 109508;256.0 8.0 109509;255.0 8.0 109510;205.0 5.0 109511;246.0 10.0 109512;187.0 3.0 109513;205.0 4.0 109514;223.0 5.0 109515;408.0 16.0 109484;289.0 11.0 109453;82.0 1.0 109519;190.0 3.0 109492;171.0 3.0 109494;153.0 2.0 109495;160.0 2.0 109498;186.0 3.0 109501;300.0 12.0 109502;614.0 24.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1013;109506 1022;109508 1062;109509 991;109510 1046;109511 991;109512 991;109513 969;109514 976;109515 965;109484 1036;109453 1007;109519 975;109492 937;109494 981;109495 984;109498 1021;109501 1054;109502 979;109503 1000
data,1241166900,5848.0;167.0;5886.0;179.0;5995.0;170.0;5799.0;168.0;1.06493638615;0.993003151329;1.01448835387,221.0 7.0 109473;381.0 14.0 109506;271.0 9.0 109508;317.0 9.0 109509;300.0 9.0 109510;242.0 8.0 109511;363.0 18.0 109512;216.0 3.0 109513;221.0 4.0 109514;250.0 6.0 109515;510.0 19.0 109484;353.0 14.0 109453;97.0 1.0 109519;213.0 3.0 109492;207.0 4.0 109494;179.0 3.0 109495;178.0 2.0 109498;202.0 3.0 109501;353.0 12.0 109502;713.0 27.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1069;109506 979;109508 971;109509 1037;109510 1013;109511 1017;109512 983;109513 977;109514 982;109515 953;109484 980;109453 958;109519 1012;109492 979;109494 1059;109495 963;109498 982;109501 1095;109502 977;109503 1014
data,1241167800,6852.0;194.0;6839.0;216.0;6991.0;198.0;6836.0;211.0;1.1155184863;1.00032589766;1.09017451575,253.0 7.0 109473;436.0 15.0 109506;333.0 17.0 109508;363.0 11.0 109509;354.0 13.0 109510;286.0 9.0 109511;504.0 22.0 109512;236.0 5.0 109513;249.0 4.0 109514;287.0 7.0 109515;603.0 24.0 109484;415.0 15.0 109453;113.0 1.0 109519;235.0 4.0 109492;237.0 5.0 109494;200.0 3.0 109495;191.0 3.0 109498;222.0 3.0 109501;404.0 12.0 109502;819.0 32.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 982;109508 976;109509 1019;109510 1053;109511 1108;109512 970;109513 994;109514 1038;109515 983;109484 980;109453 957;109519 997;109492 1005;109494 974;109495 1008;109498 975;109501 1020;109502 945;109503 1012
data,1241169000,7799.0;223.0;7867.0;251.0;8038.0;216.0;7855.0;252.0;1.11583152876;0.939809447724;1.12198850808,300.0 10.0 109473;489.0 16.0 109506;474.0 21.0 109508;401.0 11.0 109509;443.0 18.0 109510;330.0 10.0 109511;607.0 26.0 109512;261.0 5.0 109513;269.0 5.0 109514;322.0 7.0 109515;707.0 28.0 109484;459.0 15.0 109453;124.0 1.0 109519;260.0 4.0 109492;257.0 6.0 109494;224.0 4.0 109495;213.0 3.0 109498;235.0 3.0 109501;444.0 14.0 109502;949.0 40.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 994;109506 979;109508 987;109509 1014;109510 1003;109511 1009;109512 1052;109513 1015;109514 1023;109515 1028;109484 985;109453 953;109519 930;109492 1015;109494 971;109495 988;109498 1011;109501 985;109502 1050;109503 1008
data,1241169900,8806.0;236.0;8880.0;274.0;9044.0;242.0;8903.0;279.0;1.15134180791;0.998438893845;1.16932304289,342.0 11.0 109473;535.0 17.0 109506;581.0 24.0 109508;428.0 11.0 109509;552.0 24.0 109510;366.0 11.0 109511;706.0 27.0 109512;292.0 6.0 109513;283.0 5.0 109514;353.0 7.0 109515;809.0 29.0 109484;503.0 16.0 109453;142.0 3.0 109519;281.0 4.0 109492;285.0 6.0 109494;242.0 4.0 109495;226.0 3.0 109498;253.0 3.0 109501;494.0 16.0 109502;1108.0 43.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 955;109506 981;109508 1031;109509 966;109510 1001;109511 971;109512 976;109513 992;109514 963;109515 989;109484 1014;109453 1008;109519 1032;109492 962;109494 1067;109495 998;109498 1001;109501 1045;109502 1011;109503 1037
data,1241171100,9758.0;254.0;9880.0;295.0;10057.0;270.0;9890.0;323.0;1.14707593484;1.03138880037;1.25468101877,374.0 12.0 109473;587.0 17.0 109506;714.0 29.0 109508;457.0 11.0 109509;700.0 27.0 109510;423.0 16.0 109511;780.0 27.0 109512;318.0 7.0 109513;305.0 7.0 109514;375.0 7.0 109515;886.0 30.0 109484;534.0 17.0 109453;157.0 3.0 109519;296.0 4.0 109492;305.0 6.0 109494;265.0 4.0 109495;240.0 3.0 109498;274.0 5.0 109501;556.0 16.0 109502;1235.0 43.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 954;109506 987;109508 1019;109509 995;109510 1028;109511 1011;109512 992;109513 998;109514 958;109515 953;109484 1027;109453 1008;109519 977;109492 1029;109494 1032;109495 960;109498 1030;109501 1011;109502 1051;109503 980
