data,1241350800,176713.0;6140.0;184851.0;7958.0;162436.0;5900.0;165966.0;8750.0;1.23903124758;1.04536956996;1.51736147952,2013.0 65.0 109568;945.0 26.0 109569;16275.0 944.0 109571;3161.0 48.0 109536;1068.0 29.0 109541;693.0 23.0 109542;673.0 14.0 109551;512.0 7.0 109553;8879.0 308.0 109476;1389.0 51.0 109524;5797.0 187.0 109557;5720.0 193.0 109560;863.0 23.0 109561;969.0 14.0 109562;1041.0 32.0 109563;1740.0 30.0 109564;2019.0 46.0 109565;742.0 13.0 109566;4329.0 152.0 109567,109536.0 16129;109568.0 16129;109571.0 16129;109476.0 16129;109541.0 16129;109542.0 16129;109569.0 16129;109551.0 16129;109553.0 16129;109524.0 16129;109557.0 16129;109560.0 16129;109561.0 16129;109562.0 16129;109563.0 16129;109564.0 16129;109565.0 16129;109566.0 16129;109567.0 16129,109568 847;109569 847;109571 854;109536 839;109541 886;109542 848;109551 857;109553 826;109476 792;109524 823;109557 851;109560 862;109561 831;109562 877;109563 840;109564 851;109565 878;109566 803;109567 917
data,1241351100,176922.0;6146.0;185060.0;7960.0;162632.0;5902.0;166161.0;8757.0;1.2381971332;1.04467809048;1.51710464035,3175.0 48.0 109536;2026.0 65.0 109568;16291.0 945.0 109571;8894.0 308.0 109476;1076.0 29.0 109541;704.0 23.0 109542;958.0 26.0 109569;683.0 14.0 109551;523.0 7.0 109553;1401.0 51.0 109524;5808.0 188.0 109557;5732.0 193.0 109560;871.0 23.0 109561;977.0 14.0 109562;1051.0 32.0 109563;1750.0 30.0 109564;2027.0 46.0 109565;753.0 13.0 109566;4337.0 152.0 109567,109536.0 3871;109568.0 3871;109571.0 3871;109476.0 3871;109541.0 3871;109542.0 3871;109569.0 3871;109551.0 3871;109553.0 3871;109524.0 3871;109557.0 3871;109560.0 3871;109561.0 3871;109562.0 3871;109563.0 3871;109564.0 3871;109565.0 3871;109566.0 3871;109567.0 3871,109536 190;109568 201;109571 189;109476 190;109541 183;109542 199;109569 226;109551 208;109553 231;109524 193;109557 223;109560 192;109561 215;109562 195;109563 215;109564 207;109565 213;109566 201;109567 200
data,1241351700,177965.0;6168.0;186177.0;7987.0;163705.0;5930.0;167158.0;8809.0;1.23779262394;1.04516048826;1.52051138943,2090.0 66.0 109568;1008.0 27.0 109569;16357.0 948.0 109571;8964.0 309.0 109476;3225.0 49.0 109536;752.0 24.0 109542;742.0 16.0 109551;568.0 7.0 109553;1461.0 54.0 109524;5869.0 188.0 109557;1099.0 35.0 109563;5780.0 193.0 109560;957.0 27.0 109561;1043.0 16.0 109562;1133.0 30.0 109541;1809.0 31.0 109564;2093.0 48.0 109565;818.0 14.0 109566;4386.0 152.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1045;109569 1046;109571 998;109476 1097;109536 1011;109542 1073;109551 1013;109553 1049;109524 1090;109557 1069;109563 1071;109560 1043;109561 1093;109562 1054;109541 1074;109564 1010;109565 998;109566 1107;109567 1059
data,1241352300,179041.0;6207.0;187249.0;8019.0;164780.0;5973.0;168202.0;8871.0;1.23529719686;1.04558360721;1.52129057016,3273.0 49.0 109536;1093.0 31.0 109569;16436.0 952.0 109571;9013.0 310.0 109476;832.0 29.0 109542;2130.0 66.0 109568;793.0 17.0 109551;604.0 8.0 109553;1171.0 31.0 109541;1545.0 56.0 109524;5906.0 188.0 109557;5812.0 193.0 109560;1048.0 30.0 109561;1100.0 17.0 109562;1165.0 36.0 109563;1863.0 34.0 109564;2158.0 50.0 109565;871.0 16.0 109566;4413.0 153.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1055;109569 1022;109571 1026;109476 1030;109542 1050;109568 1008;109551 1070;109553 1088;109541 1057;109524 1023;109557 1059;109560 1054;109561 1079;109562 1037;109563 1123;109564 1089;109565 1067;109566 1036;109567 1027
data,1241352900,180108.0;6236.0;188265.0;8049.0;165864.0;6006.0;169226.0;8931.0;1.23480743531;1.04582757926;1.52426296379,3305.0 49.0 109536;2169.0 68.0 109568;16552.0 960.0 109571;9062.0 312.0 109476;1202.0 32.0 109541;910.0 32.0 109542;1146.0 31.0 109569;840.0 19.0 109551;640.0 9.0 109553;1628.0 58.0 109524;5933.0 188.0 109557;5846.0 194.0 109560;1156.0 35.0 109561;1144.0 17.0 109562;1217.0 36.0 109563;1929.0 35.0 109564;2203.0 51.0 109565;913.0 16.0 109566;4447.0 154.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1010;109568 1034;109571 1012;109476 1086;109541 1015;109542 1061;109569 1064;109551 1031;109553 1033;109524 1034;109557 1058;109560 1100;109561 1037;109562 1115;109563 1098;109564 1110;109565 1046;109566 1020;109567 1036
data,1241353500,181123.0;6259.0;189315.0;8083.0;166892.0;6043.0;170296.0;8988.0;1.23553827696;1.04781769047;1.52731025561,3330.0 49.0 109536;1210.0 33.0 109569;16709.0 966.0 109571;9115.0 313.0 109476;1237.0 33.0 109541;1008.0 35.0 109542;2241.0 70.0 109568;888.0 21.0 109551;676.0 10.0 109553;1686.0 59.0 109524;5958.0 189.0 109557;5869.0 195.0 109560;1261.0 38.0 109561;1181.0 18.0 109562;1268.0 39.0 109563;1984.0 36.0 109564;2247.0 53.0 109565;936.0 16.0 109566;4488.0 157.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1020;109569 1072;109571 1056;109476 1101;109541 1098;109542 1041;109568 1090;109551 1076;109553 989;109524 1075;109557 1026;109560 1052;109561 1053;109562 1077;109563 1057;109564 1041;109565 994;109566 1033;109567 1049
data,1241354100,182189.0;6286.0;190388.0;8121.0;167950.0;6065.0;171334.0;9043.0;1.23628247869;1.04664299813;1.5297369329,2278.0 71.0 109568;1268.0 36.0 109569;16865.0 971.0 109571;9153.0 313.0 109476;1298.0 37.0 109541;1117.0 40.0 109542;929.0 23.0 109551;708.0 11.0 109553;1761.0 63.0 109524;5986.0 190.0 109557;3353.0 49.0 109536;5906.0 196.0 109560;1352.0 40.0 109561;1217.0 18.0 109562;1341.0 42.0 109563;2030.0 37.0 109564;2301.0 56.0 109565;960.0 16.0 109566;4542.0 159.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1057;109569 1114;109571 1017;109476 1006;109541 1112;109542 1010;109551 1031;109553 1075;109524 1042;109557 1027;109536 1090;109560 1097;109561 1010;109562 1016;109563 1061;109564 1075;109565 1012;109566 1065;109567 1083
data,1241354700,183209.0;6317.0;191394.0;8154.0;169038.0;6093.0;172392.0;9103.0;1.23560118312;1.04540063561;1.5314519033,3371.0 49.0 109536;1334.0 38.0 109569;16998.0 975.0 109571;9181.0 313.0 109476;1368.0 39.0 109541;1221.0 44.0 109542;2307.0 73.0 109568;993.0 26.0 109551;745.0 11.0 109553;1821.0 66.0 109524;6003.0 190.0 109557;5931.0 197.0 109560;1416.0 41.0 109561;1245.0 19.0 109562;1413.0 47.0 109563;2081.0 39.0 109564;2367.0 57.0 109565;990.0 17.0 109566;4586.0 160.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1071;109569 1070;109571 1055;109476 1017;109541 1005;109542 1042;109568 1048;109551 1085;109553 1092;109524 1063;109557 1020;109560 1028;109561 1092;109562 1061;109563 1071;109564 1020;109565 1084;109566 1079;109567 997
data,1241355300,184239.0;6345.0;192475.0;8185.0;170073.0;6114.0;173480.0;9157.0;1.23479339216;1.0438545851;1.53268794653,3393.0 49.0 109536;1407.0 41.0 109569;17173.0 984.0 109571;9209.0 314.0 109476;1346.0 49.0 109542;2352.0 74.0 109568;1070.0 28.0 109551;764.0 11.0 109553;1915.0 68.0 109524;6027.0 191.0 109557;1497.0 48.0 109563;5955.0 198.0 109560;1473.0 43.0 109561;1264.0 19.0 109562;4631.0 161.0 109567;2126.0 40.0 109564;2427.0 58.0 109565;1012.0 17.0 109566;1411.0 39.0 109541,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1069;109569 1070;109571 1074;109476 1023;109542 1045;109568 1018;109551 1043;109553 1157;109524 1068;109557 1050;109563 1020;109560 1074;109561 1025;109562 960;109567 1091;109564 1042;109565 1035;109566 1111;109541 1025
data,1241355600,185309.0;6373.0;193574.0;8225.0;171163.0;6147.0;174562.0;9213.0;1.23549637699;1.04425344639;1.53463096184,2392.0 75.0 109568;1461.0 42.0 109569;17457.0 997.0 109571;9235.0 315.0 109476;3410.0 49.0 109536;1499.0 60.0 109542;1149.0 32.0 109551;789.0 12.0 109553;1449.0 39.0 109541;1983.0 71.0 109524;6062.0 193.0 109557;5986.0 198.0 109560;1516.0 43.0 109561;1289.0 20.0 109562;1541.0 49.0 109563;2158.0 40.0 109564;2477.0 59.0 109565;1035.0 17.0 109566;4663.0 161.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1048;109569 1023;109571 1080;109476 1110;109536 1032;109542 1041;109551 1073;109553 1093;109541 1048;109524 1047;109557 1043;109560 1037;109561 1024;109562 1076;109563 1031;109564 1011;109565 1018;109566 1075;109567 1090
data,1241356200,186351.0;6400.0;194648.0;8266.0;172232.0;6180.0;175630.0;9285.0;1.23650879247;1.0447836893;1.53934143779,2417.0 76.0 109568;1501.0 42.0 109569;17782.0 1018.0 109571;9266.0 317.0 109476;1489.0 40.0 109541;1686.0 69.0 109542;1203.0 32.0 109551;813.0 13.0 109553;2037.0 71.0 109524;6093.0 194.0 109557;3422.0 49.0 109536;6012.0 198.0 109560;1548.0 44.0 109561;1309.0 21.0 109562;1596.0 50.0 109563;2191.0 41.0 109564;2521.0 60.0 109565;1056.0 17.0 109566;4683.0 161.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 999;109569 1108;109571 1108;109476 976;109541 1051;109542 1043;109551 1024;109553 1082;109524 1112;109557 1091;109536 1020;109560 1062;109561 979;109562 1066;109563 1071;109564 1059;109565 1079;109566 1032;109567 1038
