data,1241736600,686320.0;24993.0;753371.0;37052.0;626223.0;23702.0;710290.0;40035.0;1.35055110442;1.03935580262;1.54779128889,1611.0 57.0 109696;423.0 4.0 109697;460.0 13.0 109698;1731.0 112.0 109699;2583.0 120.0 109700;535.0 17.0 109701;503.0 13.0 109702;9352.0 671.0 109703;1080.0 62.0 109704;421.0 16.0 109705;118.0 7.0 109706;499.0 20.0 109635;435.0 11.0 109651;468.0 10.0 109660;883.0 20.0 109667;917.0 36.0 109673;81.0 4.0 109675;1057.0 42.0 109683;1392.0 57.0 109689;4623.0 205.0 109690;22513.0 1770.0 109692;649.0 15.0 109693,109696.0 1157;109697.0 1157;109698.0 1157;109699.0 1157;109700.0 1157;109701.0 1157;109702.0 1157;109703.0 1157;109704.0 1157;109705.0 1157;109706.0 1157;109635.0 1157;109651.0 1157;109660.0 1157;109667.0 1157;109673.0 1157;109675.0 1157;109683.0 1157;109689.0 1157;109690.0 1157;109692.0 1157;109693.0 1157,109696 51;109697 52;109698 57;109699 56;109700 50;109701 51;109702 62;109703 45;109704 65;109705 64;109706 48;109635 47;109651 51;109660 48;109667 46;109673 52;109675 52;109683 40;109689 51;109690 67;109692 43;109693 59
data,1241736900,687178.0;25023.0;754209.0;37080.0;627103.0;23732.0;711130.0;40072.0;1.35013714615;1.03926268105;1.54746875719,1647.0 58.0 109696;458.0 5.0 109697;497.0 14.0 109698;1770.0 113.0 109699;2614.0 121.0 109700;570.0 18.0 109701;534.0 14.0 109702;9409.0 674.0 109703;1112.0 62.0 109704;458.0 17.0 109705;146.0 7.0 109706;543.0 23.0 109635;471.0 11.0 109651;509.0 11.0 109660;922.0 21.0 109667;956.0 39.0 109673;114.0 7.0 109675;1093.0 42.0 109683;1436.0 59.0 109689;4663.0 206.0 109690;22559.0 1771.0 109692;691.0 17.0 109693,109696.0 18843;109697.0 18843;109698.0 18843;109699.0 18843;109700.0 18843;109701.0 18843;109702.0 18843;109703.0 18843;109704.0 18843;109705.0 18843;109706.0 18843;109635.0 18843;109651.0 18843;109660.0 18843;109667.0 18843;109673.0 18843;109675.0 18843;109683.0 18843;109689.0 18843;109690.0 18843;109692.0 18843;109693.0 18843,109696 880;109697 836;109698 875;109699 925;109700 834;109701 861;109702 844;109703 841;109704 870;109705 881;109706 893;109635 854;109651 868;109660 816;109667 841;109673 872;109675 797;109683 836;109689 831;109690 865;109692 867;109693 856
data,1241737200,688096.0;25053.0;755118.0;37098.0;628034.0;23768.0;712052.0;40112.0;1.34935110458;1.03943844987;1.54721939503,1698.0 60.0 109696;490.0 5.0 109697;539.0 14.0 109698;1804.0 114.0 109699;2647.0 121.0 109700;619.0 22.0 109701;568.0 14.0 109702;9452.0 674.0 109703;1142.0 63.0 109704;532.0 21.0 109705;182.0 8.0 109706;603.0 23.0 109635;496.0 11.0 109651;547.0 11.0 109660;954.0 21.0 109667;1009.0 39.0 109673;174.0 8.0 109675;1119.0 42.0 109683;1474.0 60.0 109689;4695.0 206.0 109690;22610.0 1774.0 109692;727.0 17.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 968;109697 910;109698 932;109699 879;109700 891;109701 932;109702 878;109703 967;109704 920;109705 883;109706 914;109635 936;109651 929;109660 881;109667 862;109673 911;109675 937;109683 925;109689 921;109690 870;109692 875;109693 879
data,1241737500,689003.0;25083.0;756033.0;37127.0;628944.0;23797.0;713010.0;40157.0;1.34893412155;1.03932617975;1.54706041702,1755.0 62.0 109696;523.0 5.0 109697;568.0 15.0 109698;1846.0 114.0 109699;2682.0 122.0 109700;681.0 23.0 109701;590.0 14.0 109702;9509.0 678.0 109703;1172.0 63.0 109704;615.0 23.0 109705;216.0 9.0 109706;655.0 27.0 109635;517.0 11.0 109651;575.0 12.0 109660;982.0 21.0 109667;1067.0 44.0 109673;220.0 9.0 109675;1147.0 42.0 109683;1506.0 60.0 109689;4734.0 208.0 109690;22681.0 1778.0 109692;755.0 17.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 903;109697 909;109698 951;109699 899;109700 867;109701 917;109702 880;109703 903;109704 962;109705 944;109706 883;109635 859;109651 873;109660 937;109667 930;109673 863;109675 920;109683 937;109689 899;109690 903;109692 936;109693 925
data,1241737800,689864.0;25115.0;756949.0;37157.0;629802.0;23829.0;713940.0;40203.0;1.34835522562;1.0392788317;1.54677465322,1812.0 66.0 109696;551.0 6.0 109697;589.0 15.0 109698;1876.0 114.0 109699;2712.0 122.0 109700;732.0 23.0 109701;610.0 14.0 109702;9570.0 681.0 109703;1202.0 64.0 109704;684.0 26.0 109705;238.0 10.0 109706;716.0 27.0 109635;542.0 12.0 109651;601.0 13.0 109660;1014.0 22.0 109667;1147.0 45.0 109673;270.0 11.0 109675;1164.0 42.0 109683;1547.0 62.0 109689;4777.0 211.0 109690;22758.0 1780.0 109692;800.0 21.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 932;109697 887;109698 921;109699 903;109700 831;109701 928;109702 939;109703 900;109704 932;109705 917;109706 934;109635 942;109651 880;109660 856;109667 904;109673 877;109675 914;109683 930;109689 923;109690 932;109692 922;109693 896
data,1241738100,690785.0;25143.0;757860.0;37194.0;630687.0;23861.0;714815.0;40240.0;1.3483719345;1.03944272667;1.54664313364,1865.0 66.0 109696;572.0 6.0 109697;618.0 16.0 109698;1906.0 115.0 109699;2741.0 122.0 109700;768.0 24.0 109701;625.0 14.0 109702;9660.0 690.0 109703;1227.0 64.0 109704;733.0 26.0 109705;265.0 11.0 109706;766.0 29.0 109635;564.0 12.0 109651;635.0 13.0 109660;1037.0 23.0 109667;1203.0 47.0 109673;317.0 15.0 109675;1177.0 42.0 109683;1587.0 63.0 109689;4827.0 213.0 109690;22883.0 1792.0 109692;847.0 21.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 918;109697 940;109698 902;109699 939;109700 911;109701 948;109702 913;109703 833;109704 957;109705 898;109706 916;109635 943;109651 838;109660 925;109667 919;109673 922;109675 919;109683 882;109689 901;109690 917;109692 900;109693 859
data,1241738400,691696.0;25179.0;758729.0;37242.0;631598.0;23901.0;715719.0;40289.0;1.34841351961;1.03956610796;1.54639603669,1904.0 67.0 109696;594.0 6.0 109697;652.0 18.0 109698;1927.0 116.0 109699;2761.0 122.0 109700;799.0 25.0 109701;634.0 14.0 109702;9775.0 699.0 109703;1244.0 66.0 109704;760.0 26.0 109705;292.0 13.0 109706;809.0 33.0 109635;574.0 12.0 109651;656.0 13.0 109660;1059.0 23.0 109667;1243.0 47.0 109673;379.0 19.0 109675;1198.0 42.0 109683;1616.0 63.0 109689;4888.0 219.0 109690;23053.0 1807.0 109692;875.0 22.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 897;109697 919;109698 927;109699 884;109700 888;109701 929;109702 976;109703 861;109704 891;109705 907;109706 910;109635 898;109651 883;109660 932;109667 875;109673 905;109675 903;109683 889;109689 923;109690 955;109692 915;109693 933
data,1241738700,692594.0;25212.0;759633.0;37273.0;632572.0;23936.0;716599.0;40326.0;1.34791328166;1.03947258109;1.54589635953,1940.0 69.0 109696;616.0 7.0 109697;673.0 18.0 109698;1944.0 116.0 109699;2775.0 122.0 109700;815.0 25.0 109701;652.0 14.0 109702;9941.0 709.0 109703;1260.0 66.0 109704;785.0 26.0 109705;325.0 13.0 109706;856.0 34.0 109635;581.0 12.0 109651;667.0 13.0 109660;1077.0 23.0 109667;1268.0 47.0 109673;457.0 24.0 109675;1208.0 42.0 109683;1636.0 64.0 109689;4972.0 224.0 109690;23242.0 1812.0 109692;906.0 23.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 912;109697 923;109698 1008;109699 872;109700 907;109701 863;109702 904;109703 906;109704 963;109705 892;109706 926;109635 921;109651 910;109660 880;109667 844;109673 926;109675 909;109683 909;109689 906;109690 945;109692 899;109693 875
data,1241739000,693458.0;25237.0;760558.0;37319.0;633476.0;23963.0;717561.0;40374.0;1.34828000509;1.0394257152;1.54605659349,1981.0 72.0 109696;632.0 7.0 109697;693.0 19.0 109698;1956.0 118.0 109699;2786.0 122.0 109700;844.0 27.0 109701;671.0 14.0 109702;10140.0 717.0 109703;1281.0 67.0 109704;805.0 26.0 109705;342.0 14.0 109706;910.0 37.0 109635;591.0 13.0 109651;680.0 14.0 109660;1091.0 23.0 109667;1286.0 47.0 109673;512.0 26.0 109675;1225.0 43.0 109683;1661.0 65.0 109689;5074.0 233.0 109690;23425.0 1821.0 109692;935.0 24.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 908;109697 948;109698 909;109699 925;109700 870;109701 922;109702 907;109703 923;109704 905;109705 892;109706 953;109635 925;109651 932;109660 938;109667 882;109673 963;109675 851;109683 883;109689 849;109690 898;109692 900;109693 917
data,1241739300,694349.0;25271.0;761457.0;37362.0;634367.0;24003.0;718441.0;40411.0;1.34815590805;1.03963365256;1.54548173018,2013.0 74.0 109696;646.0 7.0 109697;707.0 19.0 109698;1975.0 118.0 109699;2802.0 123.0 109700;864.0 27.0 109701;688.0 14.0 109702;10333.0 730.0 109703;1303.0 68.0 109704;822.0 28.0 109705;365.0 15.0 109706;957.0 38.0 109635;609.0 13.0 109651;700.0 15.0 109660;1100.0 23.0 109667;1301.0 47.0 109673;580.0 30.0 109675;1242.0 44.0 109683;1675.0 65.0 109689;5206.0 236.0 109690;23586.0 1834.0 109692;946.0 24.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 871;109697 955;109698 868;109699 901;109700 947;109701 876;109702 909;109703 961;109704 910;109705 956;109706 938;109635 930;109651 921;109660 848;109667 873;109673 900;109675 916;109683 889;109689 923;109690 952;109692 905;109693 851
data,1241739600,695287.0;25310.0;762306.0;37396.0;635332.0;24041.0;719324.0;40445.0;1.34762102246;1.03949824982;1.54458656611,2054.0 74.0 109696;660.0 7.0 109697;723.0 19.0 109698;1997.0 118.0 109699;2819.0 123.0 109700;887.0 27.0 109701;693.0 15.0 109702;10531.0 743.0 109703;1326.0 68.0 109704;841.0 28.0 109705;386.0 18.0 109706;997.0 39.0 109635;622.0 14.0 109651;716.0 15.0 109660;1109.0 23.0 109667;1322.0 48.0 109673;666.0 37.0 109675;1258.0 44.0 109683;1697.0 66.0 109689;5271.0 236.0 109690;23726.0 1840.0 109692;968.0 24.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 919;109697 934;109698 912;109699 887;109700 931;109701 925;109702 884;109703 852;109704 930;109705 928;109706 911;109635 882;109651 965;109660 887;109667 933;109673 894;109675 888;109683 918;109689 939;109690 894;109692 866;109693 921
