data,1241842800,857527.0;30781.0;961153.0;45818.0;791749.0;29564.0;928995.0;49992.0;1.32803242938;1.04025724283;1.49917459233,1526.0 21.0 109697;5220.0 254.0 109711;197.0 2.0 109714;5949.0 193.0 109720;23693.0 1258.0 109721;2421.0 77.0 109722;2764.0 54.0 109723;2588.0 81.0 109725;2023.0 47.0 109726;3240.0 97.0 109728;5369.0 250.0 109732;2116.0 100.0 109734;1628.0 37.0 109735;4834.0 239.0 109737;9227.0 554.0 109742;1581.0 69.0 109743;758.0 14.0 109744;934.0 25.0 109745;3428.0 178.0 109746;754.0 31.0 109747;1070.0 49.0 109748;307.0 14.0 109749;1986.0 44.0 109667,109697.0 16553;109711.0 16553;109714.0 16553;109720.0 16553;109721.0 16553;109722.0 16553;109723.0 16553;109725.0 16553;109726.0 16553;109728.0 16553;109732.0 16553;109734.0 16553;109735.0 16553;109737.0 16553;109742.0 16553;109743.0 16553;109744.0 16553;109745.0 16553;109746.0 16553;109747.0 16553;109748.0 16553;109749.0 16553;109667.0 16553,109697 746;109711 695;109714 741;109720 752;109721 714;109722 766;109723 742;109725 760;109726 696;109728 682;109732 722;109734 752;109735 728;109737 692;109742 726;109743 731;109744 709;109745 685;109746 709;109747 684;109748 763;109749 692;109667 666
data,1241843100,857663.0;30788.0;961297.0;45820.0;791896.0;29571.0;929126.0;49994.0;1.32780009321;1.04023882484;1.49892005229,1540.0 21.0 109697;5229.0 254.0 109711;200.0 2.0 109714;5950.0 193.0 109720;23701.0 1258.0 109721;2425.0 77.0 109722;2773.0 54.0 109723;2593.0 81.0 109725;2032.0 47.0 109726;3245.0 97.0 109728;5377.0 250.0 109732;2119.0 100.0 109734;1636.0 37.0 109735;4841.0 239.0 109737;9230.0 554.0 109742;1585.0 69.0 109743;765.0 14.0 109744;942.0 25.0 109745;3431.0 178.0 109746;763.0 33.0 109747;1073.0 49.0 109748;313.0 14.0 109749;1994.0 44.0 109667,109697.0 3447;109711.0 3447;109714.0 3447;109720.0 3447;109721.0 3447;109722.0 3447;109723.0 3447;109725.0 3447;109726.0 3447;109728.0 3447;109732.0 3447;109734.0 3447;109735.0 3447;109737.0 3447;109742.0 3447;109743.0 3447;109744.0 3447;109745.0 3447;109746.0 3447;109747.0 3447;109748.0 3447;109749.0 3447;109667.0 3447,109697 166;109711 135;109714 125;109720 169;109721 141;109722 152;109723 158;109725 140;109726 160;109728 166;109732 135;109734 143;109735 144;109737 157;109742 130;109743 155;109744 164;109745 177;109746 133;109747 151;109748 143;109749 154;109667 149
data,1241843400,858479.0;30820.0;962217.0;45852.0;792759.0;29603.0;929960.0;50032.0;1.3273403592;1.04013949106;1.49858243078,1589.0 24.0 109697;5280.0 256.0 109711;235.0 2.0 109714;5977.0 193.0 109720;23728.0 1258.0 109721;2467.0 80.0 109722;2824.0 55.0 109723;2648.0 84.0 109725;2065.0 48.0 109726;3281.0 97.0 109728;5423.0 250.0 109732;2160.0 104.0 109734;1670.0 38.0 109735;4889.0 241.0 109737;9260.0 554.0 109742;1627.0 70.0 109743;805.0 15.0 109744;987.0 27.0 109745;3460.0 180.0 109746;817.0 35.0 109747;1101.0 50.0 109748;359.0 17.0 109749;2025.0 44.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 845;109711 900;109714 881;109720 880;109721 872;109722 835;109723 927;109725 896;109726 869;109728 836;109732 896;109734 854;109735 835;109737 883;109742 892;109743 909;109744 819;109745 835;109746 873;109747 841;109748 844;109749 906;109667 872
data,1241844000,859360.0;30851.0;963111.0;45884.0;793664.0;29631.0;930928.0;50084.0;1.32706078932;1.0399573203;1.49861061041,1631.0 25.0 109697;5336.0 260.0 109711;260.0 2.0 109714;6004.0 193.0 109720;23749.0 1260.0 109721;2520.0 83.0 109722;2879.0 57.0 109723;2696.0 85.0 109725;2101.0 48.0 109726;3299.0 97.0 109728;5443.0 250.0 109732;2233.0 109.0 109734;1695.0 38.0 109735;4923.0 242.0 109737;9301.0 556.0 109742;1661.0 71.0 109743;838.0 16.0 109744;1030.0 29.0 109745;3513.0 183.0 109746;858.0 35.0 109747;1138.0 52.0 109748;411.0 19.0 109749;2052.0 44.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 874;109711 855;109714 874;109720 864;109721 833;109722 872;109723 844;109725 900;109726 831;109728 845;109732 830;109734 877;109735 887;109737 920;109742 922;109743 922;109744 851;109745 825;109746 868;109747 930;109748 824;109749 897;109667 855
data,1241844300,860192.0;30877.0;964006.0;45927.0;794558.0;29663.0;931832.0;50130.0;1.32723749503;1.04003934346;1.4987195951,1680.0 27.0 109697;5397.0 263.0 109711;288.0 3.0 109714;6028.0 193.0 109720;23769.0 1260.0 109721;2563.0 83.0 109722;2909.0 57.0 109723;2728.0 86.0 109725;2122.0 49.0 109726;3318.0 97.0 109728;5455.0 251.0 109732;2333.0 114.0 109734;1718.0 38.0 109735;4978.0 248.0 109737;9383.0 566.0 109742;1691.0 73.0 109743;863.0 16.0 109744;1073.0 29.0 109745;3578.0 189.0 109746;892.0 37.0 109747;1170.0 52.0 109748;457.0 21.0 109749;2073.0 45.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 879;109711 903;109714 848;109720 889;109721 875;109722 878;109723 854;109725 879;109726 812;109728 891;109732 871;109734 902;109735 802;109737 886;109742 924;109743 887;109744 844;109745 900;109746 818;109747 865;109748 821;109749 919;109667 853
data,1241844900,861071.0;30907.0;964841.0;45958.0;795425.0;29695.0;932704.0;50181.0;1.32705059612;1.04007870303;1.49891699269,1712.0 27.0 109697;5465.0 267.0 109711;317.0 4.0 109714;6041.0 193.0 109720;23791.0 1261.0 109721;2593.0 84.0 109722;2930.0 57.0 109723;2774.0 87.0 109725;2137.0 49.0 109726;3334.0 97.0 109728;5469.0 251.0 109732;2424.0 122.0 109734;1735.0 38.0 109735;5039.0 250.0 109737;9463.0 568.0 109742;1730.0 75.0 109743;884.0 16.0 109744;1102.0 29.0 109745;3667.0 196.0 109746;927.0 38.0 109747;1189.0 52.0 109748;486.0 22.0 109749;2092.0 45.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 864;109711 918;109714 833;109720 863;109721 860;109722 807;109723 858;109725 918;109726 828;109728 874;109732 821;109734 891;109735 881;109737 878;109742 878;109743 889;109744 892;109745 911;109746 913;109747 885;109748 863;109749 836;109667 839
data,1241845500,861884.0;30936.0;965674.0;45982.0;796303.0;29722.0;933563.0;50214.0;1.32660606371;1.03988266242;1.49853139748,1730.0 27.0 109697;5539.0 269.0 109711;338.0 5.0 109714;6053.0 193.0 109720;23804.0 1261.0 109721;2623.0 85.0 109722;2958.0 58.0 109723;2796.0 88.0 109725;2156.0 49.0 109726;3354.0 97.0 109728;5489.0 251.0 109732;2538.0 125.0 109734;1754.0 38.0 109735;5079.0 250.0 109737;9553.0 574.0 109742;1760.0 76.0 109743;908.0 17.0 109744;1113.0 29.0 109745;3783.0 199.0 109746;944.0 38.0 109747;1211.0 52.0 109748;536.0 24.0 109749;2115.0 47.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 864;109711 853;109714 896;109720 881;109721 879;109722 884;109723 843;109725 825;109726 854;109728 898;109732 869;109734 867;109735 832;109737 887;109742 881;109743 829;109744 867;109745 867;109746 901;109747 889;109748 823;109749 935;109667 876
data,1241846100,862723.0;30962.0;966538.0;46014.0;797137.0;29755.0;934393.0;50250.0;1.32651884772;1.04008625433;1.49847278546,1758.0 28.0 109697;5590.0 270.0 109711;353.0 5.0 109714;6069.0 194.0 109720;23822.0 1262.0 109721;2668.0 88.0 109722;2983.0 60.0 109723;2825.0 88.0 109725;2174.0 49.0 109726;3372.0 97.0 109728;5507.0 251.0 109732;2680.0 134.0 109734;1765.0 38.0 109735;5153.0 255.0 109737;9660.0 578.0 109742;1790.0 76.0 109743;924.0 17.0 109744;1122.0 29.0 109745;3874.0 202.0 109746;969.0 38.0 109747;1226.0 52.0 109748;580.0 26.0 109749;2134.0 47.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 837;109711 888;109714 895;109720 860;109721 941;109722 854;109723 852;109725 885;109726 841;109728 874;109732 932;109734 849;109735 862;109737 896;109742 838;109743 893;109744 889;109745 851;109746 835;109747 875;109748 855;109749 865;109667 833
data,1241846700,863633.0;30986.0;967397.0;46048.0;798046.0;29788.0;935255.0;50298.0;1.32669089349;1.04034439609;1.49894048617,1776.0 28.0 109697;5624.0 270.0 109711;372.0 5.0 109714;6092.0 194.0 109720;23856.0 1263.0 109721;2703.0 88.0 109722;3007.0 60.0 109723;2838.0 88.0 109725;2185.0 51.0 109726;3386.0 99.0 109728;5519.0 251.0 109732;2847.0 140.0 109734;1775.0 38.0 109735;5211.0 256.0 109737;9784.0 586.0 109742;1811.0 77.0 109743;941.0 17.0 109744;1133.0 29.0 109745;3968.0 208.0 109746;999.0 39.0 109747;1239.0 53.0 109748;640.0 31.0 109749;2151.0 47.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 905;109711 877;109714 852;109720 919;109721 874;109722 860;109723 897;109725 876;109726 909;109728 894;109732 864;109734 855;109735 862;109737 870;109742 861;109743 834;109744 873;109745 850;109746 832;109747 841;109748 858;109749 896;109667 841
data,1241847300,864500.0;31011.0;968265.0;46074.0;798929.0;29811.0;936136.0;50335.0;1.32651116879;1.04020176282;1.49892655209,1792.0 28.0 109697;5655.0 271.0 109711;390.0 5.0 109714;6105.0 194.0 109720;23873.0 1263.0 109721;2731.0 88.0 109722;3022.0 60.0 109723;2858.0 88.0 109725;2199.0 51.0 109726;3408.0 99.0 109728;5539.0 251.0 109732;2971.0 145.0 109734;1786.0 39.0 109735;5282.0 261.0 109737;9963.0 594.0 109742;1839.0 77.0 109743;949.0 17.0 109744;1149.0 29.0 109745;4074.0 210.0 109746;1017.0 39.0 109747;1263.0 55.0 109748;698.0 33.0 109749;2162.0 47.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 836;109711 845;109714 869;109720 835;109721 856;109722 853;109723 875;109725 826;109726 830;109728 910;109732 923;109734 842;109735 874;109737 901;109742 865;109743 912;109744 837;109745 876;109746 878;109747 881;109748 965;109749 878;109667 833
data,1241847900,865348.0;31043.0;969152.0;46111.0;799783.0;29842.0;936986.0;50377.0;1.32629384391;1.04011860964;1.49874003569,1809.0 28.0 109697;5692.0 275.0 109711;406.0 5.0 109714;6120.0 195.0 109720;23894.0 1263.0 109721;2752.0 88.0 109722;3034.0 60.0 109723;2873.0 89.0 109725;2210.0 51.0 109726;3423.0 99.0 109728;5551.0 251.0 109732;3126.0 151.0 109734;1799.0 40.0 109735;5343.0 261.0 109737;10140.0 603.0 109742;1872.0 81.0 109743;963.0 18.0 109744;1167.0 29.0 109745;4185.0 218.0 109746;1038.0 40.0 109747;1287.0 56.0 109748;754.0 33.0 109749;2174.0 47.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 859;109711 858;109714 916;109720 835;109721 906;109722 836;109723 864;109725 844;109726 813;109728 886;109732 887;109734 860;109735 932;109737 847;109742 887;109743 856;109744 812;109745 856;109746 918;109747 894;109748 896;109749 875;109667 863
