data,1242005400,922600.0;32366.0;1010217.0;47070.0;844828.0;30709.0;945036.0;50363.0;1.32817085573;1.03614800637;1.51910453343,71.0 2.0 109762;94.0 2.0 109731;100.0 3.0 109780;57.0 2.0 109765;74.0 1.0 109763;69.0 2.0 109730;76.0 0.0 109769;72.0 0.0 109770;3526.0 95.0 109771;52.0 2.0 109740;90.0 3.0 109773;6780.0 295.0 109774;73.0 1.0 109775;77.0 1.0 109776;1965.0 38.0 109777;1003.0 23.0 109778;981.0 30.0 109779;81.0 2.0 109684;73.0 3.0 109782;81.0 4.0 109783;71.0 0.0 109745,109730.0 2003;109731.0 2003;109765.0 2003;109763.0 2003;109777.0 2003;109762.0 2003;109769.0 2003;109770.0 2003;109771.0 2003;109740.0 2003;109773.0 2003;109774.0 2003;109775.0 2003;109776.0 2003;109745.0 2003;109778.0 2003;109779.0 2003;109780.0 2003;109782.0 2003;109783.0 2003;109684.0 2003,109762 92;109731 102;109780 94;109765 91;109763 111;109730 93;109769 92;109770 106;109771 92;109740 94;109773 92;109774 102;109775 83;109776 88;109777 97;109778 76;109779 98;109684 105;109782 103;109783 106;109745 86
data,1242005400,923464.0;32404.0;1011099.0;47108.0;845709.0;30740.0;945896.0;50394.0;1.32776840986;1.03586761828;1.51829719238,120.0 4.0 109762;140.0 4.0 109731;95.0 3.0 109765;1019.0 31.0 109779;112.0 0.0 109745;141.0 4.0 109769;105.0 0.0 109770;3563.0 97.0 109771;94.0 3.0 109740;139.0 11.0 109730;6812.0 296.0 109774;123.0 3.0 109773;113.0 3.0 109776;2010.0 40.0 109777;1041.0 25.0 109778;118.0 2.0 109763;112.0 5.0 109684;135.0 6.0 109782;117.0 5.0 109783;133.0 4.0 109780;106.0 1.0 109775,109730.0 17997;109731.0 17997;109765.0 17997;109763.0 17997;109777.0 17997;109762.0 17997;109769.0 17997;109770.0 17997;109771.0 17997;109740.0 17997;109773.0 17997;109774.0 17997;109775.0 17997;109776.0 17997;109745.0 17997;109778.0 17997;109779.0 17997;109780.0 17997;109782.0 17997;109783.0 17997;109684.0 17997,109762 821;109731 838;109765 866;109779 871;109745 902;109769 899;109770 837;109771 828;109740 868;109730 901;109774 866;109773 858;109776 857;109777 867;109778 849;109763 882;109684 840;109782 846;109783 805;109780 855;109775 841
data,1242005700,924414.0;32429.0;1012066.0;47147.0;846666.0;30778.0;946877.0;50435.0;1.32793918326;1.03624210036;1.51834832635,191.0 9.0 109762;151.0 3.0 109763;179.0 5.0 109731;2075.0 43.0 109777;204.0 5.0 109769;143.0 2.0 109770;3596.0 97.0 109771;130.0 4.0 109740;250.0 17.0 109730;6862.0 300.0 109774;153.0 3.0 109773;173.0 5.0 109776;159.0 3.0 109745;1075.0 25.0 109778;1041.0 31.0 109779;160.0 6.0 109684;186.0 8.0 109782;135.0 6.0 109783;165.0 5.0 109780;144.0 4.0 109775;143.0 5.0 109765,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109763 968;109731 927;109777 921;109769 960;109770 945;109771 927;109740 950;109730 911;109774 914;109773 1017;109776 952;109745 945;109778 938;109779 936;109684 969;109782 979;109783 984;109780 953;109775 976;109765 977
data,1242006000,925340.0;32467.0;1013059.0;47187.0;847640.0;30822.0;947817.0;50477.0;1.32753751578;1.0363550029;1.517847769,202.0 5.0 109745;294.0 15.0 109762;219.0 6.0 109731;185.0 6.0 109765;184.0 4.0 109763;381.0 24.0 109730;268.0 10.0 109769;167.0 2.0 109770;3630.0 97.0 109771;167.0 7.0 109740;169.0 3.0 109773;6908.0 300.0 109774;177.0 4.0 109775;216.0 6.0 109776;2123.0 45.0 109777;1109.0 27.0 109778;1103.0 35.0 109779;206.0 8.0 109684;226.0 9.0 109782;178.0 8.0 109783;196.0 5.0 109780,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109745 961;109762 969;109731 970;109765 964;109763 968;109730 994;109769 956;109770 941;109771 987;109740 972;109773 950;109774 957;109775 962;109776 961;109777 949;109778 896;109779 963;109684 948;109782 920;109783 910;109780 902
data,1242006600,926290.0;32497.0;1013969.0;47227.0;848617.0;30865.0;948761.0;50520.0;1.32760654982;1.03671231826;1.51778488253,388.0 18.0 109762;208.0 4.0 109763;217.0 6.0 109765;238.0 5.0 109745;358.0 15.0 109769;193.0 2.0 109770;3652.0 98.0 109771;224.0 12.0 109740;187.0 4.0 109773;6956.0 303.0 109774;197.0 5.0 109775;245.0 6.0 109776;2166.0 48.0 109777;1128.0 27.0 109778;1137.0 35.0 109779;258.0 12.0 109684;265.0 11.0 109782;211.0 9.0 109783;212.0 5.0 109780;244.0 7.0 109731;534.0 34.0 109730,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 967;109763 950;109765 961;109745 930;109769 937;109770 951;109771 937;109740 970;109773 968;109774 975;109775 972;109776 960;109777 961;109778 878;109779 991;109684 924;109782 990;109783 963;109780 967;109731 912;109730 936
data,1242006900,927203.0;32529.0;1014937.0;47258.0;849542.0;30901.0;949743.0;50566.0;1.32721220991;1.03679237633;1.51759754267,487.0 24.0 109762;291.0 8.0 109731;231.0 6.0 109780;240.0 6.0 109765;227.0 4.0 109763;693.0 39.0 109730;454.0 18.0 109769;214.0 3.0 109770;3676.0 98.0 109771;287.0 14.0 109740;202.0 4.0 109773;7013.0 306.0 109774;222.0 5.0 109775;267.0 7.0 109776;2220.0 48.0 109777;1155.0 27.0 109778;1161.0 35.0 109779;321.0 15.0 109684;315.0 15.0 109782;233.0 9.0 109783;277.0 6.0 109745,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109731 989;109780 941;109765 932;109763 931;109730 995;109769 959;109770 1000;109771 948;109740 941;109773 947;109774 1001;109775 972;109776 941;109777 899;109778 963;109779 964;109684 905;109782 964;109783 945;109745 912
data,1242007200,928164.0;32579.0;1015852.0;47294.0;850499.0;30930.0;950687.0;50620.0;1.326363546;1.03607950475;1.51695101064,602.0 26.0 109762;244.0 4.0 109763;252.0 7.0 109765;833.0 42.0 109730;530.0 24.0 109769;240.0 5.0 109770;3689.0 98.0 109771;353.0 16.0 109740;218.0 4.0 109773;7062.0 308.0 109774;240.0 6.0 109775;281.0 7.0 109776;293.0 6.0 109745;1201.0 32.0 109778;1189.0 35.0 109779;397.0 20.0 109684;389.0 19.0 109782;263.0 10.0 109783;246.0 6.0 109780;316.0 8.0 109731;2263.0 50.0 109777,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 982;109763 930;109765 1011;109730 1024;109769 932;109770 929;109771 920;109740 919;109773 953;109774 939;109775 942;109776 965;109745 926;109778 893;109779 966;109684 965;109782 1001;109783 956;109780 951;109731 949;109777 947
data,1242007500,929154.0;32617.0;1016787.0;47320.0;851471.0;30961.0;951677.0;50663.0;1.32574023902;1.03583076458;1.51650908592,719.0 29.0 109762;256.0 4.0 109763;279.0 7.0 109765;1207.0 37.0 109779;2298.0 50.0 109777;1246.0 34.0 109778;645.0 29.0 109769;258.0 5.0 109770;3706.0 98.0 109771;382.0 16.0 109740;977.0 47.0 109730;7122.0 309.0 109774;263.0 6.0 109775;297.0 7.0 109776;313.0 6.0 109745;230.0 4.0 109773;333.0 10.0 109731;268.0 6.0 109780;482.0 23.0 109782;283.0 11.0 109783;472.0 21.0 109684,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109763 995;109765 986;109779 975;109777 959;109778 963;109769 948;109770 928;109771 886;109740 928;109730 948;109774 977;109775 939;109776 951;109745 973;109773 951;109731 938;109780 952;109782 976;109783 935;109684 941
data,1242007800,930135.0;32653.0;1017710.0;47357.0;852427.0;30992.0;952649.0;50695.0;1.32551009344;1.03565547295;1.51584609706,1116.0 55.0 109730;378.0 14.0 109731;292.0 7.0 109765;1230.0 37.0 109779;338.0 6.0 109745;1283.0 34.0 109778;752.0 32.0 109769;276.0 5.0 109770;3731.0 101.0 109771;449.0 22.0 109740;778.0 31.0 109762;7189.0 313.0 109774;276.0 6.0 109775;317.0 7.0 109776;2330.0 51.0 109777;240.0 4.0 109773;270.0 5.0 109763;547.0 24.0 109684;580.0 25.0 109782;305.0 11.0 109783;282.0 6.0 109780,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 970;109731 983;109765 924;109779 911;109745 945;109778 991;109769 917;109770 948;109771 941;109740 985;109762 943;109774 951;109775 988;109776 897;109777 961;109773 983;109763 919;109684 967;109782 993;109783 929;109780 954
data,1242008100,931095.0;32685.0;1018678.0;47393.0;853399.0;31022.0;953628.0;50738.0;1.32532618577;1.0355311537;1.51565325022,837.0 33.0 109762;285.0 5.0 109763;309.0 7.0 109765;1255.0 37.0 109779;2357.0 51.0 109777;863.0 36.0 109769;292.0 6.0 109770;3757.0 102.0 109771;528.0 23.0 109740;256.0 5.0 109773;7272.0 318.0 109774;297.0 9.0 109775;332.0 8.0 109776;358.0 6.0 109745;1326.0 35.0 109778;424.0 15.0 109731;608.0 25.0 109684;649.0 27.0 109782;322.0 11.0 109783;293.0 7.0 109780;1307.0 66.0 109730,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 891;109763 968;109765 911;109779 964;109777 942;109769 980;109770 971;109771 900;109740 910;109773 977;109774 989;109775 977;109776 941;109745 950;109778 964;109731 959;109684 1004;109782 985;109783 944;109780 931;109730 942
data,1242008400,932048.0;32722.0;1019616.0;47437.0;854361.0;31050.0;954570.0;50781.0;1.32519263139;1.03518656678;1.51527656358,1512.0 76.0 109730;477.0 20.0 109731;317.0 7.0 109765;299.0 6.0 109763;372.0 6.0 109745;894.0 35.0 109762;970.0 41.0 109769;307.0 6.0 109770;3784.0 104.0 109771;604.0 29.0 109740;265.0 5.0 109773;7379.0 323.0 109774;325.0 10.0 109775;346.0 8.0 109776;2372.0 51.0 109777;1347.0 35.0 109778;1269.0 38.0 109779;313.0 8.0 109780;698.0 27.0 109782;333.0 11.0 109783;682.0 30.0 109684,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 902;109731 925;109765 987;109763 1028;109745 939;109762 972;109769 951;109770 957;109771 888;109740 968;109773 915;109774 943;109775 973;109776 960;109777 934;109778 973;109779 947;109780 953;109782 1001;109783 908;109684 976
