data,1241954400,934312.0;32634.0;1019931.0;47220.0;859759.0;31037.0;960403.0;50577.0;1.32549107659;1.03353365492;1.50772166361,644.0 10.0 109760;6084.0 225.0 109761;1091.0 35.0 109762;3909.0 126.0 109763;468.0 7.0 109764;2003.0 56.0 109766;567.0 9.0 109767;3213.0 52.0 109697;379.0 3.0 109769;2091.0 69.0 109740;1040.0 21.0 109741;7462.0 121.0 109723;4104.0 112.0 109745;2534.0 79.0 109731;1091.0 24.0 109684;551.0 11.0 109686;116.0 2.0 109752;7615.0 316.0 109755;2992.0 61.0 109756;144.0 2.0 109758,109760.0 8579;109697.0 8579;109762.0 8579;109731.0 8579;109764.0 8579;109766.0 8579;109767.0 8579;109769.0 8579;109761.0 8579;109740.0 8579;109741.0 8579;109745.0 8579;109763.0 8579;109684.0 8579;109755.0 8579;109686.0 8579;109752.0 8579;109723.0 8579;109756.0 8579;109758.0 8579,109760 414;109761 414;109762 422;109763 457;109764 439;109766 441;109767 450;109697 421;109769 447;109740 424;109741 452;109723 378;109745 416;109731 421;109684 444;109686 446;109752 433;109755 410;109756 395;109758 455
data,1241955000,934907.0;32646.0;1020541.0;47235.0;860327.0;31055.0;960933.0;50597.0;1.32547608954;1.03372832403;1.50789150524,671.0 10.0 109760;6110.0 225.0 109761;1115.0 35.0 109762;2567.0 80.0 109731;503.0 7.0 109764;2041.0 58.0 109766;600.0 11.0 109767;3248.0 55.0 109697;415.0 4.0 109769;2110.0 69.0 109740;1069.0 21.0 109741;7498.0 122.0 109723;4142.0 114.0 109745;3947.0 126.0 109763;1110.0 24.0 109684;577.0 11.0 109686;151.0 3.0 109752;7647.0 317.0 109755;3026.0 61.0 109756;161.0 3.0 109758,109760.0 11421;109697.0 11421;109762.0 11421;109731.0 11421;109764.0 11421;109766.0 11421;109767.0 11421;109769.0 11421;109761.0 11421;109740.0 11421;109741.0 11421;109745.0 11421;109763.0 11421;109684.0 11421;109755.0 11421;109686.0 11421;109752.0 11421;109723.0 11421;109756.0 11421;109758.0 11421,109760 541;109761 551;109762 582;109731 571;109764 540;109766 560;109767 594;109697 566;109769 547;109740 558;109741 588;109723 577;109745 602;109763 587;109684 569;109686 540;109752 590;109755 628;109756 550;109758 580
data,1241955600,935943.0;32674.0;1021495.0;47260.0;861373.0;31082.0;961936.0;50641.0;1.32527061306;1.033629266;1.5080064203,704.0 10.0 109760;3313.0 56.0 109697;1148.0 37.0 109762;2611.0 80.0 109731;540.0 9.0 109764;2120.0 61.0 109766;6139.0 225.0 109761;463.0 5.0 109769;675.0 12.0 109767;2148.0 71.0 109740;1111.0 21.0 109741;4213.0 116.0 109745;3970.0 127.0 109763;1147.0 25.0 109684;7692.0 319.0 109755;657.0 15.0 109686;195.0 3.0 109752;7548.0 122.0 109723;3069.0 63.0 109756;199.0 4.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1065;109697 975;109762 981;109731 1008;109764 1037;109766 1051;109761 1027;109769 967;109767 961;109740 1011;109741 1056;109745 1010;109763 968;109684 984;109755 937;109686 971;109752 1025;109723 1001;109756 1038;109758 927
data,1241956500,936967.0;32699.0;1022501.0;47291.0;862374.0;31105.0;962940.0;50677.0;1.32527065046;1.03353306528;1.50800052937,741.0 11.0 109760;3371.0 57.0 109697;1205.0 39.0 109762;4021.0 129.0 109763;579.0 11.0 109764;2193.0 62.0 109766;723.0 14.0 109767;499.0 5.0 109769;6167.0 225.0 109761;2214.0 74.0 109740;1138.0 22.0 109741;7588.0 122.0 109723;4272.0 116.0 109745;2664.0 82.0 109731;1184.0 25.0 109684;741.0 17.0 109686;236.0 5.0 109752;7741.0 320.0 109755;3112.0 68.0 109756;279.0 8.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1012;109697 1016;109762 981;109763 991;109764 982;109766 1016;109767 1016;109769 993;109761 957;109740 1043;109741 980;109723 1023;109745 1009;109731 973;109684 1028;109686 999;109752 991;109755 985;109756 966;109758 1039
data,1241957100,937979.0;32726.0;1023453.0;47324.0;863345.0;31139.0;963970.0;50722.0;1.32529857661;1.03376178248;1.50811007269,765.0 11.0 109760;6195.0 226.0 109761;1270.0 45.0 109762;2709.0 84.0 109731;646.0 14.0 109764;2249.0 64.0 109766;763.0 14.0 109767;3415.0 58.0 109697;533.0 5.0 109769;2317.0 81.0 109740;1172.0 23.0 109741;7618.0 122.0 109723;4316.0 118.0 109745;4083.0 132.0 109763;1209.0 25.0 109684;803.0 20.0 109686;272.0 5.0 109752;7783.0 321.0 109755;3179.0 68.0 109756;323.0 9.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1026;109761 1066;109762 1032;109731 970;109764 948;109766 1027;109767 943;109697 1013;109769 1036;109740 989;109741 990;109723 1006;109745 993;109763 979;109684 1014;109686 973;109752 1053;109755 983;109756 965;109758 994
data,1241957700,938969.0;32757.0;1024465.0;47355.0;864337.0;31166.0;964980.0;50763.0;1.32499991026;1.03358237628;1.50791236144,797.0 11.0 109760;6219.0 226.0 109761;1397.0 53.0 109762;7828.0 322.0 109755;701.0 15.0 109764;2759.0 85.0 109731;2304.0 64.0 109766;3464.0 62.0 109697;566.0 5.0 109769;812.0 17.0 109767;2436.0 87.0 109740;1204.0 23.0 109741;4365.0 121.0 109745;4136.0 133.0 109763;1234.0 26.0 109684;862.0 20.0 109686;308.0 6.0 109752;7639.0 122.0 109723;3223.0 68.0 109756;378.0 10.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 996;109761 955;109762 1026;109755 964;109764 969;109731 1035;109766 1010;109697 979;109769 991;109767 1033;109740 1011;109741 946;109745 965;109763 1004;109684 1048;109686 1025;109752 988;109723 1027;109756 997;109758 1031
data,1241958300,939974.0;32790.0;1025443.0;47382.0;865376.0;31201.0;965982.0;50802.0;1.32457418883;1.03356570719;1.5076002494,810.0 11.0 109760;3547.0 63.0 109697;1548.0 57.0 109762;4180.0 134.0 109763;745.0 15.0 109764;2333.0 64.0 109766;851.0 17.0 109767;582.0 5.0 109769;6240.0 226.0 109761;2620.0 101.0 109740;1228.0 23.0 109741;4411.0 121.0 109745;2796.0 86.0 109731;1256.0 26.0 109684;7860.0 323.0 109755;917.0 24.0 109686;342.0 6.0 109752;7653.0 122.0 109723;3265.0 69.0 109756;426.0 10.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 1055;109762 1001;109763 1028;109764 938;109766 995;109767 1015;109769 1057;109761 992;109740 975;109741 997;109745 1034;109731 1027;109684 1006;109755 923;109686 974;109752 982;109723 998;109756 997;109758 1008
data,1241958900,940971.0;32821.0;1026427.0;47421.0;866382.0;31227.0;967003.0;50839.0;1.32454607585;1.0333448333;1.50727885925,831.0 11.0 109760;6256.0 228.0 109761;1689.0 63.0 109762;7897.0 326.0 109755;788.0 16.0 109764;2355.0 64.0 109766;3603.0 65.0 109697;603.0 6.0 109769;4229.0 137.0 109763;883.0 17.0 109767;2876.0 115.0 109740;1241.0 23.0 109741;4455.0 121.0 109745;2829.0 88.0 109731;1277.0 26.0 109684;979.0 25.0 109686;361.0 6.0 109752;7671.0 122.0 109723;3297.0 71.0 109756;474.0 12.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 990;109761 1007;109762 1030;109755 980;109764 1022;109766 1004;109697 1045;109769 998;109763 1028;109767 999;109740 987;109741 1043;109745 930;109731 952;109684 1008;109686 1020;109752 942;109723 995;109756 980;109758 1040
data,1241959500,941983.0;32842.0;1027459.0;47460.0;867401.0;31250.0;967970.0;50874.0;1.3248804802;1.03334078651;1.50746575979,851.0 11.0 109760;3645.0 66.0 109697;1858.0 71.0 109762;4286.0 137.0 109763;828.0 17.0 109764;2375.0 64.0 109766;900.0 17.0 109767;622.0 7.0 109769;6276.0 228.0 109761;3125.0 124.0 109740;1258.0 23.0 109741;7689.0 123.0 109723;4487.0 123.0 109745;2877.0 91.0 109731;1296.0 26.0 109684;1055.0 30.0 109686;377.0 7.0 109752;7948.0 329.0 109755;3344.0 74.0 109756;529.0 13.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 981;109762 972;109763 999;109764 1015;109766 961;109767 933;109769 1065;109761 1018;109740 1000;109741 982;109723 1022;109745 1011;109731 957;109684 1082;109686 1005;109752 994;109755 984;109756 967;109758 1054
data,1241959800,942983.0;32876.0;1028475.0;47504.0;868358.0;31275.0;968956.0;50912.0;1.32483359528;1.03305489591;1.50709626406,868.0 14.0 109760;3692.0 67.0 109697;2019.0 79.0 109762;8011.0 334.0 109755;854.0 17.0 109764;2391.0 64.0 109766;928.0 19.0 109767;639.0 7.0 109769;4312.0 137.0 109763;3393.0 141.0 109740;1270.0 24.0 109741;4522.0 123.0 109745;2959.0 96.0 109731;1313.0 26.0 109684;1129.0 31.0 109686;400.0 7.0 109752;6295.0 228.0 109761;7705.0 123.0 109723;3382.0 75.0 109756;560.0 13.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1035;109697 1011;109762 985;109755 1013;109764 940;109766 1000;109767 993;109769 1029;109763 984;109740 1034;109741 984;109745 1001;109731 965;109684 950;109686 1028;109752 968;109761 1025;109723 1003;109756 1017;109758 1035
data,1241960400,943943.0;32900.0;1029468.0;47546.0;869376.0;31304.0;970004.0;50953.0;1.32510717868;1.03309928334;1.50711400817,881.0 14.0 109760;6307.0 228.0 109761;2177.0 85.0 109762;3019.0 97.0 109731;873.0 17.0 109764;2408.0 64.0 109766;945.0 21.0 109767;3725.0 69.0 109697;672.0 11.0 109769;3671.0 149.0 109740;1287.0 24.0 109741;4544.0 124.0 109745;4341.0 137.0 109763;1330.0 26.0 109684;8119.0 344.0 109755;1180.0 32.0 109686;419.0 7.0 109752;7719.0 123.0 109723;3417.0 76.0 109756;601.0 19.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 964;109761 904;109762 1039;109731 1044;109764 1014;109766 1003;109767 1007;109697 968;109769 995;109740 1000;109741 1003;109745 985;109763 1015;109684 1004;109755 982;109686 1012;109752 1011;109723 1027;109756 989;109758 1034
