data,1241350800,415054.0;14667.0;418506.0;18249.0;390395.0;13735.0;417939.0;20332.0;1.23395889832;0.99560651218;1.37667210782,2828.0 97.0 109568;1163.0 31.0 109569;16830.0 949.0 109571;5940.0 83.0 109536;4692.0 156.0 109541;16498.0 662.0 109542;9389.0 369.0 109551;5026.0 140.0 109553;10304.0 426.0 109476;17543.0 681.0 109524;3909.0 114.0 109557;2892.0 72.0 109560;2837.0 75.0 109561;2340.0 41.0 109562;3552.0 109.0 109563;2065.0 45.0 109564;2161.0 51.0 109565;1423.0 21.0 109566;1750.0 42.0 109567,109536.0 16129;109568.0 16129;109571.0 16129;109476.0 16129;109541.0 16129;109542.0 16129;109569.0 16129;109551.0 16129;109553.0 16129;109524.0 16129;109557.0 16129;109560.0 16129;109561.0 16129;109562.0 16129;109563.0 16129;109564.0 16129;109565.0 16129;109566.0 16129;109567.0 16129,109568 847;109569 847;109571 854;109536 839;109541 886;109542 848;109551 857;109553 826;109476 792;109524 823;109557 851;109560 862;109561 831;109562 877;109563 840;109564 851;109565 878;109566 803;109567 917
data,1241351100,415276.0;14673.0;418717.0;18257.0;390598.0;13744.0;418158.0;20340.0;1.23403289613;0.99586632359;1.37666557906,5950.0 84.0 109536;2837.0 97.0 109568;16840.0 949.0 109571;10320.0 427.0 109476;4698.0 156.0 109541;16510.0 662.0 109542;1172.0 32.0 109569;9402.0 369.0 109551;5039.0 142.0 109553;17557.0 683.0 109524;3918.0 114.0 109557;2900.0 72.0 109560;2847.0 75.0 109561;2349.0 42.0 109562;3565.0 109.0 109563;2083.0 45.0 109564;2170.0 51.0 109565;1432.0 21.0 109566;1764.0 42.0 109567,109536.0 3871;109568.0 3871;109571.0 3871;109476.0 3871;109541.0 3871;109542.0 3871;109569.0 3871;109551.0 3871;109553.0 3871;109524.0 3871;109557.0 3871;109560.0 3871;109561.0 3871;109562.0 3871;109563.0 3871;109564.0 3871;109565.0 3871;109566.0 3871;109567.0 3871,109536 190;109568 201;109571 189;109476 190;109541 183;109542 199;109569 226;109551 208;109553 231;109524 193;109557 223;109560 192;109561 215;109562 195;109563 215;109564 207;109565 213;109566 201;109567 200
data,1241351700,416317.0;14695.0;419749.0;18291.0;391632.0;13773.0;419192.0;20378.0;1.2345319513;0.996333956419;1.37721938512,2897.0 99.0 109568;1219.0 33.0 109569;16910.0 955.0 109571;10369.0 428.0 109476;5992.0 84.0 109536;16558.0 664.0 109542;9444.0 369.0 109551;5114.0 146.0 109553;17669.0 690.0 109524;3957.0 114.0 109557;3638.0 113.0 109563;2960.0 74.0 109560;2898.0 76.0 109561;2393.0 42.0 109562;4739.0 156.0 109541;2126.0 45.0 109564;2210.0 52.0 109565;1493.0 24.0 109566;1799.0 42.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1045;109569 1046;109571 998;109476 1097;109536 1011;109542 1073;109551 1013;109553 1049;109524 1090;109557 1069;109563 1071;109560 1043;109561 1093;109562 1054;109541 1074;109564 1010;109565 998;109566 1107;109567 1059
data,1241352300,417300.0;14726.0;420788.0;18323.0;392644.0;13811.0;420204.0;20433.0;1.23394790231;0.996758042357;1.37795660656,6024.0 84.0 109536;1259.0 33.0 109569;16990.0 960.0 109571;10412.0 430.0 109476;16616.0 665.0 109542;2959.0 101.0 109568;9482.0 371.0 109551;5229.0 151.0 109553;4766.0 157.0 109541;17809.0 694.0 109524;3996.0 115.0 109557;3016.0 76.0 109560;2935.0 77.0 109561;2427.0 42.0 109562;3719.0 114.0 109563;2165.0 47.0 109564;2261.0 55.0 109565;1531.0 24.0 109566;1828.0 42.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1055;109569 1022;109571 1026;109476 1030;109542 1050;109568 1008;109551 1070;109553 1088;109541 1057;109524 1023;109557 1059;109560 1054;109561 1079;109562 1037;109563 1123;109564 1089;109565 1067;109566 1036;109567 1027
data,1241352900,418370.0;14753.0;421866.0;18361.0;393685.0;13835.0;421218.0;20488.0;1.23424676657;0.996576147412;1.37934478237,6055.0 85.0 109536;3019.0 103.0 109568;17133.0 966.0 109571;10489.0 433.0 109476;4813.0 160.0 109541;16667.0 667.0 109542;1300.0 36.0 109569;9526.0 374.0 109551;5335.0 155.0 109553;17927.0 698.0 109524;4035.0 116.0 109557;3059.0 76.0 109560;2954.0 77.0 109561;2444.0 42.0 109562;3781.0 114.0 109563;2204.0 47.0 109564;2319.0 55.0 109565;1577.0 27.0 109566;1865.0 45.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1010;109568 1034;109571 1012;109476 1086;109541 1015;109542 1061;109569 1064;109551 1031;109553 1033;109524 1034;109557 1058;109560 1100;109561 1037;109562 1115;109563 1098;109564 1110;109565 1046;109566 1020;109567 1036
data,1241353500,419479.0;14794.0;422858.0;18394.0;394700.0;13856.0;422259.0;20547.0;1.23340652163;0.99539477775;1.37973002632,6081.0 85.0 109536;1354.0 37.0 109569;17292.0 979.0 109571;10524.0 433.0 109476;4860.0 161.0 109541;16754.0 672.0 109542;3070.0 105.0 109568;9569.0 375.0 109551;5432.0 157.0 109553;18034.0 700.0 109524;4059.0 116.0 109557;3091.0 76.0 109560;2992.0 79.0 109561;2471.0 43.0 109562;3818.0 115.0 109563;2229.0 47.0 109564;2344.0 55.0 109565;1623.0 28.0 109566;1897.0 46.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1020;109569 1072;109571 1056;109476 1101;109541 1098;109542 1041;109568 1090;109551 1076;109553 989;109524 1075;109557 1026;109560 1052;109561 1053;109562 1077;109563 1057;109564 1041;109565 994;109566 1033;109567 1049
data,1241354100,420518.0;14820.0;423964.0;18439.0;395817.0;13898.0;423242.0;20601.0;1.23408413709;0.996309453342;1.38113436294,3109.0 106.0 109568;1438.0 43.0 109569;17570.0 994.0 109571;10553.0 433.0 109476;4890.0 161.0 109541;16843.0 675.0 109542;9607.0 377.0 109551;5534.0 163.0 109553;18137.0 703.0 109524;4076.0 116.0 109557;6108.0 85.0 109536;3124.0 79.0 109560;3023.0 80.0 109561;2496.0 43.0 109562;3851.0 115.0 109563;2259.0 47.0 109564;2368.0 57.0 109565;1683.0 30.0 109566;1931.0 47.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1057;109569 1114;109571 1017;109476 1006;109541 1112;109542 1010;109551 1031;109553 1075;109524 1042;109557 1027;109536 1090;109560 1097;109561 1010;109562 1016;109563 1061;109564 1075;109565 1012;109566 1065;109567 1083
data,1241354700,421563.0;14850.0;425003.0;18471.0;396890.0;13919.0;424288.0;20655.0;1.23377068069;0.995574836271;1.38197594344,6134.0 85.0 109536;1521.0 45.0 109569;17854.0 1008.0 109571;10571.0 433.0 109476;4910.0 161.0 109541;16905.0 677.0 109542;3147.0 106.0 109568;9662.0 378.0 109551;5628.0 163.0 109553;18221.0 706.0 109524;4092.0 116.0 109557;3164.0 81.0 109560;3053.0 81.0 109561;2527.0 46.0 109562;3868.0 116.0 109563;2284.0 48.0 109564;2406.0 57.0 109565;1731.0 32.0 109566;1961.0 47.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1071;109569 1070;109571 1055;109476 1017;109541 1005;109542 1042;109568 1048;109551 1085;109553 1092;109524 1063;109557 1020;109560 1028;109561 1092;109562 1061;109563 1071;109564 1020;109565 1084;109566 1079;109567 997
data,1241355300,422650.0;14874.0;426054.0;18501.0;397950.0;13948.0;425327.0;20702.0;1.23391047838;0.995947683539;1.3830645427,6159.0 85.0 109536;1589.0 47.0 109569;18207.0 1023.0 109571;10590.0 434.0 109476;16960.0 677.0 109542;3172.0 106.0 109568;9707.0 379.0 109551;5685.0 164.0 109553;18289.0 708.0 109524;4109.0 116.0 109557;3898.0 117.0 109563;3239.0 85.0 109560;3083.0 81.0 109561;2552.0 46.0 109562;2003.0 47.0 109567;2301.0 49.0 109564;2432.0 57.0 109565;1790.0 33.0 109566;4925.0 162.0 109541,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1069;109569 1070;109571 1074;109476 1023;109542 1045;109568 1018;109551 1043;109553 1157;109524 1068;109557 1050;109563 1020;109560 1074;109561 1025;109562 960;109567 1091;109564 1042;109565 1035;109566 1111;109541 1025
data,1241355600,423658.0;14902.0;427049.0;18536.0;399033.0;13978.0;426346.0;20756.0;1.23398296444;0.995880148634;1.38405172793,3192.0 106.0 109568;1669.0 51.0 109569;18545.0 1034.0 109571;10607.0 435.0 109476;6174.0 85.0 109536;17008.0 680.0 109542;9747.0 381.0 109551;5769.0 168.0 109553;4950.0 163.0 109541;18372.0 711.0 109524;4119.0 116.0 109557;3317.0 88.0 109560;3106.0 82.0 109561;2581.0 46.0 109562;3913.0 117.0 109563;2318.0 49.0 109564;2451.0 58.0 109565;1828.0 33.0 109566;2019.0 48.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1048;109569 1023;109571 1080;109476 1110;109536 1032;109542 1041;109551 1073;109553 1093;109541 1048;109524 1047;109557 1043;109560 1037;109561 1024;109562 1076;109563 1031;109564 1011;109565 1018;109566 1075;109567 1090
data,1241356200,424730.0;14937.0;428168.0;18582.0;400042.0;14013.0;427429.0;20826.0;1.23403593386;0.996036122172;1.38545184732,3211.0 106.0 109568;1736.0 52.0 109569;19016.0 1066.0 109571;10626.0 435.0 109476;4984.0 164.0 109541;17057.0 681.0 109542;9778.0 381.0 109551;5844.0 169.0 109553;18463.0 716.0 109524;4135.0 116.0 109557;6191.0 86.0 109536;3383.0 89.0 109560;3120.0 82.0 109561;2618.0 47.0 109562;3936.0 117.0 109563;2335.0 49.0 109564;2471.0 58.0 109565;1853.0 33.0 109566;2047.0 50.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 999;109569 1108;109571 1108;109476 976;109541 1051;109542 1043;109551 1024;109553 1082;109524 1112;109557 1091;109536 1020;109560 1062;109561 979;109562 1066;109563 1071;109564 1059;109565 1079;109566 1032;109567 1038
data,1241356800,425772.0;14975.0;429276.0;18635.0;401127.0;14033.0;428522.0;20892.0;1.23424977017;0.994669717736;1.38617212267,3229.0 108.0 109568;1792.0 53.0 109569;19619.0 1109.0 109571;10643.0 435.0 109476;5025.0 166.0 109541;17101.0 682.0 109542;9808.0 382.0 109551;5878.0 169.0 109553;18531.0 717.0 109524;4153.0 116.0 109557;6205.0 86.0 109536;3412.0 89.0 109560;3139.0 82.0 109561;2637.0 49.0 109562;3951.0 117.0 109563;2352.0 49.0 109564;2486.0 58.0 109565;1877.0 33.0 109566;2074.0 50.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1064;109569 1067;109571 1095;109476 1045;109541 962;109542 1073;109551 1017;109553 1003;109524 1105;109557 1049;109536 1059;109560 1005;109561 1096;109562 1079;109563 1041;109564 1009;109565 1079;109566 1075;109567 1077
data,1241357100,426795.0;15010.0;430345.0;18687.0;402178.0;14067.0;429562.0;20950.0;1.23470001901;0.994538976611;1.38674561806,3247.0 109.0 109568;1850.0 57.0 109569;20266.0 1149.0 109571;10662.0 435.0 109476;5045.0 167.0 109541;17144.0 684.0 109542;9835.0 382.0 109551;5901.0 169.0 109553;18564.0 717.0 109524;4178.0 116.0 109557;3152.0 82.0 109561;3435.0 91.0 109560;6225.0 86.0 109536;2659.0 49.0 109562;3967.0 117.0 109563;2364.0 50.0 109564;2501.0 59.0 109565;1892.0 33.0 109566;2094.0 50.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1064;109569 1077;109571 1035;109476 1036;109541 1041;109542 1058;109551 1021;109553 1011;109524 1052;109557 1069;109561 1107;109560 1055;109536 1064;109562 1061;109563 1041;109564 1089;109565 1069;109566 1030;109567 1020
