data,1241736600,1514863.0;55969.0;1522433.0;71213.0;1420012.0;53267.0;1528379.0;81820.0;1.2660384731;1.01529450182;1.44895275225,1912.0 78.0 109696;1286.0 36.0 109697;1544.0 51.0 109698;1563.0 72.0 109699;1747.0 74.0 109700;1336.0 63.0 109701;511.0 15.0 109702;8335.0 586.0 109703;1667.0 97.0 109704;570.0 25.0 109705;104.0 2.0 109706;38977.0 1942.0 109635;1408.0 49.0 109651;5571.0 58.0 109660;5793.0 115.0 109667;4019.0 163.0 109673;64.0 0.0 109675;6102.0 210.0 109683;4153.0 186.0 109689;2646.0 122.0 109690;16194.0 1307.0 109692;1659.0 48.0 109693,109696.0 1157;109697.0 1157;109698.0 1157;109699.0 1157;109700.0 1157;109701.0 1157;109702.0 1157;109703.0 1157;109704.0 1157;109705.0 1157;109706.0 1157;109635.0 1157;109651.0 1157;109660.0 1157;109667.0 1157;109673.0 1157;109675.0 1157;109683.0 1157;109689.0 1157;109690.0 1157;109692.0 1157;109693.0 1157,109696 51;109697 52;109698 57;109699 56;109700 50;109701 51;109702 62;109703 45;109704 65;109705 64;109706 48;109635 47;109651 51;109660 48;109667 46;109673 52;109675 52;109683 40;109689 51;109690 67;109692 43;109693 59
data,1241736900,1515697.0;55996.0;1523288.0;71254.0;1420845.0;53301.0;1529197.0;81847.0;1.26614258148;1.01541608782;1.44875422107,1957.0 80.0 109696;1318.0 37.0 109697;1568.0 51.0 109698;1642.0 82.0 109699;1785.0 76.0 109700;1371.0 64.0 109701;540.0 15.0 109702;8383.0 591.0 109703;1688.0 98.0 109704;628.0 29.0 109705;136.0 2.0 109706;39033.0 1946.0 109635;1443.0 49.0 109651;5594.0 58.0 109660;5851.0 118.0 109667;4066.0 165.0 109673;83.0 0.0 109675;6132.0 210.0 109683;4177.0 186.0 109689;2698.0 126.0 109690;16234.0 1309.0 109692;1689.0 48.0 109693,109696.0 18843;109697.0 18843;109698.0 18843;109699.0 18843;109700.0 18843;109701.0 18843;109702.0 18843;109703.0 18843;109704.0 18843;109705.0 18843;109706.0 18843;109635.0 18843;109651.0 18843;109660.0 18843;109667.0 18843;109673.0 18843;109675.0 18843;109683.0 18843;109689.0 18843;109690.0 18843;109692.0 18843;109693.0 18843,109696 880;109697 836;109698 875;109699 925;109700 834;109701 861;109702 844;109703 841;109704 870;109705 881;109706 893;109635 854;109651 868;109660 816;109667 841;109673 872;109675 797;109683 836;109689 831;109690 865;109692 867;109693 856
data,1241737200,1516614.0;56029.0;1524172.0;71288.0;1421754.0;53325.0;1530075.0;81884.0;1.2660318775;1.01523970615;1.44860012975,1995.0 81.0 109696;1350.0 37.0 109697;1603.0 52.0 109698;1736.0 87.0 109699;1829.0 78.0 109700;1409.0 64.0 109701;564.0 16.0 109702;8446.0 593.0 109703;1714.0 98.0 109704;686.0 31.0 109705;166.0 3.0 109706;39073.0 1948.0 109635;1487.0 50.0 109651;5614.0 58.0 109660;5890.0 119.0 109667;4117.0 169.0 109673;134.0 4.0 109675;6154.0 210.0 109683;4196.0 187.0 109689;2736.0 127.0 109690;16287.0 1314.0 109692;1714.0 48.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 968;109697 910;109698 932;109699 879;109700 891;109701 932;109702 878;109703 967;109704 920;109705 883;109706 914;109635 936;109651 929;109660 881;109667 862;109673 911;109675 937;109683 925;109689 921;109690 870;109692 875;109693 879
data,1241737500,1517538.0;56064.0;1525080.0;71317.0;1422760.0;53356.0;1531029.0;81922.0;1.26577331294;1.01509598921;1.44834700009,2046.0 84.0 109696;1375.0 38.0 109697;1639.0 55.0 109698;1832.0 90.0 109699;1873.0 79.0 109700;1424.0 64.0 109701;588.0 16.0 109702;8524.0 599.0 109703;1740.0 98.0 109704;731.0 32.0 109705;193.0 3.0 109706;39136.0 1951.0 109635;1510.0 50.0 109651;5644.0 59.0 109660;5919.0 119.0 109667;4163.0 170.0 109673;177.0 4.0 109675;6180.0 210.0 109683;4224.0 187.0 109689;2773.0 127.0 109690;16385.0 1320.0 109692;1732.0 48.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 903;109697 909;109698 951;109699 899;109700 867;109701 917;109702 880;109703 903;109704 962;109705 944;109706 883;109635 859;109651 873;109660 937;109667 930;109673 863;109675 920;109683 937;109689 899;109690 903;109692 936;109693 925
data,1241737800,1518435.0;56103.0;1525967.0;71362.0;1423657.0;53390.0;1531927.0;81971.0;1.26570353214;1.01499680172;1.44821247239,2095.0 87.0 109696;1407.0 40.0 109697;1682.0 58.0 109698;1952.0 98.0 109699;1909.0 82.0 109700;1443.0 64.0 109701;613.0 16.0 109702;8617.0 603.0 109703;1756.0 100.0 109704;776.0 33.0 109705;209.0 4.0 109706;39205.0 1955.0 109635;1519.0 50.0 109651;5659.0 59.0 109660;5946.0 120.0 109667;4224.0 173.0 109673;206.0 5.0 109675;6200.0 211.0 109683;4242.0 188.0 109689;2804.0 129.0 109690;16486.0 1325.0 109692;1745.0 48.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 932;109697 887;109698 921;109699 903;109700 831;109701 928;109702 939;109703 900;109704 932;109705 917;109706 934;109635 942;109651 880;109660 856;109667 904;109673 877;109675 914;109683 930;109689 923;109690 932;109692 922;109693 896
data,1241738100,1519368.0;56140.0;1526863.0;71400.0;1424603.0;53427.0;1532839.0;82010.0;1.26557739088;1.01498003844;1.44797424542,2171.0 91.0 109696;1431.0 41.0 109697;1719.0 59.0 109698;2076.0 104.0 109699;1948.0 82.0 109700;1466.0 65.0 109701;640.0 18.0 109702;8702.0 609.0 109703;1784.0 101.0 109704;806.0 33.0 109705;231.0 4.0 109706;39253.0 1957.0 109635;1544.0 52.0 109651;5682.0 60.0 109660;5978.0 121.0 109667;4286.0 176.0 109673;230.0 7.0 109675;6216.0 211.0 109683;4264.0 189.0 109689;2835.0 129.0 109690;16565.0 1327.0 109692;1764.0 50.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 918;109697 940;109698 902;109699 939;109700 911;109701 948;109702 913;109703 833;109704 957;109705 898;109706 916;109635 943;109651 838;109660 925;109667 919;109673 922;109675 919;109683 882;109689 901;109690 917;109692 900;109693 859
data,1241738400,1520281.0;56166.0;1527781.0;71444.0;1425476.0;53451.0;1533725.0;82062.0;1.26577067352;1.0149538545;1.44825478751,2229.0 91.0 109696;1470.0 43.0 109697;1784.0 61.0 109698;2189.0 111.0 109699;1976.0 84.0 109700;1475.0 65.0 109701;667.0 18.0 109702;8804.0 617.0 109703;1828.0 104.0 109704;831.0 34.0 109705;249.0 4.0 109706;39308.0 1959.0 109635;1571.0 54.0 109651;5699.0 60.0 109660;6001.0 121.0 109667;4323.0 176.0 109673;287.0 13.0 109675;6232.0 213.0 109683;4280.0 189.0 109689;2864.0 130.0 109690;16655.0 1333.0 109692;1787.0 50.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 897;109697 919;109698 927;109699 884;109700 888;109701 929;109702 976;109703 861;109704 891;109705 907;109706 910;109635 898;109651 883;109660 932;109667 875;109673 905;109675 903;109683 889;109689 923;109690 955;109692 915;109693 933
data,1241738700,1521149.0;56198.0;1528700.0;71479.0;1426327.0;53480.0;1534635.0;82121.0;1.2656309854;1.01489985747;1.44843838889,2259.0 91.0 109696;1490.0 43.0 109697;1823.0 62.0 109698;2349.0 121.0 109699;2014.0 85.0 109700;1491.0 66.0 109701;693.0 19.0 109702;8960.0 628.0 109703;1856.0 104.0 109704;855.0 34.0 109705;262.0 4.0 109706;39348.0 1960.0 109635;1596.0 55.0 109651;5711.0 61.0 109660;6019.0 122.0 109667;4361.0 176.0 109673;376.0 18.0 109675;6248.0 213.0 109683;4299.0 189.0 109689;2892.0 130.0 109690;16724.0 1334.0 109692;1802.0 50.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 912;109697 923;109698 1008;109699 872;109700 907;109701 863;109702 904;109703 906;109704 963;109705 892;109706 926;109635 921;109651 910;109660 880;109667 844;109673 926;109675 909;109683 909;109689 906;109690 945;109692 899;109693 875
data,1241739000,1522047.0;56233.0;1529577.0;71516.0;1427234.0;53512.0;1535551.0;82181.0;1.26551903262;1.01482886116;1.44858500841,2278.0 91.0 109696;1509.0 43.0 109697;1858.0 62.0 109698;2540.0 134.0 109699;2038.0 85.0 109700;1509.0 66.0 109701;716.0 21.0 109702;9139.0 640.0 109703;1895.0 106.0 109704;869.0 34.0 109705;275.0 4.0 109706;39370.0 1960.0 109635;1614.0 55.0 109651;5721.0 61.0 109660;6050.0 123.0 109667;4384.0 176.0 109673;433.0 20.0 109675;6259.0 214.0 109683;4311.0 189.0 109689;2907.0 130.0 109690;16810.0 1337.0 109692;1820.0 51.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 908;109697 948;109698 909;109699 925;109700 870;109701 922;109702 907;109703 923;109704 905;109705 892;109706 953;109635 925;109651 932;109660 938;109667 882;109673 963;109675 851;109683 883;109689 849;109690 898;109692 900;109693 917
data,1241739300,1522940.0;56271.0;1530538.0;71569.0;1428109.0;53543.0;1536478.0;82238.0;1.26554908108;1.01470431047;1.44858623517,2292.0 91.0 109696;1524.0 43.0 109697;1883.0 62.0 109698;2746.0 144.0 109699;2082.0 89.0 109700;1515.0 66.0 109701;730.0 21.0 109702;9361.0 654.0 109703;1948.0 111.0 109704;886.0 35.0 109705;288.0 5.0 109706;39393.0 1960.0 109635;1630.0 55.0 109651;5732.0 61.0 109660;6076.0 125.0 109667;4421.0 179.0 109673;482.0 20.0 109675;6283.0 215.0 109683;4334.0 191.0 109689;2938.0 131.0 109690;16887.0 1345.0 109692;1835.0 52.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 871;109697 955;109698 868;109699 901;109700 947;109701 876;109702 909;109703 961;109704 910;109705 956;109706 938;109635 930;109651 921;109660 848;109667 873;109673 900;109675 916;109683 889;109689 923;109690 952;109692 905;109693 851
data,1241739600,1523821.0;56305.0;1531476.0;71607.0;1429049.0;53580.0;1537348.0;82282.0;1.26541295234;1.01471149549;1.44850381627,2314.0 92.0 109696;1543.0 43.0 109697;1896.0 62.0 109698;2959.0 156.0 109699;2119.0 90.0 109700;1530.0 67.0 109701;753.0 21.0 109702;9553.0 660.0 109703;2014.0 113.0 109704;902.0 35.0 109705;296.0 7.0 109706;39405.0 1960.0 109635;1647.0 56.0 109651;5744.0 61.0 109660;6104.0 126.0 109667;4456.0 179.0 109673;519.0 23.0 109675;6317.0 218.0 109683;4353.0 191.0 109689;2954.0 132.0 109690;16974.0 1348.0 109692;1852.0 53.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 919;109697 934;109698 912;109699 887;109700 931;109701 925;109702 884;109703 852;109704 930;109705 928;109706 911;109635 882;109651 965;109660 887;109667 933;109673 894;109675 888;109683 918;109689 939;109690 894;109692 866;109693 921
