
New Run at  01/26/2015 18:36:04
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; exp3CTRRatio; ucb1CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,1009.0;30.0;1066.0;23.0;1040.0;29.0;0.725672295184;0.937852564103,44.0 0.0 109473;58.0 2.0 109506;45.0 0.0 109508;41.0 1.0 109509;50.0 0.0 109510;61.0 2.0 109511;75.0 4.0 109512;56.0 1.0 109513;41.0 1.0 109514;35.0 1.0 109515;46.0 0.0 109484;54.0 1.0 109453;42.0 0.0 109492;68.0 3.0 109505;37.0 0.0 109494;109.0 3.0 109495;68.0 3.0 109498;51.0 0.0 109501;37.0 1.0 109502;48.0 0.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1010;109506 986;109508 1024;109509 960;109510 1058;109511 1019;109512 969;109513 1024;109514 1013;109515 976;109484 1006;109453 982;109492 1019;109505 949;109494 955;109495 1003;109498 1004;109501 984;109502 1002;109503 1057
data,1241162700,1929.0;63.0;2060.0;57.0;2031.0;66.0;0.847226074896;0.995005978758,95.0 4.0 109473;112.0 2.0 109506;75.0 0.0 109508;113.0 4.0 109509;75.0 0.0 109510;99.0 8.0 109505;166.0 7.0 109512;93.0 1.0 109513;94.0 4.0 109514;77.0 1.0 109515;74.0 1.0 109484;108.0 5.0 109453;12.0 0.0 109519;81.0 1.0 109492;77.0 1.0 109494;205.0 6.0 109495;135.0 5.0 109511;111.0 3.0 109498;89.0 0.0 109501;72.0 2.0 109502;97.0 2.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 15120;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 11554;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1017;109506 995;109508 1017;109509 1011;109510 982;109505 478;109512 1010;109513 968;109514 975;109515 1068;109484 1026;109453 952;109519 495;109492 983;109494 1060;109495 988;109511 983;109498 1012;109501 1003;109502 962;109503 1015
data,1241163600,2900.0;83.0;3049.0;86.0;3044.0;96.0;0.985509766188;1.10191092887,158.0 4.0 109473;155.0 4.0 109506;106.0 2.0 109508;154.0 4.0 109509;106.0 4.0 109510;244.0 8.0 109511;254.0 9.0 109512;138.0 3.0 109513;143.0 6.0 109514;109.0 2.0 109515;100.0 1.0 109484;207.0 8.0 109453;48.0 1.0 109519;111.0 1.0 109492;111.0 2.0 109494;281.0 6.0 109495;157.0 4.0 109498;115.0 1.0 109501;118.0 3.0 109502;135.0 5.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1012;109506 1030;109508 1021;109509 933;109510 1020;109511 1022;109512 972;109513 1003;109514 1027;109515 972;109484 954;109453 1072;109519 995;109492 998;109494 1023;109495 964;109498 999;109501 1022;109502 975;109503 986
data,1241164800,3862.0;105.0;4055.0;118.0;4035.0;114.0;1.07032117903;1.03916445389,193.0 5.0 109473;194.0 6.0 109506;128.0 2.0 109508;189.0 5.0 109509;181.0 6.0 109510;326.0 12.0 109511;356.0 16.0 109512;191.0 4.0 109513;206.0 7.0 109514;135.0 2.0 109515;126.0 1.0 109484;285.0 11.0 109453;72.0 1.0 109519;130.0 1.0 109492;151.0 2.0 109494;349.0 7.0 109495;214.0 6.0 109498;147.0 2.0 109501;166.0 4.0 109502;217.0 10.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 998;109506 1013;109508 1011;109509 1017;109510 1005;109511 1031;109512 990;109513 1050;109514 968;109515 1023;109484 1018;109453 953;109519 996;109492 974;109494 980;109495 938;109498 1030;109501 1006;109502 1018;109503 981
data,1241165700,4956.0;125.0;5030.0;150.0;5024.0;136.0;1.18234592445;1.07327388535,265.0 10.0 109473;246.0 6.0 109506;148.0 2.0 109508;263.0 10.0 109509;222.0 6.0 109510;406.0 15.0 109511;477.0 20.0 109512;247.0 9.0 109513;231.0 7.0 109514;153.0 2.0 109515;153.0 2.0 109484;346.0 12.0 109453;90.0 1.0 109519;148.0 1.0 109492;190.0 5.0 109494;413.0 9.0 109495;266.0 7.0 109498;186.0 3.0 109501;192.0 4.0 109502;289.0 11.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1013;109506 1022;109508 1062;109509 991;109510 1046;109511 991;109512 991;109513 969;109514 976;109515 965;109484 1036;109453 1007;109519 975;109492 937;109494 981;109495 984;109498 1021;109501 1054;109502 979;109503 1000
data,1241166900,5936.0;144.0;6050.0;174.0;6086.0;160.0;1.18556473829;1.08372585533,346.0 11.0 109473;278.0 7.0 109506;177.0 4.0 109508;331.0 10.0 109509;265.0 8.0 109510;489.0 16.0 109511;619.0 28.0 109512;306.0 9.0 109513;267.0 8.0 109514;174.0 2.0 109515;185.0 3.0 109484;412.0 15.0 109453;114.0 1.0 109519;169.0 1.0 109492;251.0 6.0 109494;472.0 9.0 109495;300.0 7.0 109498;219.0 4.0 109501;223.0 5.0 109502;354.0 12.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1069;109506 979;109508 971;109509 1037;109510 1013;109511 1017;109512 983;109513 977;109514 982;109515 953;109484 980;109453 958;109519 1012;109492 979;109494 1059;109495 963;109498 982;109501 1095;109502 977;109503 1014
data,1241167800,6899.0;163.0;7041.0;198.0;7053.0;187.0;1.19022587248;1.12218966128,412.0 12.0 109473;324.0 9.0 109506;205.0 4.0 109508;408.0 13.0 109509;325.0 10.0 109510;561.0 19.0 109511;764.0 30.0 109512;349.0 10.0 109513;294.0 8.0 109514;197.0 2.0 109515;215.0 3.0 109484;491.0 18.0 109453;128.0 1.0 109519;192.0 1.0 109492;281.0 6.0 109494;501.0 9.0 109495;353.0 10.0 109498;255.0 5.0 109501;259.0 6.0 109502;428.0 14.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 982;109508 976;109509 1019;109510 1053;109511 1108;109512 970;109513 994;109514 1038;109515 983;109484 980;109453 957;109519 997;109492 1005;109494 974;109495 1008;109498 975;109501 1020;109502 945;109503 1012
data,1241169000,7911.0;192.0;8048.0;221.0;8075.0;212.0;1.13144764227;1.08174148607,464.0 13.0 109473;377.0 9.0 109506;227.0 4.0 109508;487.0 14.0 109509;382.0 11.0 109510;671.0 24.0 109511;915.0 33.0 109512;397.0 11.0 109513;315.0 8.0 109514;218.0 2.0 109515;239.0 4.0 109484;606.0 22.0 109453;148.0 1.0 109519;210.0 1.0 109492;323.0 7.0 109494;525.0 9.0 109495;394.0 11.0 109498;282.0 5.0 109501;302.0 9.0 109502;467.0 15.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 994;109506 979;109508 987;109509 1014;109510 1003;109511 1009;109512 1052;109513 1015;109514 1023;109515 1028;109484 985;109453 953;109519 930;109492 1015;109494 971;109495 988;109498 1011;109501 985;109502 1050;109503 1008
data,1241169900,8876.0;215.0;9004.0;254.0;9119.0;241.0;1.16460074592;1.09106006626,514.0 13.0 109473;410.0 9.0 109506;257.0 7.0 109508;527.0 14.0 109509;417.0 11.0 109510;815.0 34.0 109511;1034.0 36.0 109512;470.0 18.0 109513;330.0 9.0 109514;234.0 2.0 109515;266.0 5.0 109484;738.0 27.0 109453;159.0 1.0 109519;221.0 1.0 109492;347.0 7.0 109494;547.0 10.0 109495;439.0 11.0 109498;312.0 5.0 109501;356.0 11.0 109502;512.0 15.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 955;109506 981;109508 1031;109509 966;109510 1001;109511 971;109512 976;109513 992;109514 963;109515 989;109484 1014;109453 1008;109519 1032;109492 962;109494 1067;109495 998;109498 1001;109501 1045;109502 1011;109503 1037
data,1241171100,9862.0;240.0;9997.0;275.0;10139.0;271.0;1.13035994132;1.09831755268,543.0 14.0 109473;432.0 9.0 109506;296.0 7.0 109508;586.0 17.0 109509;443.0 11.0 109510;1027.0 39.0 109511;1138.0 37.0 109512;554.0 19.0 109513;351.0 10.0 109514;253.0 3.0 109515;291.0 5.0 109484;842.0 29.0 109453;171.0 1.0 109519;238.0 2.0 109492;372.0 10.0 109494;587.0 11.0 109495;476.0 11.0 109498;335.0 5.0 109501;409.0 12.0 109502;554.0 15.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 954;109506 987;109508 1019;109509 995;109510 1028;109511 1011;109512 992;109513 998;109514 958;109515 953;109484 1027;109453 1008;109519 977;109492 1029;109494 1032;109495 960;109498 1030;109501 1011;109502 1051;109503 980
