
New Run at  01/28/2015 00:11:10
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,1015.0;35.0;1038.0;32.0;1048.0;29.0;995.0;32.0;0.894026974952;0.802480916031;0.932663316583,57.0 3.0 109473;56.0 2.0 109506;51.0 1.0 109508;72.0 4.0 109509;50.0 1.0 109510;54.0 2.0 109511;56.0 0.0 109512;55.0 3.0 109513;49.0 1.0 109514;44.0 0.0 109515;75.0 4.0 109484;37.0 1.0 109453;66.0 2.0 109492;55.0 2.0 109505;49.0 1.0 109494;39.0 0.0 109495;42.0 1.0 109498;38.0 0.0 109501;42.0 2.0 109502;51.0 2.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1010;109506 986;109508 1024;109509 960;109510 1058;109511 1019;109512 969;109513 1024;109514 1013;109515 976;109484 1006;109453 982;109492 1019;109505 949;109494 955;109495 1003;109498 1004;109501 984;109502 1002;109503 1057
data,1241162700,2031.0;71.0;2040.0;56.0;1995.0;54.0;1976.0;66.0;0.785252692626;0.774287832257;0.955451331471,106.0 3.0 109473;114.0 4.0 109506;105.0 3.0 109508;152.0 8.0 109509;88.0 2.0 109510;89.0 3.0 109505;95.0 1.0 109512;114.0 4.0 109513;98.0 1.0 109514;101.0 2.0 109515;124.0 4.0 109484;81.0 2.0 109453;23.0 1.0 109519;120.0 3.0 109492;87.0 2.0 109494;69.0 1.0 109495;113.0 3.0 109511;92.0 2.0 109498;66.0 0.0 109501;100.0 4.0 109502;103.0 3.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 15120;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 11554;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1017;109506 995;109508 1017;109509 1011;109510 982;109505 478;109512 1010;109513 968;109514 975;109515 1068;109484 1026;109453 952;109519 495;109492 983;109494 1060;109495 988;109511 983;109498 1012;109501 1003;109502 962;109503 1015
data,1241163600,3042.0;102.0;3040.0;87.0;2966.0;77.0;2910.0;87.0;0.853502321981;0.774245369085;0.891631291692,142.0 3.0 109473;185.0 8.0 109506;144.0 4.0 109508;255.0 11.0 109509;117.0 2.0 109510;163.0 3.0 109511;130.0 2.0 109512;177.0 7.0 109513;137.0 3.0 109514;135.0 3.0 109515;154.0 4.0 109484;147.0 5.0 109453;53.0 1.0 109519;175.0 4.0 109492;167.0 9.0 109494;113.0 1.0 109495;133.0 2.0 109498;99.0 1.0 109501;166.0 5.0 109502;159.0 6.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1012;109506 1030;109508 1021;109509 933;109510 1020;109511 1022;109512 972;109513 1003;109514 1027;109515 972;109484 954;109453 1072;109519 995;109492 998;109494 1023;109495 964;109498 999;109501 1022;109502 975;109503 986
data,1241164800,4062.0;129.0;4028.0;110.0;3993.0;98.0;3936.0;121.0;0.859910856562;0.772817546986;0.968011438835,172.0 3.0 109473;257.0 9.0 109506;198.0 5.0 109508;349.0 15.0 109509;144.0 2.0 109510;191.0 3.0 109511;160.0 3.0 109512;265.0 13.0 109513;182.0 4.0 109514;185.0 3.0 109515;208.0 5.0 109484;215.0 7.0 109453;76.0 1.0 109519;210.0 4.0 109492;265.0 10.0 109494;146.0 2.0 109495;163.0 2.0 109498;125.0 1.0 109501;209.0 5.0 109502;219.0 10.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 998;109506 1013;109508 1011;109509 1017;109510 1005;109511 1031;109512 990;109513 1050;109514 968;109515 1023;109484 1018;109453 953;109519 996;109492 974;109494 980;109495 938;109498 1030;109501 1006;109502 1018;109503 981
data,1241165700,5086.0;160.0;5036.0;140.0;4953.0;119.0;4941.0;145.0;0.883687450357;0.76372148193;0.932845071848,210.0 4.0 109473;347.0 11.0 109506;262.0 8.0 109508;436.0 16.0 109509;166.0 2.0 109510;209.0 3.0 109511;193.0 4.0 109512;382.0 16.0 109513;231.0 5.0 109514;212.0 3.0 109515;250.0 6.0 109484;265.0 9.0 109453;92.0 1.0 109519;244.0 5.0 109492;333.0 10.0 109494;171.0 2.0 109495;195.0 3.0 109498;155.0 4.0 109501;255.0 8.0 109502;339.0 17.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1013;109506 1022;109508 1062;109509 991;109510 1046;109511 991;109512 991;109513 969;109514 976;109515 965;109484 1036;109453 1007;109519 975;109492 937;109494 981;109495 984;109498 1021;109501 1054;109502 979;109503 1000
data,1241166900,6074.0;183.0;6054.0;168.0;5931.0;148.0;5926.0;175.0;0.921065600849;0.828242456741;0.980167051191,245.0 5.0 109473;392.0 11.0 109506;326.0 10.0 109508;509.0 18.0 109509;188.0 2.0 109510;227.0 3.0 109511;230.0 5.0 109512;532.0 20.0 109513;268.0 6.0 109514;239.0 3.0 109515;280.0 6.0 109484;342.0 11.0 109453;105.0 2.0 109519;278.0 5.0 109492;411.0 13.0 109494;192.0 2.0 109495;228.0 5.0 109498;193.0 5.0 109501;313.0 11.0 109502;467.0 22.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1069;109506 979;109508 971;109509 1037;109510 1013;109511 1017;109512 983;109513 977;109514 982;109515 953;109484 980;109453 958;109519 1012;109492 979;109494 1059;109495 963;109498 982;109501 1095;109502 977;109503 1014
data,1241167800,7088.0;219.0;7000.0;198.0;6906.0;180.0;6939.0;199.0;0.91547553816;0.84357854397;0.928187644319,291.0 5.0 109473;430.0 13.0 109506;399.0 13.0 109508;579.0 18.0 109509;207.0 2.0 109510;245.0 4.0 109511;264.0 6.0 109512;645.0 24.0 109513;307.0 7.0 109514;255.0 3.0 109515;307.0 6.0 109484;395.0 12.0 109453;122.0 2.0 109519;309.0 5.0 109492;456.0 14.0 109494;214.0 4.0 109495;270.0 8.0 109498;225.0 6.0 109501;364.0 11.0 109502;627.0 32.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 982;109508 976;109509 1019;109510 1053;109511 1108;109512 970;109513 994;109514 1038;109515 983;109484 980;109453 957;109519 997;109492 1005;109494 974;109495 1008;109498 975;109501 1020;109502 945;109503 1012
data,1241169000,8046.0;248.0;7983.0;228.0;7890.0;196.0;7893.0;227.0;0.926610175656;0.805948730529;0.933065435686,318.0 6.0 109473;498.0 16.0 109506;486.0 20.0 109508;625.0 18.0 109509;227.0 2.0 109510;271.0 6.0 109511;294.0 6.0 109512;773.0 29.0 109513;339.0 9.0 109514;267.0 3.0 109515;333.0 6.0 109484;440.0 14.0 109453;140.0 2.0 109519;323.0 5.0 109492;510.0 15.0 109494;239.0 4.0 109495;325.0 9.0 109498;252.0 6.0 109501;404.0 11.0 109502;830.0 38.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 994;109506 979;109508 987;109509 1014;109510 1003;109511 1009;109512 1052;109513 1015;109514 1023;109515 1028;109484 985;109453 953;109519 930;109492 1015;109494 971;109495 988;109498 1011;109501 985;109502 1050;109503 1008
data,1241169900,9056.0;275.0;8997.0;253.0;8867.0;217.0;8927.0;257.0;0.926033122152;0.805910372474;0.948050144098,343.0 7.0 109473;572.0 18.0 109506;603.0 21.0 109508;667.0 18.0 109509;238.0 2.0 109510;298.0 6.0 109511;320.0 7.0 109512;878.0 32.0 109513;373.0 9.0 109514;281.0 3.0 109515;351.0 6.0 109484;510.0 16.0 109453;156.0 2.0 109519;345.0 6.0 109492;574.0 18.0 109494;266.0 5.0 109495;363.0 9.0 109498;277.0 6.0 109501;447.0 14.0 109502;1046.0 45.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 955;109506 981;109508 1031;109509 966;109510 1001;109511 971;109512 976;109513 992;109514 963;109515 989;109484 1014;109453 1008;109519 1032;109492 962;109494 1067;109495 998;109498 1001;109501 1045;109502 1011;109503 1037
data,1241171100,10060.0;299.0;9954.0;294.0;9889.0;251.0;9917.0;297.0;0.993748500628;0.853980859784;1.00763426743,366.0 8.0 109473;629.0 19.0 109506;697.0 27.0 109508;690.0 19.0 109509;256.0 2.0 109510;327.0 6.0 109511;345.0 7.0 109512;971.0 34.0 109513;431.0 14.0 109514;295.0 3.0 109515;369.0 6.0 109484;576.0 18.0 109453;168.0 3.0 109519;369.0 7.0 109492;630.0 19.0 109494;287.0 5.0 109495;386.0 11.0 109498;315.0 10.0 109501;523.0 20.0 109502;1235.0 53.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 954;109506 987;109508 1019;109509 995;109510 1028;109511 1011;109512 992;109513 998;109514 958;109515 953;109484 1027;109453 1008;109519 977;109492 1029;109494 1032;109495 960;109498 1030;109501 1011;109502 1051;109503 980
