
New Run at  03/23/2015 19:48:32
, Time, exp3Access; exp3Clicks; exp3CTRRatio 
data,1241161800,990.0;26.0;0.998952487841
data,1241162700,2025.0;63.0;1.12509090909
data,1241163600,3021.0;79.0;0.854338313127
data,1241164800,4041.0;109.0;0.895970469356
data,1241165700,5055.0;135.0;0.962391949426
data,1241166900,6077.0;160.0;0.973352267302
data,1241167800,7099.0;180.0;0.949202295644
data,1241169000,8111.0;208.0;0.982036085068
data,1241169900,9090.0;231.0;0.983938393839
data,1241171100,10061.0;268.0;0.9877583776
data,1241172000,11088.0;306.0;0.987433278695
data,1241172900,12096.0;338.0;0.98893995098
data,1241173500,13114.0;370.0;1.00010222659
data,1241174400,14110.0;414.0;1.04309108635
data,1241175000,15147.0;443.0;1.03370584623
data,1241175600,16117.0;482.0;1.04730853234
data,1241176200,17126.0;525.0;1.04788781739
data,1241176800,18104.0;572.0;1.07746906761
data,1241177400,19129.0;610.0;1.07586451928
data,1241177700,20105.0;662.0;1.0846998979
data,1241178300,21070.0;727.0;1.1147457194
data,1241178600,22080.0;784.0;1.13252678009
data,1241179200,23137.0;841.0;1.15378311795
data,1241179500,24191.0;900.0;1.16386823781
data,1241179800,25194.0;963.0;1.17385048018
data,1241180400,26254.0;1034.0;1.20415838381
data,1241180700,27194.0;1080.0;1.19500963889
data,1241181000,28212.0;1145.0;1.22038543488
data,1241181300,29145.0;1196.0;1.2263299594
data,1241181600,30160.0;1254.0;1.22031756558
data,1241182200,31166.0;1317.0;1.21865558681
data,1241182500,32182.0;1369.0;1.22702779335
data,1241182800,33188.0;1425.0;1.22070145007
data,1241183100,34143.0;1487.0;1.21692266303
data,1241183400,35155.0;1540.0;1.22140620202
data,1241183700,36098.0;1589.0;1.22415880256
data,1241184000,37123.0;1643.0;1.222771234
data,1241184300,38140.0;1701.0;1.23141469228
data,1241184600,39134.0;1759.0;1.2466871313
data,1241184900,40107.0;1804.0;1.24370212239
data,1241185200,41100.0;1851.0;1.24962565313
data,1241185500,42107.0;1903.0;1.24522815382
data,1241185500,43102.0;1972.0;1.24904528351
