
New Run at  03/13/2015 16:36:42
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio
data,1241766000,493258.0;17946.0;495162.0;21725.0;468422.0;22108.0;499151.0;28550.0;1.20592125794;1.29723496565;1.57210171446
data,1241766900,494205.0;17953.0;496182.0;21744.0;469389.0;22128.0;500102.0;28574.0;1.20633669366;1.29771510294;1.5728327844
data,1241767800,495202.0;17974.0;497191.0;21768.0;470425.0;22147.0;501124.0;28591.0;1.20623776941;1.29706626707;1.5718887133
data,1241768400,496234.0;17998.0;498172.0;21792.0;471437.0;22171.0;502099.0;28613.0;1.20609091388;1.29665335214;1.57121750176
data,1241769300,497217.0;18020.0;499185.0;21819.0;472419.0;22189.0;503107.0;28632.0;1.20604773606;1.2959897193;1.57029955523
data,1241770200,498220.0;18037.0;500250.0;21844.0;473430.0;22210.0;504069.0;28660.0;1.20615167052;1.29583479179;1.57051847201
data,1241771100,499179.0;18058.0;501267.0;21866.0;474439.0;22226.0;505126.0;28690.0;1.20583222864;1.29499349287;1.57006446004
data,1241772000,500155.0;18070.0;502293.0;21884.0;475479.0;22249.0;506204.0;28711.0;1.20591318187;1.29516654439;1.5698899483
data,1241772900,501143.0;18094.0;503296.0;21904.0;476536.0;22272.0;507207.0;28735.0;1.20538847423;1.29446581362;1.56910875401
data,1241773800,502161.0;18111.0;504305.0;21926.0;477512.0;22290.0;508212.0;28755.0;1.20549853142;1.29427430239;1.56880515011
data,1241774700,503107.0;18124.0;505340.0;21947.0;478451.0;22301.0;509158.0;28771.0;1.20558488412;1.29387754999;1.56858728963
data,1241775600,504173.0;18137.0;506338.0;21982.0;479480.0;22322.0;510142.0;28796.0;1.20681531484;1.29412652357;1.56911659519
data,1241776200,505193.0;18162.0;507341.0;22007.0;480519.0;22338.0;511127.0;28817.0;1.20657559245;1.29308589655;1.56824386248
data,1241777100,506173.0;18182.0;508374.0;22034.0;481533.0;22359.0;512141.0;28846.0;1.2066111552;1.2926580137;1.56802642082
data,1241777700,507136.0;18204.0;509358.0;22063.0;482569.0;22377.0;513142.0;28879.0;1.20669926279;1.29181420643;1.56784166745
data,1241778600,508103.0;18225.0;510354.0;22088.0;483529.0;22393.0;514113.0;28903.0;1.2066160359;1.29114190262;1.56735927902
data,1241779200,509077.0;18247.0;511323.0;22119.0;484398.0;22410.0;514958.0;28932.0;1.20687464783;1.29071845362;1.56746788334
data,1241779800,510074.0;18263.0;512359.0;22152.0;485426.0;22422.0;515942.0;28962.0;1.20753475976;1.29006734421;1.56779304697
data,1241780400,511094.0;18292.0;513352.0;22173.0;486427.0;22429.0;516924.0;28993.0;1.20683747773;1.28834396543;1.56713369732
data,1241781000,512089.0;18313.0;514333.0;22195.0;487454.0;22451.0;517927.0;29041.0;1.20669277126;1.28791737723;1.56793829243
data,1241781300,513091.0;18328.0;515360.0;22239.0;488481.0;22484.0;518909.0;29080.0;1.20804710259;1.28856170785;1.56885396508
data,1241781900,514126.0;18350.0;516420.0;22261.0;489435.0;22502.0;519918.0;29121.0;1.20774462942;1.28812970681;1.56929622365
data,1241782500,515044.0;18389.0;517390.0;22312.0;490314.0;22530.0;520877.0;29167.0;1.20783244125;1.28698390975;1.5683493203
data,1241782800,516008.0;18416.0;518426.0;22349.0;491280.0;22559.0;521840.0;29212.0;1.20790408495;1.28662471151;1.56850192122
data,1241783400,517025.0;18443.0;519454.0;22380.0;492339.0;22583.0;522841.0;29262.0;1.20779426851;1.28587091258;1.56896894069
data,1241783700,518048.0;18475.0;520472.0;22419.0;493349.0;22605.0;523813.0;29314.0;1.20782612955;1.28480084465;1.56922191729
data,1241784000,519036.0;18509.0;521444.0;22454.0;494275.0;22625.0;524825.0;29367.0;1.20753734133;1.28361407028;1.56913241688
data,1241784600,520062.0;18541.0;522487.0;22485.0;495239.0;22650.0;525792.0;29416.0;1.20708921759;1.28284839825;1.5692480975
data,1241784900,521038.0;18575.0;523494.0;22527.0;496237.0;22673.0;526785.0;29460.0;1.20706936091;1.281623379;1.56870007788
data,1241785200,522042.0;18607.0;524463.0;22553.0;497266.0;22717.0;527786.0;29511.0;1.20647562551;1.28171450553;1.56875508777
data,1241785500,522996.0;18633.0;525468.0;22594.0;498288.0;22761.0;528789.0;29563.0;1.20687539783;1.28211356076;1.56921219458
data,1241785800,523966.0;18663.0;526417.0;22634.0;498583.0;22773.0;529851.0;29608.0;1.20712725664;1.28234366395;1.56883389705
data,1241786100,524947.0;18693.0;527422.0;22667.0;499401.0;22807.0;530813.0;29664.0;1.20690269067;1.28249360157;1.56936735378
data,1241786700,525937.0;18729.0;528373.0;22695.0;500381.0;22870.0;531779.0;29711.0;1.20617050773;1.28346635658;1.56893597561
data,1241787000,526911.0;18757.0;529331.0;22727.0;501394.0;22916.0;532820.0;29763.0;1.20611486414;1.28390700308;1.56917027598
data,1241787300,527908.0;18793.0;530322.0;22782.0;502440.0;22974.0;533845.0;29830.0;1.20674173586;1.2844421222;1.5696405277
data,1241787600,528925.0;18827.0;531282.0;22815.0;503417.0;23019.0;534781.0;29875.0;1.20644726468;1.28461073757;1.56944072233
data,1241787900,529898.0;18864.0;532265.0;22863.0;504396.0;23059.0;535843.0;29926.0;1.2066013298;1.28418421721;1.56880730364
data,1241788200,530918.0;18893.0;533282.0;22894.0;505413.0;23097.0;536797.0;29975.0;1.20639986116;1.28420894625;1.56919037959
data,1241788500,531934.0;18923.0;534247.0;22938.0;506448.0;23136.0;537780.0;30027.0;1.20692759553;1.28416602643;1.56954964891
