
New Run at  03/13/2015 02:29:55
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio
data,1241421000,997.0;24.0;1027.0;23.0;1016.0;12.0;1042.0;16.0;0.930339175592;0.490649606299;0.637875879718
data,1241421600,1999.0;43.0;1984.0;43.0;2019.0;29.0;2027.0;34.0;1.00756048387;0.667737885437;0.779775358245
data,1241422200,3025.0;62.0;2993.0;60.0;2982.0;43.0;3027.0;54.0;0.978088658483;0.703549252504;0.870392275968
data,1241423100,4029.0;85.0;3988.0;81.0;3952.0;61.0;4048.0;61.0;0.962738214644;0.731629554656;0.714278656126
data,1241423700,5054.0;103.0;5042.0;98.0;4915.0;79.0;5081.0;74.0;0.953720784247;0.788681369693;0.714628838066
data,1241424600,6057.0;118.0;6041.0;112.0;5854.0;92.0;6038.0;91.0;0.951666437536;0.806697434175;0.773613161839
data,1241425500,7064.0;134.0;7032.0;128.0;6835.0;102.0;7057.0;108.0;0.959570746948;0.786697092446;0.806769609512
data,1241426100,8054.0;154.0;8029.0;141.0;7825.0;121.0;8005.0;122.0;0.918435282491;0.808708352351;0.797057034159
data,1241427000,9069.0;174.0;8994.0;162.0;8820.0;137.0;9019.0;139.0;0.938798279313;0.809584408476;0.803279283964
data,1241427900,10106.0;187.0;9991.0;178.0;9824.0;156.0;10011.0;158.0;0.962828042565;0.85817119267;0.852937704354
data,1241428800,11109.0;207.0;10984.0;196.0;10793.0;171.0;11012.0;177.0;0.957635348386;0.850273325303;0.862604431529
data,1241429400,12110.0;225.0;11928.0;212.0;11822.0;185.0;12026.0;191.0;0.956598852374;0.842252673922;0.854818264131
data,1241430300,13122.0;248.0;12921.0;231.0;12850.0;204.0;13010.0;213.0;0.945941340803;0.839992468934;0.866264783913
data,1241431200,14146.0;263.0;13895.0;250.0;13821.0;216.0;13978.0;230.0;0.967741494123;0.840605426855;0.8850355284
data,1241431800,15159.0;279.0;14892.0;267.0;14704.0;232.0;15024.0;252.0;0.974147193124;0.857272397534;0.911341853035
data,1241432400,16152.0;293.0;15864.0;288.0;15672.0;252.0;15976.0;264.0;1.00077966469;0.886410319397;0.910950042812
data,1241433000,17139.0;310.0;16832.0;312.0;16318.0;267.0;16885.0;279.0;1.02480835275;0.904624024924;0.913538643767
data,1241433900,18096.0;336.0;17833.0;343.0;17316.0;299.0;17877.0;298.0;1.03588852128;0.929965679966;0.897769680116
data,1241434500,19048.0;362.0;18877.0;367.0;18291.0;322.0;18908.0;328.0;1.02299591686;0.926316145579;0.912786192404
data,1241434800,20061.0;386.0;19822.0;404.0;19317.0;341.0;19928.0;358.0;1.05925169239;0.91744486118;0.933651040117
data,1241435400,21050.0;413.0;20817.0;428.0;20281.0;360.0;20901.0;386.0;1.04791890498;0.904722068974;0.941287492414
