
New Run at  03/30/2015 15:36:46
, Time, exp3Access; exp3Clicks; exp3CTRRatio 
data,1241420700,413873.0;17484.0;1.22419055178
data,1241421300,414830.0;17510.0;1.2239213685
data,1241421900,415802.0;17521.0;1.22246168104
data,1241422800,416716.0;17548.0;1.22282689732
data,1241423400,417689.0;17569.0;1.22237667364
data,1241424300,418658.0;17587.0;1.22226579213
data,1241425200,419618.0;17617.0;1.22211686395
data,1241425800,420545.0;17634.0;1.22189527322
data,1241426700,421526.0;17657.0;1.22170294474
data,1241427600,422496.0;17680.0;1.22156886806
data,1241428500,423440.0;17693.0;1.22038599007
data,1241429100,424420.0;17716.0;1.22059225811
data,1241430000,425384.0;17736.0;1.22037218119
data,1241430900,426355.0;17756.0;1.22022407422
data,1241431500,427346.0;17773.0;1.21915785113
data,1241432100,428355.0;17786.0;1.21859671081
data,1241433000,429344.0;17800.0;1.21746316668
data,1241433600,430286.0;17816.0;1.2163340324
data,1241434200,431234.0;17841.0;1.21632707413
data,1241434800,432199.0;17863.0;1.21573986147
data,1241435400,433138.0;17886.0;1.21479643297
data,1241435700,434147.0;17912.0;1.21414496725
data,1241436300,435155.0;17948.0;1.21397648122
data,1241436600,436117.0;17968.0;1.21292566947
data,1241437200,437100.0;17997.0;1.21240071287
data,1241437500,438096.0;18033.0;1.21297873967
data,1241438100,439124.0;18062.0;1.21216913849
data,1241438400,440133.0;18088.0;1.21130932847
data,1241438700,441075.0;18115.0;1.21029667908
data,1241439300,442088.0;18144.0;1.2100593029
data,1241439600,443000.0;18173.0;1.20994167759
data,1241439900,443933.0;18196.0;1.2088842915
data,1241440200,444947.0;18235.0;1.20882701511
data,1241440500,445881.0;18257.0;1.20762889791
data,1241440800,446827.0;18280.0;1.20601783902
data,1241441100,447813.0;18310.0;1.20563938077
data,1241441400,448714.0;18343.0;1.20590284306
data,1241441700,449711.0;18367.0;1.20518181672
data,1241442000,450690.0;18399.0;1.20426867761
data,1241442300,451690.0;18428.0;1.20426893176
data,1241442600,452642.0;18463.0;1.20357324333
data,1241442900,453554.0;18494.0;1.20324600837
data,1241443200,454541.0;18529.0;1.20286189267
data,1241443500,455493.0;18559.0;1.20239187535
data,1241443800,456535.0;18592.0;1.20175710577
data,1241444100,457542.0;18626.0;1.2005320557
data,1241444400,458518.0;18664.0;1.20019692804
data,1241444400,459506.0;18686.0;1.19950961461
data,1241444700,460467.0;18707.0;1.19827155853
data,1241445000,461418.0;18743.0;1.19848444204
data,1241445300,462409.0;18780.0;1.19775250728
data,1241445600,463349.0;18801.0;1.19670939969
data,1241445900,464290.0;18834.0;1.19619286905
data,1241446200,465258.0;18866.0;1.1958747555
data,1241446200,466240.0;18894.0;1.19532497284
data,1241446500,467252.0;18929.0;1.19485562215
data,1241446800,468183.0;18958.0;1.19362752114
data,1241447100,469135.0;18993.0;1.19313789321
data,1241447400,470087.0;19024.0;1.1930515957
data,1241447400,471050.0;19049.0;1.19168857397
data,1241447700,471995.0;19090.0;1.19136391417
data,1241448000,472957.0;19125.0;1.19097370165
data,1241448300,473918.0;19160.0;1.1909976794
data,1241448600,474839.0;19186.0;1.1903323181
data,1241448600,475832.0;19212.0;1.18929471723
data,1241448900,476796.0;19246.0;1.18842094487
data,1241449200,477707.0;19282.0;1.18809830032
data,1241449500,478644.0;19313.0;1.18704646772
data,1241449800,479627.0;19352.0;1.18685933229
data,1241449800,480572.0;19387.0;1.18686676375
data,1241450100,481532.0;19419.0;1.18627214463
data,1241450400,482503.0;19448.0;1.18531569103
data,1241450700,483438.0;19474.0;1.18423070348
data,1241451000,484449.0;19516.0;1.1833979213
data,1241451000,485457.0;19554.0;1.18284579186
data,1241451300,486436.0;19585.0;1.1822870831
data,1241451600,487402.0;19617.0;1.18192380035
data,1241451900,488427.0;19661.0;1.1819997351
data,1241451900,489405.0;19689.0;1.18083205026
data,1241452200,490357.0;19727.0;1.18133431633
data,1241452500,491372.0;19766.0;1.18037830307
data,1241452800,492369.0;19795.0;1.17882862124
data,1241453100,493323.0;19830.0;1.17822134146
data,1241453100,494268.0;19876.0;1.17821411171
data,1241453400,495246.0;19911.0;1.17774148336
data,1241453700,496234.0;19944.0;1.17667623466
data,1241454000,497263.0;19983.0;1.17566073167
data,1241454000,498244.0;20018.0;1.17501677005
data,1241454300,499197.0;20048.0;1.1742429816
data,1241454600,500103.0;20088.0;1.17403251318
data,1241454900,501081.0;20131.0;1.17366014678
data,1241455200,502026.0;20164.0;1.17288189962
data,1241455200,503027.0;20215.0;1.17250645373
data,1241455500,503972.0;20252.0;1.17234353579
data,1241455800,504912.0;20285.0;1.17151020501
data,1241456100,505830.0;20321.0;1.17042635153
data,1241456400,506725.0;20363.0;1.16962875286
data,1241456400,507641.0;20395.0;1.16890364449
data,1241456700,508577.0;20430.0;1.16840301071
data,1241457000,509410.0;20462.0;1.16781246167
data,1241457300,510104.0;20497.0;1.16738335715
data,1241457300,510273.0;20503.0;1.16731865778
data,1241457600,510478.0;20517.0;1.16727953992
data,1241457900,510684.0;20527.0;1.16611516949
data,1241458200,510857.0;20533.0;1.16541223603
data,1241458500,511067.0;20541.0;1.16395284966
data,1241458500,511264.0;20554.0;1.16354546296
data,1241458800,511456.0;20569.0;1.16288478469
data,1241459100,511681.0;20586.0;1.16193700967
data,1241459400,511875.0;20591.0;1.16111604982
data,1241459700,512068.0;20597.0;1.16047717526
data,1241459700,512243.0;20607.0;1.15981327128
data,1241460000,512429.0;20616.0;1.15963153127
data,1241460300,512630.0;20624.0;1.15925660431
data,1241460600,512809.0;20634.0;1.15880506531
data,1241460900,513012.0;20644.0;1.15839164771
data,1241460900,513186.0;20651.0;1.15795996851
data,1241461200,513377.0;20655.0;1.15766689262
data,1241461500,513575.0;20660.0;1.15740103045
data,1241461800,513783.0;20671.0;1.1570125881
data,1241462100,513985.0;20678.0;1.15616076074
data,1241462100,514182.0;20683.0;1.15557053044
data,1241462400,514376.0;20691.0;1.15484294349
data,1241462700,514555.0;20698.0;1.15459814568
data,1241463000,514925.0;20710.0;1.15377278038
data,1241463000,515822.0;20734.0;1.15252926101
data,1241463300,516698.0;20759.0;1.15156454032
data,1241463600,517666.0;20793.0;1.15082644937
data,1241463900,518556.0;20824.0;1.14944628083
data,1241464200,519420.0;20862.0;1.14984880543
data,1241464200,520367.0;20899.0;1.14957496942
data,1241464500,521295.0;20928.0;1.14917805287
data,1241464800,522241.0;20959.0;1.14835895683
data,1241465100,523165.0;20991.0;1.14799326368
data,1241465400,524055.0;21022.0;1.1470555162
data,1241465400,524980.0;21051.0;1.14569032804
data,1241465700,525308.0;21073.0;1.14578500594
data,1241466000,525865.0;21093.0;1.14497394509
data,1241466300,526693.0;21122.0;1.14415216236
data,1241466300,527554.0;21155.0;1.14334996411
data,1241466600,528447.0;21191.0;1.14272905974
data,1241466900,529372.0;21233.0;1.1425349834
data,1241467200,530084.0;21263.0;1.14243253519
data,1241467200,530283.0;21277.0;1.14249579578
data,1241467500,530481.0;21284.0;1.14169038207
data,1241467800,530669.0;21291.0;1.14119151803
data,1241468100,530887.0;21302.0;1.1405174897
data,1241468100,531096.0;21313.0;1.14015250668
