
New Run at  03/30/2015 14:51:21
, Time, exp3Access; exp3Clicks; exp3CTRRatio 
data,1241161800,999.0;32.0;1.06368437403
data,1241162700,1955.0;61.0;1.09820058458
data,1241163600,2963.0;85.0;1.02761438696
data,1241164800,3998.0;110.0;0.941346741747
data,1241165700,5008.0;139.0;1.01491584054
data,1241166900,5962.0;166.0;1.03655041601
data,1241167800,6970.0;206.0;1.14079965945
data,1241169000,7962.0;244.0;1.20058513232
data,1241169900,9002.0;274.0;1.16466222636
data,1241171100,10032.0;304.0;1.14103440419
data,1241172000,11029.0;347.0;1.18984501653
data,1241172900,12034.0;376.0;1.15181471428
data,1241173500,12996.0;408.0;1.14938420923
data,1241174400,14020.0;455.0;1.19455007883
data,1241175000,14996.0;498.0;1.22317925239
data,1241175600,15987.0;536.0;1.21904742364
data,1241176200,16994.0;575.0;1.21428567874
data,1241176800,17991.0;616.0;1.18217559184
data,1241177400,18998.0;667.0;1.20177272747
data,1241177700,19997.0;706.0;1.17882091632
data,1241178300,21010.0;758.0;1.17410064204
data,1241178600,21962.0;817.0;1.19253472006
data,1241179200,22974.0;872.0;1.20979984972
data,1241179500,23947.0;936.0;1.23492185594
data,1241179800,24931.0;993.0;1.23932931911
data,1241180400,25918.0;1052.0;1.25341305918
data,1241180700,26846.0;1106.0;1.25526001115
data,1241181000,27830.0;1165.0;1.27474265682
data,1241181300,28795.0;1211.0;1.25657706861
data,1241181600,29805.0;1276.0;1.2531670725
data,1241182200,30820.0;1332.0;1.24675475057
data,1241182500,31793.0;1396.0;1.25339985648
data,1241182800,32792.0;1454.0;1.2590149796
data,1241183100,33855.0;1502.0;1.25393737266
data,1241183400,34840.0;1563.0;1.25064611768
data,1241183700,35810.0;1617.0;1.253806883
data,1241184000,36791.0;1669.0;1.24523475447
data,1241184300,37835.0;1728.0;1.24435758288
data,1241184600,38868.0;1782.0;1.24459533029
data,1241184900,39881.0;1851.0;1.2518439638
data,1241185200,40856.0;1903.0;1.24680038019
data,1241185500,41854.0;1966.0;1.25184617746
data,1241185500,42853.0;2021.0;1.25487845894
data,1241185800,43870.0;2080.0;1.26152350455
data,1241186100,44841.0;2133.0;1.25676633551
data,1241186400,45866.0;2193.0;1.25694425357
data,1241186700,46860.0;2236.0;1.24653011802
data,1241187000,47831.0;2285.0;1.24766662768
data,1241187300,48863.0;2335.0;1.24463589329
data,1241187600,49869.0;2394.0;1.25258030053
data,1241187900,50840.0;2457.0;1.25825453482
data,1241188200,51835.0;2536.0;1.26918700899
data,1241188200,52841.0;2603.0;1.27507224679
data,1241188500,53831.0;2653.0;1.27664087652
data,1241188800,54802.0;2697.0;1.26660574404
data,1241189100,55843.0;2764.0;1.27034971264
data,1241189400,56841.0;2828.0;1.27177025259
data,1241189700,57864.0;2901.0;1.28075230173
data,1241190000,58895.0;2952.0;1.27477451557
