
New Run at  03/30/2015 22:55:48
, Time, exp3Access; exp3Clicks; exp3CTRRatio 
data,1241853000,1812165.0;79544.0;1.21406367664
data,1241853600,1813215.0;79577.0;1.21406787129
data,1241854500,1814273.0;79604.0;1.21388684925
data,1241855400,1815311.0;79627.0;1.21376371031
data,1241856300,1816413.0;79662.0;1.21391575955
data,1241857500,1817498.0;79696.0;1.21412333449
data,1241858400,1818482.0;79714.0;1.21409866713
data,1241859300,1819537.0;79737.0;1.21424507752
data,1241860500,1820577.0;79758.0;1.21416405196
data,1241861400,1821657.0;79773.0;1.21407123399
data,1241862600,1822675.0;79800.0;1.21412988781
data,1241863500,1823740.0;79830.0;1.21417033785
data,1241864400,1824824.0;79854.0;1.21410438931
data,1241865300,1825899.0;79884.0;1.21409096995
data,1241866200,1826977.0;79919.0;1.21394737299
data,1241867100,1828034.0;79952.0;1.21398971221
data,1241867700,1829066.0;79981.0;1.21390797728
data,1241868300,1830139.0;80023.0;1.21402279292
data,1241869200,1831186.0;80053.0;1.21395563886
data,1241869800,1832220.0;80085.0;1.21391033976
data,1241870400,1833287.0;80128.0;1.21406973743
data,1241871000,1834285.0;80164.0;1.21434091408
data,1241871300,1835367.0;80198.0;1.21427807866
data,1241871900,1836371.0;80232.0;1.21410047595
data,1241872500,1837438.0;80266.0;1.21402097282
data,1241872800,1838462.0;80299.0;1.2138231898
data,1241873400,1839538.0;80338.0;1.2137782927
data,1241873700,1840601.0;80380.0;1.21367464651
data,1241874300,1841671.0;80409.0;1.21348768537
data,1241874600,1842747.0;80440.0;1.21304257703
data,1241875200,1843828.0;80480.0;1.21303637833
data,1241875500,1844889.0;80518.0;1.21297918529
data,1241876100,1845964.0;80563.0;1.21296315114
data,1241876400,1847031.0;80609.0;1.21291871076
data,1241876700,1847998.0;80645.0;1.21283919218
data,1241877300,1849068.0;80687.0;1.21279225106
data,1241877600,1850084.0;80730.0;1.212852313
data,1241877900,1851191.0;80784.0;1.21269512914
data,1241878200,1852248.0;80834.0;1.21284976724
data,1241878800,1853235.0;80890.0;1.21304960795
data,1241879100,1854260.0;80933.0;1.21316518149
data,1241879400,1855307.0;80979.0;1.21313532322
data,1241879700,1856263.0;81026.0;1.21340557701
data,1241880000,1857298.0;81067.0;1.21325725222
data,1241880600,1858312.0;81117.0;1.21348074096
data,1241880900,1859364.0;81163.0;1.21342930387
data,1241881200,1860373.0;81207.0;1.21353820952
data,1241881500,1861393.0;81249.0;1.2135518921
data,1241881800,1862339.0;81286.0;1.21350527922
data,1241882400,1863332.0;81321.0;1.21331857029
data,1241882700,1864295.0;81361.0;1.21322015368
data,1241883000,1865232.0;81394.0;1.21303195906
data,1241883300,1866100.0;81434.0;1.21320341526
data,1241883600,1867050.0;81478.0;1.21341074328
data,1241883900,1868014.0;81511.0;1.21342955392
data,1241884500,1868978.0;81557.0;1.2136850727
data,1241884800,1869948.0;81591.0;1.21357628393
data,1241885100,1870910.0;81636.0;1.21375183212
data,1241885400,1871857.0;81675.0;1.21394869215
data,1241885700,1872816.0;81717.0;1.21405308678
data,1241886000,1873804.0;81761.0;1.2141077763
data,1241886600,1874785.0;81796.0;1.21395878385
data,1241886900,1875684.0;81831.0;1.21399217254
data,1241887200,1876592.0;81867.0;1.21385375279
data,1241887500,1877592.0;81903.0;1.21380954969
data,1241887800,1878494.0;81935.0;1.21370478542
data,1241888400,1879485.0;81983.0;1.213850124
data,1241888700,1880388.0;82022.0;1.213827015
data,1241889000,1881338.0;82057.0;1.21368338158
data,1241889300,1882227.0;82091.0;1.21370994164
data,1241889600,1883167.0;82123.0;1.21359573289
data,1241890200,1884103.0;82174.0;1.21385196092
data,1241890500,1885052.0;82215.0;1.2137702577
data,1241890800,1885949.0;82245.0;1.21353269519
data,1241891100,1886898.0;82294.0;1.21350753754
data,1241891400,1887791.0;82330.0;1.2134229433
data,1241892000,1888685.0;82358.0;1.21333565692
data,1241892300,1889609.0;82405.0;1.21354376349
data,1241892600,1890512.0;82433.0;1.2133356217
data,1241892900,1891405.0;82470.0;1.21332601237
data,1241893500,1892273.0;82509.0;1.21346099265
data,1241893800,1893167.0;82553.0;1.21355027059
data,1241894100,1894059.0;82593.0;1.21355444916
data,1241894400,1894933.0;82621.0;1.21369827876
data,1241895000,1895848.0;82669.0;1.21384301619
data,1241895300,1896738.0;82707.0;1.21371766931
data,1241895600,1897688.0;82742.0;1.21381107877
data,1241895900,1898584.0;82774.0;1.21383509082
data,1241896500,1899480.0;82808.0;1.21386094015
data,1241896800,1900418.0;82848.0;1.2138663435
data,1241897100,1901302.0;82890.0;1.21381271567
data,1241897700,1902056.0;82925.0;1.213962361
data,1241898000,1902993.0;82973.0;1.21407782478
data,1241898300,1903965.0;83030.0;1.21441457968
data,1241898600,1904858.0;83065.0;1.21447274912
data,1241899200,1905760.0;83097.0;1.2144607418
data,1241899500,1906650.0;83123.0;1.21442604353
data,1241899800,1907559.0;83161.0;1.21445609278
data,1241900400,1908513.0;83205.0;1.21457050271
data,1241900700,1909412.0;83250.0;1.21482902902
data,1241901000,1910411.0;83290.0;1.21487638207
data,1241901600,1911306.0;83325.0;1.21478617681
data,1241901900,1912240.0;83363.0;1.21477990594
data,1241902200,1913123.0;83406.0;1.21504473142
data,1241902800,1914017.0;83438.0;1.21505172705
data,1241903100,1914924.0;83464.0;1.21501180967
data,1241903700,1915850.0;83498.0;1.21491867902
data,1241904000,1916717.0;83542.0;1.21505083335
data,1241904300,1917613.0;83577.0;1.21502237354
data,1241904900,1918537.0;83623.0;1.21514359336
data,1241905200,1919431.0;83662.0;1.2152902275
data,1241905800,1920292.0;83688.0;1.21518776821
data,1241906100,1921200.0;83727.0;1.21539596792
data,1241906400,1922139.0;83767.0;1.21532362242
data,1241907000,1923073.0;83798.0;1.21530772699
data,1241907300,1924035.0;83837.0;1.2154109757
data,1241907900,1924715.0;83866.0;1.21556034201
data,1241908200,1925586.0;83909.0;1.21571634202
data,1241908800,1926520.0;83942.0;1.21563086801
data,1241909100,1927449.0;83973.0;1.21554560766
data,1241909700,1928364.0;84013.0;1.21542354335
data,1241910000,1929251.0;84054.0;1.21554270175
data,1241910300,1930203.0;84090.0;1.2156027511
data,1241910900,1931041.0;84121.0;1.21559047896
data,1241911200,1932025.0;84160.0;1.21551524348
data,1241911800,1932925.0;84198.0;1.21536096974
data,1241912100,1933803.0;84236.0;1.21556116374
data,1241912700,1934694.0;84273.0;1.21560601317
data,1241913000,1935620.0;84317.0;1.21561548392
data,1241913600,1936481.0;84343.0;1.21545276533
data,1241913900,1937351.0;84386.0;1.21569011181
data,1241914500,1938277.0;84422.0;1.2156514711
data,1241914800,1939202.0;84467.0;1.21570410479
data,1241915400,1940085.0;84503.0;1.21578889195
data,1241915700,1941021.0;84533.0;1.21568958348
data,1241916000,1941963.0;84566.0;1.21562304036
data,1241916600,1942867.0;84615.0;1.21576943532
data,1241916900,1943706.0;84648.0;1.21587665556
data,1241917500,1944603.0;84680.0;1.21574377501
data,1241917800,1945488.0;84716.0;1.21575452967
data,1241918100,1946336.0;84747.0;1.21579612154
data,1241918700,1947200.0;84790.0;1.21603104672
data,1241919000,1948162.0;84818.0;1.21581035638
data,1241919600,1949125.0;84848.0;1.21574890793
data,1241919900,1950008.0;84878.0;1.21565186647
data,1241920200,1950957.0;84919.0;1.21575108114
data,1241920800,1951872.0;84959.0;1.21570442107
data,1241921100,1952811.0;84992.0;1.21562686269
data,1241921400,1953699.0;85038.0;1.2155260704
data,1241922000,1954565.0;85070.0;1.215581846
data,1241922300,1955445.0;85100.0;1.21547222416
data,1241922900,1956374.0;85133.0;1.21541786052
data,1241923200,1957280.0;85166.0;1.21544878534
data,1241923500,1958208.0;85208.0;1.21554407474
data,1241924100,1959119.0;85247.0;1.21552457383
data,1241924400,1960072.0;85286.0;1.21564890827
data,1241925000,1960999.0;85324.0;1.21568952709
