
New Run at  03/31/2015 19:59:12
, Time, greedyAccesses; greedyClicks; greedyCTRRatio 
data,1241420700,589371.0;26652.0;1.30067458339
data,1241421300,590412.0;26671.0;1.30025076557
data,1241421900,591418.0;26689.0;1.30000259822
data,1241422800,592389.0;26713.0;1.30035165386
data,1241423400,593420.0;26726.0;1.29996175228
data,1241424300,594417.0;26741.0;1.29960311441
data,1241425200,595446.0;26752.0;1.29923211606
data,1241425800,596423.0;26771.0;1.2995664695
data,1241426700,597442.0;26789.0;1.29914515531
data,1241427600,598407.0;26806.0;1.29923796538
data,1241428500,599419.0;26831.0;1.29984255837
data,1241429100,600426.0;26843.0;1.29931843511
data,1241430000,601460.0;26863.0;1.29929575542
data,1241430900,602483.0;26878.0;1.29919413609
data,1241431500,603534.0;26890.0;1.29889429131
data,1241432100,604528.0;26903.0;1.29829709275
data,1241433000,605499.0;26914.0;1.29763531205
data,1241433600,606470.0;26937.0;1.29738266301
data,1241434200,607440.0;26957.0;1.29725040405
data,1241434800,608472.0;26993.0;1.29730385164
data,1241435400,609472.0;27024.0;1.29709560279
data,1241435700,610539.0;27051.0;1.29677944656
data,1241436300,611564.0;27085.0;1.29711807661
data,1241436600,612570.0;27111.0;1.29705978814
data,1241437200,613594.0;27139.0;1.29672050857
data,1241437500,614594.0;27167.0;1.29639254111
data,1241438100,615623.0;27200.0;1.29627578073
data,1241438400,616600.0;27241.0;1.29640166689
data,1241438700,617620.0;27284.0;1.296565022
data,1241439300,618657.0;27330.0;1.29705732859
data,1241439600,619685.0;27382.0;1.29796583829
data,1241439900,620691.0;27425.0;1.29817090883
data,1241440200,621746.0;27466.0;1.29837965781
data,1241440500,622760.0;27514.0;1.29897585773
data,1241440800,623760.0;27562.0;1.29883545997
data,1241441100,624720.0;27602.0;1.29875000765
data,1241441400,625752.0;27644.0;1.29933812174
data,1241441700,626749.0;27677.0;1.29867868875
data,1241442000,627735.0;27721.0;1.29839998693
data,1241442300,628672.0;27759.0;1.29838204829
data,1241442600,629666.0;27807.0;1.29875921249
data,1241442900,630678.0;27851.0;1.29915500302
data,1241443200,631664.0;27902.0;1.29964816933
data,1241443500,632716.0;27938.0;1.29924925136
data,1241443800,633720.0;27979.0;1.29908454737
data,1241444100,634757.0;28018.0;1.29891272372
data,1241444400,635802.0;28064.0;1.29866439835
data,1241444400,636802.0;28106.0;1.29789434437
data,1241444700,637810.0;28140.0;1.29747236487
data,1241445000,638790.0;28176.0;1.29709375924
data,1241445300,639718.0;28207.0;1.29621391371
data,1241445600,640735.0;28246.0;1.29655296857
data,1241445900,641771.0;28290.0;1.2970451129
data,1241446200,642835.0;28331.0;1.29663265614
data,1241446200,643818.0;28369.0;1.29675788365
data,1241446500,644848.0;28417.0;1.29699081838
data,1241446800,645913.0;28461.0;1.29609872191
data,1241447100,646942.0;28501.0;1.29598895569
data,1241447400,647933.0;28544.0;1.29616059188
data,1241447400,648933.0;28580.0;1.29553586097
data,1241447700,649900.0;28618.0;1.29513561533
data,1241448000,650895.0;28651.0;1.29397393365
data,1241448300,651828.0;28694.0;1.29336522432
data,1241448600,652808.0;28732.0;1.29296938738
data,1241448600,653802.0;28784.0;1.29340233508
data,1241448900,654838.0;28832.0;1.29362164197
data,1241449200,655884.0;28878.0;1.2932944763
data,1241449500,656942.0;28932.0;1.29345101054
data,1241449800,658001.0;28975.0;1.29373089714
data,1241449800,659042.0;29017.0;1.29372771973
data,1241450100,660101.0;29067.0;1.29413875391
data,1241450400,661141.0;29109.0;1.2933729407
data,1241450700,662213.0;29148.0;1.29315041662
data,1241451000,663223.0;29198.0;1.29348239522
data,1241451000,664263.0;29243.0;1.2933430854
data,1241451300,665367.0;29285.0;1.29292593258
