
New Run at  04/02/2015 03:48:12
, Time, greedyAccesses; greedyClicks; greedyCTRRatio 
data,1241853000,1804568.0;98542.0;1.5009792061
data,1241853600,1805636.0;98576.0;1.50111180382
data,1241854500,1806678.0;98604.0;1.50094104406
data,1241855400,1807714.0;98634.0;1.50083941578
data,1241856300,1808803.0;98674.0;1.50107023534
data,1241857500,1809872.0;98707.0;1.50122812125
data,1241858400,1810902.0;98729.0;1.5012504763
data,1241859300,1811932.0;98754.0;1.50109974163
data,1241860500,1812981.0;98785.0;1.50099515842
data,1241861400,1814055.0;98805.0;1.50084241147
data,1241862600,1815097.0;98837.0;1.50066466721
data,1241863500,1816136.0;98867.0;1.50063572354
data,1241864400,1817257.0;98902.0;1.500588789
data,1241865300,1818332.0;98934.0;1.50050256543
data,1241866200,1819442.0;98981.0;1.50054823663
data,1241867100,1820529.0;99022.0;1.50072254129
data,1241867700,1821585.0;99053.0;1.50049244451
data,1241868300,1822655.0;99099.0;1.50052812826
data,1241869200,1823723.0;99139.0;1.50045193893
data,1241869800,1824747.0;99177.0;1.50045516711
data,1241870400,1825782.0;99217.0;1.50031032186
data,1241871000,1826782.0;99247.0;1.50034876308
data,1241871300,1827849.0;99283.0;1.5001995324
data,1241871900,1828910.0;99337.0;1.50003752631
data,1241872500,1829931.0;99393.0;1.5001366123
data,1241872800,1831009.0;99449.0;1.50042308711
data,1241873400,1832139.0;99497.0;1.500249939
data,1241873700,1833187.0;99557.0;1.50016180681
data,1241874300,1834206.0;99590.0;1.49995341281
data,1241874600,1835259.0;99641.0;1.49983415014
data,1241875200,1836327.0;99681.0;1.49968540344
data,1241875500,1837413.0;99723.0;1.49966884982
data,1241876100,1838448.0;99768.0;1.49960529615
data,1241876400,1839456.0;99821.0;1.49950508405
data,1241876700,1840499.0;99863.0;1.49930804531
data,1241877300,1841515.0;99913.0;1.49932633398
data,1241877600,1842526.0;99956.0;1.49934760545
data,1241877900,1843611.0;100007.0;1.49951434286
data,1241878200,1844715.0;100058.0;1.4994143231
data,1241878800,1845773.0;100104.0;1.49941335413
data,1241879100,1846784.0;100153.0;1.49938930048
data,1241879400,1847774.0;100197.0;1.49963654882
data,1241879700,1848781.0;100239.0;1.49967988773
data,1241880000,1849786.0;100284.0;1.49964473795
data,1241880600,1850762.0;100334.0;1.4999036862
data,1241880900,1851727.0;100364.0;1.49979157864
data,1241881200,1852666.0;100419.0;1.5001918474
data,1241881500,1853667.0;100468.0;1.50029384707
data,1241881800,1854634.0;100510.0;1.50027112118
data,1241882400,1855623.0;100556.0;1.50023345866
data,1241882700,1856526.0;100590.0;1.5001811533
data,1241883000,1857484.0;100638.0;1.5003967686
data,1241883300,1858444.0;100688.0;1.50048439436
data,1241883600,1859370.0;100729.0;1.50053661735
data,1241883900,1860362.0;100776.0;1.50067670035
data,1241884500,1861296.0;100813.0;1.50061258892
data,1241884800,1862120.0;100846.0;1.50055157749
data,1241885100,1863065.0;100876.0;1.50030145635
data,1241885400,1864039.0;100910.0;1.50009639906
data,1241885700,1864975.0;100948.0;1.4998074459
data,1241886000,1865936.0;100986.0;1.49969882879
data,1241886600,1866865.0;101025.0;1.49951503474
data,1241886900,1867641.0;101065.0;1.4995493521
data,1241887200,1868362.0;101092.0;1.4995298337
data,1241887500,1869290.0;101131.0;1.49925211195
data,1241887800,1870235.0;101179.0;1.49928129942
data,1241888400,1871192.0;101219.0;1.49903087635
data,1241888700,1872149.0;101260.0;1.49887293017
data,1241889000,1873123.0;101309.0;1.49871858591
data,1241889300,1873994.0;101353.0;1.49882040778
data,1241889600,1874939.0;101394.0;1.49876483124
data,1241890200,1875886.0;101439.0;1.49860719702
data,1241890500,1876810.0;101488.0;1.49836097346
data,1241890800,1877783.0;101526.0;1.49785898621
data,1241891100,1878712.0;101566.0;1.49760604244
data,1241891400,1879596.0;101612.0;1.49749196312
data,1241892000,1880533.0;101651.0;1.49711890692
data,1241892300,1881424.0;101686.0;1.49717295104
data,1241892600,1882353.0;101724.0;1.49701014726
data,1241892900,1883262.0;101768.0;1.49683803351
data,1241893500,1884165.0;101813.0;1.49666836914
data,1241893800,1885154.0;101857.0;1.49656798375
data,1241894100,1885770.0;101888.0;1.49660474979
data,1241894400,1886667.0;101922.0;1.49662112363
data,1241895000,1887576.0;101971.0;1.49688861822
data,1241895300,1888484.0;102020.0;1.49682946396
data,1241895600,1889385.0;102061.0;1.49677920844
data,1241895900,1890350.0;102107.0;1.49680071966
data,1241896500,1891283.0;102156.0;1.49675406482
data,1241896800,1892175.0;102197.0;1.49688744104
data,1241897100,1893111.0;102246.0;1.49704217553
data,1241897700,1893976.0;102281.0;1.49699594312
data,1241898000,1894911.0;102326.0;1.49718815537
data,1241898300,1895846.0;102376.0;1.49740357073
data,1241898600,1896794.0;102410.0;1.49727933926
data,1241899200,1897728.0;102458.0;1.49715952968
data,1241899500,1898623.0;102508.0;1.49729748287
data,1241899800,1899546.0;102553.0;1.49714558858
data,1241900400,1900450.0;102596.0;1.497350401
data,1241900700,1901323.0;102642.0;1.49732190367
data,1241901000,1902229.0;102697.0;1.49762452171
data,1241901600,1903077.0;102733.0;1.49748966713
data,1241901900,1904030.0;102781.0;1.49739343098
data,1241902200,1904898.0;102824.0;1.49760191539
data,1241902800,1905830.0;102873.0;1.49755674792
data,1241903100,1906594.0;102914.0;1.49781957006
data,1241903700,1907465.0;102959.0;1.49804915954
data,1241904000,1908385.0;103001.0;1.49800135804
data,1241904300,1909317.0;103040.0;1.49785005848
data,1241904900,1910215.0;103082.0;1.49782825257
data,1241905200,1911140.0;103131.0;1.49798654926
data,1241905800,1912063.0;103186.0;1.49824086209
data,1241906100,1912969.0;103237.0;1.49832469565
data,1241906400,1913888.0;103292.0;1.49849423435
data,1241907000,1914798.0;103338.0;1.49835668048
data,1241907300,1915703.0;103388.0;1.49833193739
data,1241907900,1916638.0;103438.0;1.49838700133
data,1241908200,1917586.0;103479.0;1.4982088698
data,1241908800,1918420.0;103517.0;1.49825884277
data,1241909100,1919299.0;103569.0;1.49845299821
data,1241909700,1920182.0;103619.0;1.49855922562
data,1241910000,1921027.0;103659.0;1.49840514155
data,1241910300,1921934.0;103707.0;1.4984496726
data,1241910900,1922598.0;103745.0;1.49855036637
data,1241911200,1923502.0;103789.0;1.4985418899
data,1241911800,1924415.0;103837.0;1.49842235942
data,1241912100,1925319.0;103872.0;1.49843184198
data,1241912700,1926247.0;103920.0;1.49837618166
data,1241913000,1927172.0;103982.0;1.49862433436
data,1241913600,1928083.0;104026.0;1.49866686539
data,1241913900,1929006.0;104070.0;1.49878137866
data,1241914500,1929864.0;104118.0;1.49914537074
data,1241914800,1930782.0;104170.0;1.49912938954
data,1241915400,1931736.0;104212.0;1.49914153926
data,1241915700,1932702.0;104251.0;1.49925325243
