data,1241954400,1995314.0;71116.0;2005899.0;90134.0;1950144.0;70388.0;1.26073413408;1.0126884872,3351.0 83.0 109760;6972.0 288.0 109761;7355.0 320.0 109762;3152.0 95.0 109763;1498.0 21.0 109764;4261.0 174.0 109766;2046.0 65.0 109767;12839.0 287.0 109697;2614.0 97.0 109769;4958.0 195.0 109740;3444.0 104.0 109741;7331.0 101.0 109723;8033.0 241.0 109745;1234.0 26.0 109731;10636.0 540.0 109684;5988.0 190.0 109686;2335.0 57.0 109752;7692.0 278.0 109755;3766.0 100.0 109756;4369.0 140.0 109758,109760.0 8579;109697.0 8579;109762.0 8579;109731.0 8579;109764.0 8579;109766.0 8579;109767.0 8579;109769.0 8579;109761.0 8579;109740.0 8579;109741.0 8579;109745.0 8579;109763.0 8579;109684.0 8579;109755.0 8579;109686.0 8579;109752.0 8579;109723.0 8579;109756.0 8579;109758.0 8579,109760 414;109761 414;109762 422;109763 457;109764 439;109766 441;109767 450;109697 421;109769 447;109740 424;109741 452;109723 378;109745 416;109731 421;109684 444;109686 446;109752 433;109755 410;109756 395;109758 455
data,1241955000,1995861.0;71133.0;2006476.0;90149.0;1950727.0;70403.0;1.26062556696;1.01263710615,3378.0 85.0 109760;7007.0 288.0 109761;7394.0 323.0 109762;1258.0 26.0 109731;1525.0 22.0 109764;4294.0 175.0 109766;2069.0 65.0 109767;12867.0 287.0 109697;2646.0 98.0 109769;4973.0 197.0 109740;3473.0 104.0 109741;7349.0 101.0 109723;8062.0 241.0 109745;3192.0 96.0 109763;10665.0 541.0 109684;6023.0 191.0 109686;2359.0 57.0 109752;7725.0 279.0 109755;3803.0 101.0 109756;4389.0 140.0 109758,109760.0 11421;109697.0 11421;109762.0 11421;109731.0 11421;109764.0 11421;109766.0 11421;109767.0 11421;109769.0 11421;109761.0 11421;109740.0 11421;109741.0 11421;109745.0 11421;109763.0 11421;109684.0 11421;109755.0 11421;109686.0 11421;109752.0 11421;109723.0 11421;109756.0 11421;109758.0 11421,109760 541;109761 551;109762 582;109731 571;109764 540;109766 560;109767 594;109697 566;109769 547;109740 558;109741 588;109723 577;109745 602;109763 587;109684 569;109686 540;109752 590;109755 628;109756 550;109758 580
data,1241955600,1996806.0;71157.0;2007502.0;90176.0;1951762.0;70431.0;1.26053010883;1.01264037608,3429.0 85.0 109760;12929.0 292.0 109697;7482.0 325.0 109762;1292.0 26.0 109731;1564.0 22.0 109764;4335.0 175.0 109766;7046.0 289.0 109761;2690.0 98.0 109769;2114.0 68.0 109767;5066.0 201.0 109740;3512.0 105.0 109741;8090.0 241.0 109745;3233.0 98.0 109763;10754.0 545.0 109684;7782.0 280.0 109755;6074.0 192.0 109686;2402.0 59.0 109752;7388.0 101.0 109723;3852.0 101.0 109756;4443.0 141.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1065;109697 975;109762 981;109731 1008;109764 1037;109766 1051;109761 1027;109769 967;109767 961;109740 1011;109741 1056;109745 1010;109763 968;109684 984;109755 937;109686 971;109752 1025;109723 1001;109756 1038;109758 927
data,1241956500,1997845.0;71185.0;2008534.0;90200.0;1952746.0;70457.0;1.26037752854;1.01263210455,3469.0 86.0 109760;13007.0 293.0 109697;7567.0 329.0 109762;3293.0 100.0 109763;1615.0 25.0 109764;4384.0 178.0 109766;2179.0 70.0 109767;2731.0 99.0 109769;7093.0 290.0 109761;5163.0 202.0 109740;3547.0 105.0 109741;7420.0 101.0 109723;8126.0 241.0 109745;1323.0 26.0 109731;10839.0 548.0 109684;6104.0 192.0 109686;2451.0 59.0 109752;7832.0 281.0 109755;3879.0 101.0 109756;4487.0 142.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1012;109697 1016;109762 981;109763 991;109764 982;109766 1016;109767 1016;109769 993;109761 957;109740 1043;109741 980;109723 1023;109745 1009;109731 973;109684 1028;109686 999;109752 991;109755 985;109756 966;109758 1039
data,1241957100,1998870.0;71214.0;2009528.0;90231.0;1953796.0;70484.0;1.26032014585;1.01258268347,3508.0 86.0 109760;7136.0 292.0 109761;7687.0 335.0 109762;1340.0 26.0 109731;1663.0 25.0 109764;4454.0 182.0 109766;2247.0 73.0 109767;13066.0 293.0 109697;2762.0 100.0 109769;5248.0 206.0 109740;3602.0 108.0 109741;7456.0 102.0 109723;8147.0 241.0 109745;3348.0 102.0 109763;10924.0 550.0 109684;6138.0 193.0 109686;2480.0 59.0 109752;7869.0 281.0 109755;3898.0 101.0 109756;4530.0 144.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1026;109761 1066;109762 1032;109731 970;109764 948;109766 1027;109767 943;109697 1013;109769 1036;109740 989;109741 990;109723 1006;109745 993;109763 979;109684 1014;109686 973;109752 1053;109755 983;109756 965;109758 994
data,1241957700,1999936.0;71240.0;2010553.0;90264.0;1954729.0;70513.0;1.26035020504;1.01268604038,3539.0 87.0 109760;7166.0 292.0 109761;7842.0 343.0 109762;7901.0 281.0 109755;1704.0 26.0 109764;1358.0 26.0 109731;4523.0 183.0 109766;13105.0 294.0 109697;2792.0 101.0 109769;2347.0 77.0 109767;5349.0 211.0 109740;3643.0 108.0 109741;8168.0 241.0 109745;3411.0 105.0 109763;11019.0 555.0 109684;6170.0 194.0 109686;2508.0 59.0 109752;7483.0 102.0 109723;3926.0 102.0 109756;4574.0 145.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 996;109761 955;109762 1026;109755 964;109764 969;109731 1035;109766 1010;109697 979;109769 991;109767 1033;109740 1011;109741 946;109745 965;109763 1004;109684 1048;109686 1025;109752 988;109723 1027;109756 997;109758 1031
data,1241958300,2000938.0;71271.0;2011588.0;90302.0;1955707.0;70547.0;1.26031502143;1.01273434748,3569.0 87.0 109760;13140.0 295.0 109697;8013.0 352.0 109762;3513.0 110.0 109763;1723.0 26.0 109764;4579.0 185.0 109766;2431.0 79.0 109767;2823.0 101.0 109769;7211.0 294.0 109761;5456.0 213.0 109740;3677.0 110.0 109741;8197.0 244.0 109745;1387.0 28.0 109731;11122.0 559.0 109684;7919.0 282.0 109755;6197.0 196.0 109686;2534.0 59.0 109752;7510.0 102.0 109723;3953.0 103.0 109756;4609.0 145.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 1055;109762 1001;109763 1028;109764 938;109766 995;109767 1015;109769 1057;109761 992;109740 975;109741 997;109745 1034;109731 1027;109684 1006;109755 923;109686 974;109752 982;109723 998;109756 997;109758 1008
data,1241958900,2001949.0;71300.0;2012612.0;90332.0;1956723.0;70581.0;1.26021616988;1.01279590573,3591.0 87.0 109760;7246.0 296.0 109761;8187.0 355.0 109762;7946.0 282.0 109755;1737.0 26.0 109764;4648.0 187.0 109766;13181.0 296.0 109697;2853.0 103.0 109769;3626.0 114.0 109763;2508.0 82.0 109767;5541.0 216.0 109740;3731.0 112.0 109741;8232.0 245.0 109745;1423.0 31.0 109731;11209.0 560.0 109684;6245.0 198.0 109686;2549.0 59.0 109752;7527.0 102.0 109723;3978.0 103.0 109756;4629.0 146.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 990;109761 1007;109762 1030;109755 980;109764 1022;109766 1004;109697 1045;109769 998;109763 1028;109767 999;109740 987;109741 1043;109745 930;109731 952;109684 1008;109686 1020;109752 942;109723 995;109756 980;109758 1040
data,1241959500,2002935.0;71326.0;2013589.0;90366.0;1957693.0;70606.0;1.26023987016;1.01278207628,3606.0 87.0 109760;13230.0 298.0 109697;8332.0 363.0 109762;3719.0 115.0 109763;1753.0 26.0 109764;4702.0 189.0 109766;2560.0 83.0 109767;2890.0 105.0 109769;7289.0 296.0 109761;5626.0 222.0 109740;3778.0 113.0 109741;7541.0 102.0 109723;8254.0 245.0 109745;1481.0 33.0 109731;11294.0 565.0 109684;6291.0 200.0 109686;2570.0 59.0 109752;7973.0 282.0 109755;3996.0 103.0 109756;4679.0 148.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 981;109762 972;109763 999;109764 1015;109766 961;109767 933;109769 1065;109761 1018;109740 1000;109741 982;109723 1022;109745 1011;109731 957;109684 1082;109686 1005;109752 994;109755 984;109756 967;109758 1054
data,1241959800,2003933.0;71364.0;2014635.0;90396.0;1958711.0;70632.0;1.25996027174;1.01259354392,3632.0 88.0 109760;13264.0 299.0 109697;8503.0 369.0 109762;7995.0 282.0 109755;1770.0 26.0 109764;4764.0 190.0 109766;2637.0 88.0 109767;2940.0 107.0 109769;3797.0 119.0 109763;5757.0 226.0 109740;3831.0 114.0 109741;8282.0 246.0 109745;1525.0 34.0 109731;11369.0 565.0 109684;6352.0 202.0 109686;2585.0 59.0 109752;7311.0 297.0 109761;7560.0 102.0 109723;4012.0 103.0 109756;4724.0 148.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1035;109697 1011;109762 985;109755 1013;109764 940;109766 1000;109767 993;109769 1029;109763 984;109740 1034;109741 984;109745 1001;109731 965;109684 950;109686 1028;109752 968;109761 1025;109723 1003;109756 1017;109758 1035
data,1241960400,2004954.0;71391.0;2015604.0;90434.0;1959651.0;70653.0;1.26004912388;1.01254147466,3650.0 88.0 109760;7346.0 297.0 109761;8684.0 376.0 109762;1568.0 35.0 109731;1786.0 27.0 109764;4807.0 192.0 109766;2696.0 90.0 109767;13294.0 301.0 109697;2978.0 108.0 109769;5860.0 230.0 109740;3860.0 116.0 109741;8311.0 248.0 109745;3883.0 120.0 109763;11461.0 571.0 109684;8013.0 283.0 109755;6423.0 205.0 109686;2603.0 59.0 109752;7578.0 102.0 109723;4032.0 105.0 109756;4746.0 149.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 964;109761 904;109762 1039;109731 1044;109764 1014;109766 1003;109767 1007;109697 968;109769 995;109740 1000;109741 1003;109745 985;109763 1015;109684 1004;109755 982;109686 1012;109752 1011;109723 1027;109756 989;109758 1034
