
New Run at  01/23/2015 00:01:18
, Time, randomLearnAccesses; randomClicks; exp3LearnAccess; exp3Clicks; exp3CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241939400,1582861.0;56509.0;1581096.0;53748.0;0.952202298014,0.0 0.0 109760;55310.0 1233.0 109697;2.0 0.0 109762;0.0 0.0 109763;0.0 0.0 109764;0.0 0.0 109766;1.0 0.0 109761;0.0 0.0 109769;0.0 0.0 109767;0.0 0.0 109740;0.0 0.0 109741;0.0 0.0 109745;0.0 0.0 109746;0.0 0.0 109731;0.0 0.0 109684;0.0 0.0 109755;0.0 0.0 109686;5.0 0.0 109723;0.0 0.0 109756;1.0 0.0 109758,109760.0 19926;109697.0 19926;109762.0 19926;109763.0 19926;109764.0 19926;109766.0 19926;109767.0 19926;109769.0 19926;109761.0 19926;109740.0 19926;109741.0 19926;109745.0 19926;109746.0 19926;109731.0 19926;109684.0 19926;109755.0 19926;109686.0 19926;109723.0 19926;109756.0 19926;109758.0 19926,109760 999;109697 994;109762 1000;109763 980;109764 938;109766 997;109761 1045;109769 1043;109767 989;109740 998;109741 937;109745 1015;109746 1000;109731 1009;109684 957;109755 1010;109686 1004;109723 986;109756 1010;109758 1015
data,1241940300,1583877.0;56527.0;1582036.0;53757.0;0.952103534616,0.0 0.0 109760;1.0 0.0 109761;2.0 0.0 109762;0.0 0.0 109755;0.0 0.0 109764;0.0 0.0 109731;0.0 0.0 109766;0.0 0.0 109767;56250.0 1242.0 109697;0.0 0.0 109769;0.0 0.0 109740;0.0 0.0 109741;0.0 0.0 109745;0.0 0.0 109746;0.0 0.0 109763;0.0 0.0 109684;0.0 0.0 109686;5.0 0.0 109723;0.0 0.0 109756;1.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 979;109761 1012;109762 979;109755 977;109764 1016;109731 990;109766 967;109767 1012;109697 940;109769 973;109740 997;109741 1013;109745 1040;109746 1038;109763 1016;109684 991;109686 1016;109723 1007;109756 1021;109758 1016
data,1241941200,1584857.0;56555.0;1583064.0;53770.0;0.95183274051,0.0 0.0 109760;1.0 0.0 109761;2.0 0.0 109762;0.0 0.0 109763;0.0 0.0 109764;0.0 0.0 109766;0.0 0.0 109767;57278.0 1255.0 109697;0.0 0.0 109769;0.0 0.0 109740;0.0 0.0 109741;0.0 0.0 109745;0.0 0.0 109746;0.0 0.0 109731;0.0 0.0 109684;0.0 0.0 109755;0.0 0.0 109686;5.0 0.0 109723;0.0 0.0 109756;1.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1025;109761 974;109762 992;109763 931;109764 972;109766 1027;109767 980;109697 1028;109769 1028;109740 1004;109741 981;109745 942;109746 967;109731 1043;109684 987;109755 1050;109686 1019;109723 1048;109756 1002;109758 1000
data,1241942100,1585821.0;56569.0;1584105.0;53781.0;0.951744928992,0.0 0.0 109760;1.0 0.0 109761;2.0 0.0 109762;0.0 0.0 109763;0.0 0.0 109764;0.0 0.0 109766;0.0 0.0 109767;58319.0 1266.0 109697;0.0 0.0 109769;0.0 0.0 109740;0.0 0.0 109741;5.0 0.0 109723;0.0 0.0 109745;0.0 0.0 109746;0.0 0.0 109731;0.0 0.0 109684;0.0 0.0 109686;0.0 0.0 109755;0.0 0.0 109756;1.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 997;109761 966;109762 1011;109763 1030;109764 998;109766 954;109767 1043;109697 1041;109769 992;109740 1021;109741 931;109723 983;109745 1037;109746 1026;109731 1012;109684 1005;109686 1006;109755 953;109756 989;109758 1005
data,1241943000,1586838.0;56596.0;1585104.0;53794.0;0.951530975937,0.0 0.0 109760;59318.0 1279.0 109697;2.0 0.0 109762;0.0 0.0 109763;0.0 0.0 109764;0.0 0.0 109766;0.0 0.0 109767;0.0 0.0 109769;1.0 0.0 109761;0.0 0.0 109740;0.0 0.0 109741;0.0 0.0 109745;0.0 0.0 109746;0.0 0.0 109731;5.0 0.0 109723;0.0 0.0 109686;0.0 0.0 109684;0.0 0.0 109755;0.0 0.0 109756;1.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1021;109697 999;109762 963;109763 1032;109764 1003;109766 1023;109767 971;109769 1034;109761 997;109740 949;109741 1026;109745 1016;109746 1003;109731 1019;109723 975;109686 1005;109684 994;109755 1003;109756 974;109758 993
data,1241944200,1587825.0;56611.0;1586080.0;53811.0;0.951585428366,0.0 0.0 109760;60294.0 1296.0 109697;2.0 0.0 109762;0.0 0.0 109763;0.0 0.0 109764;0.0 0.0 109766;0.0 0.0 109767;0.0 0.0 109769;1.0 0.0 109761;0.0 0.0 109740;0.0 0.0 109741;0.0 0.0 109745;0.0 0.0 109746;0.0 0.0 109731;0.0 0.0 109684;0.0 0.0 109755;0.0 0.0 109686;5.0 0.0 109723;0.0 0.0 109756;1.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 976;109697 976;109762 989;109763 1021;109764 1026;109766 1007;109767 978;109769 975;109761 978;109740 1007;109741 1024;109745 1000;109746 1032;109731 1056;109684 988;109755 969;109686 978;109723 997;109756 1005;109758 1018
data,1241945100,1588856.0;56640.0;1587146.0;53834.0;0.951483069447,0.0 0.0 109760;61360.0 1319.0 109697;2.0 0.0 109762;0.0 0.0 109763;0.0 0.0 109764;0.0 0.0 109766;0.0 0.0 109767;0.0 0.0 109769;1.0 0.0 109761;0.0 0.0 109740;0.0 0.0 109741;5.0 0.0 109723;0.0 0.0 109745;0.0 0.0 109746;0.0 0.0 109731;0.0 0.0 109684;0.0 0.0 109686;0.0 0.0 109755;0.0 0.0 109756;1.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 977;109697 1066;109762 979;109763 969;109764 1002;109766 1042;109767 982;109769 928;109761 968;109740 1052;109741 965;109723 989;109745 1006;109746 1002;109731 1033;109684 1034;109686 996;109755 1005;109756 1015;109758 990
data,1241946300,1589822.0;56661.0;1588122.0;53849.0;0.951388829811,0.0 0.0 109760;1.0 0.0 109761;2.0 0.0 109762;0.0 0.0 109763;0.0 0.0 109764;0.0 0.0 109766;62336.0 1334.0 109697;0.0 0.0 109769;0.0 0.0 109767;0.0 0.0 109740;0.0 0.0 109741;5.0 0.0 109723;0.0 0.0 109745;0.0 0.0 109746;0.0 0.0 109731;0.0 0.0 109684;0.0 0.0 109686;0.0 0.0 109752;0.0 0.0 109755;0.0 0.0 109756;1.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 18600;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 6872;109723.0 20000;109756.0 20000;109758.0 20000,109760 1012;109761 960;109762 993;109763 1003;109764 999;109766 1046;109697 976;109769 1039;109767 944;109740 1030;109741 1020;109723 1031;109745 1014;109746 923;109731 1015;109684 1047;109686 888;109752 87;109755 997;109756 979;109758 997
data,1241947200,1590809.0;56680.0;1589085.0;53866.0;0.951383896974,0.0 0.0 109760;1.0 0.0 109761;2.0 0.0 109762;0.0 0.0 109763;0.0 0.0 109764;0.0 0.0 109766;0.0 0.0 109767;63299.0 1351.0 109697;0.0 0.0 109769;0.0 0.0 109740;0.0 0.0 109741;0.0 0.0 109745;0.0 0.0 109731;0.0 0.0 109684;0.0 0.0 109755;0.0 0.0 109686;0.0 0.0 109752;5.0 0.0 109723;0.0 0.0 109756;1.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1021;109761 1006;109762 1014;109763 1027;109764 987;109766 1016;109767 1024;109697 963;109769 992;109740 961;109741 1025;109745 949;109731 1049;109684 974;109755 977;109686 1032;109752 1006;109723 1046;109756 932;109758 999
data,1241948400,1591795.0;56697.0;1590096.0;53881.0;0.951347888829,0.0 0.0 109760;64310.0 1366.0 109697;2.0 0.0 109762;0.0 0.0 109755;0.0 0.0 109764;0.0 0.0 109731;0.0 0.0 109766;0.0 0.0 109767;0.0 0.0 109769;1.0 0.0 109761;0.0 0.0 109740;0.0 0.0 109741;0.0 0.0 109745;0.0 0.0 109763;0.0 0.0 109684;0.0 0.0 109686;0.0 0.0 109752;5.0 0.0 109723;0.0 0.0 109756;1.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1007;109697 1011;109762 1014;109755 993;109764 1024;109731 1025;109766 1049;109767 1044;109769 1010;109761 972;109740 998;109741 1015;109745 994;109763 1079;109684 958;109686 943;109752 969;109723 942;109756 969;109758 984
data,1241949600,1592790.0;56710.0;1591072.0;53900.0;0.951475928061,0.0 0.0 109760;65286.0 1385.0 109697;2.0 0.0 109762;0.0 0.0 109763;0.0 0.0 109764;0.0 0.0 109766;0.0 0.0 109767;0.0 0.0 109769;1.0 0.0 109761;0.0 0.0 109740;0.0 0.0 109741;5.0 0.0 109723;0.0 0.0 109745;0.0 0.0 109731;0.0 0.0 109684;0.0 0.0 109686;0.0 0.0 109752;0.0 0.0 109755;0.0 0.0 109756;1.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 968;109697 976;109762 997;109763 996;109764 1014;109766 1006;109767 1004;109769 1011;109761 958;109740 966;109741 992;109723 990;109745 995;109731 993;109684 981;109686 983;109752 1050;109755 1049;109756 1015;109758 1056
data,1241950500,1593831.0;56734.0;1592109.0;53917.0;0.951375115052,0.0 0.0 109760;1.0 0.0 109761;2.0 0.0 109762;0.0 0.0 109763;0.0 0.0 109764;0.0 0.0 109766;0.0 0.0 109767;66323.0 1402.0 109697;0.0 0.0 109769;0.0 0.0 109740;0.0 0.0 109741;5.0 0.0 109723;0.0 0.0 109745;0.0 0.0 109731;0.0 0.0 109684;0.0 0.0 109686;0.0 0.0 109752;0.0 0.0 109755;0.0 0.0 109756;1.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1027;109761 982;109762 1000;109763 972;109764 1009;109766 1005;109767 986;109697 1037;109769 1006;109740 970;109741 981;109723 989;109745 1013;109731 1032;109684 964;109686 1011;109752 1053;109755 1000;109756 989;109758 974
data,1241951700,1594816.0;56750.0;1593099.0;53933.0;0.951385507702,0.0 0.0 109760;67313.0 1418.0 109697;2.0 0.0 109762;0.0 0.0 109755;0.0 0.0 109764;0.0 0.0 109766;0.0 0.0 109767;0.0 0.0 109769;1.0 0.0 109761;0.0 0.0 109740;0.0 0.0 109741;0.0 0.0 109763;0.0 0.0 109745;0.0 0.0 109731;0.0 0.0 109684;0.0 0.0 109686;0.0 0.0 109752;5.0 0.0 109723;0.0 0.0 109756;1.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 980;109697 990;109762 912;109755 1029;109764 967;109766 993;109767 987;109769 1009;109761 1004;109740 1037;109741 1017;109763 988;109745 996;109731 1045;109684 975;109686 994;109752 1028;109723 1009;109756 1017;109758 1023
