
New Run at  01/22/2015 21:26:55
, Time, randomLearnAccesses; randomClicks; exp3LearnAccess; exp3Clicks; exp3CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241420700,190066.0;5901.0;190951.0;7834.0;1.32141870612,8.0 0.0 109536;14.0 0.0 109572;9.0 0.0 109574;10.0 0.0 109575;10.0 0.0 109576;12.0 0.0 109577;9.0 0.0 109578;10.0 0.0 109580;14.0 0.0 109517;22.0 0.0 109582;12.0 0.0 109581;17.0 0.0 109584;10.0 0.0 109585;14.0 0.0 109586;13.0 0.0 109587;14.0 0.0 109588;473.0 10.0 109589;14.0 0.0 109476;5130.0 109.0 109583;17.0 0.0 109524,109536.0 13637;109476.0 13637;109574.0 13637;109575.0 13637;109576.0 13637;109580.0 13637;109578.0 13637;109581.0 13637;109517.0 13637;109582.0 13637;109583.0 13637;109584.0 13637;109585.0 13637;109586.0 13637;109587.0 13637;109588.0 13637;109589.0 13637;109577.0 13637;109524.0 13637;109572.0 13637,109536 677;109572 694;109574 725;109575 673;109576 728;109577 693;109578 711;109580 653;109517 661;109582 674;109581 702;109584 665;109585 698;109586 683;109587 639;109588 620;109589 686;109476 701;109583 665;109524 689
data,1241421300,191064.0;5923.0;191939.0;7848.0;1.31896387107,8.0 0.0 109536;14.0 0.0 109476;9.0 0.0 109574;10.0 0.0 109575;10.0 0.0 109576;12.0 0.0 109577;9.0 0.0 109578;10.0 0.0 109580;14.0 0.0 109517;22.0 0.0 109582;12.0 0.0 109581;17.0 0.0 109584;10.0 0.0 109585;14.0 0.0 109586;13.0 0.0 109587;17.0 0.0 109524;1461.0 24.0 109589;14.0 0.0 109572;5130.0 109.0 109583;14.0 0.0 109588,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 969;109476 1072;109574 1005;109575 1032;109576 982;109577 1005;109578 977;109580 1039;109517 1037;109582 989;109581 1042;109584 1049;109585 944;109586 964;109587 987;109524 979;109589 988;109572 977;109583 989;109588 974
data,1241422200,192062.0;5939.0;192966.0;7858.0;1.31691987395,8.0 0.0 109536;14.0 0.0 109476;9.0 0.0 109574;10.0 0.0 109575;10.0 0.0 109576;12.0 0.0 109577;9.0 0.0 109578;10.0 0.0 109580;14.0 0.0 109517;22.0 0.0 109582;12.0 0.0 109581;17.0 0.0 109584;10.0 0.0 109585;14.0 0.0 109586;13.0 0.0 109587;17.0 0.0 109524;2488.0 34.0 109589;14.0 0.0 109572;5130.0 109.0 109583;14.0 0.0 109588,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1018;109476 939;109574 980;109575 927;109576 1027;109577 944;109578 1060;109580 1010;109517 1037;109582 1000;109581 1033;109584 1005;109585 991;109586 976;109587 934;109524 1018;109589 1027;109572 1024;109583 992;109588 1058
data,1241422800,193122.0;5965.0;193948.0;7875.0;1.3145786037,8.0 0.0 109536;14.0 0.0 109572;9.0 0.0 109574;10.0 0.0 109575;10.0 0.0 109576;12.0 0.0 109577;9.0 0.0 109578;10.0 0.0 109580;14.0 0.0 109517;22.0 0.0 109582;5130.0 109.0 109583;17.0 0.0 109584;10.0 0.0 109585;14.0 0.0 109586;13.0 0.0 109587;17.0 0.0 109524;3470.0 51.0 109589;14.0 0.0 109588;14.0 0.0 109476;12.0 0.0 109581,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1005;109572 997;109574 1051;109575 1025;109576 935;109577 1036;109578 1021;109580 972;109517 1007;109582 990;109583 944;109584 1032;109585 1012;109586 1006;109587 996;109524 972;109589 982;109588 1034;109476 984;109581 999
data,1241423700,194177.0;5980.0;194912.0;7891.0;1.314589226,8.0 0.0 109536;14.0 0.0 109572;9.0 0.0 109574;10.0 0.0 109575;10.0 0.0 109576;12.0 0.0 109577;9.0 0.0 109578;10.0 0.0 109580;14.0 0.0 109517;22.0 0.0 109582;5130.0 109.0 109583;17.0 0.0 109584;10.0 0.0 109585;14.0 0.0 109586;13.0 0.0 109587;14.0 0.0 109588;4434.0 67.0 109589;17.0 0.0 109524;14.0 0.0 109476;12.0 0.0 109581,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1004;109572 1026;109574 1018;109575 997;109576 967;109577 1034;109578 992;109580 979;109517 1029;109582 1026;109583 1008;109584 979;109585 1000;109586 965;109587 961;109588 1010;109589 964;109524 1028;109476 1007;109581 1006
data,1241424300,195177.0;5994.0;195923.0;7903.0;1.31346486363,8.0 0.0 109536;14.0 0.0 109572;9.0 0.0 109574;10.0 0.0 109575;10.0 0.0 109576;12.0 0.0 109577;9.0 0.0 109578;10.0 0.0 109580;12.0 0.0 109581;22.0 0.0 109582;5130.0 109.0 109583;17.0 0.0 109584;10.0 0.0 109585;14.0 0.0 109586;13.0 0.0 109587;14.0 0.0 109588;5445.0 79.0 109589;14.0 0.0 109476;17.0 0.0 109524;14.0 0.0 109517,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 977;109572 1023;109574 978;109575 983;109576 954;109577 1064;109578 933;109580 960;109581 997;109582 1036;109583 1015;109584 1010;109585 995;109586 1048;109587 978;109588 968;109589 1011;109476 975;109524 1021;109517 1074
data,1241425200,196228.0;6010.0;196969.0;7912.0;1.31151995852,8.0 0.0 109536;14.0 0.0 109476;9.0 0.0 109574;10.0 0.0 109575;10.0 0.0 109576;12.0 0.0 109577;14.0 0.0 109517;10.0 0.0 109580;12.0 0.0 109581;22.0 0.0 109582;5130.0 109.0 109583;17.0 0.0 109584;10.0 0.0 109585;14.0 0.0 109586;13.0 0.0 109587;14.0 0.0 109588;6491.0 88.0 109589;17.0 0.0 109524;9.0 0.0 109578;14.0 0.0 109572,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1010;109476 978;109574 1008;109575 1017;109576 1001;109577 970;109517 1001;109580 969;109581 985;109582 1033;109583 1008;109584 1076;109585 967;109586 1007;109587 977;109588 965;109589 1046;109524 997;109578 970;109572 1015
data,1241426100,197192.0;6018.0;197937.0;7929.0;1.31258834177,8.0 0.0 109536;14.0 0.0 109572;9.0 0.0 109574;10.0 0.0 109575;10.0 0.0 109576;12.0 0.0 109577;9.0 0.0 109578;10.0 0.0 109580;14.0 0.0 109517;22.0 0.0 109582;12.0 0.0 109581;17.0 0.0 109584;10.0 0.0 109585;14.0 0.0 109586;13.0 0.0 109587;17.0 0.0 109524;7459.0 105.0 109589;14.0 0.0 109476;5130.0 109.0 109583;14.0 0.0 109588,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1054;109572 1006;109574 964;109575 986;109576 1028;109577 1015;109578 1004;109580 1033;109517 982;109582 949;109581 991;109584 1005;109585 1006;109586 1073;109587 1003;109524 1001;109589 968;109476 1033;109583 959;109588 940
data,1241426700,198174.0;6028.0;198939.0;7938.0;1.31179084539,8.0 0.0 109536;14.0 0.0 109572;9.0 0.0 109574;10.0 0.0 109575;12.0 0.0 109581;12.0 0.0 109577;9.0 0.0 109578;10.0 0.0 109580;14.0 0.0 109517;22.0 0.0 109582;5130.0 109.0 109583;17.0 0.0 109584;10.0 0.0 109585;14.0 0.0 109586;13.0 0.0 109587;17.0 0.0 109524;8461.0 114.0 109589;10.0 0.0 109576;14.0 0.0 109588;14.0 0.0 109476,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1010;109572 967;109574 990;109575 963;109581 993;109577 1032;109578 976;109580 969;109517 997;109582 1033;109583 1012;109584 1032;109585 973;109586 1009;109587 1013;109524 1020;109589 1002;109576 982;109588 1015;109476 1012
data,1241427600,199217.0;6049.0;199959.0;7948.0;1.30906048502,8.0 0.0 109536;14.0 0.0 109476;9.0 0.0 109574;10.0 0.0 109575;10.0 0.0 109576;12.0 0.0 109577;9.0 0.0 109578;10.0 0.0 109580;14.0 0.0 109517;22.0 0.0 109582;12.0 0.0 109581;17.0 0.0 109584;10.0 0.0 109585;14.0 0.0 109586;13.0 0.0 109587;17.0 0.0 109524;9481.0 124.0 109589;14.0 0.0 109588;5130.0 109.0 109583;14.0 0.0 109572,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1022;109476 1003;109574 988;109575 1001;109576 993;109577 1019;109578 995;109580 1035;109517 1020;109582 973;109581 962;109584 995;109585 1007;109586 956;109587 983;109524 1009;109589 1020;109588 979;109583 1013;109572 1027
