data,1241490300,412469.0;14802.0;413012.0;14355.0;0.968526349504,8.0 0.0 109594;19575.0 903.0 109596;22851.0 1409.0 109597;4.0 0.0 109598;22306.0 1040.0 109599;2.0 0.0 109600;1.0 0.0 109601;6.0 0.0 109602;1.0 0.0 109603;15054.0 517.0 109476;19602.0 1158.0 109605;5.0 0.0 109606;0.0 0.0 109608;2.0 0.0 109609;0.0 0.0 109610;0.0 0.0 109611;0.0 0.0 109612;1.0 0.0 109613;0.0 0.0 109614;0.0 0.0 109615;0.0 0.0 109617;0.0 0.0 109618;55342.0 1901.0 109517,109594.0 15717;109596.0 15717;109597.0 15717;109598.0 15717;109599.0 15717;109600.0 15717;109601.0 15717;109602.0 15717;109603.0 15717;109476.0 15717;109605.0 15717;109606.0 15717;109608.0 15717;109609.0 15717;109610.0 15717;109611.0 15717;109612.0 15717;109613.0 15717;109614.0 15717;109615.0 15717;109617.0 15717;109618.0 15717;109517.0 15717,109594 664;109596 655;109597 689;109598 671;109599 724;109600 681;109601 658;109602 718;109603 690;109476 665;109605 668;109606 723;109608 694;109609 680;109610 685;109611 734;109612 709;109613 657;109614 703;109615 684;109617 649;109618 642;109517 674
data,1241490300,412661.0;14810.0;413181.0;14360.0;0.968394836797,10.0 0.0 109594;19575.0 903.0 109596;22851.0 1409.0 109597;5.0 0.0 109598;22307.0 1040.0 109599;2.0 0.0 109600;2.0 0.0 109601;7.0 0.0 109602;2.0 0.0 109603;15206.0 522.0 109476;19602.0 1158.0 109605;8.0 0.0 109606;0.0 0.0 109608;4.0 0.0 109609;1.0 0.0 109610;0.0 0.0 109611;0.0 0.0 109612;2.0 0.0 109613;1.0 0.0 109614;1.0 0.0 109615;1.0 0.0 109617;0.0 0.0 109618;55342.0 1901.0 109517,109594.0 4283;109596.0 4283;109597.0 4283;109598.0 4283;109599.0 4283;109600.0 4283;109601.0 4283;109602.0 4283;109603.0 4283;109476.0 4283;109605.0 4283;109606.0 4283;109608.0 4283;109609.0 4283;109610.0 4283;109611.0 4283;109612.0 4283;109613.0 4283;109614.0 4283;109615.0 4283;109617.0 4283;109618.0 4283;109517.0 4283,109594 170;109596 172;109597 196;109598 205;109599 189;109600 207;109601 210;109602 168;109603 184;109476 166;109605 165;109606 177;109608 161;109609 185;109610 207;109611 181;109612 174;109613 191;109614 188;109615 196;109617 206;109618 188;109517 197
data,1241490600,413579.0;14847.0;414003.0;14385.0;0.967890324172,10.0 0.0 109594;19575.0 903.0 109596;22851.0 1409.0 109597;5.0 0.0 109598;22307.0 1040.0 109599;2.0 0.0 109600;2.0 0.0 109601;7.0 0.0 109602;2.0 0.0 109603;16028.0 547.0 109476;19602.0 1158.0 109605;8.0 0.0 109606;0.0 0.0 109608;4.0 0.0 109609;1.0 0.0 109610;0.0 0.0 109611;0.0 0.0 109612;2.0 0.0 109613;1.0 0.0 109614;1.0 0.0 109615;1.0 0.0 109617;0.0 0.0 109618;55342.0 1901.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 822;109596 882;109597 898;109598 908;109599 856;109600 822;109601 939;109602 842;109603 893;109476 822;109605 882;109606 860;109608 890;109609 871;109610 867;109611 840;109612 925;109613 866;109614 912;109615 824;109617 819;109618 841;109517 919
data,1241490900,414487.0;14887.0;414940.0;14414.0;0.967170275324,10.0 0.0 109594;19575.0 903.0 109596;22851.0 1409.0 109597;5.0 0.0 109598;22307.0 1040.0 109599;2.0 0.0 109600;2.0 0.0 109601;7.0 0.0 109602;2.0 0.0 109603;16965.0 576.0 109476;19602.0 1158.0 109605;8.0 0.0 109606;0.0 0.0 109608;4.0 0.0 109609;1.0 0.0 109610;0.0 0.0 109611;0.0 0.0 109612;2.0 0.0 109613;1.0 0.0 109614;1.0 0.0 109615;1.0 0.0 109617;0.0 0.0 109618;55342.0 1901.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 831;109596 875;109597 886;109598 837;109599 951;109600 878;109601 851;109602 842;109603 824;109476 937;109605 857;109606 912;109608 889;109609 842;109610 855;109611 876;109612 864;109613 868;109614 877;109615 912;109617 856;109618 845;109517 835
data,1241491200,415324.0;14927.0;415768.0;14438.0;0.966207651425,10.0 0.0 109594;19575.0 903.0 109596;22851.0 1409.0 109597;5.0 0.0 109598;22307.0 1040.0 109599;2.0 0.0 109600;2.0 0.0 109601;7.0 0.0 109602;2.0 0.0 109603;17793.0 600.0 109476;19602.0 1158.0 109605;8.0 0.0 109606;0.0 0.0 109608;4.0 0.0 109609;1.0 0.0 109610;0.0 0.0 109611;0.0 0.0 109612;2.0 0.0 109613;1.0 0.0 109614;1.0 0.0 109615;1.0 0.0 109617;0.0 0.0 109618;55342.0 1901.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 885;109596 853;109597 937;109598 884;109599 820;109600 855;109601 820;109602 888;109603 868;109476 828;109605 914;109606 880;109608 852;109609 849;109610 851;109611 845;109612 897;109613 870;109614 841;109615 878;109617 917;109618 891;109517 877
data,1241491500,416159.0;14965.0;416652.0;14470.0;0.96577871656,10.0 0.0 109594;19575.0 903.0 109596;22851.0 1409.0 109597;5.0 0.0 109598;22307.0 1040.0 109599;2.0 0.0 109600;2.0 0.0 109601;7.0 0.0 109602;2.0 0.0 109603;18677.0 632.0 109476;19602.0 1158.0 109605;8.0 0.0 109606;0.0 0.0 109608;4.0 0.0 109609;1.0 0.0 109610;0.0 0.0 109611;0.0 0.0 109612;2.0 0.0 109613;1.0 0.0 109614;1.0 0.0 109615;1.0 0.0 109617;0.0 0.0 109618;55342.0 1901.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 889;109596 849;109597 885;109598 881;109599 901;109600 844;109601 855;109602 837;109603 883;109476 884;109605 851;109606 867;109608 901;109609 893;109610 839;109611 854;109612 854;109613 832;109614 905;109615 884;109617 878;109618 861;109517 873
data,1241491800,417002.0;15005.0;417497.0;14496.0;0.964932555965,10.0 0.0 109594;19575.0 903.0 109596;22851.0 1409.0 109597;5.0 0.0 109598;22307.0 1040.0 109599;2.0 0.0 109600;2.0 0.0 109601;7.0 0.0 109602;2.0 0.0 109603;19522.0 658.0 109476;19602.0 1158.0 109605;8.0 0.0 109606;0.0 0.0 109608;4.0 0.0 109609;1.0 0.0 109610;0.0 0.0 109611;0.0 0.0 109612;2.0 0.0 109613;1.0 0.0 109614;1.0 0.0 109615;1.0 0.0 109617;0.0 0.0 109618;55342.0 1901.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 850;109596 824;109597 899;109598 872;109599 892;109600 842;109601 882;109602 864;109603 849;109476 845;109605 862;109606 844;109608 858;109609 854;109610 898;109611 926;109612 895;109613 834;109614 904;109615 902;109617 852;109618 909;109517 843
data,1241492100,417842.0;15044.0;418341.0;14525.0;0.964349540074,10.0 0.0 109594;19575.0 903.0 109596;22851.0 1409.0 109597;5.0 0.0 109598;22307.0 1040.0 109599;2.0 0.0 109600;2.0 0.0 109601;7.0 0.0 109602;2.0 0.0 109603;20366.0 687.0 109476;19602.0 1158.0 109605;8.0 0.0 109606;0.0 0.0 109608;4.0 0.0 109609;1.0 0.0 109610;0.0 0.0 109611;0.0 0.0 109612;2.0 0.0 109613;1.0 0.0 109614;1.0 0.0 109615;1.0 0.0 109617;0.0 0.0 109618;55342.0 1901.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 832;109596 828;109597 841;109598 886;109599 868;109600 880;109601 845;109602 913;109603 893;109476 844;109605 830;109606 876;109608 879;109609 832;109610 987;109611 898;109612 881;109613 886;109614 895;109615 838;109617 861;109618 879;109517 828
data,1241492400,418722.0;15080.0;419191.0;14561.0;0.964503238513,10.0 0.0 109594;19575.0 903.0 109596;22851.0 1409.0 109597;5.0 0.0 109598;22307.0 1040.0 109599;2.0 0.0 109600;2.0 0.0 109601;7.0 0.0 109602;2.0 0.0 109603;21216.0 723.0 109476;19602.0 1158.0 109605;8.0 0.0 109606;0.0 0.0 109608;4.0 0.0 109609;1.0 0.0 109610;0.0 0.0 109611;0.0 0.0 109612;2.0 0.0 109613;1.0 0.0 109614;1.0 0.0 109615;1.0 0.0 109617;0.0 0.0 109618;55342.0 1901.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 878;109596 826;109597 886;109598 935;109599 888;109600 872;109601 874;109602 903;109603 877;109476 850;109605 894;109606 862;109608 876;109609 872;109610 827;109611 814;109612 900;109613 867;109614 863;109615 840;109617 872;109618 884;109517 840
data,1241492700,419552.0;15118.0;420045.0;14577.0;0.963083159919,10.0 0.0 109594;19575.0 903.0 109596;22851.0 1409.0 109597;5.0 0.0 109598;22307.0 1040.0 109599;2.0 0.0 109600;2.0 0.0 109601;7.0 0.0 109602;2.0 0.0 109603;22070.0 739.0 109476;19602.0 1158.0 109605;8.0 0.0 109606;0.0 0.0 109608;4.0 0.0 109609;1.0 0.0 109610;0.0 0.0 109611;0.0 0.0 109612;2.0 0.0 109613;1.0 0.0 109614;1.0 0.0 109615;1.0 0.0 109617;0.0 0.0 109618;55342.0 1901.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 859;109596 861;109597 909;109598 875;109599 883;109600 867;109601 913;109602 801;109603 865;109476 854;109605 862;109606 895;109608 873;109609 847;109610 886;109611 887;109612 888;109613 863;109614 848;109615 867;109617 881;109618 846;109517 870
data,1241493000,420434.0;15149.0;420886.0;14608.0;0.963252498747,10.0 0.0 109594;19575.0 903.0 109596;22851.0 1409.0 109597;5.0 0.0 109598;22307.0 1040.0 109599;2.0 0.0 109600;2.0 0.0 109601;7.0 0.0 109602;2.0 0.0 109603;22911.0 770.0 109476;19602.0 1158.0 109605;8.0 0.0 109606;0.0 0.0 109608;4.0 0.0 109609;1.0 0.0 109610;0.0 0.0 109611;0.0 0.0 109612;2.0 0.0 109613;1.0 0.0 109614;1.0 0.0 109615;1.0 0.0 109617;0.0 0.0 109618;55342.0 1901.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 888;109596 881;109597 863;109598 869;109599 876;109600 873;109601 852;109602 874;109603 856;109476 841;109605 870;109606 891;109608 861;109609 865;109610 895;109611 875;109612 841;109613 884;109614 860;109615 870;109617 839;109618 876;109517 900
