data,1241736300,1118599.0;41613.0;1123963.0;47684.0;1.14042325527,2.0 0.0 109696;3.0 0.0 109697;2.0 0.0 109698;0.0 0.0 109699;2.0 0.0 109700;0.0 0.0 109701;0.0 0.0 109702;0.0 0.0 109703;19999.0 1115.0 109704;1.0 0.0 109705;0.0 0.0 109706;41430.0 1791.0 109635;1.0 0.0 109651;18.0 0.0 109660;21654.0 540.0 109667;2.0 0.0 109673;0.0 0.0 109675;19893.0 642.0 109683;5.0 0.0 109689;20936.0 949.0 109690;8459.0 842.0 109692;6.0 0.0 109693,109696.0 15560;109697.0 15560;109698.0 15560;109699.0 15560;109700.0 15560;109701.0 15560;109702.0 15560;109703.0 15560;109704.0 15560;109705.0 15560;109706.0 15560;109635.0 15560;109651.0 15560;109660.0 15560;109667.0 15560;109673.0 15560;109675.0 15560;109683.0 15560;109689.0 15560;109690.0 15560;109692.0 15560;109693.0 15560,109696 715;109697 661;109698 673;109699 694;109700 740;109701 688;109702 742;109703 699;109704 718;109705 686;109706 709;109635 738;109651 699;109660 722;109667 703;109673 726;109675 739;109683 705;109689 714;109690 690;109692 716;109693 683
data,1241736600,1118786.0;41623.0;1124162.0;47691.0;1.14030537736,2.0 0.0 109696;3.0 0.0 109697;3.0 0.0 109698;1.0 0.0 109699;2.0 0.0 109700;0.0 0.0 109701;0.0 0.0 109702;0.0 0.0 109703;20000.0 1115.0 109704;2.0 0.0 109705;1.0 0.0 109706;41431.0 1791.0 109635;2.0 0.0 109651;18.0 0.0 109660;21656.0 540.0 109667;2.0 0.0 109673;2.0 0.0 109675;19895.0 642.0 109683;7.0 0.0 109689;21117.0 956.0 109690;8461.0 842.0 109692;7.0 0.0 109693,109696.0 4440;109697.0 4440;109698.0 4440;109699.0 4440;109700.0 4440;109701.0 4440;109702.0 4440;109703.0 4440;109704.0 4440;109705.0 4440;109706.0 4440;109635.0 4440;109651.0 4440;109660.0 4440;109667.0 4440;109673.0 4440;109675.0 4440;109683.0 4440;109689.0 4440;109690.0 4440;109692.0 4440;109693.0 4440,109696 226;109697 194;109698 192;109699 217;109700 209;109701 206;109702 180;109703 173;109704 226;109705 221;109706 210;109635 199;109651 218;109660 182;109667 179;109673 205;109675 224;109683 190;109689 217;109690 205;109692 173;109693 194
data,1241736900,1119666.0;41647.0;1125117.0;47724.0;1.14036510093,2.0 0.0 109696;3.0 0.0 109697;3.0 0.0 109698;1.0 0.0 109699;2.0 0.0 109700;0.0 0.0 109701;0.0 0.0 109702;0.0 0.0 109703;20000.0 1115.0 109704;2.0 0.0 109705;1.0 0.0 109706;41431.0 1791.0 109635;2.0 0.0 109651;18.0 0.0 109660;21656.0 540.0 109667;2.0 0.0 109673;2.0 0.0 109675;19895.0 642.0 109683;7.0 0.0 109689;22072.0 989.0 109690;8461.0 842.0 109692;7.0 0.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 880;109697 883;109698 936;109699 919;109700 904;109701 911;109702 925;109703 917;109704 926;109705 893;109706 907;109635 921;109651 963;109660 899;109667 857;109673 914;109675 884;109683 916;109689 873;109690 955;109692 907;109693 910
data,1241736900,1120583.0;41680.0;1126040.0;47760.0;1.14032020456,2.0 0.0 109696;3.0 0.0 109697;3.0 0.0 109698;1.0 0.0 109699;2.0 0.0 109700;0.0 0.0 109701;0.0 0.0 109702;0.0 0.0 109703;20000.0 1115.0 109704;2.0 0.0 109705;1.0 0.0 109706;41431.0 1791.0 109635;2.0 0.0 109651;18.0 0.0 109660;21656.0 540.0 109667;2.0 0.0 109673;2.0 0.0 109675;19895.0 642.0 109683;7.0 0.0 109689;22995.0 1025.0 109690;8461.0 842.0 109692;7.0 0.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 926;109697 911;109698 940;109699 969;109700 878;109701 917;109702 891;109703 895;109704 915;109705 913;109706 945;109635 925;109651 930;109660 867;109667 883;109673 920;109675 842;109683 902;109689 886;109690 923;109692 916;109693 906
data,1241737200,1121502.0;41709.0;1126903.0;47794.0;1.14039976491,2.0 0.0 109696;3.0 0.0 109697;3.0 0.0 109698;1.0 0.0 109699;2.0 0.0 109700;0.0 0.0 109701;0.0 0.0 109702;0.0 0.0 109703;20000.0 1115.0 109704;2.0 0.0 109705;1.0 0.0 109706;41431.0 1791.0 109635;2.0 0.0 109651;18.0 0.0 109660;21656.0 540.0 109667;2.0 0.0 109673;2.0 0.0 109675;19895.0 642.0 109683;7.0 0.0 109689;23858.0 1059.0 109690;8461.0 842.0 109692;7.0 0.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 963;109697 900;109698 928;109699 891;109700 884;109701 943;109702 871;109703 973;109704 923;109705 905;109706 909;109635 909;109651 911;109660 898;109667 877;109673 915;109675 934;109683 914;109689 929;109690 863;109692 883;109693 877
data,1241737500,1122424.0;41741.0;1127809.0;47824.0;1.14026143627,2.0 0.0 109696;3.0 0.0 109697;3.0 0.0 109698;1.0 0.0 109699;2.0 0.0 109700;0.0 0.0 109701;0.0 0.0 109702;0.0 0.0 109703;20000.0 1115.0 109704;2.0 0.0 109705;1.0 0.0 109706;41431.0 1791.0 109635;2.0 0.0 109651;18.0 0.0 109660;21656.0 540.0 109667;2.0 0.0 109673;2.0 0.0 109675;19895.0 642.0 109683;7.0 0.0 109689;24764.0 1089.0 109690;8461.0 842.0 109692;7.0 0.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 911;109697 896;109698 953;109699 870;109700 875;109701 899;109702 891;109703 897;109704 962;109705 942;109706 900;109635 863;109651 880;109660 919;109667 942;109673 868;109675 925;109683 953;109689 885;109690 906;109692 937;109693 926
data,1241737800,1123316.0;41773.0;1128741.0;47853.0;1.14004277891,2.0 0.0 109696;3.0 0.0 109697;3.0 0.0 109698;1.0 0.0 109699;2.0 0.0 109700;0.0 0.0 109701;0.0 0.0 109702;0.0 0.0 109703;20000.0 1115.0 109704;2.0 0.0 109705;1.0 0.0 109706;41431.0 1791.0 109635;2.0 0.0 109651;18.0 0.0 109660;21656.0 540.0 109667;2.0 0.0 109673;2.0 0.0 109675;19895.0 642.0 109683;7.0 0.0 109689;25696.0 1118.0 109690;8461.0 842.0 109692;7.0 0.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 948;109697 899;109698 923;109699 924;109700 836;109701 940;109702 940;109703 891;109704 938;109705 920;109706 921;109635 939;109651 883;109660 856;109667 902;109673 867;109675 897;109683 906;109689 940;109690 932;109692 909;109693 889
data,1241738100,1124197.0;41803.0;1129663.0;47889.0;1.14004458412,2.0 0.0 109696;3.0 0.0 109697;3.0 0.0 109698;1.0 0.0 109699;2.0 0.0 109700;0.0 0.0 109701;0.0 0.0 109702;0.0 0.0 109703;20000.0 1115.0 109704;2.0 0.0 109705;1.0 0.0 109706;41431.0 1791.0 109635;2.0 0.0 109651;18.0 0.0 109660;21656.0 540.0 109667;2.0 0.0 109673;2.0 0.0 109675;19895.0 642.0 109683;7.0 0.0 109689;26618.0 1154.0 109690;8461.0 842.0 109692;7.0 0.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 896;109697 925;109698 913;109699 932;109700 902;109701 954;109702 924;109703 838;109704 941;109705 878;109706 913;109635 952;109651 838;109660 944;109667 911;109673 925;109675 926;109683 898;109689 888;109690 922;109692 915;109693 865
data,1241738400,1125090.0;41834.0;1130621.0;47914.0;1.13973334188,2.0 0.0 109696;3.0 0.0 109697;3.0 0.0 109698;1.0 0.0 109699;2.0 0.0 109700;0.0 0.0 109701;0.0 0.0 109702;0.0 0.0 109703;20000.0 1115.0 109704;2.0 0.0 109705;1.0 0.0 109706;41431.0 1791.0 109635;2.0 0.0 109651;18.0 0.0 109660;21656.0 540.0 109667;2.0 0.0 109673;2.0 0.0 109675;19895.0 642.0 109683;7.0 0.0 109689;27576.0 1179.0 109690;8461.0 842.0 109692;7.0 0.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 905;109697 927;109698 932;109699 870;109700 892;109701 909;109702 950;109703 865;109704 898;109705 904;109706 932;109635 905;109651 893;109660 930;109667 869;109673 905;109675 914;109683 876;109689 920;109690 958;109692 903;109693 943
data,1241738700,1125996.0;41855.0;1131567.0;47950.0;1.13998159411,2.0 0.0 109696;3.0 0.0 109697;3.0 0.0 109698;1.0 0.0 109699;2.0 0.0 109700;0.0 0.0 109701;0.0 0.0 109702;0.0 0.0 109703;20000.0 1115.0 109704;2.0 0.0 109705;1.0 0.0 109706;41431.0 1791.0 109635;2.0 0.0 109651;18.0 0.0 109660;21656.0 540.0 109667;2.0 0.0 109673;2.0 0.0 109675;19895.0 642.0 109683;7.0 0.0 109689;28522.0 1215.0 109690;8461.0 842.0 109692;7.0 0.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 904;109697 921;109698 996;109699 904;109700 892;109701 883;109702 921;109703 910;109704 954;109705 907;109706 913;109635 921;109651 898;109660 867;109667 843;109673 941;109675 912;109683 909;109689 892;109690 946;109692 898;109693 868
data,1241739000,1126889.0;41896.0;1132474.0;47986.0;1.13971138956,2.0 0.0 109696;3.0 0.0 109697;3.0 0.0 109698;1.0 0.0 109699;2.0 0.0 109700;0.0 0.0 109701;0.0 0.0 109702;0.0 0.0 109703;20000.0 1115.0 109704;2.0 0.0 109705;1.0 0.0 109706;41431.0 1791.0 109635;2.0 0.0 109651;18.0 0.0 109660;21656.0 540.0 109667;2.0 0.0 109673;2.0 0.0 109675;19895.0 642.0 109683;7.0 0.0 109689;29429.0 1251.0 109690;8461.0 842.0 109692;7.0 0.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 903;109697 950;109698 903;109699 914;109700 881;109701 902;109702 904;109703 922;109704 925;109705 886;109706 963;109635 906;109651 931;109660 949;109667 902;109673 938;109675 850;109683 884;109689 865;109690 907;109692 906;109693 909
