data,1242005400,1718916.0;61256.0;1730278.0;69256.0;1.12317528556,19.0 0.0 109762;11.0 0.0 109763;9.0 0.0 109765;4.0 0.0 109773;41.0 0.0 109745;15193.0 467.0 109769;7.0 0.0 109770;11.0 0.0 109771;31353.0 1258.0 109740;0.0 0.0 109730;30579.0 1561.0 109774;4.0 0.0 109775;14879.0 423.0 109776;8.0 0.0 109777;7.0 0.0 109778;5.0 0.0 109779;4.0 0.0 109780;2.0 0.0 109782;0.0 0.0 109783;13994.0 636.0 109684;7.0 0.0 109731,109730.0 316;109731.0 316;109765.0 316;109763.0 316;109777.0 316;109762.0 316;109769.0 316;109770.0 316;109771.0 316;109740.0 316;109773.0 316;109774.0 316;109775.0 316;109776.0 316;109745.0 316;109778.0 316;109779.0 316;109780.0 316;109782.0 316;109783.0 316;109684.0 316,109762 18;109763 22;109765 15;109773 12;109745 19;109769 20;109770 16;109771 14;109740 15;109730 11;109774 19;109775 12;109776 9;109777 19;109778 11;109779 16;109780 21;109782 13;109783 20;109684 11;109731 3
data,1242005700,1719885.0;61292.0;1731194.0;69282.0;1.12297553233,20.0 0.0 109762;913.0 26.0 109731;9.0 0.0 109765;5.0 0.0 109779;41.0 0.0 109745;15194.0 467.0 109769;7.0 0.0 109770;12.0 0.0 109771;31355.0 1258.0 109740;0.0 0.0 109730;30581.0 1561.0 109774;4.0 0.0 109773;14879.0 423.0 109776;8.0 0.0 109777;8.0 0.0 109778;11.0 0.0 109763;13994.0 636.0 109684;2.0 0.0 109782;2.0 0.0 109783;4.0 0.0 109780;4.0 0.0 109775,109730.0 19684;109731.0 19684;109765.0 19684;109763.0 19684;109777.0 19684;109762.0 19684;109769.0 19684;109770.0 19684;109771.0 19684;109740.0 19684;109773.0 19684;109774.0 19684;109775.0 19684;109776.0 19684;109745.0 19684;109778.0 19684;109779.0 19684;109780.0 19684;109782.0 19684;109783.0 19684;109684.0 19684,109762 897;109731 911;109765 947;109779 945;109745 981;109769 989;109770 915;109771 923;109740 940;109730 974;109774 940;109773 948;109776 942;109777 932;109778 944;109763 966;109684 924;109782 936;109783 880;109780 927;109775 923
data,1242006000,1720840.0;61322.0;1732123.0;69304.0;1.12280349162,0.0 0.0 109730;11.0 0.0 109763;9.0 0.0 109765;41.0 0.0 109745;20.0 0.0 109762;15194.0 467.0 109769;7.0 0.0 109770;12.0 0.0 109771;31355.0 1258.0 109740;4.0 0.0 109773;30581.0 1561.0 109774;4.0 0.0 109775;14879.0 423.0 109776;8.0 0.0 109777;8.0 0.0 109778;5.0 0.0 109779;13994.0 636.0 109684;2.0 0.0 109782;2.0 0.0 109783;4.0 0.0 109780;1842.0 48.0 109731,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 925;109763 960;109765 991;109745 965;109762 959;109769 952;109770 948;109771 914;109740 965;109773 1012;109774 925;109775 954;109776 942;109777 942;109778 916;109779 950;109684 959;109782 964;109783 977;109780 951;109731 929
data,1242006300,1721787.0;61363.0;1733089.0;69335.0;1.12254689954,41.0 0.0 109745;20.0 0.0 109762;2808.0 79.0 109731;9.0 0.0 109765;5.0 0.0 109779;0.0 0.0 109730;15194.0 467.0 109769;7.0 0.0 109770;12.0 0.0 109771;31355.0 1258.0 109740;4.0 0.0 109773;30581.0 1561.0 109774;4.0 0.0 109775;14879.0 423.0 109776;8.0 0.0 109777;8.0 0.0 109778;11.0 0.0 109763;13994.0 636.0 109684;2.0 0.0 109782;2.0 0.0 109783;4.0 0.0 109780,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109745 950;109762 982;109731 966;109765 947;109779 970;109730 975;109769 954;109770 946;109771 977;109740 977;109773 950;109774 957;109775 987;109776 952;109777 940;109778 895;109763 944;109684 949;109782 944;109783 930;109780 908
data,1242006600,1722700.0;61400.0;1734018.0;69383.0;1.1226406283,0.0 0.0 109730;3737.0 127.0 109731;9.0 0.0 109765;5.0 0.0 109779;8.0 0.0 109777;20.0 0.0 109762;15194.0 467.0 109769;7.0 0.0 109770;12.0 0.0 109771;31355.0 1258.0 109740;4.0 0.0 109773;30581.0 1561.0 109774;4.0 0.0 109775;14879.0 423.0 109776;41.0 0.0 109745;8.0 0.0 109778;11.0 0.0 109763;4.0 0.0 109780;2.0 0.0 109782;2.0 0.0 109783;13994.0 636.0 109684,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 951;109731 929;109765 963;109779 994;109777 958;109762 954;109769 922;109770 957;109771 946;109740 952;109773 962;109774 975;109775 969;109776 966;109745 926;109778 883;109763 980;109780 968;109782 978;109783 947;109684 920
data,1242006900,1723644.0;61424.0;1735011.0;69411.0;1.12262716228,0.0 0.0 109730;4730.0 155.0 109731;9.0 0.0 109765;5.0 0.0 109779;8.0 0.0 109777;20.0 0.0 109762;15194.0 467.0 109769;7.0 0.0 109770;12.0 0.0 109771;31355.0 1258.0 109740;4.0 0.0 109773;30581.0 1561.0 109774;4.0 0.0 109775;14879.0 423.0 109776;41.0 0.0 109745;8.0 0.0 109778;11.0 0.0 109763;13994.0 636.0 109684;2.0 0.0 109782;2.0 0.0 109783;4.0 0.0 109780,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 991;109731 993;109765 939;109779 941;109777 901;109762 948;109769 963;109770 983;109771 958;109740 951;109773 950;109774 1000;109775 981;109776 947;109745 903;109778 967;109763 940;109684 904;109782 937;109783 961;109780 942
data,1242007200,1724558.0;61457.0;1735955.0;69443.0;1.12252613188,0.0 0.0 109730;5674.0 187.0 109731;9.0 0.0 109765;4.0 0.0 109773;8.0 0.0 109777;15194.0 467.0 109769;7.0 0.0 109770;12.0 0.0 109771;31355.0 1258.0 109740;20.0 0.0 109762;30581.0 1561.0 109774;4.0 0.0 109775;14879.0 423.0 109776;41.0 0.0 109745;8.0 0.0 109778;5.0 0.0 109779;4.0 0.0 109780;2.0 0.0 109782;2.0 0.0 109783;13994.0 636.0 109684;11.0 0.0 109763,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 1023;109731 944;109765 996;109773 956;109777 958;109769 936;109770 925;109771 893;109740 918;109762 977;109774 943;109775 946;109776 979;109745 929;109778 889;109779 968;109780 962;109782 1015;109783 944;109684 967;109763 932
data,1242007500,1725568.0;61490.0;1736892.0;69483.0;1.12262143887,41.0 0.0 109745;20.0 0.0 109762;6611.0 227.0 109731;9.0 0.0 109765;11.0 0.0 109763;0.0 0.0 109730;15194.0 467.0 109769;7.0 0.0 109770;12.0 0.0 109771;31355.0 1258.0 109740;4.0 0.0 109773;30581.0 1561.0 109774;4.0 0.0 109775;14879.0 423.0 109776;8.0 0.0 109777;8.0 0.0 109778;5.0 0.0 109779;4.0 0.0 109780;2.0 0.0 109782;2.0 0.0 109783;13994.0 636.0 109684,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109745 970;109762 957;109731 937;109765 982;109763 971;109730 958;109769 944;109770 920;109771 906;109740 947;109773 973;109774 976;109775 915;109776 931;109777 959;109778 969;109779 970;109780 945;109782 990;109783 948;109684 932
data,1242007800,1726495.0;61513.0;1737867.0;69510.0;1.12261067781,0.0 0.0 109730;11.0 0.0 109763;9.0 0.0 109765;8.0 0.0 109777;20.0 0.0 109762;15194.0 467.0 109769;7.0 0.0 109770;12.0 0.0 109771;31355.0 1258.0 109740;4.0 0.0 109773;30581.0 1561.0 109774;4.0 0.0 109775;14879.0 423.0 109776;41.0 0.0 109745;8.0 0.0 109778;5.0 0.0 109779;13994.0 636.0 109684;2.0 0.0 109782;2.0 0.0 109783;4.0 0.0 109780;7586.0 254.0 109731,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 960;109763 933;109765 939;109777 950;109762 933;109769 921;109770 965;109771 936;109740 961;109773 961;109774 948;109775 1000;109776 909;109745 959;109778 997;109779 906;109684 983;109782 987;109783 932;109780 945;109731 975
data,1242008100,1727498.0;61546.0;1738822.0;69538.0;1.12249596896,0.0 0.0 109730;11.0 0.0 109763;8541.0 282.0 109731;41.0 0.0 109745;20.0 0.0 109762;15194.0 467.0 109769;7.0 0.0 109770;12.0 0.0 109771;31355.0 1258.0 109740;4.0 0.0 109773;30581.0 1561.0 109774;4.0 0.0 109775;14879.0 423.0 109776;8.0 0.0 109777;8.0 0.0 109778;5.0 0.0 109779;4.0 0.0 109780;2.0 0.0 109782;2.0 0.0 109783;13994.0 636.0 109684;9.0 0.0 109765,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 939;109763 968;109731 955;109745 938;109762 889;109769 984;109770 985;109771 910;109740 905;109773 959;109774 981;109775 995;109776 920;109777 942;109778 953;109779 980;109780 933;109782 998;109783 925;109684 1026;109765 915
data,1242008400,1728497.0;61585.0;1739751.0;69574.0;1.12241525954,0.0 0.0 109730;11.0 0.0 109763;9470.0 318.0 109731;41.0 0.0 109745;20.0 0.0 109762;15194.0 467.0 109769;7.0 0.0 109770;12.0 0.0 109771;31355.0 1258.0 109740;4.0 0.0 109773;30581.0 1561.0 109774;4.0 0.0 109775;14879.0 423.0 109776;8.0 0.0 109777;8.0 0.0 109778;5.0 0.0 109779;4.0 0.0 109780;2.0 0.0 109782;2.0 0.0 109783;13994.0 636.0 109684;9.0 0.0 109765,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 925;109763 1032;109731 929;109745 937;109762 986;109769 948;109770 948;109771 886;109740 977;109773 927;109774 950;109775 938;109776 964;109777 953;109778 976;109779 940;109780 963;109782 976;109783 903;109684 950;109765 992
