
New Run at  01/26/2015 22:45:54
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; exp3CTRRatio; ucb1CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,979.0;34.0;959.0;33.0;967.0;31.0;0.990829908606;0.923079262729,65.0 2.0 109473;62.0 4.0 109506;36.0 1.0 109508;55.0 3.0 109509;39.0 0.0 109510;43.0 1.0 109511;40.0 2.0 109512;81.0 6.0 109513;59.0 3.0 109514;34.0 0.0 109515;37.0 1.0 109484;42.0 1.0 109453;33.0 0.0 109492;46.0 1.0 109505;45.0 4.0 109494;43.0 0.0 109495;50.0 1.0 109498;40.0 0.0 109501;58.0 2.0 109502;51.0 1.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1010;109506 986;109508 1024;109509 960;109510 1058;109511 1019;109512 969;109513 1024;109514 1013;109515 976;109484 1006;109453 982;109492 1019;109505 949;109494 955;109495 1003;109498 1004;109501 984;109502 1002;109503 1057
data,1241162700,1939.0;60.0;1917.0;67.0;1927.0;62.0;1.12948182925;1.03976820619,105.0 3.0 109473;116.0 5.0 109506;67.0 2.0 109508;141.0 6.0 109509;58.0 1.0 109510;68.0 1.0 109505;95.0 4.0 109512;190.0 12.0 109513;142.0 11.0 109514;69.0 1.0 109515;75.0 2.0 109484;64.0 2.0 109453;25.0 0.0 109519;62.0 0.0 109492;136.0 7.0 109494;82.0 1.0 109495;72.0 1.0 109511;97.0 3.0 109498;70.0 0.0 109501;101.0 3.0 109502;82.0 2.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 15120;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 11554;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1017;109506 995;109508 1017;109509 1011;109510 982;109505 478;109512 1010;109513 968;109514 975;109515 1068;109484 1026;109453 952;109519 495;109492 983;109494 1060;109495 988;109511 983;109498 1012;109501 1003;109502 962;109503 1015
data,1241163600,2927.0;104.0;2905.0;100.0;2920.0;89.0;0.96882033629;0.85782073235,147.0 4.0 109473;174.0 7.0 109506;112.0 2.0 109508;173.0 6.0 109509;108.0 4.0 109510;110.0 2.0 109511;136.0 7.0 109512;269.0 14.0 109513;354.0 20.0 109514;103.0 1.0 109515;112.0 4.0 109484;92.0 2.0 109453;51.0 0.0 109519;99.0 2.0 109492;192.0 8.0 109494;103.0 1.0 109495;141.0 3.0 109498;98.0 3.0 109501;147.0 5.0 109502;116.0 4.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1012;109506 1030;109508 1021;109509 933;109510 1020;109511 1022;109512 972;109513 1003;109514 1027;109515 972;109484 954;109453 1072;109519 995;109492 998;109494 1023;109495 964;109498 999;109501 1022;109502 975;109503 986
data,1241164800,3946.0;141.0;3926.0;131.0;3887.0;117.0;0.933810963824;0.84238240945,178.0 4.0 109473;247.0 11.0 109506;142.0 2.0 109508;231.0 9.0 109509;154.0 5.0 109510;143.0 3.0 109511;197.0 9.0 109512;357.0 16.0 109513;535.0 25.0 109514;129.0 1.0 109515;173.0 7.0 109484;119.0 2.0 109453;83.0 1.0 109519;117.0 2.0 109492;264.0 11.0 109494;123.0 1.0 109495;179.0 5.0 109498;133.0 4.0 109501;199.0 6.0 109502;155.0 6.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 998;109506 1013;109508 1011;109509 1017;109510 1005;109511 1031;109512 990;109513 1050;109514 968;109515 1023;109484 1018;109453 953;109519 996;109492 974;109494 980;109495 938;109498 1030;109501 1006;109502 1018;109503 981
data,1241165700,4978.0;169.0;4897.0;164.0;4925.0;146.0;0.986465569428;0.873202174631,202.0 5.0 109473;313.0 13.0 109506;174.0 4.0 109508;309.0 13.0 109509;197.0 5.0 109510;176.0 3.0 109511;256.0 10.0 109512;416.0 18.0 109513;691.0 29.0 109514;153.0 2.0 109515;219.0 7.0 109484;147.0 4.0 109453;117.0 2.0 109519;139.0 2.0 109492;328.0 14.0 109494;152.0 1.0 109495;213.0 6.0 109498;158.0 5.0 109501;263.0 10.0 109502;206.0 10.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1013;109506 1022;109508 1062;109509 991;109510 1046;109511 991;109512 991;109513 969;109514 976;109515 965;109484 1036;109453 1007;109519 975;109492 937;109494 981;109495 984;109498 1021;109501 1054;109502 979;109503 1000
data,1241166900,5980.0;193.0;5895.0;195.0;5907.0;170.0;1.02493111313;0.891714493474,238.0 6.0 109473;375.0 15.0 109506;199.0 4.0 109508;378.0 15.0 109509;228.0 7.0 109510;203.0 3.0 109511;331.0 13.0 109512;481.0 21.0 109513;826.0 34.0 109514;173.0 3.0 109515;249.0 7.0 109484;175.0 4.0 109453;140.0 3.0 109519;160.0 2.0 109492;404.0 17.0 109494;179.0 1.0 109495;243.0 7.0 109498;192.0 6.0 109501;345.0 11.0 109502;308.0 15.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1069;109506 979;109508 971;109509 1037;109510 1013;109511 1017;109512 983;109513 977;109514 982;109515 953;109484 980;109453 958;109519 1012;109492 979;109494 1059;109495 963;109498 982;109501 1095;109502 977;109503 1014
data,1241167800,6998.0;213.0;6935.0;224.0;6887.0;195.0;1.06119669229;0.930248252985,274.0 7.0 109473;421.0 16.0 109506;227.0 4.0 109508;427.0 15.0 109509;272.0 7.0 109510;231.0 3.0 109511;443.0 19.0 109512;557.0 22.0 109513;1001.0 42.0 109514;195.0 3.0 109515;290.0 9.0 109484;203.0 6.0 109453;162.0 3.0 109519;184.0 2.0 109492;460.0 17.0 109494;201.0 1.0 109495;274.0 7.0 109498;230.0 6.0 109501;394.0 14.0 109502;421.0 20.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 982;109508 976;109509 1019;109510 1053;109511 1108;109512 970;109513 994;109514 1038;109515 983;109484 980;109453 957;109519 997;109492 1005;109494 974;109495 1008;109498 975;109501 1020;109502 945;109503 1012
data,1241169000,8020.0;234.0;7959.0;259.0;7840.0;222.0;1.11532071954;0.970499738357,304.0 8.0 109473;470.0 16.0 109506;245.0 4.0 109508;468.0 17.0 109509;302.0 8.0 109510;254.0 3.0 109511;551.0 22.0 109512;612.0 24.0 109513;1159.0 48.0 109514;216.0 3.0 109515;327.0 10.0 109484;231.0 6.0 109453;182.0 4.0 109519;215.0 2.0 109492;510.0 21.0 109494;232.0 2.0 109495;300.0 7.0 109498;258.0 6.0 109501;455.0 15.0 109502;600.0 32.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 994;109506 979;109508 987;109509 1014;109510 1003;109511 1009;109512 1052;109513 1015;109514 1023;109515 1028;109484 985;109453 953;109519 930;109492 1015;109494 971;109495 988;109498 1011;109501 985;109502 1050;109503 1008
data,1241169900,9026.0;259.0;8936.0;288.0;8846.0;257.0;1.12316844277;1.01246904344,327.0 9.0 109473;492.0 16.0 109506;277.0 6.0 109508;494.0 17.0 109509;328.0 8.0 109510;274.0 3.0 109511;645.0 26.0 109512;654.0 24.0 109513;1349.0 58.0 109514;238.0 4.0 109515;358.0 10.0 109484;249.0 6.0 109453;214.0 5.0 109519;249.0 2.0 109492;589.0 25.0 109494;259.0 2.0 109495;330.0 7.0 109498;288.0 7.0 109501;482.0 15.0 109502;772.0 37.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 955;109506 981;109508 1031;109509 966;109510 1001;109511 971;109512 976;109513 992;109514 963;109515 989;109484 1014;109453 1008;109519 1032;109492 962;109494 1067;109495 998;109498 1001;109501 1045;109502 1011;109503 1037
data,1241171100,10024.0;287.0;9997.0;320.0;9864.0;287.0;1.11799393477;1.01622060016,354.0 9.0 109473;522.0 16.0 109506;305.0 7.0 109508;527.0 17.0 109509;360.0 8.0 109510;305.0 4.0 109511;745.0 29.0 109512;689.0 25.0 109513;1627.0 74.0 109514;261.0 4.0 109515;392.0 10.0 109484;282.0 6.0 109453;240.0 5.0 109519;280.0 3.0 109492;642.0 26.0 109494;273.0 3.0 109495;360.0 7.0 109498;322.0 8.0 109501;518.0 17.0 109502;925.0 41.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 954;109506 987;109508 1019;109509 995;109510 1028;109511 1011;109512 992;109513 998;109514 958;109515 953;109484 1027;109453 1008;109519 977;109492 1029;109494 1032;109495 960;109498 1030;109501 1011;109502 1051;109503 980
