data,1241298600,324956.0;12173.0;325428.0;14281.0;315843.0;11960.0;1.17146856744;1.01085034054,5078.0 82.0 109536;2165.0 75.0 109476;951.0 32.0 109541;8757.0 337.0 109542;5498.0 179.0 109544;4131.0 70.0 109545;134.0 3.0 109561;7448.0 286.0 109547;1468.0 51.0 109518;2908.0 112.0 109551;1899.0 52.0 109553;1773.0 52.0 109554;1768.0 51.0 109555;12147.0 528.0 109524;1696.0 67.0 109557;622.0 15.0 109558;540.0 9.0 109559;1215.0 51.0 109560;4443.0 201.0 109556;130.0 3.0 109562;93.0 4.0 109563,109536.0 8493;109476.0 8493;109541.0 8493;109542.0 8493;109544.0 8493;109545.0 8493;109547.0 8493;109518.0 8493;109551.0 8493;109553.0 8493;109554.0 8493;109555.0 8493;109524.0 8493;109557.0 8493;109558.0 8493;109559.0 8493;109560.0 8493;109561.0 8493;109562.0 8493;109563.0 8493;109556.0 8493,109536 417;109476 432;109541 406;109542 382;109544 385;109545 427;109561 452;109547 403;109518 398;109551 425;109553 397;109554 431;109555 388;109524 363;109557 428;109558 364;109559 384;109560 385;109556 391;109562 397;109563 438
data,1241298900,325500.0;12191.0;326020.0;14304.0;316405.0;11976.0;1.17145313784;1.01060190171,5104.0 82.0 109536;2180.0 76.0 109476;978.0 32.0 109541;8780.0 337.0 109542;5529.0 179.0 109544;4152.0 71.0 109545;154.0 3.0 109561;7483.0 288.0 109547;1484.0 51.0 109518;2931.0 112.0 109551;1934.0 53.0 109553;1821.0 55.0 109554;1784.0 51.0 109555;12186.0 532.0 109524;1741.0 72.0 109557;652.0 16.0 109558;565.0 9.0 109559;1242.0 52.0 109560;4489.0 204.0 109556;152.0 3.0 109562;115.0 5.0 109563,109536.0 11507;109476.0 11507;109541.0 11507;109542.0 11507;109544.0 11507;109545.0 11507;109547.0 11507;109518.0 11507;109551.0 11507;109553.0 11507;109554.0 11507;109555.0 11507;109524.0 11507;109557.0 11507;109558.0 11507;109559.0 11507;109560.0 11507;109561.0 11507;109562.0 11507;109563.0 11507;109556.0 11507,109536 537;109476 560;109541 561;109542 563;109544 564;109545 545;109561 557;109547 521;109518 531;109551 529;109553 578;109554 564;109555 549;109524 538;109557 553;109558 517;109559 541;109560 575;109556 556;109562 534;109563 534
data,1241299200,326407.0;12217.0;326966.0;14330.0;317295.0;12001.0;1.17095036445;1.01052973521,5140.0 82.0 109536;2243.0 78.0 109476;1019.0 32.0 109541;8823.0 338.0 109542;5552.0 179.0 109544;4195.0 72.0 109545;7515.0 288.0 109547;1507.0 51.0 109518;2965.0 113.0 109551;1971.0 53.0 109553;1915.0 59.0 109554;1819.0 51.0 109555;4569.0 211.0 109556;1853.0 78.0 109557;686.0 16.0 109558;589.0 9.0 109559;1277.0 52.0 109560;175.0 3.0 109561;194.0 6.0 109562;159.0 6.0 109563;12236.0 532.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 953;109476 966;109541 915;109542 1009;109544 923;109545 945;109547 951;109518 916;109551 927;109553 936;109554 936;109555 927;109556 1020;109557 935;109558 1029;109559 942;109560 965;109561 974;109562 944;109563 934;109524 953
data,1241299800,327325.0;12243.0;327866.0;14364.0;318221.0;12018.0;1.17130592793;1.0097054271,5162.0 82.0 109536;2287.0 80.0 109476;1040.0 33.0 109541;8855.0 338.0 109542;5586.0 179.0 109544;4234.0 72.0 109545;203.0 3.0 109561;7542.0 289.0 109547;1520.0 51.0 109518;2986.0 113.0 109551;2001.0 56.0 109553;2017.0 67.0 109554;1843.0 51.0 109555;4700.0 217.0 109556;1995.0 85.0 109557;713.0 16.0 109558;610.0 9.0 109559;1305.0 53.0 109560;12282.0 534.0 109524;229.0 7.0 109562;192.0 8.0 109563,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 912;109476 1011;109541 928;109542 935;109544 953;109545 1006;109561 998;109547 964;109518 948;109551 953;109553 859;109554 940;109555 971;109556 999;109557 939;109558 975;109559 923;109560 987;109524 928;109562 914;109563 957
data,1241300100,328316.0;12263.0;328820.0;14390.0;319144.0;12040.0;1.17164997777;1.01003197498,5193.0 82.0 109536;2324.0 80.0 109476;1083.0 35.0 109541;8875.0 338.0 109542;5614.0 181.0 109544;4256.0 72.0 109545;7574.0 289.0 109547;1542.0 53.0 109518;3019.0 115.0 109551;2055.0 57.0 109553;2147.0 71.0 109554;1877.0 53.0 109555;4823.0 220.0 109556;2129.0 89.0 109557;731.0 17.0 109558;634.0 9.0 109559;1334.0 53.0 109560;222.0 3.0 109561;260.0 8.0 109562;236.0 9.0 109563;12328.0 535.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 1002;109476 945;109541 966;109542 936;109544 977;109545 893;109547 910;109518 971;109551 965;109553 948;109554 908;109555 1010;109556 970;109557 919;109558 969;109559 959;109560 939;109561 927;109562 961;109563 960;109524 965
data,1241300700,329323.0;12291.0;329733.0;14412.0;320061.0;12070.0;1.17110728848;1.01043726956,5213.0 82.0 109536;2350.0 80.0 109476;1113.0 35.0 109541;8894.0 338.0 109542;5645.0 182.0 109544;4286.0 73.0 109545;7600.0 290.0 109547;1569.0 53.0 109518;3046.0 115.0 109551;2087.0 57.0 109553;2266.0 72.0 109554;1892.0 53.0 109555;4963.0 224.0 109556;2251.0 91.0 109557;760.0 19.0 109558;658.0 9.0 109559;1352.0 53.0 109560;244.0 4.0 109561;316.0 11.0 109562;277.0 11.0 109563;12387.0 539.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 938;109476 986;109541 956;109542 981;109544 967;109545 985;109547 937;109518 961;109551 992;109553 974;109554 913;109555 930;109556 983;109557 924;109558 910;109559 975;109560 950;109561 921;109562 971;109563 906;109524 940
data,1241301000,330270.0;12318.0;330669.0;14445.0;321037.0;12096.0;1.17125913437;1.01021919558,5239.0 83.0 109536;2384.0 81.0 109476;1140.0 35.0 109541;8920.0 338.0 109542;5668.0 182.0 109544;4305.0 74.0 109545;7634.0 292.0 109547;1601.0 54.0 109518;3075.0 115.0 109551;2125.0 59.0 109553;2383.0 76.0 109554;1922.0 54.0 109555;5131.0 232.0 109556;2349.0 96.0 109557;778.0 20.0 109558;684.0 10.0 109559;1364.0 53.0 109560;262.0 4.0 109561;368.0 14.0 109562;320.0 12.0 109563;12453.0 540.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 978;109476 911;109541 948;109542 970;109544 930;109545 1009;109547 972;109518 921;109551 924;109553 955;109554 933;109555 949;109556 930;109557 1005;109558 936;109559 982;109560 956;109561 943;109562 965;109563 924;109524 959
data,1241301300,331229.0;12343.0;331625.0;14474.0;322017.0;12125.0;1.17124818189;1.0104400974,5259.0 83.0 109536;2417.0 81.0 109476;1165.0 36.0 109541;8940.0 338.0 109542;5691.0 183.0 109544;4332.0 75.0 109545;7669.0 296.0 109547;1619.0 54.0 109518;3104.0 116.0 109551;2151.0 59.0 109553;2459.0 77.0 109554;1969.0 57.0 109555;5313.0 238.0 109556;2480.0 99.0 109557;832.0 24.0 109558;289.0 5.0 109561;1378.0 53.0 109560;12494.0 540.0 109524;428.0 14.0 109562;359.0 14.0 109563;713.0 11.0 109559,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 949;109476 973;109541 944;109542 961;109544 931;109545 981;109547 972;109518 913;109551 919;109553 944;109554 911;109555 1001;109556 949;109557 964;109558 956;109561 970;109560 922;109524 972;109562 961;109563 925;109559 982
data,1241301900,332197.0;12379.0;332532.0;14514.0;322919.0;12151.0;1.17128833342;1.00978418624,5275.0 83.0 109536;2443.0 82.0 109476;1181.0 38.0 109541;8966.0 338.0 109542;5716.0 183.0 109544;4364.0 75.0 109545;7750.0 300.0 109547;1633.0 54.0 109518;3127.0 118.0 109551;2177.0 59.0 109553;2515.0 79.0 109554;1999.0 57.0 109555;12541.0 545.0 109524;2607.0 106.0 109557;873.0 24.0 109558;736.0 12.0 109559;1393.0 53.0 109560;308.0 5.0 109561;479.0 16.0 109562;403.0 17.0 109563;5482.0 249.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 915;109476 973;109541 998;109542 947;109544 916;109545 982;109547 922;109518 992;109551 952;109553 941;109554 926;109555 948;109524 933;109557 946;109558 963;109559 943;109560 942;109561 950;109562 1025;109563 910;109556 976
data,1241302200,333125.0;12421.0;333465.0;14546.0;323818.0;12182.0;1.16988720218;1.00894681482,5302.0 84.0 109536;2475.0 83.0 109476;1213.0 39.0 109541;8983.0 340.0 109542;5731.0 183.0 109544;4386.0 76.0 109545;7814.0 302.0 109547;1653.0 54.0 109518;3148.0 118.0 109551;2203.0 62.0 109553;2569.0 80.0 109554;2023.0 57.0 109555;5685.0 260.0 109556;2721.0 111.0 109557;910.0 24.0 109558;753.0 12.0 109559;1416.0 54.0 109560;329.0 5.0 109561;518.0 17.0 109562;466.0 18.0 109563;12603.0 546.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 975;109476 940;109541 975;109542 944;109544 915;109545 911;109547 978;109518 944;109551 997;109553 869;109554 954;109555 1017;109556 991;109557 942;109558 966;109559 946;109560 945;109561 920;109562 916;109563 1015;109524 940
data,1241302500,334066.0;12445.0;334420.0;14577.0;324737.0;12212.0;1.17007388745;1.00946763047,5319.0 84.0 109536;2497.0 84.0 109476;1235.0 39.0 109541;9010.0 341.0 109542;5760.0 185.0 109544;4407.0 76.0 109545;7870.0 303.0 109547;1675.0 54.0 109518;3171.0 119.0 109551;2233.0 63.0 109553;2600.0 81.0 109554;2044.0 57.0 109555;12689.0 550.0 109524;2800.0 112.0 109557;937.0 24.0 109558;774.0 12.0 109559;1445.0 56.0 109560;353.0 6.0 109561;559.0 20.0 109562;504.0 18.0 109563;5974.0 272.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 980;109476 969;109541 962;109542 911;109544 966;109545 935;109547 979;109518 936;109551 977;109553 946;109554 914;109555 943;109524 968;109557 972;109558 957;109559 939;109560 959;109561 929;109562 1006;109563 911;109556 941
