data,1241350800,415821.0;14760.0;416810.0;17573.0;405485.0;14543.0;1.18775766063;1.01041380687,3149.0 115.0 109568;1199.0 31.0 109569;14839.0 900.0 109571;7471.0 112.0 109536;3734.0 109.0 109541;13085.0 496.0 109542;7380.0 273.0 109551;4787.0 127.0 109553;5758.0 179.0 109476;17713.0 740.0 109524;8163.0 300.0 109557;3920.0 128.0 109560;3264.0 87.0 109561;3143.0 83.0 109562;2958.0 77.0 109563;2085.0 42.0 109564;2113.0 53.0 109565;2008.0 45.0 109566;2548.0 75.0 109567,109536.0 16129;109568.0 16129;109571.0 16129;109476.0 16129;109541.0 16129;109542.0 16129;109569.0 16129;109551.0 16129;109553.0 16129;109524.0 16129;109557.0 16129;109560.0 16129;109561.0 16129;109562.0 16129;109563.0 16129;109564.0 16129;109565.0 16129;109566.0 16129;109567.0 16129,109568 847;109569 847;109571 854;109536 839;109541 886;109542 848;109551 857;109553 826;109476 792;109524 823;109557 851;109560 862;109561 831;109562 877;109563 840;109564 851;109565 878;109566 803;109567 917
data,1241351100,416022.0;14767.0;416996.0;17577.0;405685.0;14546.0;1.18750893581;1.01013322422,7480.0 112.0 109536;3158.0 115.0 109568;14848.0 900.0 109571;5768.0 179.0 109476;3740.0 109.0 109541;13094.0 497.0 109542;1205.0 32.0 109569;7391.0 274.0 109551;4796.0 127.0 109553;17723.0 740.0 109524;8173.0 300.0 109557;3928.0 128.0 109560;3279.0 87.0 109561;3161.0 83.0 109562;2966.0 77.0 109563;2098.0 42.0 109564;2123.0 53.0 109565;2015.0 46.0 109566;2557.0 75.0 109567,109536.0 3871;109568.0 3871;109571.0 3871;109476.0 3871;109541.0 3871;109542.0 3871;109569.0 3871;109551.0 3871;109553.0 3871;109524.0 3871;109557.0 3871;109560.0 3871;109561.0 3871;109562.0 3871;109563.0 3871;109564.0 3871;109565.0 3871;109566.0 3871;109567.0 3871,109536 190;109568 201;109571 189;109476 190;109541 183;109542 199;109569 226;109551 208;109553 231;109524 193;109557 223;109560 192;109561 215;109562 195;109563 215;109564 207;109565 213;109566 201;109567 200
data,1241351700,417047.0;14793.0;418047.0;17597.0;406714.0;14573.0;1.18670361974;1.01015632408,3204.0 116.0 109568;1255.0 32.0 109569;14885.0 901.0 109571;5808.0 179.0 109476;7533.0 114.0 109536;13171.0 500.0 109542;7453.0 274.0 109551;4852.0 128.0 109553;17803.0 743.0 109524;8222.0 300.0 109557;3023.0 78.0 109563;4005.0 130.0 109560;3338.0 88.0 109561;3200.0 83.0 109562;3797.0 111.0 109541;2144.0 43.0 109564;2176.0 53.0 109565;2078.0 47.0 109566;2607.0 76.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1045;109569 1046;109571 998;109476 1097;109536 1011;109542 1073;109551 1013;109553 1049;109524 1090;109557 1069;109563 1071;109560 1043;109561 1093;109562 1054;109541 1074;109564 1010;109565 998;109566 1107;109567 1059
data,1241352300,418065.0;14815.0;419123.0;17627.0;407777.0;14609.0;1.18680417384;1.01097383825,7592.0 114.0 109536;1293.0 33.0 109569;14943.0 906.0 109571;5849.0 180.0 109476;13325.0 510.0 109542;3263.0 117.0 109568;7502.0 274.0 109551;4899.0 128.0 109553;3858.0 113.0 109541;17888.0 746.0 109524;8264.0 302.0 109557;4067.0 131.0 109560;3383.0 88.0 109561;3231.0 84.0 109562;3068.0 78.0 109563;2197.0 43.0 109564;2223.0 54.0 109565;2118.0 48.0 109566;2667.0 77.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1055;109569 1022;109571 1026;109476 1030;109542 1050;109568 1008;109551 1070;109553 1088;109541 1057;109524 1023;109557 1059;109560 1054;109561 1079;109562 1037;109563 1123;109564 1089;109565 1067;109566 1036;109567 1027
data,1241352900,419121.0;14846.0;420155.0;17670.0;408893.0;14632.0;1.18729046148;1.0102386553,7634.0 114.0 109536;3343.0 122.0 109568;15081.0 916.0 109571;5883.0 180.0 109476;3912.0 115.0 109541;13482.0 517.0 109542;1349.0 35.0 109569;7525.0 274.0 109551;4932.0 131.0 109553;17966.0 748.0 109524;8319.0 305.0 109557;4103.0 132.0 109560;3420.0 89.0 109561;3272.0 85.0 109562;3092.0 78.0 109563;2232.0 45.0 109564;2252.0 56.0 109565;2164.0 50.0 109566;2701.0 77.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1010;109568 1034;109571 1012;109476 1086;109541 1015;109542 1061;109569 1064;109551 1031;109553 1033;109524 1034;109557 1058;109560 1100;109561 1037;109562 1115;109563 1098;109564 1110;109565 1046;109566 1020;109567 1036
data,1241353500,420105.0;14873.0;421171.0;17697.0;409945.0;14670.0;1.18686265127;1.01079664687,7658.0 115.0 109536;1389.0 35.0 109569;15270.0 925.0 109571;5906.0 182.0 109476;3959.0 116.0 109541;13648.0 520.0 109542;3410.0 123.0 109568;7563.0 275.0 109551;4979.0 132.0 109553;18025.0 750.0 109524;8385.0 308.0 109557;4132.0 133.0 109560;3448.0 89.0 109561;3310.0 86.0 109562;3119.0 79.0 109563;2261.0 45.0 109564;2289.0 56.0 109565;2197.0 50.0 109566;2730.0 77.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1020;109569 1072;109571 1056;109476 1101;109541 1098;109542 1041;109568 1090;109551 1076;109553 989;109524 1075;109557 1026;109560 1052;109561 1053;109562 1077;109563 1057;109564 1041;109565 994;109566 1033;109567 1049
data,1241354100,421180.0;14901.0;422197.0;17730.0;411012.0;14695.0;1.18698687858;1.01057235623,3463.0 123.0 109568;1436.0 37.0 109569;15578.0 942.0 109571;5937.0 184.0 109476;3994.0 116.0 109541;13737.0 522.0 109542;7598.0 275.0 109551;5032.0 136.0 109553;18075.0 751.0 109524;8454.0 309.0 109557;7688.0 115.0 109536;4170.0 134.0 109560;3471.0 90.0 109561;3346.0 86.0 109562;3146.0 79.0 109563;2288.0 46.0 109564;2312.0 56.0 109565;2229.0 51.0 109566;2750.0 77.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1057;109569 1114;109571 1017;109476 1006;109541 1112;109542 1010;109551 1031;109553 1075;109524 1042;109557 1027;109536 1090;109560 1097;109561 1010;109562 1016;109563 1061;109564 1075;109565 1012;109566 1065;109567 1083
data,1241354700,422234.0;14928.0;423267.0;17765.0;412118.0;14730.0;1.18714119834;1.01095712738,7718.0 115.0 109536;1479.0 38.0 109569;15917.0 954.0 109571;5974.0 186.0 109476;4026.0 117.0 109541;13798.0 523.0 109542;3499.0 125.0 109568;7629.0 277.0 109551;5125.0 139.0 109553;18117.0 753.0 109524;8529.0 312.0 109557;4221.0 137.0 109560;3498.0 90.0 109561;3383.0 87.0 109562;3169.0 80.0 109563;2316.0 46.0 109564;2342.0 56.0 109565;2262.0 51.0 109566;2772.0 78.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1071;109569 1070;109571 1055;109476 1017;109541 1005;109542 1042;109568 1048;109551 1085;109553 1092;109524 1063;109557 1020;109560 1028;109561 1092;109562 1061;109563 1071;109564 1020;109565 1084;109566 1079;109567 997
data,1241355300,423273.0;14959.0;424297.0;17807.0;413216.0;14767.0;1.18751417329;1.01119089314,7743.0 115.0 109536;1515.0 39.0 109569;16304.0 974.0 109571;6016.0 188.0 109476;13859.0 526.0 109542;3531.0 126.0 109568;7653.0 279.0 109551;5214.0 143.0 109553;18149.0 753.0 109524;8585.0 314.0 109557;3194.0 80.0 109563;4265.0 138.0 109560;3519.0 91.0 109561;3407.0 88.0 109562;2789.0 79.0 109567;2342.0 46.0 109564;2367.0 56.0 109565;2292.0 51.0 109566;4060.0 120.0 109541,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1069;109569 1070;109571 1074;109476 1023;109542 1045;109568 1018;109551 1043;109553 1157;109524 1068;109557 1050;109563 1020;109560 1074;109561 1025;109562 960;109567 1091;109564 1042;109565 1035;109566 1111;109541 1025
data,1241355600,424354.0;14991.0;425349.0;17837.0;414258.0;14797.0;1.18706388494;1.01111479634,3562.0 127.0 109568;1539.0 39.0 109569;16690.0 989.0 109571;6052.0 188.0 109476;7774.0 115.0 109536;13912.0 528.0 109542;7686.0 279.0 109551;5302.0 146.0 109553;4095.0 120.0 109541;18176.0 754.0 109524;8654.0 317.0 109557;4297.0 138.0 109560;3549.0 93.0 109561;3441.0 88.0 109562;3231.0 82.0 109563;2372.0 46.0 109564;2392.0 56.0 109565;2319.0 51.0 109566;2813.0 80.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1048;109569 1023;109571 1080;109476 1110;109536 1032;109542 1041;109551 1073;109553 1093;109541 1048;109524 1047;109557 1043;109560 1037;109561 1024;109562 1076;109563 1031;109564 1011;109565 1018;109566 1075;109567 1090
data,1241356200,425413.0;15020.0;426396.0;17876.0;415274.0;14827.0;1.18740274493;1.01125194742,3593.0 127.0 109568;1567.0 39.0 109569;17170.0 1019.0 109571;6081.0 189.0 109476;4123.0 120.0 109541;13964.0 529.0 109542;7706.0 280.0 109551;5364.0 147.0 109553;18200.0 754.0 109524;8706.0 317.0 109557;7799.0 115.0 109536;4332.0 138.0 109560;3567.0 93.0 109561;3462.0 88.0 109562;3260.0 82.0 109563;2401.0 46.0 109564;2417.0 60.0 109565;2337.0 52.0 109566;2854.0 80.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 999;109569 1108;109571 1108;109476 976;109541 1051;109542 1043;109551 1024;109553 1082;109524 1112;109557 1091;109536 1020;109560 1062;109561 979;109562 1066;109563 1071;109564 1059;109565 1079;109566 1032;109567 1038
