data,1241395200,527903.0;18369.0;528846.0;21614.0;515563.0;18130.0;1.17455819456;1.01061252849,5826.0 183.0 109569;5711.0 221.0 109572;3590.0 144.0 109573;2713.0 110.0 109574;3407.0 123.0 109575;1893.0 69.0 109576;3019.0 129.0 109577;1229.0 40.0 109578;1552.0 61.0 109579;1030.0 39.0 109580;1743.0 70.0 109581;2414.0 119.0 109582;220.0 6.0 109583;142.0 2.0 109585;106.0 1.0 109586;10005.0 317.0 109476;4531.0 189.0 109517;25751.0 1059.0 109524;10577.0 148.0 109536;2760.0 98.0 109539;12167.0 440.0 109551;7576.0 230.0 109561,109569.0 9853;109572.0 9853;109573.0 9853;109574.0 9853;109575.0 9853;109576.0 9853;109577.0 9853;109578.0 9853;109579.0 9853;109580.0 9853;109581.0 9853;109582.0 9853;109583.0 9853;109585.0 9853;109586.0 9853;109476.0 9853;109517.0 9853;109524.0 9853;109536.0 9853;109539.0 9853;109551.0 9853;109561.0 9853,109569 459;109572 458;109573 500;109574 436;109575 425;109576 453;109577 426;109578 439;109579 430;109580 472;109581 433;109582 453;109583 433;109585 452;109586 476;109476 430;109517 450;109524 445;109536 422;109539 438;109551 480;109561 443
data,1241395200,528370.0;18381.0;529261.0;21627.0;516026.0;18154.0;1.17461462329;1.01127614556,5848.0 183.0 109569;5727.0 221.0 109572;3604.0 145.0 109573;2725.0 110.0 109574;3428.0 124.0 109575;1920.0 70.0 109576;3034.0 129.0 109577;1249.0 41.0 109578;1567.0 62.0 109579;1049.0 40.0 109580;1762.0 72.0 109581;2436.0 121.0 109582;242.0 6.0 109583;156.0 2.0 109585;122.0 1.0 109586;10013.0 317.0 109476;4557.0 190.0 109517;25773.0 1059.0 109524;10591.0 148.0 109536;2783.0 98.0 109539;12188.0 441.0 109551;7603.0 231.0 109561,109569.0 10147;109572.0 10147;109573.0 10147;109574.0 10147;109575.0 10147;109576.0 10147;109577.0 10147;109578.0 10147;109579.0 10147;109580.0 10147;109581.0 10147;109582.0 10147;109583.0 10147;109585.0 10147;109586.0 10147;109476.0 10147;109517.0 10147;109524.0 10147;109536.0 10147;109539.0 10147;109551.0 10147;109561.0 10147,109569 519;109572 416;109573 469;109574 438;109575 484;109576 449;109577 409;109578 489;109579 441;109580 483;109581 475;109582 484;109583 477;109585 425;109586 426;109476 447;109517 430;109524 466;109536 469;109539 490;109551 474;109561 487
data,1241395800,529266.0;18413.0;530210.0;21660.0;516994.0;18184.0;1.17424840924;1.01100513753,5904.0 186.0 109569;5774.0 222.0 109572;3636.0 145.0 109573;2760.0 111.0 109574;3473.0 127.0 109575;1993.0 75.0 109576;3070.0 131.0 109577;1289.0 42.0 109578;1614.0 65.0 109579;1098.0 41.0 109580;1810.0 72.0 109581;2489.0 122.0 109582;280.0 9.0 109583;195.0 3.0 109585;154.0 1.0 109586;10049.0 318.0 109476;4590.0 190.0 109517;25802.0 1060.0 109524;10628.0 149.0 109536;2806.0 98.0 109539;12262.0 445.0 109551;7650.0 232.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 914;109572 929;109573 898;109574 905;109575 881;109576 920;109577 952;109578 922;109579 973;109580 873;109581 896;109582 923;109583 943;109585 889;109586 899;109476 884;109517 983;109524 884;109536 863;109539 875;109551 930;109561 864
data,1241396100,530124.0;18445.0;531058.0;21694.0;517851.0;18212.0;1.17407674743;1.01076833743,5944.0 187.0 109569;5798.0 223.0 109572;3655.0 146.0 109573;2805.0 114.0 109574;3522.0 129.0 109575;2078.0 80.0 109576;3099.0 131.0 109577;1319.0 42.0 109578;1702.0 71.0 109579;1131.0 43.0 109580;1856.0 76.0 109581;2538.0 124.0 109582;320.0 10.0 109583;222.0 3.0 109585;171.0 1.0 109586;10079.0 319.0 109476;4609.0 190.0 109517;25833.0 1061.0 109524;10659.0 149.0 109536;2824.0 98.0 109539;12327.0 448.0 109551;7683.0 233.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 863;109572 943;109573 923;109574 872;109575 937;109576 933;109577 897;109578 903;109579 946;109580 987;109581 907;109582 925;109583 877;109585 885;109586 879;109476 884;109517 920;109524 898;109536 893;109539 886;109551 888;109561 954
data,1241396400,531017.0;18475.0;531980.0;21726.0;518691.0;18251.0;1.1738387656;1.01135105166,5966.0 187.0 109569;5818.0 223.0 109572;3705.0 150.0 109573;2847.0 116.0 109574;3573.0 131.0 109575;2189.0 85.0 109576;3118.0 131.0 109577;1360.0 44.0 109578;1782.0 73.0 109579;1179.0 44.0 109580;1911.0 78.0 109581;2600.0 127.0 109582;361.0 10.0 109583;249.0 3.0 109585;187.0 1.0 109586;10113.0 321.0 109476;4632.0 192.0 109517;25876.0 1064.0 109524;10681.0 149.0 109536;2852.0 99.0 109539;12387.0 449.0 109551;7710.0 233.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 869;109572 926;109573 909;109574 915;109575 922;109576 861;109577 837;109578 940;109579 900;109580 945;109581 889;109582 955;109583 924;109585 909;109586 876;109476 902;109517 918;109524 881;109536 909;109539 964;109551 935;109561 914
data,1241396700,531953.0;18502.0;532890.0;21751.0;519577.0;18281.0;1.17353553239;1.01159020729,5985.0 187.0 109569;5864.0 227.0 109572;3765.0 152.0 109573;2902.0 118.0 109574;3628.0 132.0 109575;2266.0 85.0 109576;3137.0 131.0 109577;1381.0 44.0 109578;1909.0 80.0 109579;1203.0 44.0 109580;1956.0 79.0 109581;2650.0 127.0 109582;400.0 11.0 109583;272.0 4.0 109585;208.0 1.0 109586;10178.0 324.0 109476;4663.0 193.0 109517;25915.0 1065.0 109524;10699.0 149.0 109536;2867.0 99.0 109539;12425.0 450.0 109551;7733.0 233.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 865;109572 914;109573 926;109574 901;109575 960;109576 875;109577 919;109578 896;109579 933;109580 838;109581 867;109582 909;109583 920;109585 952;109586 831;109476 980;109517 968;109524 927;109536 885;109539 882;109551 924;109561 928
data,1241397000,532895.0;18540.0;533767.0;21787.0;520492.0;18317.0;1.17321505914;1.01151470848,6002.0 187.0 109569;5926.0 231.0 109572;3805.0 152.0 109573;2964.0 120.0 109574;3656.0 133.0 109575;2309.0 85.0 109576;3157.0 132.0 109577;1401.0 44.0 109578;2094.0 92.0 109579;1240.0 46.0 109580;1997.0 82.0 109581;2707.0 132.0 109582;428.0 11.0 109583;296.0 4.0 109585;224.0 2.0 109586;10215.0 324.0 109476;4691.0 193.0 109517;25955.0 1067.0 109524;10715.0 150.0 109536;2880.0 99.0 109539;12460.0 451.0 109551;7761.0 234.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 881;109572 972;109573 932;109574 864;109575 919;109576 896;109577 896;109578 953;109579 939;109580 933;109581 836;109582 922;109583 921;109585 931;109586 901;109476 894;109517 910;109524 881;109536 879;109539 868;109551 918;109561 954
data,1241397300,533829.0;18567.0;534681.0;21831.0;521413.0;18353.0;1.1739221673;1.0120119371,6024.0 187.0 109569;6023.0 237.0 109572;3834.0 153.0 109573;2999.0 121.0 109574;3687.0 133.0 109575;2341.0 85.0 109576;3178.0 132.0 109577;1420.0 44.0 109578;2296.0 105.0 109579;1292.0 49.0 109580;2044.0 84.0 109581;2764.0 134.0 109582;449.0 13.0 109583;322.0 7.0 109585;238.0 3.0 109586;10263.0 326.0 109476;4713.0 195.0 109517;26005.0 1070.0 109524;10738.0 150.0 109536;2893.0 100.0 109539;12496.0 452.0 109551;7778.0 235.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 911;109572 920;109573 912;109574 881;109575 895;109576 936;109577 893;109578 911;109579 942;109580 986;109581 917;109582 879;109583 905;109585 890;109586 877;109476 940;109517 857;109524 934;109536 936;109539 877;109551 931;109561 870
data,1241397600,534744.0;18602.0;535665.0;21874.0;522324.0;18379.0;1.17387328025;1.01150533239,6044.0 187.0 109569;6125.0 244.0 109572;3863.0 156.0 109573;3030.0 122.0 109574;3725.0 135.0 109575;2367.0 86.0 109576;3196.0 133.0 109577;1440.0 44.0 109578;2521.0 113.0 109579;1332.0 50.0 109580;2118.0 89.0 109581;2819.0 136.0 109582;501.0 17.0 109583;342.0 7.0 109585;256.0 3.0 109586;10305.0 329.0 109476;4742.0 195.0 109517;26051.0 1070.0 109524;10762.0 151.0 109536;2913.0 101.0 109539;12529.0 454.0 109551;7800.0 236.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 921;109572 889;109573 915;109574 929;109575 849;109576 862;109577 904;109578 933;109579 999;109580 927;109581 867;109582 933;109583 933;109585 871;109586 928;109476 927;109517 902;109524 926;109536 912;109539 878;109551 914;109561 881
data,1241397900,535587.0;18626.0;536550.0;21905.0;523240.0;18408.0;1.1739334749;1.01161694917,6066.0 189.0 109569;6247.0 248.0 109572;3906.0 158.0 109573;3055.0 123.0 109574;3763.0 136.0 109575;2387.0 86.0 109576;3213.0 133.0 109577;1460.0 45.0 109578;2678.0 119.0 109579;1385.0 54.0 109580;2184.0 91.0 109581;2885.0 139.0 109582;533.0 17.0 109583;360.0 8.0 109585;278.0 3.0 109586;10336.0 329.0 109476;4765.0 197.0 109517;26084.0 1071.0 109524;10778.0 151.0 109536;2929.0 102.0 109539;12560.0 454.0 109551;7814.0 236.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 893;109572 950;109573 945;109574 853;109575 952;109576 921;109577 870;109578 926;109579 910;109580 912;109581 936;109582 881;109583 975;109585 887;109586 894;109476 964;109517 859;109524 934;109536 867;109539 846;109551 938;109561 887
data,1241398200,536462.0;18647.0;537484.0;21933.0;524132.0;18440.0;1.17398484766;1.01216248067,6082.0 189.0 109569;6341.0 248.0 109572;3958.0 160.0 109573;3080.0 124.0 109574;3803.0 138.0 109575;2417.0 87.0 109576;3228.0 133.0 109577;1486.0 46.0 109578;2837.0 126.0 109579;1428.0 55.0 109580;2262.0 93.0 109581;2978.0 145.0 109582;560.0 17.0 109583;384.0 9.0 109585;292.0 3.0 109586;10372.0 329.0 109476;4797.0 198.0 109517;26118.0 1073.0 109524;10804.0 151.0 109536;2952.0 102.0 109539;12587.0 455.0 109551;7834.0 236.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 892;109572 928;109573 865;109574 932;109575 894;109576 940;109577 907;109578 900;109579 889;109580 946;109581 939;109582 893;109583 905;109585 879;109586 875;109476 879;109517 938;109524 871;109536 943;109539 896;109551 909;109561 980
