
New Run at  01/27/2015 00:11:45
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; exp3CTRRatio; ucb1CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241334600,397345.0;14311.0;399290.0;17286.0;375678.0;14550.0;1.20199827862;1.07533801931,852.0 36.0 109568;6330.0 87.0 109536;341.0 25.0 109571;2576.0 95.0 109476;2326.0 75.0 109541;6103.0 245.0 109542;512.0 15.0 109569;3185.0 111.0 109551;3240.0 100.0 109553;52215.0 2080.0 109524;2362.0 71.0 109557;2172.0 56.0 109560;1808.0 63.0 109561;1899.0 45.0 109562;1888.0 45.0 109563;1318.0 31.0 109564;1288.0 38.0 109565;1192.0 29.0 109566;1186.0 34.0 109567,109536.0 18313;109568.0 18313;109571.0 18313;109476.0 18313;109541.0 18313;109542.0 18313;109569.0 18313;109551.0 18313;109553.0 18313;109524.0 18313;109557.0 18313;109560.0 18313;109561.0 18313;109562.0 18313;109563.0 18313;109564.0 18313;109565.0 18313;109566.0 18313;109567.0 18313,109568 993;109536 966;109571 1017;109476 985;109541 948;109542 972;109569 966;109551 972;109553 958;109524 935;109557 899;109560 953;109561 995;109562 961;109563 924;109564 919;109565 970;109566 972;109567 1008
data,1241335500,398378.0;14337.0;400347.0;17305.0;376713.0;14576.0;1.20108041923;1.07513948993,887.0 37.0 109568;6357.0 87.0 109536;367.0 26.0 109571;2599.0 96.0 109476;2364.0 76.0 109541;6127.0 246.0 109542;542.0 16.0 109569;3211.0 111.0 109551;3271.0 100.0 109553;52744.0 2092.0 109524;2400.0 72.0 109557;2192.0 56.0 109560;1844.0 63.0 109561;1930.0 45.0 109562;1918.0 45.0 109563;1349.0 31.0 109564;1315.0 38.0 109565;1216.0 29.0 109566;1217.0 34.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1063;109536 1088;109571 1094;109476 1018;109541 1057;109542 1019;109569 1047;109551 1073;109553 1108;109524 1028;109557 1070;109560 1075;109561 1041;109562 1045;109563 1012;109564 1018;109565 1062;109566 1059;109567 1023
data,1241336400,399386.0;14365.0;401356.0;17327.0;377776.0;14604.0;1.20027517124;1.07479259897,6387.0 87.0 109536;912.0 38.0 109568;393.0 26.0 109571;2618.0 97.0 109476;2388.0 76.0 109541;6151.0 246.0 109542;573.0 16.0 109569;3244.0 112.0 109551;3299.0 101.0 109553;53262.0 2107.0 109524;2421.0 73.0 109557;2216.0 56.0 109560;1869.0 63.0 109561;1963.0 46.0 109562;1943.0 45.0 109563;1389.0 31.0 109564;1345.0 38.0 109565;1245.0 29.0 109566;1241.0 35.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1073;109568 1034;109571 1066;109476 997;109541 1003;109542 1087;109569 1085;109551 1039;109553 1141;109524 1010;109557 1060;109560 1078;109561 1057;109562 1046;109563 1072;109564 1037;109565 1057;109566 1030;109567 1028
data,1241337300,400425.0;14387.0;402426.0;17353.0;378777.0;14627.0;1.20016090473;1.07478748804,6419.0 88.0 109536;937.0 38.0 109568;428.0 29.0 109571;2644.0 97.0 109476;2422.0 79.0 109541;6172.0 246.0 109542;596.0 17.0 109569;3267.0 112.0 109551;3329.0 102.0 109553;53813.0 2121.0 109524;2456.0 73.0 109557;2243.0 56.0 109560;1898.0 63.0 109561;1999.0 46.0 109562;1976.0 45.0 109563;1413.0 31.0 109564;1375.0 39.0 109565;1273.0 31.0 109566;1269.0 35.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1056;109568 1083;109571 1111;109476 987;109541 1050;109542 1047;109569 1069;109551 1059;109553 1021;109524 1023;109557 1069;109560 1052;109561 1076;109562 1019;109563 1076;109564 1056;109565 1060;109566 1010;109567 1076
data,1241338200,401515.0;14411.0;403491.0;17383.0;379816.0;14656.0;1.20032412351;1.0751024633,972.0 39.0 109568;623.0 17.0 109569;457.0 33.0 109571;6442.0 89.0 109536;2461.0 80.0 109541;6205.0 247.0 109542;3292.0 112.0 109551;3348.0 103.0 109553;2672.0 98.0 109476;54369.0 2136.0 109524;2486.0 75.0 109557;2273.0 57.0 109560;1927.0 63.0 109561;2022.0 46.0 109562;1992.0 46.0 109563;1437.0 31.0 109564;1407.0 39.0 109565;1312.0 32.0 109566;1297.0 35.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1057;109569 1024;109571 1088;109536 994;109541 1090;109542 1093;109551 1033;109553 1054;109476 1113;109524 1028;109557 1058;109560 1072;109561 1088;109562 1039;109563 1029;109564 1080;109565 1043;109566 1002;109567 1015
data,1241339100,402560.0;14434.0;404585.0;17409.0;380903.0;14671.0;1.2000738336;1.07421012713,6477.0 90.0 109536;649.0 19.0 109569;484.0 35.0 109571;2693.0 98.0 109476;2490.0 82.0 109541;6233.0 248.0 109542;990.0 39.0 109568;3335.0 113.0 109551;3377.0 103.0 109553;54944.0 2150.0 109524;2499.0 75.0 109557;2300.0 57.0 109560;1962.0 63.0 109561;2049.0 46.0 109562;2019.0 46.0 109563;1465.0 31.0 109564;1437.0 40.0 109565;1350.0 33.0 109566;1335.0 36.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1076;109569 1071;109571 1085;109476 1075;109541 1068;109542 1090;109568 1034;109551 1033;109553 1053;109524 1079;109557 1051;109560 1069;109561 1092;109562 1009;109563 1065;109564 1012;109565 1003;109566 988;109567 1047
data,1241340300,403629.0;14460.0;405594.0;17431.0;381966.0;14691.0;1.19962318317;1.07359559528,6494.0 90.0 109536;684.0 19.0 109569;510.0 36.0 109571;2717.0 98.0 109476;2511.0 83.0 109541;1020.0 41.0 109568;6258.0 249.0 109542;3367.0 114.0 109551;3407.0 103.0 109553;55483.0 2163.0 109524;2519.0 75.0 109557;2317.0 57.0 109560;1985.0 63.0 109561;2073.0 46.0 109562;2046.0 47.0 109563;1493.0 32.0 109564;1462.0 40.0 109565;1381.0 34.0 109566;1370.0 36.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1022;109569 1059;109571 1045;109476 995;109541 1056;109568 1100;109542 1025;109551 1067;109553 1031;109524 1027;109557 1070;109560 1074;109561 1113;109562 1008;109563 1034;109564 1090;109565 1022;109566 1078;109567 1084
data,1241341200,404654.0;14478.0;406687.0;17456.0;383014.0;14716.0;1.1996642265;1.07386675089,1043.0 41.0 109568;707.0 19.0 109569;536.0 36.0 109571;2734.0 98.0 109476;2540.0 85.0 109541;6288.0 250.0 109542;3396.0 114.0 109551;3439.0 103.0 109553;56055.0 2181.0 109524;2554.0 75.0 109557;6528.0 90.0 109536;2347.0 58.0 109560;2017.0 64.0 109561;2100.0 47.0 109562;2078.0 47.0 109563;1528.0 33.0 109564;1496.0 40.0 109565;1409.0 34.0 109566;1395.0 36.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1059;109569 1072;109571 1046;109476 976;109541 1057;109542 1106;109551 1070;109553 1106;109524 1063;109557 1017;109536 1076;109560 1079;109561 994;109562 1063;109563 1016;109564 1066;109565 1041;109566 1041;109567 1052
data,1241342400,405705.0;14492.0;407689.0;17479.0;384097.0;14732.0;1.20024422029;1.07374914196,1066.0 41.0 109568;729.0 20.0 109569;568.0 36.0 109571;2759.0 98.0 109476;2564.0 85.0 109541;6317.0 250.0 109542;2371.0 58.0 109560;3424.0 114.0 109551;3463.0 104.0 109553;56589.0 2193.0 109524;2578.0 75.0 109557;6554.0 90.0 109536;2037.0 66.0 109561;2118.0 49.0 109562;2102.0 48.0 109563;1553.0 34.0 109564;1529.0 41.0 109565;1447.0 35.0 109566;1424.0 37.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1069;109569 1049;109571 1070;109476 1000;109541 1066;109542 1066;109560 1065;109551 1045;109553 1024;109524 1048;109557 1055;109536 1083;109561 1089;109562 1021;109563 1082;109564 1021;109565 1065;109566 1060;109567 1022
data,1241343600,406713.0;14508.0;408744.0;17502.0;385136.0;14752.0;1.20037459728;1.07378490754,6582.0 90.0 109536;1082.0 41.0 109568;590.0 37.0 109571;2777.0 101.0 109476;2588.0 87.0 109541;6339.0 251.0 109542;752.0 20.0 109569;3452.0 114.0 109551;3501.0 104.0 109553;57162.0 2205.0 109524;2607.0 75.0 109557;2406.0 61.0 109560;2057.0 66.0 109561;2144.0 49.0 109562;2135.0 48.0 109563;1586.0 35.0 109564;1558.0 41.0 109565;1473.0 35.0 109566;1456.0 37.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1072;109568 1055;109571 1035;109476 1073;109541 1050;109542 1059;109569 1043;109551 1019;109553 1075;109524 1084;109557 1016;109560 1012;109561 1041;109562 1092;109563 1026;109564 1094;109565 1083;109566 1024;109567 1047
