
New Run at  01/27/2015 00:50:00
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; exp3CTRRatio; ucb1CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241420700,587481.0;20371.0;587208.0;23990.0;559175.0;20335.0;1.17820201448;1.0487643277,11342.0 147.0 109536;3663.0 139.0 109572;2939.0 120.0 109574;2811.0 73.0 109575;2691.0 93.0 109576;2452.0 76.0 109577;2410.0 70.0 109578;2157.0 77.0 109580;2962.0 97.0 109517;1853.0 82.0 109582;2093.0 68.0 109581;933.0 35.0 109584;1521.0 39.0 109585;1534.0 28.0 109586;557.0 10.0 109587;181.0 5.0 109588;169.0 4.0 109589;7348.0 244.0 109476;1542.0 38.0 109583;68781.0 2476.0 109524,109536.0 11950;109476.0 11950;109574.0 11950;109575.0 11950;109576.0 11950;109580.0 11950;109578.0 11950;109581.0 11950;109517.0 11950;109582.0 11950;109583.0 11950;109584.0 11950;109585.0 11950;109586.0 11950;109587.0 11950;109588.0 11950;109589.0 11950;109577.0 11950;109524.0 11950;109572.0 11950,109536 597;109572 617;109574 633;109575 587;109576 626;109577 611;109578 627;109580 563;109517 587;109582 595;109581 616;109584 576;109585 598;109586 601;109587 571;109588 544;109589 597;109476 617;109583 584;109524 603
data,1241421300,588491.0;20385.0;588199.0;24009.0;560169.0;20355.0;1.17836246274;1.04901366417,11377.0 147.0 109536;7404.0 244.0 109476;3025.0 125.0 109574;2848.0 75.0 109575;2753.0 94.0 109576;2497.0 76.0 109577;2452.0 70.0 109578;2193.0 77.0 109580;2147.0 68.0 109581;1889.0 83.0 109582;1595.0 39.0 109583;969.0 35.0 109584;1580.0 40.0 109585;1570.0 29.0 109586;592.0 10.0 109587;227.0 5.0 109588;243.0 5.0 109589;68843.0 2480.0 109524;2985.0 97.0 109517;3741.0 141.0 109572,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 963;109476 1080;109574 1002;109575 1045;109576 994;109577 1002;109578 986;109580 1036;109581 1048;109582 979;109583 980;109584 1045;109585 976;109586 954;109587 970;109588 974;109589 989;109524 984;109517 1024;109572 969
data,1241421900,589527.0;20402.0;589218.0;24023.0;561143.0;20370.0;1.17810009976;1.04893466089,11412.0 147.0 109536;3848.0 143.0 109572;3125.0 126.0 109574;2919.0 78.0 109575;2805.0 95.0 109576;2524.0 76.0 109577;2494.0 70.0 109578;2233.0 77.0 109580;2194.0 69.0 109581;1926.0 84.0 109582;3031.0 98.0 109517;1007.0 35.0 109584;1643.0 41.0 109585;1611.0 30.0 109586;627.0 10.0 109587;68917.0 2481.0 109524;302.0 5.0 109589;273.0 5.0 109588;1625.0 39.0 109583;7433.0 245.0 109476,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1013;109572 1039;109574 984;109575 912;109576 1032;109577 947;109578 1065;109580 1018;109581 1027;109582 1014;109517 1047;109584 1018;109585 969;109586 999;109587 935;109524 1013;109589 1015;109588 1032;109583 1003;109476 918
data,1241422800,590533.0;20424.0;590247.0;24040.0;562114.0;20391.0;1.17761694142;1.04885992621,11431.0 147.0 109536;3935.0 143.0 109572;3238.0 130.0 109574;3022.0 81.0 109575;2870.0 96.0 109576;2558.0 77.0 109577;2535.0 72.0 109578;2255.0 77.0 109580;3064.0 100.0 109517;1977.0 84.0 109582;1664.0 39.0 109583;1041.0 35.0 109584;1692.0 41.0 109585;1648.0 30.0 109586;658.0 10.0 109587;309.0 5.0 109588;341.0 5.0 109589;69014.0 2483.0 109524;7478.0 245.0 109476;2248.0 71.0 109581,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1009;109572 981;109574 1056;109575 1047;109576 932;109577 1025;109578 1007;109580 958;109517 1003;109582 995;109583 936;109584 1029;109585 1010;109586 999;109587 1010;109588 1035;109589 997;109524 981;109476 1004;109581 986
data,1241423400,591508.0;20440.0;591257.0;24063.0;563115.0;20407.0;1.17775025477;1.04872543145,11458.0 147.0 109536;3991.0 143.0 109572;3402.0 137.0 109574;3184.0 90.0 109575;2912.0 97.0 109576;2585.0 77.0 109577;2564.0 72.0 109578;2288.0 77.0 109580;2302.0 71.0 109581;2007.0 85.0 109582;1693.0 39.0 109583;1078.0 36.0 109584;1732.0 42.0 109585;1683.0 30.0 109586;681.0 10.0 109587;336.0 5.0 109588;365.0 5.0 109589;69104.0 2486.0 109524;7507.0 245.0 109476;3116.0 100.0 109517,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 992;109572 1004;109574 1008;109575 982;109576 975;109577 1028;109578 1001;109580 1006;109581 1027;109582 1021;109583 1032;109584 977;109585 1019;109586 962;109587 946;109588 1028;109589 966;109524 1016;109476 984;109517 1026
data,1241424300,592551.0;20457.0;592300.0;24078.0;564079.0;20423.0;1.17750420765;1.04872928569,11482.0 147.0 109536;4040.0 145.0 109572;3573.0 139.0 109574;3398.0 95.0 109575;2954.0 97.0 109576;2616.0 77.0 109577;2597.0 72.0 109578;2312.0 78.0 109580;2362.0 72.0 109581;2041.0 85.0 109582;1717.0 39.0 109583;1117.0 36.0 109584;1762.0 42.0 109585;1723.0 31.0 109586;707.0 10.0 109587;69189.0 2488.0 109524;393.0 5.0 109589;365.0 5.0 109588;7539.0 246.0 109476;3144.0 100.0 109517,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1005;109572 1048;109574 992;109575 968;109576 953;109577 1061;109578 929;109580 943;109581 1016;109582 1033;109583 977;109584 1012;109585 981;109586 1044;109587 976;109524 1034;109589 1021;109588 954;109476 991;109517 1062
data,1241425200,593563.0;20469.0;593295.0;24093.0;565051.0;20435.0;1.1775799091;1.04871429857,11498.0 147.0 109536;4092.0 145.0 109572;3692.0 140.0 109574;3626.0 99.0 109575;2991.0 98.0 109576;2639.0 78.0 109577;2625.0 72.0 109578;2343.0 78.0 109580;3176.0 101.0 109517;2077.0 85.0 109582;1747.0 40.0 109583;1147.0 37.0 109584;1798.0 42.0 109585;1763.0 32.0 109586;724.0 10.0 109587;69282.0 2489.0 109524;425.0 5.0 109589;390.0 5.0 109588;7566.0 247.0 109476;2425.0 74.0 109581,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1003;109572 1019;109574 1004;109575 1029;109576 1002;109577 997;109578 964;109580 967;109517 1014;109582 1017;109583 1024;109584 1061;109585 969;109586 1007;109587 974;109524 1002;109589 1034;109588 973;109476 978;109581 962
data,1241425800,594571.0;20483.0;594251.0;24106.0;566003.0;20448.0;1.17751212772;1.04867825131,11531.0 149.0 109536;7593.0 247.0 109476;3802.0 140.0 109574;3860.0 103.0 109575;3027.0 98.0 109576;2673.0 79.0 109577;2647.0 73.0 109578;2362.0 78.0 109580;3209.0 101.0 109517;2105.0 86.0 109582;1778.0 40.0 109583;1162.0 37.0 109584;1828.0 43.0 109585;1797.0 32.0 109586;748.0 10.0 109587;416.0 5.0 109588;453.0 6.0 109589;4152.0 146.0 109572;69363.0 2490.0 109524;2476.0 74.0 109581,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1037;109476 1024;109574 976;109575 992;109576 1021;109577 1021;109578 1014;109580 1042;109517 985;109582 951;109583 937;109584 1008;109585 1006;109586 1070;109587 1014;109588 961;109589 964;109572 992;109524 991;109581 994
data,1241426700,595570.0;20513.0;595224.0;24124.0;567014.0;20474.0;1.17671833134;1.04836508877,11560.0 149.0 109536;4228.0 148.0 109572;3869.0 140.0 109574;4076.0 106.0 109575;3073.0 99.0 109576;2707.0 79.0 109577;2683.0 73.0 109578;2385.0 80.0 109580;3241.0 102.0 109517;2140.0 88.0 109582;1805.0 40.0 109583;1184.0 38.0 109584;1850.0 43.0 109585;1834.0 32.0 109586;768.0 10.0 109587;69465.0 2493.0 109524;482.0 6.0 109589;442.0 6.0 109588;7640.0 249.0 109476;2523.0 74.0 109581,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1004;109572 985;109574 964;109575 957;109576 990;109577 1024;109578 961;109580 969;109517 992;109582 1053;109583 1043;109584 1044;109585 994;109586 1002;109587 1000;109524 1012;109589 999;109588 1008;109476 1020;109581 979
data,1241427600,596539.0;20521.0;596220.0;24148.0;568022.0;20487.0;1.17737537562;1.04846402203,11591.0 150.0 109536;4318.0 151.0 109572;3935.0 142.0 109574;4292.0 110.0 109575;2564.0 74.0 109581;2739.0 83.0 109577;2712.0 75.0 109578;2414.0 81.0 109580;3273.0 102.0 109517;2195.0 89.0 109582;1836.0 42.0 109583;1206.0 39.0 109584;1889.0 43.0 109585;1858.0 32.0 109586;786.0 10.0 109587;473.0 6.0 109588;513.0 6.0 109589;3118.0 100.0 109576;69570.0 2494.0 109524;7669.0 250.0 109476,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1049;109572 1017;109574 1002;109575 994;109581 963;109577 1012;109578 991;109580 1053;109517 1012;109582 944;109583 994;109584 993;109585 985;109586 972;109587 996;109588 968;109589 1039;109576 1002;109524 1016;109476 998
