data,1241866500,1428888.0;51841.0;1432727.0;58076.0;1.11726982569,10.0 0.0 109728;34441.0 779.0 109697;38639.0 824.0 109667;10.0 0.0 109734;3.0 0.0 109735;7.0 0.0 109711;5.0 0.0 109714;15766.0 532.0 109742;6.0 0.0 109743;9.0 0.0 109745;3.0 0.0 109746;3.0 0.0 109747;3.0 0.0 109748;6.0 0.0 109749;17773.0 512.0 109720;9.0 0.0 109721;16877.0 631.0 109722;14.0 0.0 109723;9.0 0.0 109726,109728.0 2936;109697.0 2936;109667.0 2936;109734.0 2936;109735.0 2936;109711.0 2936;109714.0 2936;109742.0 2936;109743.0 2936;109745.0 2936;109746.0 2936;109747.0 2936;109748.0 2936;109749.0 2936;109720.0 2936;109721.0 2936;109722.0 2936;109723.0 2936;109726.0 2936,109728 166;109697 158;109667 152;109734 156;109735 159;109711 125;109714 163;109742 153;109743 146;109745 137;109746 164;109747 144;109748 146;109749 178;109720 162;109721 167;109722 164;109723 162;109726 134
data,1241867100,1429757.0;51862.0;1433704.0;58112.0;1.11742734838,10.0 0.0 109728;34443.0 779.0 109697;38639.0 824.0 109667;11.0 0.0 109734;6.0 0.0 109735;5.0 0.0 109714;15767.0 532.0 109742;9.0 0.0 109711;15.0 0.0 109723;10.0 0.0 109745;960.0 36.0 109746;5.0 0.0 109747;4.0 0.0 109748;6.0 0.0 109749;17773.0 512.0 109720;11.0 0.0 109721;16877.0 631.0 109722;8.0 0.0 109743;11.0 0.0 109726,109728.0 17064;109697.0 17064;109667.0 17064;109734.0 17064;109735.0 17064;109711.0 17064;109714.0 17064;109742.0 17064;109743.0 17064;109745.0 17064;109746.0 17064;109747.0 17064;109748.0 17064;109749.0 17064;109720.0 17064;109721.0 17064;109722.0 17064;109723.0 17064;109726.0 17064,109728 864;109697 905;109667 847;109734 891;109735 908;109714 877;109742 929;109711 860;109723 914;109745 905;109746 978;109747 914;109748 949;109749 874;109720 895;109721 904;109722 861;109743 906;109726 883
data,1241867700,1430814.0;51892.0;1434768.0;58157.0;1.11764295556,10.0 0.0 109728;34443.0 779.0 109697;38639.0 824.0 109667;11.0 0.0 109734;6.0 0.0 109735;4.0 0.0 109748;2024.0 81.0 109746;15767.0 532.0 109742;9.0 0.0 109711;10.0 0.0 109745;5.0 0.0 109714;5.0 0.0 109747;15.0 0.0 109723;6.0 0.0 109749;17773.0 512.0 109720;11.0 0.0 109721;16877.0 631.0 109722;8.0 0.0 109743;11.0 0.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1062;109697 1012;109667 1037;109734 1069;109735 1048;109748 1072;109746 1064;109742 1048;109711 1078;109745 1028;109714 1014;109747 1119;109723 1031;109749 1015;109720 1102;109721 1064;109722 1011;109743 1062;109726 1064
data,1241868600,1431847.0;51927.0;1435793.0;58207.0;1.11785832597,10.0 0.0 109728;34443.0 779.0 109697;15.0 0.0 109723;11.0 0.0 109734;6.0 0.0 109735;38639.0 824.0 109667;5.0 0.0 109714;15767.0 532.0 109742;9.0 0.0 109711;10.0 0.0 109745;3049.0 131.0 109746;5.0 0.0 109747;4.0 0.0 109748;6.0 0.0 109749;17773.0 512.0 109720;11.0 0.0 109721;16877.0 631.0 109722;8.0 0.0 109743;11.0 0.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 985;109697 1043;109723 1067;109734 1043;109735 1037;109667 1040;109714 1123;109742 1060;109711 1050;109745 1039;109746 1025;109747 1059;109748 1079;109749 1068;109720 1058;109721 1066;109722 1019;109743 1092;109726 1047
data,1241869200,1432884.0;51961.0;1436815.0;58242.0;1.11781249377,10.0 0.0 109728;34443.0 779.0 109697;38639.0 824.0 109667;11.0 0.0 109734;6.0 0.0 109735;5.0 0.0 109714;15767.0 532.0 109742;9.0 0.0 109711;15.0 0.0 109723;10.0 0.0 109745;4071.0 166.0 109746;5.0 0.0 109747;4.0 0.0 109748;6.0 0.0 109749;17773.0 512.0 109720;11.0 0.0 109721;16877.0 631.0 109722;8.0 0.0 109743;11.0 0.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1077;109697 999;109667 1034;109734 1109;109735 1044;109714 1082;109742 1103;109711 1042;109723 1019;109745 1061;109746 1022;109747 1108;109748 1037;109749 1030;109720 1013;109721 1051;109722 1104;109743 1005;109726 1060
data,1241869800,1433963.0;51988.0;1437852.0;58285.0;1.11809176868,10.0 0.0 109728;34443.0 779.0 109697;38639.0 824.0 109667;8.0 0.0 109743;11.0 0.0 109734;6.0 0.0 109735;5.0 0.0 109714;15767.0 532.0 109742;9.0 0.0 109711;10.0 0.0 109745;5108.0 209.0 109746;5.0 0.0 109747;4.0 0.0 109748;6.0 0.0 109749;17773.0 512.0 109720;11.0 0.0 109721;16877.0 631.0 109722;15.0 0.0 109723;11.0 0.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1020;109697 1016;109667 1071;109743 1043;109734 1144;109735 1076;109714 1050;109742 1011;109711 1062;109745 1059;109746 1037;109747 1115;109748 1033;109749 1044;109720 1031;109721 1049;109722 1084;109723 998;109726 1057
data,1241870400,1435047.0;52013.0;1438876.0;58330.0;1.11846610944,10.0 0.0 109728;34443.0 779.0 109697;38639.0 824.0 109667;11.0 0.0 109734;6.0 0.0 109735;6132.0 254.0 109746;8.0 0.0 109743;15767.0 532.0 109742;9.0 0.0 109711;10.0 0.0 109745;5.0 0.0 109714;5.0 0.0 109747;4.0 0.0 109748;6.0 0.0 109749;17773.0 512.0 109720;11.0 0.0 109721;16877.0 631.0 109722;15.0 0.0 109723;11.0 0.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1038;109697 993;109667 996;109734 1031;109735 1060;109746 1024;109743 1084;109742 1022;109711 1032;109745 1041;109714 1055;109747 1099;109748 1077;109749 1093;109720 1075;109721 1030;109722 1096;109723 1111;109726 1043
data,1241871000,1436106.0;52048.0;1439890.0;58379.0;1.11869007919,10.0 0.0 109728;34443.0 779.0 109697;38639.0 824.0 109667;11.0 0.0 109734;6.0 0.0 109735;4.0 0.0 109748;7146.0 303.0 109746;15767.0 532.0 109742;8.0 0.0 109743;10.0 0.0 109745;5.0 0.0 109714;5.0 0.0 109747;15.0 0.0 109723;6.0 0.0 109749;17773.0 512.0 109720;11.0 0.0 109721;16877.0 631.0 109722;9.0 0.0 109711;11.0 0.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1034;109697 1046;109667 1057;109734 1102;109735 1015;109748 1050;109746 1014;109742 1080;109743 1069;109745 1065;109714 1050;109747 1065;109723 1106;109749 1041;109720 1081;109721 1003;109722 1069;109711 1013;109726 1040
data,1241871600,1437139.0;52073.0;1440941.0;58432.0;1.11915626214,10.0 0.0 109728;34443.0 779.0 109697;38639.0 824.0 109667;11.0 0.0 109734;6.0 0.0 109735;8197.0 356.0 109746;15767.0 532.0 109742;8.0 0.0 109743;15.0 0.0 109723;10.0 0.0 109745;5.0 0.0 109714;5.0 0.0 109747;4.0 0.0 109748;6.0 0.0 109749;17773.0 512.0 109720;11.0 0.0 109721;16877.0 631.0 109722;9.0 0.0 109711;11.0 0.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1069;109697 1041;109667 1024;109734 1042;109735 1048;109746 1051;109742 1032;109743 1089;109723 1086;109745 1047;109714 999;109747 1072;109748 1067;109749 1067;109720 1087;109721 1050;109722 1021;109711 1029;109726 1079
data,1241871900,1438241.0;52110.0;1442037.0;58483.0;1.11934465724,10.0 0.0 109728;34443.0 779.0 109697;38639.0 824.0 109667;11.0 0.0 109734;5.0 0.0 109714;6.0 0.0 109735;8.0 0.0 109743;15767.0 532.0 109742;9.0 0.0 109711;10.0 0.0 109745;9293.0 407.0 109746;5.0 0.0 109747;4.0 0.0 109748;6.0 0.0 109749;17773.0 512.0 109720;11.0 0.0 109721;16877.0 631.0 109722;15.0 0.0 109723;11.0 0.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1044;109697 1056;109667 997;109734 1079;109714 1025;109735 1074;109743 1081;109742 1050;109711 1079;109745 1065;109746 1096;109747 1033;109748 1001;109749 1074;109720 1021;109721 1060;109722 1046;109723 1040;109726 1079
data,1241872500,1439321.0;52148.0;1443092.0;58531.0;1.11946863467,10.0 0.0 109728;34443.0 779.0 109697;38639.0 824.0 109667;11.0 0.0 109734;6.0 0.0 109735;10348.0 455.0 109746;8.0 0.0 109743;15767.0 532.0 109742;9.0 0.0 109711;10.0 0.0 109745;5.0 0.0 109714;5.0 0.0 109747;4.0 0.0 109748;6.0 0.0 109749;17773.0 512.0 109720;11.0 0.0 109721;16877.0 631.0 109722;15.0 0.0 109723;11.0 0.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1066;109697 1012;109667 1034;109734 1091;109735 1053;109746 1055;109743 1026;109742 1069;109711 1073;109745 1089;109714 1099;109747 1025;109748 1075;109749 1037;109720 1044;109721 1030;109722 1026;109723 1071;109726 1025
