data,1241842800,1795487.0;65272.0;1798952.0;74381.0;1753001.0;64235.0;1.13735955941;1.00796374053,12032.0 256.0 109697;3406.0 154.0 109711;451.0 12.0 109714;5641.0 170.0 109720;16783.0 910.0 109721;5719.0 235.0 109722;4498.0 75.0 109723;3463.0 90.0 109725;3335.0 83.0 109726;3512.0 74.0 109728;6517.0 322.0 109732;3419.0 167.0 109734;2403.0 59.0 109735;2864.0 140.0 109737;5322.0 286.0 109742;3202.0 152.0 109743;1403.0 18.0 109744;1319.0 28.0 109745;1685.0 72.0 109746;1033.0 39.0 109747;941.0 34.0 109748;1021.0 60.0 109749;19803.0 437.0 109667,109697.0 16553;109711.0 16553;109714.0 16553;109720.0 16553;109721.0 16553;109722.0 16553;109723.0 16553;109725.0 16553;109726.0 16553;109728.0 16553;109732.0 16553;109734.0 16553;109735.0 16553;109737.0 16553;109742.0 16553;109743.0 16553;109744.0 16553;109745.0 16553;109746.0 16553;109747.0 16553;109748.0 16553;109749.0 16553;109667.0 16553,109697 746;109711 695;109714 741;109720 752;109721 714;109722 766;109723 742;109725 760;109726 696;109728 682;109732 722;109734 752;109735 728;109737 692;109742 726;109743 731;109744 709;109745 685;109746 709;109747 684;109748 763;109749 692;109667 666
data,1241843100,1795626.0;65273.0;1799095.0;74387.0;1753159.0;64247.0;1.13743152001;1.00812378002,12041.0 256.0 109697;3408.0 154.0 109711;458.0 12.0 109714;5643.0 170.0 109720;16791.0 910.0 109721;5725.0 235.0 109722;4505.0 75.0 109723;3466.0 90.0 109725;3342.0 83.0 109726;3523.0 75.0 109728;6522.0 323.0 109732;3423.0 167.0 109734;2410.0 59.0 109735;2875.0 142.0 109737;5326.0 287.0 109742;3204.0 152.0 109743;1415.0 19.0 109744;1325.0 28.0 109745;1692.0 72.0 109746;1040.0 39.0 109747;947.0 34.0 109748;1027.0 60.0 109749;19807.0 437.0 109667,109697.0 3447;109711.0 3447;109714.0 3447;109720.0 3447;109721.0 3447;109722.0 3447;109723.0 3447;109725.0 3447;109726.0 3447;109728.0 3447;109732.0 3447;109734.0 3447;109735.0 3447;109737.0 3447;109742.0 3447;109743.0 3447;109744.0 3447;109745.0 3447;109746.0 3447;109747.0 3447;109748.0 3447;109749.0 3447;109667.0 3447,109697 166;109711 135;109714 125;109720 169;109721 141;109722 152;109723 158;109725 140;109726 160;109728 166;109732 135;109734 143;109735 144;109737 157;109742 130;109743 155;109744 164;109745 177;109746 133;109747 151;109748 143;109749 154;109667 149
data,1241843400,1796480.0;65300.0;1799968.0;74418.0;1754004.0;64269.0;1.13742407182;1.00804557702,12071.0 256.0 109697;3435.0 154.0 109711;492.0 12.0 109714;5670.0 170.0 109720;16826.0 910.0 109721;5754.0 235.0 109722;4545.0 75.0 109723;3505.0 90.0 109725;3379.0 85.0 109726;3568.0 77.0 109728;6557.0 323.0 109732;3449.0 168.0 109734;2431.0 59.0 109735;2952.0 149.0 109737;5404.0 295.0 109742;3226.0 152.0 109743;1449.0 21.0 109744;1350.0 28.0 109745;1754.0 76.0 109746;1067.0 39.0 109747;974.0 34.0 109748;1085.0 65.0 109749;19845.0 437.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 845;109711 900;109714 881;109720 880;109721 872;109722 835;109723 927;109725 896;109726 869;109728 836;109732 896;109734 854;109735 835;109737 883;109742 892;109743 909;109744 819;109745 835;109746 873;109747 841;109748 844;109749 906;109667 872
data,1241844000,1797336.0;65337.0;1800884.0;74452.0;1754848.0;64297.0;1.13726248331;1.00790891913,12108.0 256.0 109697;3465.0 156.0 109711;515.0 13.0 109714;5700.0 170.0 109720;16841.0 912.0 109721;5771.0 235.0 109722;4575.0 75.0 109723;3556.0 91.0 109725;3412.0 85.0 109726;3598.0 77.0 109728;6608.0 328.0 109732;3485.0 169.0 109734;2462.0 60.0 109735;3039.0 153.0 109737;5555.0 309.0 109742;3255.0 152.0 109743;1481.0 21.0 109744;1376.0 29.0 109745;1784.0 76.0 109746;1100.0 39.0 109747;1003.0 34.0 109748;1138.0 66.0 109749;19877.0 438.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 874;109711 855;109714 874;109720 864;109721 833;109722 872;109723 844;109725 900;109726 831;109728 845;109732 830;109734 877;109735 887;109737 920;109742 922;109743 922;109744 851;109745 825;109746 868;109747 930;109748 824;109749 897;109667 855
data,1241844300,1798193.0;65363.0;1801773.0;74487.0;1755730.0;64325.0;1.13732538919;1.00792076052,12133.0 256.0 109697;3498.0 156.0 109711;540.0 13.0 109714;5728.0 171.0 109720;16870.0 912.0 109721;5803.0 235.0 109722;4601.0 76.0 109723;3579.0 92.0 109725;3441.0 87.0 109726;3621.0 77.0 109728;6655.0 332.0 109732;3509.0 169.0 109734;2488.0 61.0 109735;3089.0 153.0 109737;5784.0 325.0 109742;3284.0 154.0 109743;1502.0 21.0 109744;1408.0 29.0 109745;1811.0 77.0 109746;1133.0 41.0 109747;1035.0 35.0 109748;1182.0 68.0 109749;19899.0 439.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 879;109711 903;109714 848;109720 889;109721 875;109722 878;109723 854;109725 879;109726 812;109728 891;109732 871;109734 902;109735 802;109737 886;109742 924;109743 887;109744 844;109745 900;109746 818;109747 865;109748 821;109749 919;109667 853
data,1241844900,1799041.0;65392.0;1802649.0;74534.0;1756584.0;64355.0;1.13752171949;1.00792870247,12157.0 256.0 109697;3519.0 157.0 109711;558.0 13.0 109714;5748.0 172.0 109720;16896.0 915.0 109721;5823.0 236.0 109722;4626.0 77.0 109723;3600.0 94.0 109725;3469.0 87.0 109726;3652.0 79.0 109728;6690.0 335.0 109732;3538.0 169.0 109734;2528.0 61.0 109735;3146.0 159.0 109737;6020.0 339.0 109742;3313.0 156.0 109743;1529.0 21.0 109744;1436.0 31.0 109745;1842.0 81.0 109746;1162.0 42.0 109747;1061.0 35.0 109748;1228.0 72.0 109749;19928.0 439.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 864;109711 918;109714 833;109720 863;109721 860;109722 807;109723 858;109725 918;109726 828;109728 874;109732 821;109734 891;109735 881;109737 878;109742 878;109743 889;109744 892;109745 911;109746 913;109747 885;109748 863;109749 836;109667 839
data,1241845500,1799882.0;65419.0;1803530.0;74562.0;1757523.0;64386.0;1.13745522628;1.00793043849,12179.0 257.0 109697;3550.0 157.0 109711;584.0 15.0 109714;5785.0 172.0 109720;16922.0 915.0 109721;5851.0 236.0 109722;4654.0 77.0 109723;3628.0 94.0 109725;3497.0 87.0 109726;3679.0 79.0 109728;6758.0 338.0 109732;3567.0 170.0 109734;2559.0 62.0 109735;3204.0 161.0 109737;6210.0 348.0 109742;3341.0 157.0 109743;1552.0 22.0 109744;1464.0 31.0 109745;1870.0 81.0 109746;1182.0 42.0 109747;1084.0 39.0 109748;1281.0 74.0 109749;19949.0 440.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 864;109711 853;109714 896;109720 881;109721 879;109722 884;109723 843;109725 825;109726 854;109728 898;109732 869;109734 867;109735 832;109737 887;109742 881;109743 829;109744 867;109745 867;109746 901;109747 889;109748 823;109749 935;109667 876
data,1241846100,1800759.0;65443.0;1804335.0;74604.0;1758357.0;64427.0;1.1377250861;1.00821521874,12196.0 257.0 109697;3575.0 157.0 109711;612.0 15.0 109714;5812.0 173.0 109720;16949.0 917.0 109721;5871.0 237.0 109722;4680.0 77.0 109723;3643.0 95.0 109725;3516.0 88.0 109726;3706.0 80.0 109728;6854.0 347.0 109732;3590.0 171.0 109734;2587.0 63.0 109735;3261.0 163.0 109737;6372.0 360.0 109742;3370.0 158.0 109743;1573.0 23.0 109744;1493.0 32.0 109745;1895.0 83.0 109746;1215.0 43.0 109747;1099.0 40.0 109748;1320.0 76.0 109749;19966.0 441.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 837;109711 888;109714 895;109720 860;109721 941;109722 854;109723 852;109725 885;109726 841;109728 874;109732 932;109734 849;109735 862;109737 896;109742 838;109743 893;109744 889;109745 851;109746 835;109747 875;109748 855;109749 865;109667 833
data,1241846700,1801637.0;65473.0;1805204.0;74633.0;1759217.0;64456.0;1.13765259921;1.00820532961,12222.0 259.0 109697;3605.0 159.0 109711;647.0 15.0 109714;5831.0 173.0 109720;16985.0 919.0 109721;5894.0 238.0 109722;4708.0 78.0 109723;3673.0 96.0 109725;3538.0 88.0 109726;3739.0 80.0 109728;6940.0 349.0 109732;3612.0 171.0 109734;2607.0 63.0 109735;3300.0 164.0 109737;6589.0 373.0 109742;3389.0 159.0 109743;1604.0 23.0 109744;1510.0 32.0 109745;1923.0 84.0 109746;1233.0 43.0 109747;1130.0 42.0 109748;1357.0 76.0 109749;19988.0 441.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 905;109711 877;109714 852;109720 919;109721 874;109722 860;109723 897;109725 876;109726 909;109728 894;109732 864;109734 855;109735 862;109737 870;109742 861;109743 834;109744 873;109745 850;109746 832;109747 841;109748 858;109749 896;109667 841
data,1241847300,1802509.0;65509.0;1806114.0;74664.0;1760067.0;64482.0;1.13747684749;1.008058581,12246.0 259.0 109697;3624.0 161.0 109711;674.0 15.0 109714;5852.0 174.0 109720;17021.0 920.0 109721;5922.0 238.0 109722;4738.0 78.0 109723;3703.0 96.0 109725;3566.0 89.0 109726;3764.0 80.0 109728;7000.0 351.0 109732;3644.0 171.0 109734;2630.0 63.0 109735;3327.0 165.0 109737;6855.0 391.0 109742;3418.0 159.0 109743;1636.0 23.0 109744;1542.0 32.0 109745;1956.0 85.0 109746;1260.0 43.0 109747;1160.0 44.0 109748;1390.0 78.0 109749;20006.0 441.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 836;109711 845;109714 869;109720 835;109721 856;109722 853;109723 875;109725 826;109726 830;109728 910;109732 923;109734 842;109735 874;109737 901;109742 865;109743 912;109744 837;109745 876;109746 878;109747 881;109748 965;109749 878;109667 833
data,1241847900,1803390.0;65544.0;1807020.0;74704.0;1760968.0;64504.0;1.13746387461;1.00784071232,12270.0 259.0 109697;3663.0 163.0 109711;708.0 15.0 109714;5874.0 174.0 109720;17051.0 921.0 109721;5944.0 238.0 109722;4763.0 78.0 109723;3726.0 98.0 109725;3588.0 90.0 109726;3787.0 80.0 109728;7039.0 353.0 109732;3670.0 172.0 109734;2661.0 63.0 109735;3357.0 165.0 109737;7135.0 407.0 109742;3441.0 161.0 109743;1668.0 24.0 109744;1576.0 35.0 109745;1985.0 89.0 109746;1288.0 46.0 109747;1184.0 44.0 109748;1428.0 80.0 109749;20034.0 441.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 859;109711 858;109714 916;109720 835;109721 906;109722 836;109723 864;109725 844;109726 813;109728 886;109732 887;109734 860;109735 932;109737 847;109742 887;109743 856;109744 812;109745 856;109746 918;109747 894;109748 896;109749 875;109667 863
