
New Run at  01/22/2015 16:45:24
, Time, randomLearnAccesses; randomClicks; exp3LearnAccess; exp3Clicks; exp3CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241420700,190611.0;5832.0;190879.0;5979.0;1.02376634083,9071.0 102.0 109536;7275.0 282.0 109572;5930.0 248.0 109574;5634.0 227.0 109575;5302.0 206.0 109576;4930.0 185.0 109577;4762.0 92.0 109578;4532.0 139.0 109580;5934.0 202.0 109517;3890.0 166.0 109582;4093.0 130.0 109581;1824.0 82.0 109584;3109.0 114.0 109585;2944.0 47.0 109586;1041.0 13.0 109587;298.0 9.0 109588;319.0 3.0 109589;9027.0 279.0 109476;3169.0 70.0 109583;9108.0 314.0 109524,109536.0 13637;109476.0 13637;109574.0 13637;109575.0 13637;109576.0 13637;109580.0 13637;109578.0 13637;109581.0 13637;109517.0 13637;109582.0 13637;109583.0 13637;109584.0 13637;109585.0 13637;109586.0 13637;109587.0 13637;109588.0 13637;109589.0 13637;109577.0 13637;109524.0 13637;109572.0 13637,109536 677;109572 694;109574 725;109575 673;109576 728;109577 693;109578 711;109580 653;109517 661;109582 674;109581 702;109584 665;109585 698;109586 683;109587 639;109588 620;109589 686;109476 701;109583 665;109524 689
data,1241421300,191598.0;5853.0;191861.0;5999.0;1.02353949538,9112.0 102.0 109536;9074.0 280.0 109476;5983.0 249.0 109574;5691.0 229.0 109575;5348.0 206.0 109576;4987.0 186.0 109577;4813.0 93.0 109578;4577.0 140.0 109580;5981.0 202.0 109517;3937.0 167.0 109582;4145.0 131.0 109581;1874.0 84.0 109584;3149.0 115.0 109585;2988.0 50.0 109586;1096.0 13.0 109587;9160.0 317.0 109524;371.0 3.0 109589;7322.0 282.0 109572;3214.0 70.0 109583;352.0 11.0 109588,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 969;109476 1072;109574 1005;109575 1032;109576 982;109577 1005;109578 977;109580 1039;109517 1037;109582 989;109581 1042;109584 1049;109585 944;109586 964;109587 987;109524 979;109589 988;109572 977;109583 989;109588 974
data,1241422200,192610.0;5866.0;192856.0;6019.0;1.02477367637,9169.0 103.0 109536;9108.0 280.0 109476;6027.0 250.0 109574;5743.0 229.0 109575;5407.0 208.0 109576;5022.0 186.0 109577;4873.0 94.0 109578;4621.0 140.0 109580;6035.0 204.0 109517;3984.0 169.0 109582;4195.0 132.0 109581;1928.0 86.0 109584;3202.0 117.0 109585;3040.0 52.0 109586;1139.0 13.0 109587;9208.0 318.0 109524;436.0 4.0 109589;7366.0 282.0 109572;3262.0 71.0 109583;404.0 12.0 109588,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1018;109476 939;109574 980;109575 927;109576 1027;109577 944;109578 1060;109580 1010;109517 1037;109582 1000;109581 1033;109584 1005;109585 991;109586 976;109587 934;109524 1018;109589 1027;109572 1024;109583 992;109588 1058
data,1241422800,193603.0;5883.0;193814.0;6032.0;1.02421096832,9209.0 103.0 109536;7408.0 283.0 109572;6075.0 251.0 109574;5787.0 230.0 109575;5456.0 209.0 109576;5072.0 186.0 109577;4929.0 95.0 109578;4677.0 140.0 109580;6086.0 205.0 109517;4021.0 169.0 109582;3302.0 72.0 109583;1985.0 86.0 109584;3248.0 118.0 109585;3100.0 52.0 109586;1193.0 14.0 109587;9261.0 320.0 109524;483.0 5.0 109589;444.0 12.0 109588;9156.0 280.0 109476;4235.0 133.0 109581,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1005;109572 997;109574 1051;109575 1025;109576 935;109577 1036;109578 1021;109580 972;109517 1007;109582 990;109583 944;109584 1032;109585 1012;109586 1006;109587 996;109524 972;109589 982;109588 1034;109476 984;109581 999
data,1241423700,194595.0;5899.0;194789.0;6051.0;1.02474546699,9254.0 103.0 109536;7453.0 284.0 109572;6116.0 251.0 109574;5831.0 231.0 109575;5498.0 210.0 109576;5117.0 187.0 109577;4973.0 96.0 109578;4743.0 141.0 109580;6142.0 207.0 109517;4084.0 169.0 109582;3358.0 74.0 109583;2039.0 87.0 109584;3295.0 119.0 109585;3143.0 52.0 109586;1234.0 14.0 109587;484.0 13.0 109588;532.0 6.0 109589;9306.0 321.0 109524;9214.0 280.0 109476;4286.0 137.0 109581,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1004;109572 1026;109574 1018;109575 997;109576 967;109577 1034;109578 992;109580 979;109517 1029;109582 1026;109583 1008;109584 979;109585 1000;109586 965;109587 961;109588 1010;109589 964;109524 1028;109476 1007;109581 1006
data,1241424300,195559.0;5913.0;195769.0;6062.0;1.0240989914,9292.0 103.0 109536;7499.0 285.0 109572;6167.0 251.0 109574;5887.0 233.0 109575;5551.0 212.0 109576;5162.0 187.0 109577;5025.0 96.0 109578;4788.0 142.0 109580;4331.0 137.0 109581;4126.0 169.0 109582;3418.0 74.0 109583;2080.0 88.0 109584;3340.0 119.0 109585;3198.0 52.0 109586;1281.0 14.0 109587;540.0 16.0 109588;580.0 6.0 109589;9267.0 280.0 109476;9347.0 322.0 109524;6203.0 207.0 109517,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 977;109572 1023;109574 978;109575 983;109576 954;109577 1064;109578 933;109580 960;109581 997;109582 1036;109583 1015;109584 1010;109585 995;109586 1048;109587 978;109588 968;109589 1011;109476 975;109524 1021;109517 1074
data,1241425200,196581.0;5926.0;196823.0;6080.0;1.02472569202,9354.0 104.0 109536;9321.0 282.0 109476;6210.0 253.0 109574;5950.0 233.0 109575;5601.0 213.0 109576;5214.0 189.0 109577;6252.0 209.0 109517;4839.0 142.0 109580;4393.0 138.0 109581;4190.0 169.0 109582;3466.0 75.0 109583;2127.0 88.0 109584;3384.0 119.0 109585;3251.0 52.0 109586;1327.0 15.0 109587;598.0 17.0 109588;639.0 7.0 109589;9398.0 323.0 109524;5076.0 96.0 109578;7546.0 287.0 109572,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1010;109476 978;109574 1008;109575 1017;109576 1001;109577 970;109517 1001;109580 969;109581 985;109582 1033;109583 1008;109584 1076;109585 967;109586 1007;109587 977;109588 965;109589 1046;109524 997;109578 970;109572 1015
data,1241426100,197545.0;5939.0;197837.0;6089.0;1.02374353664,9398.0 104.0 109536;7600.0 287.0 109572;6263.0 253.0 109574;6002.0 233.0 109575;5649.0 214.0 109576;5278.0 190.0 109577;5140.0 97.0 109578;4893.0 142.0 109580;6294.0 210.0 109517;4245.0 169.0 109582;4437.0 138.0 109581;2166.0 89.0 109584;3433.0 119.0 109585;3292.0 52.0 109586;1380.0 15.0 109587;9456.0 323.0 109524;687.0 8.0 109589;9375.0 284.0 109476;3510.0 76.0 109583;652.0 17.0 109588,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1054;109572 1006;109574 964;109575 986;109576 1028;109577 1015;109578 1004;109580 1033;109517 982;109582 949;109581 991;109584 1005;109585 1006;109586 1073;109587 1003;109524 1001;109589 968;109476 1033;109583 959;109588 940
data,1241426700,198559.0;5956.0;198788.0;6107.0;1.02417139893,9449.0 106.0 109536;7649.0 290.0 109572;6310.0 256.0 109574;6048.0 234.0 109575;4490.0 138.0 109581;5320.0 190.0 109577;5182.0 98.0 109578;4951.0 142.0 109580;6347.0 211.0 109517;4300.0 171.0 109582;3560.0 77.0 109583;2215.0 89.0 109584;3475.0 119.0 109585;3347.0 53.0 109586;1413.0 15.0 109587;9512.0 324.0 109524;727.0 8.0 109589;5687.0 215.0 109576;708.0 17.0 109588;9411.0 285.0 109476,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1010;109572 967;109574 990;109575 963;109581 993;109577 1032;109578 976;109580 969;109517 997;109582 1033;109583 1012;109584 1032;109585 973;109586 1009;109587 1013;109524 1020;109589 1002;109576 982;109588 1015;109476 1012
data,1241427600,199561.0;5970.0;199784.0;6126.0;1.02498528059,9494.0 106.0 109536;9470.0 286.0 109476;6361.0 258.0 109574;6100.0 235.0 109575;5737.0 218.0 109576;5367.0 190.0 109577;5223.0 99.0 109578;5005.0 144.0 109580;6411.0 212.0 109517;4331.0 171.0 109582;4538.0 138.0 109581;2267.0 91.0 109584;3522.0 119.0 109585;3391.0 53.0 109586;1460.0 16.0 109587;9563.0 325.0 109524;776.0 10.0 109589;758.0 17.0 109588;3615.0 77.0 109583;7708.0 292.0 109572,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1022;109476 1003;109574 988;109575 1001;109576 993;109577 1019;109578 995;109580 1035;109517 1020;109582 973;109581 962;109584 995;109585 1007;109586 956;109587 983;109524 1009;109589 1020;109588 979;109583 1013;109572 1027
