
New Run at  02/05/2015 14:52:29
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio; extremeGreedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,1002.0;26.0;1021.0;33.0;987.0;30.0;1032.0;28.0;1.24561139155;1.17138180968;1.04561717352;1.29221665908,40.0 1.0 109473;77.0 3.0 109506;42.0 2.0 109508;30.0 0.0 109509;49.0 2.0 109510;76.0 3.0 109511;52.0 1.0 109512;46.0 0.0 109513;33.0 0.0 109514;56.0 2.0 109515;62.0 3.0 109484;60.0 2.0 109453;50.0 1.0 109492;40.0 3.0 109505;49.0 0.0 109494;53.0 2.0 109495;62.0 4.0 109498;54.0 1.0 109501;35.0 0.0 109502;55.0 3.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1010;109506 986;109508 1024;109509 960;109510 1058;109511 1019;109512 969;109513 1024;109514 1013;109515 976;109484 1006;109453 982;109492 1019;109505 949;109494 955;109495 1003;109498 1004;109501 984;109502 1002;109503 1057
data,1241162700,1955.0;47.0;2002.0;60.0;1980.0;68.0;2053.0;51.0;1.24662571471;1.42854072641;1.033308806;1.37472165695,85.0 2.0 109473;127.0 5.0 109506;99.0 6.0 109508;62.0 0.0 109509;117.0 5.0 109510;69.0 5.0 109505;107.0 3.0 109512;88.0 1.0 109513;63.0 0.0 109514;113.0 2.0 109515;137.0 6.0 109484;94.0 3.0 109453;17.0 0.0 109519;96.0 1.0 109492;73.0 1.0 109494;90.0 2.0 109495;139.0 4.0 109511;126.0 6.0 109498;103.0 2.0 109501;78.0 2.0 109502;119.0 4.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 15120;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 11554;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1017;109506 995;109508 1017;109509 1011;109510 982;109505 478;109512 1010;109513 968;109514 975;109515 1068;109484 1026;109453 952;109519 495;109492 983;109494 1060;109495 988;109511 983;109498 1012;109501 1003;109502 962;109503 1015
data,1241163600,2990.0;79.0;3004.0;86.0;2970.0;91.0;3025.0;82.0;1.0835341907;1.15965562801;1.02596505911;1.25366350665,146.0 5.0 109473;209.0 7.0 109506;203.0 10.0 109508;90.0 0.0 109509;198.0 8.0 109510;200.0 6.0 109511;149.0 4.0 109512;130.0 1.0 109513;84.0 0.0 109514;143.0 2.0 109515;194.0 9.0 109484;149.0 4.0 109453;42.0 0.0 109519;124.0 1.0 109492;116.0 4.0 109494;125.0 3.0 109495;200.0 7.0 109498;140.0 3.0 109501;116.0 2.0 109502;177.0 5.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1012;109506 1030;109508 1021;109509 933;109510 1020;109511 1022;109512 972;109513 1003;109514 1027;109515 972;109484 954;109453 1072;109519 995;109492 998;109494 1023;109495 964;109498 999;109501 1022;109502 975;109503 986
data,1241164800,3993.0;107.0;4062.0;122.0;3968.0;107.0;4015.0;115.0;1.1208188959;1.00630040323;1.06887722443;1.20706818969,226.0 9.0 109473;308.0 12.0 109506;327.0 15.0 109508;112.0 2.0 109509;273.0 10.0 109510;261.0 7.0 109511;185.0 4.0 109512;157.0 2.0 109513;127.0 4.0 109514;170.0 2.0 109515;271.0 11.0 109484;207.0 6.0 109453;65.0 0.0 109519;150.0 1.0 109492;178.0 6.0 109494;163.0 5.0 109495;253.0 8.0 109498;189.0 3.0 109501;151.0 3.0 109502;220.0 7.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 998;109506 1013;109508 1011;109509 1017;109510 1005;109511 1031;109512 990;109513 1050;109514 968;109515 1023;109484 1018;109453 953;109519 996;109492 974;109494 980;109495 938;109498 1030;109501 1006;109502 1018;109503 981
data,1241165700,4988.0;130.0;5067.0;145.0;4928.0;119.0;5006.0;145.0;1.09799456513;0.92652972028;1.11137404346;1.19499488807,333.0 13.0 109473;388.0 13.0 109506;465.0 21.0 109508;148.0 3.0 109509;339.0 12.0 109510;303.0 7.0 109511;221.0 6.0 109512;175.0 2.0 109513;181.0 5.0 109514;192.0 2.0 109515;337.0 12.0 109484;248.0 6.0 109453;83.0 0.0 109519;167.0 1.0 109492;232.0 9.0 109494;205.0 5.0 109495;298.0 8.0 109498;220.0 3.0 109501;194.0 4.0 109502;269.0 8.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1013;109506 1022;109508 1062;109509 991;109510 1046;109511 991;109512 991;109513 969;109514 976;109515 965;109484 1036;109453 1007;109519 975;109492 937;109494 981;109495 984;109498 1021;109501 1054;109502 979;109503 1000
data,1241166900,5985.0;151.0;6077.0;182.0;5995.0;142.0;5989.0;181.0;1.18705094772;0.938828714878;1.19787491195;1.19077395333,436.0 13.0 109473;459.0 15.0 109506;596.0 24.0 109508;173.0 3.0 109509;421.0 18.0 109510;340.0 9.0 109511;269.0 7.0 109512;198.0 3.0 109513;228.0 8.0 109514;216.0 2.0 109515;395.0 16.0 109484;281.0 7.0 109453;96.0 0.0 109519;186.0 1.0 109492;317.0 13.0 109494;254.0 7.0 109495;321.0 10.0 109498;262.0 4.0 109501;237.0 7.0 109502;323.0 10.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1069;109506 979;109508 971;109509 1037;109510 1013;109511 1017;109512 983;109513 977;109514 982;109515 953;109484 980;109453 958;109519 1012;109492 979;109494 1059;109495 963;109498 982;109501 1095;109502 977;109503 1014
data,1241167800,7013.0;175.0;7041.0;206.0;6930.0;164.0;6959.0;210.0;1.1724617039;0.948366934653;1.20931168271;1.25826322714,503.0 14.0 109473;527.0 15.0 109506;701.0 26.0 109508;193.0 3.0 109509;515.0 20.0 109510;381.0 10.0 109511;306.0 8.0 109512;222.0 4.0 109513;267.0 8.0 109514;239.0 3.0 109515;498.0 22.0 109484;309.0 7.0 109453;109.0 0.0 109519;200.0 1.0 109492;379.0 13.0 109494;287.0 8.0 109495;348.0 10.0 109498;284.0 4.0 109501;304.0 10.0 109502;400.0 15.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 982;109508 976;109509 1019;109510 1053;109511 1108;109512 970;109513 994;109514 1038;109515 983;109484 980;109453 957;109519 997;109492 1005;109494 974;109495 1008;109498 975;109501 1020;109502 945;109503 1012
data,1241169000,7941.0;191.0;8063.0;226.0;7964.0;198.0;8011.0;244.0;1.16534256084;1.03365537589;1.26632424918;1.30703492002,551.0 14.0 109473;571.0 15.0 109506;793.0 27.0 109508;218.0 3.0 109509;613.0 23.0 109510;439.0 12.0 109511;359.0 11.0 109512;259.0 5.0 109513;314.0 10.0 109514;263.0 3.0 109515;605.0 24.0 109484;347.0 8.0 109453;121.0 0.0 109519;215.0 1.0 109492;453.0 15.0 109494;324.0 8.0 109495;384.0 10.0 109498;304.0 4.0 109501;376.0 11.0 109502;485.0 17.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 994;109506 979;109508 987;109509 1014;109510 1003;109511 1009;109512 1052;109513 1015;109514 1023;109515 1028;109484 985;109453 953;109519 930;109492 1015;109494 971;109495 988;109498 1011;109501 985;109502 1050;109503 1008
data,1241169900,8973.0;222.0;9059.0;251.0;8977.0;222.0;8987.0;270.0;1.11989719049;0.999554416843;1.21432158764;1.29043563572,578.0 14.0 109473;608.0 15.0 109506;873.0 28.0 109508;242.0 4.0 109509;724.0 27.0 109510;500.0 14.0 109511;430.0 12.0 109512;284.0 5.0 109513;357.0 11.0 109514;284.0 3.0 109515;715.0 26.0 109484;379.0 9.0 109453;136.0 0.0 109519;234.0 1.0 109492;511.0 16.0 109494;359.0 10.0 109495;412.0 10.0 109498;318.0 4.0 109501;468.0 17.0 109502;578.0 20.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 955;109506 981;109508 1031;109509 966;109510 1001;109511 971;109512 976;109513 992;109514 963;109515 989;109484 1014;109453 1008;109519 1032;109492 962;109494 1067;109495 998;109498 1001;109501 1045;109502 1011;109503 1037
data,1241171100,9999.0;252.0;10093.0;287.0;9980.0;247.0;9979.0;289.0;1.12828197761;0.982024763813;1.14912387442;1.28134010324,605.0 15.0 109473;638.0 15.0 109506;975.0 37.0 109508;254.0 4.0 109509;855.0 32.0 109510;549.0 14.0 109511;507.0 14.0 109512;300.0 6.0 109513;403.0 12.0 109514;299.0 3.0 109515;815.0 28.0 109484;401.0 9.0 109453;155.0 1.0 109519;250.0 1.0 109492;563.0 17.0 109494;391.0 10.0 109495;446.0 12.0 109498;333.0 4.0 109501;620.0 25.0 109502;665.0 23.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 954;109506 987;109508 1019;109509 995;109510 1028;109511 1011;109512 992;109513 998;109514 958;109515 953;109484 1027;109453 1008;109519 977;109492 1029;109494 1032;109495 960;109498 1030;109501 1011;109502 1051;109503 980
