data,1241298600,324957.0;12208.0;326308.0;14764.0;303067.0;11246.0;327373.0;15954.0;1.2043637942;0.987735823642;1.29720348139;0.992574767161,3905.0 62.0 109536;5271.0 236.0 109476;1278.0 50.0 109541;9861.0 372.0 109542;8863.0 350.0 109544;3799.0 85.0 109545;73.0 3.0 109561;9426.0 372.0 109547;1593.0 47.0 109518;2954.0 121.0 109551;1972.0 58.0 109553;2401.0 86.0 109554;2257.0 76.0 109555;10757.0 435.0 109524;1706.0 60.0 109557;882.0 33.0 109558;448.0 8.0 109559;450.0 10.0 109560;3563.0 149.0 109556;63.0 3.0 109562;59.0 3.0 109563,109536.0 8493;109476.0 8493;109541.0 8493;109542.0 8493;109544.0 8493;109545.0 8493;109547.0 8493;109518.0 8493;109551.0 8493;109553.0 8493;109554.0 8493;109555.0 8493;109524.0 8493;109557.0 8493;109558.0 8493;109559.0 8493;109560.0 8493;109561.0 8493;109562.0 8493;109563.0 8493;109556.0 8493,109536 417;109476 432;109541 406;109542 382;109544 385;109545 427;109561 452;109547 403;109518 398;109551 425;109553 397;109554 431;109555 388;109524 363;109557 428;109558 364;109559 384;109560 385;109556 391;109562 397;109563 438
data,1241298900,325525.0;12226.0;326870.0;14777.0;303600.0;11263.0;327929.0;15976.0;1.20368033795;0.987761905663;1.29714397661;0.992882955036,3927.0 62.0 109536;5298.0 237.0 109476;1308.0 51.0 109541;9883.0 372.0 109542;8899.0 354.0 109544;3818.0 85.0 109545;99.0 3.0 109561;9446.0 372.0 109547;1620.0 48.0 109518;2988.0 121.0 109551;2005.0 59.0 109553;2429.0 87.0 109554;2288.0 76.0 109555;10779.0 437.0 109524;1738.0 60.0 109557;911.0 35.0 109558;474.0 8.0 109559;476.0 10.0 109560;3584.0 149.0 109556;91.0 3.0 109562;82.0 3.0 109563,109536.0 11507;109476.0 11507;109541.0 11507;109542.0 11507;109544.0 11507;109545.0 11507;109547.0 11507;109518.0 11507;109551.0 11507;109553.0 11507;109554.0 11507;109555.0 11507;109524.0 11507;109557.0 11507;109558.0 11507;109559.0 11507;109560.0 11507;109561.0 11507;109562.0 11507;109563.0 11507;109556.0 11507,109536 537;109476 560;109541 561;109542 563;109544 564;109545 545;109561 557;109547 521;109518 531;109551 529;109553 578;109554 564;109555 549;109524 538;109557 553;109558 517;109559 541;109560 575;109556 556;109562 534;109563 534
data,1241299200,326505.0;12246.0;327828.0;14814.0;304525.0;11302.0;328872.0;16007.0;1.20481919311;0.989527646067;1.29771291474;0.994814607073,3963.0 62.0 109536;5349.0 239.0 109476;1368.0 54.0 109541;9954.0 376.0 109542;8985.0 357.0 109544;3847.0 85.0 109545;9485.0 373.0 109547;1656.0 49.0 109518;3026.0 124.0 109551;2038.0 59.0 109553;2475.0 89.0 109554;2321.0 77.0 109555;3632.0 152.0 109556;1769.0 60.0 109557;979.0 37.0 109558;507.0 8.0 109559;518.0 14.0 109560;130.0 4.0 109561;138.0 6.0 109562;116.0 3.0 109563;10845.0 441.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 953;109476 966;109541 915;109542 1009;109544 923;109545 945;109547 951;109518 916;109551 927;109553 936;109554 936;109555 927;109556 1020;109557 935;109558 1029;109559 942;109560 965;109561 974;109562 944;109563 934;109524 953
data,1241299800,327482.0;12267.0;328787.0;14844.0;305487.0;11339.0;329836.0;16058.0;1.20527285886;0.990902879633;1.29969804994;0.996142432108,3992.0 63.0 109536;5408.0 243.0 109476;1421.0 55.0 109541;9995.0 376.0 109542;9073.0 361.0 109544;3871.0 85.0 109545;166.0 6.0 109561;9520.0 373.0 109547;1714.0 54.0 109518;3070.0 125.0 109551;2061.0 59.0 109553;2510.0 89.0 109554;2356.0 78.0 109555;3683.0 153.0 109556;1811.0 62.0 109557;1041.0 38.0 109558;529.0 8.0 109559;594.0 17.0 109560;10912.0 442.0 109524;196.0 8.0 109562;137.0 4.0 109563,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 912;109476 1011;109541 928;109542 935;109544 953;109545 1006;109561 998;109547 964;109518 948;109551 953;109553 859;109554 940;109555 971;109556 999;109557 939;109558 975;109559 923;109560 987;109524 928;109562 914;109563 957
data,1241300100,328398.0;12299.0;329737.0;14872.0;306491.0;11370.0;330746.0;16099.0;1.20429365009;0.990543244798;1.29967570835;0.996395199831,4018.0 63.0 109536;5490.0 245.0 109476;1465.0 56.0 109541;10041.0 379.0 109542;9180.0 368.0 109544;3894.0 85.0 109545;9549.0 374.0 109547;1784.0 55.0 109518;3114.0 126.0 109551;2080.0 60.0 109553;2551.0 89.0 109554;2390.0 79.0 109555;3718.0 153.0 109556;1846.0 62.0 109557;1103.0 41.0 109558;546.0 8.0 109559;659.0 20.0 109560;205.0 6.0 109561;246.0 9.0 109562;175.0 6.0 109563;10956.0 443.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 1002;109476 945;109541 966;109542 936;109544 977;109545 893;109547 910;109518 971;109551 965;109553 948;109554 908;109555 1010;109556 970;109557 919;109558 969;109559 959;109560 939;109561 927;109562 961;109563 960;109524 965
data,1241300700,329368.0;12332.0;330706.0;14915.0;307442.0;11395.0;331683.0;16132.0;1.20456175439;0.989917540053;1.29901117468;0.996608759015,4038.0 64.0 109536;5584.0 252.0 109476;1507.0 58.0 109541;10106.0 381.0 109542;9316.0 375.0 109544;3911.0 85.0 109545;9572.0 375.0 109547;1844.0 55.0 109518;3161.0 127.0 109551;2100.0 60.0 109553;2570.0 89.0 109554;2418.0 79.0 109555;3757.0 156.0 109556;1866.0 62.0 109557;1146.0 42.0 109558;566.0 8.0 109559;787.0 29.0 109560;222.0 6.0 109561;282.0 9.0 109562;221.0 9.0 109563;11005.0 449.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 938;109476 986;109541 956;109542 981;109544 967;109545 985;109547 937;109518 961;109551 992;109553 974;109554 913;109555 930;109556 983;109557 924;109558 910;109559 975;109560 950;109561 921;109562 971;109563 906;109524 940
data,1241301000,330358.0;12368.0;331621.0;14944.0;308405.0;11427.0;332655.0;16171.0;1.20367762053;0.989683132739;1.29845879751;0.996961497392,4055.0 64.0 109536;5665.0 254.0 109476;1570.0 63.0 109541;10158.0 383.0 109542;9417.0 375.0 109544;3933.0 85.0 109545;9613.0 380.0 109547;1875.0 56.0 109518;3195.0 129.0 109551;2121.0 60.0 109553;2586.0 89.0 109554;2440.0 79.0 109555;3803.0 159.0 109556;1888.0 63.0 109557;1178.0 42.0 109558;578.0 8.0 109559;909.0 32.0 109560;236.0 6.0 109561;313.0 10.0 109562;263.0 9.0 109563;11098.0 453.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 978;109476 911;109541 948;109542 970;109544 930;109545 1009;109547 972;109518 921;109551 924;109553 955;109554 933;109555 949;109556 930;109557 1005;109558 936;109559 982;109560 956;109561 943;109562 965;109563 924;109524 959
data,1241301300,331282.0;12396.0;332540.0;14975.0;309330.0;11464.0;333627.0;16212.0;1.20348092303;0.990445099745;1.29864867464;0.997780596821,4066.0 64.0 109536;5737.0 255.0 109476;1631.0 65.0 109541;10216.0 387.0 109542;9501.0 377.0 109544;3952.0 86.0 109545;9673.0 380.0 109547;1895.0 56.0 109518;3229.0 130.0 109551;2139.0 61.0 109553;2599.0 89.0 109554;2457.0 79.0 109555;3889.0 163.0 109556;1913.0 65.0 109557;1226.0 47.0 109558;257.0 7.0 109561;1007.0 36.0 109560;11179.0 454.0 109524;358.0 11.0 109562;295.0 10.0 109563;594.0 8.0 109559,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 949;109476 973;109541 944;109542 961;109544 931;109545 981;109547 972;109518 913;109551 919;109553 944;109554 911;109555 1001;109556 949;109557 964;109558 956;109561 970;109560 922;109524 972;109562 961;109563 925;109559 982
data,1241301900,332227.0;12431.0;333477.0;15012.0;310293.0;11484.0;334549.0;16245.0;1.20309944917;0.989122460259;1.29774342648;0.998498421392,4081.0 64.0 109536;5798.0 256.0 109476;1699.0 69.0 109541;10280.0 388.0 109542;9564.0 379.0 109544;3967.0 88.0 109545;9721.0 384.0 109547;1920.0 57.0 109518;3275.0 132.0 109551;2152.0 61.0 109553;2615.0 90.0 109554;2479.0 80.0 109555;11257.0 458.0 109524;1965.0 68.0 109557;1308.0 51.0 109558;609.0 8.0 109559;1107.0 38.0 109560;275.0 7.0 109561;379.0 11.0 109562;318.0 10.0 109563;3981.0 168.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 915;109476 973;109541 998;109542 947;109544 916;109545 982;109547 922;109518 992;109551 952;109553 941;109554 926;109555 948;109524 933;109557 946;109558 963;109559 943;109560 942;109561 950;109562 1025;109563 910;109556 976
data,1241302200,333190.0;12458.0;334423.0;15044.0;311185.0;11509.0;335527.0;16282.0;1.20312518573;0.989150938577;1.29784822828;0.99938098331,4098.0 64.0 109536;5852.0 260.0 109476;1778.0 71.0 109541;10328.0 388.0 109542;9623.0 379.0 109544;3991.0 88.0 109545;9784.0 387.0 109547;1959.0 58.0 109518;3320.0 134.0 109551;2164.0 62.0 109553;2638.0 91.0 109554;2498.0 81.0 109555;4081.0 172.0 109556;2007.0 69.0 109557;1391.0 54.0 109558;623.0 8.0 109559;1187.0 39.0 109560;286.0 8.0 109561;394.0 11.0 109562;348.0 10.0 109563;11346.0 465.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 975;109476 940;109541 975;109542 944;109544 915;109545 911;109547 978;109518 944;109551 997;109553 869;109554 954;109555 1017;109556 991;109557 942;109558 966;109559 946;109560 945;109561 920;109562 916;109563 1015;109524 940
data,1241302500,334164.0;12496.0;335387.0;15076.0;312135.0;11537.0;336506.0;16314.0;1.20206664996;0.988414408618;1.2964515464;0.999401573666,4119.0 64.0 109536;5921.0 262.0 109476;1862.0 75.0 109541;10360.0 390.0 109542;9674.0 379.0 109544;4007.0 88.0 109545;9860.0 387.0 109547;1978.0 59.0 109518;3380.0 138.0 109551;2178.0 62.0 109553;2656.0 92.0 109554;2513.0 81.0 109555;11455.0 469.0 109524;2042.0 69.0 109557;1474.0 55.0 109558;641.0 10.0 109559;1260.0 45.0 109560;304.0 8.0 109561;420.0 11.0 109562;367.0 10.0 109563;4189.0 177.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 980;109476 969;109541 962;109542 911;109544 966;109545 935;109547 979;109518 936;109551 977;109553 946;109554 914;109555 943;109524 968;109557 972;109558 957;109559 939;109560 959;109561 929;109562 1006;109563 911;109556 941
