data,1241584500,1079214.0;39759.0;1084763.0;49547.0;1016696.0;38112.0;1088434.0;53487.0;1.23980852444;1.01751950432;1.33388459813;1.07018641405,7172.0 227.0 109601;5353.0 76.0 109613;7428.0 402.0 109616;4029.0 156.0 109624;4595.0 208.0 109625;2751.0 58.0 109627;2760.0 74.0 109628;3651.0 143.0 109629;6790.0 360.0 109631;8427.0 439.0 109632;1532.0 24.0 109633;1508.0 30.0 109634;10208.0 590.0 109635;1024.0 33.0 109636;1172.0 27.0 109637;13807.0 847.0 109638;4839.0 278.0 109641;585.0 16.0 109644;4840.0 259.0 109646;85.0 3.0 109647;1495.0 59.0 109650;717.0 32.0 109652;182.0 1.0 109653,109601.0 11277;109613.0 11277;109616.0 11277;109624.0 11277;109625.0 11277;109627.0 11277;109628.0 11277;109629.0 11277;109631.0 11277;109632.0 11277;109633.0 11277;109634.0 11277;109635.0 11277;109636.0 11277;109637.0 11277;109638.0 11277;109641.0 11277;109644.0 11277;109646.0 11277;109647.0 11277;109650.0 11277;109652.0 11277;109653.0 11277,109601 485;109613 477;109616 488;109624 518;109625 482;109627 466;109628 520;109629 512;109631 474;109632 530;109633 476;109634 484;109635 495;109636 503;109637 512;109638 497;109641 457;109644 491;109646 498;109647 481;109650 483;109652 462;109653 486
data,1241584800,1079643.0;39774.0;1085156.0;49559.0;1017039.0;38126.0;1088809.0;53503.0;1.23968476061;1.01757057604;1.33385105354;1.07025071625,7190.0 228.0 109601;5369.0 76.0 109613;7447.0 402.0 109616;4042.0 156.0 109624;4611.0 208.0 109625;2771.0 59.0 109627;2776.0 74.0 109628;3661.0 143.0 109629;6804.0 360.0 109631;8440.0 440.0 109632;1559.0 24.0 109633;1528.0 31.0 109634;10228.0 592.0 109635;1038.0 33.0 109636;1194.0 27.0 109637;13815.0 847.0 109638;4859.0 279.0 109641;600.0 16.0 109644;4865.0 259.0 109646;99.0 4.0 109647;1518.0 63.0 109650;731.0 32.0 109652;198.0 1.0 109653,109601.0 8723;109613.0 8723;109616.0 8723;109624.0 8723;109625.0 8723;109627.0 8723;109628.0 8723;109629.0 8723;109631.0 8723;109632.0 8723;109633.0 8723;109634.0 8723;109635.0 8723;109636.0 8723;109637.0 8723;109638.0 8723;109641.0 8723;109644.0 8723;109646.0 8723;109647.0 8723;109650.0 8723;109652.0 8723;109653.0 8723,109601 380;109613 394;109616 389;109624 359;109625 382;109627 386;109628 381;109629 372;109631 374;109632 382;109633 398;109634 370;109635 362;109636 353;109637 380;109638 390;109641 393;109644 362;109646 394;109647 371;109650 363;109652 390;109653 398
data,1241585100,1080512.0;39799.0;1085990.0;49580.0;1017904.0;38154.0;1089686.0;53549.0;1.23947602492;1.01763184457;1.33415850232;1.07071801595,7222.0 229.0 109601;5391.0 76.0 109613;7475.0 402.0 109616;4065.0 156.0 109624;4650.0 208.0 109625;2813.0 59.0 109627;2821.0 77.0 109628;3689.0 143.0 109629;6844.0 362.0 109631;8488.0 441.0 109632;1584.0 25.0 109633;1563.0 31.0 109634;10271.0 592.0 109635;1068.0 34.0 109636;1214.0 27.0 109637;13861.0 851.0 109638;4901.0 280.0 109641;634.0 16.0 109644;4891.0 260.0 109646;133.0 5.0 109647;1607.0 67.0 109650;763.0 32.0 109652;229.0 2.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 867;109613 881;109616 859;109624 887;109625 856;109627 859;109628 857;109629 940;109631 885;109632 880;109633 876;109634 848;109635 902;109636 884;109637 817;109638 851;109641 865;109644 867;109646 822;109647 918;109650 873;109652 855;109653 851
data,1241585700,1081345.0;39830.0;1086866.0;49611.0;1018814.0;38171.0;1090619.0;53583.0;1.23924149807;1.01716780026;1.33385289542;1.07095150025,7246.0 229.0 109601;5422.0 76.0 109613;7509.0 404.0 109616;4085.0 156.0 109624;4681.0 209.0 109625;2853.0 61.0 109627;2868.0 77.0 109628;3730.0 146.0 109629;6898.0 365.0 109631;8521.0 442.0 109632;1613.0 25.0 109633;1592.0 32.0 109634;10321.0 595.0 109635;1098.0 34.0 109636;1253.0 30.0 109637;13919.0 857.0 109638;4929.0 280.0 109641;655.0 16.0 109644;4918.0 260.0 109646;176.0 6.0 109647;1692.0 68.0 109650;809.0 35.0 109652;265.0 3.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 828;109613 876;109616 845;109624 874;109625 881;109627 881;109628 906;109629 858;109631 927;109632 867;109633 845;109634 878;109635 887;109636 900;109637 914;109638 853;109641 855;109644 865;109646 833;109647 810;109650 887;109652 837;109653 893
data,1241586000,1082231.0;39860.0;1087750.0;49636.0;1019697.0;38201.0;1091566.0;53619.0;1.23894024203;1.01715295636;1.33367922403;1.07117317804,7275.0 229.0 109601;5444.0 76.0 109613;7543.0 404.0 109616;4113.0 158.0 109624;4700.0 209.0 109625;2885.0 61.0 109627;2908.0 77.0 109628;3779.0 147.0 109629;6950.0 366.0 109631;8568.0 444.0 109632;1653.0 25.0 109633;1615.0 32.0 109634;10379.0 600.0 109635;1125.0 34.0 109636;1282.0 30.0 109637;14025.0 861.0 109638;4966.0 281.0 109641;680.0 18.0 109644;4938.0 260.0 109646;199.0 7.0 109647;1759.0 72.0 109650;849.0 36.0 109652;302.0 4.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 891;109613 887;109616 861;109624 880;109625 833;109627 887;109628 849;109629 873;109631 952;109632 830;109633 916;109634 871;109635 857;109636 829;109637 896;109638 885;109641 818;109644 849;109646 833;109647 871;109650 867;109652 901;109653 864
data,1241586600,1083138.0;39893.0;1088623.0;49663.0;1020541.0;38241.0;1092419.0;53658.0;1.23863269761;1.01738628557;1.33362071176;1.07109051309,7289.0 229.0 109601;5460.0 77.0 109613;7578.0 405.0 109616;4143.0 160.0 109624;4730.0 210.0 109625;2925.0 62.0 109627;2940.0 77.0 109628;3819.0 149.0 109629;6991.0 367.0 109631;8599.0 444.0 109632;1670.0 25.0 109633;1642.0 32.0 109634;10468.0 603.0 109635;1142.0 36.0 109636;1308.0 31.0 109637;14130.0 866.0 109638;5006.0 282.0 109641;727.0 20.0 109644;4952.0 260.0 109646;234.0 8.0 109647;1828.0 72.0 109650;891.0 38.0 109652;338.0 5.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 858;109613 852;109616 830;109624 799;109625 889;109627 913;109628 891;109629 896;109631 855;109632 860;109633 828;109634 850;109635 908;109636 909;109637 850;109638 866;109641 899;109644 891;109646 909;109647 919;109650 881;109652 852;109653 795
data,1241587200,1084016.0;39925.0;1089447.0;49686.0;1021394.0;38276.0;1093278.0;53693.0;1.23827953472;1.01747561856;1.33345335609;1.0707818508,7312.0 230.0 109601;5481.0 77.0 109613;7605.0 405.0 109616;4177.0 160.0 109624;4754.0 210.0 109625;2954.0 62.0 109627;2959.0 77.0 109628;3864.0 151.0 109629;7016.0 368.0 109631;8636.0 445.0 109632;1682.0 25.0 109633;1652.0 32.0 109634;10552.0 609.0 109635;1169.0 37.0 109636;1356.0 31.0 109637;14236.0 870.0 109638;5034.0 283.0 109641;759.0 20.0 109644;4975.0 260.0 109646;265.0 8.0 109647;1905.0 77.0 109650;933.0 38.0 109652;358.0 6.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 877;109613 922;109616 855;109624 908;109625 894;109627 892;109628 885;109629 872;109631 859;109632 886;109633 854;109634 888;109635 809;109636 854;109637 848;109638 825;109641 848;109644 863;109646 915;109647 829;109650 859;109652 869;109653 889
data,1241587500,1084870.0;39945.0;1090302.0;49724.0;1022256.0;38303.0;1094134.0;53733.0;1.23860983271;1.01762647327;1.33378506168;1.07118224461,7336.0 231.0 109601;5502.0 77.0 109613;7622.0 405.0 109616;4205.0 161.0 109624;4766.0 211.0 109625;2974.0 62.0 109627;2981.0 77.0 109628;3913.0 152.0 109629;7059.0 370.0 109631;8673.0 447.0 109632;1696.0 25.0 109633;1672.0 33.0 109634;10663.0 614.0 109635;1190.0 38.0 109636;1376.0 31.0 109637;14375.0 877.0 109638;5057.0 285.0 109641;799.0 23.0 109644;4991.0 263.0 109646;298.0 9.0 109647;1990.0 82.0 109650;964.0 39.0 109652;387.0 7.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 857;109613 850;109616 894;109624 844;109625 901;109627 860;109628 823;109629 860;109631 856;109632 892;109633 925;109634 917;109635 893;109636 828;109637 884;109638 872;109641 895;109644 887;109646 819;109647 870;109650 885;109652 829;109653 859
data,1241588100,1085775.0;39962.0;1091183.0;49749.0;1023156.0;38323.0;1094976.0;53771.0;1.23873778918;1.01767771878;1.33424669383;1.07186002557,7356.0 231.0 109601;5511.0 77.0 109613;7639.0 405.0 109616;4237.0 162.0 109624;4784.0 211.0 109625;3001.0 62.0 109627;2989.0 77.0 109628;3944.0 152.0 109629;7132.0 375.0 109631;8704.0 448.0 109632;1707.0 25.0 109633;1688.0 33.0 109634;10765.0 617.0 109635;1219.0 39.0 109636;1388.0 31.0 109637;14515.0 883.0 109638;5077.0 286.0 109641;869.0 27.0 109644;5020.0 263.0 109646;325.0 9.0 109647;2074.0 84.0 109650;997.0 39.0 109652;429.0 8.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 881;109613 860;109616 922;109624 864;109625 884;109627 874;109628 864;109629 838;109631 842;109632 867;109633 883;109634 877;109635 902;109636 892;109637 812;109638 861;109641 841;109644 910;109646 866;109647 843;109650 857;109652 872;109653 888
data,1241588700,1086641.0;39994.0;1092055.0;49782.0;1024077.0;38347.0;1095837.0;53815.0;1.23856577173;1.01739600094;1.33428508001;1.07200170623,7378.0 231.0 109601;5526.0 77.0 109613;7650.0 405.0 109616;4282.0 168.0 109624;4800.0 211.0 109625;3018.0 62.0 109627;3003.0 77.0 109628;3968.0 152.0 109629;7206.0 379.0 109631;8721.0 448.0 109632;1723.0 25.0 109633;1704.0 33.0 109634;10873.0 620.0 109635;1248.0 40.0 109636;1416.0 33.0 109637;14649.0 890.0 109638;5112.0 288.0 109641;931.0 28.0 109644;5038.0 263.0 109646;345.0 10.0 109647;2164.0 87.0 109650;1015.0 40.0 109652;472.0 10.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 848;109613 928;109616 841;109624 881;109625 879;109627 871;109628 887;109629 892;109631 861;109632 817;109633 857;109634 842;109635 913;109636 871;109637 869;109638 844;109641 868;109644 906;109646 877;109647 880;109650 885;109652 854;109653 829
data,1241589300,1087497.0;40014.0;1092970.0;49815.0;1024982.0;38369.0;1096700.0;53848.0;1.2387052917;1.01737331344;1.33443625852;1.0722153187,7388.0 231.0 109601;5538.0 77.0 109613;7667.0 406.0 109616;4369.0 174.0 109624;4818.0 211.0 109625;3031.0 62.0 109627;3020.0 78.0 109628;3998.0 153.0 109629;7294.0 383.0 109631;8747.0 449.0 109632;1734.0 25.0 109633;1711.0 33.0 109634;10986.0 626.0 109635;1284.0 40.0 109636;1439.0 34.0 109637;14797.0 895.0 109638;5147.0 288.0 109641;983.0 29.0 109644;5058.0 264.0 109646;378.0 11.0 109647;2237.0 90.0 109650;1032.0 41.0 109652;501.0 10.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 929;109613 851;109616 882;109624 878;109625 863;109627 865;109628 891;109629 889;109631 863;109632 814;109633 851;109634 852;109635 901;109636 861;109637 824;109638 906;109641 917;109644 857;109646 889;109647 848;109650 893;109652 804;109653 872
