data,1241736600,1515321.0;55936.0;1522962.0;71426.0;1420885.0;53445.0;1529327.0;78244.0;1.27051704993;1.01896997483;1.38600221305;1.08343053461,1716.0 61.0 109696;1322.0 28.0 109697;1891.0 71.0 109698;3184.0 178.0 109699;1871.0 89.0 109700;685.0 16.0 109701;476.0 7.0 109702;543.0 26.0 109703;3430.0 202.0 109704;571.0 24.0 109705;108.0 0.0 109706;33637.0 1626.0 109635;1523.0 59.0 109651;5765.0 68.0 109660;6155.0 165.0 109667;2793.0 120.0 109673;86.0 4.0 109675;4381.0 130.0 109683;5553.0 280.0 109689;2962.0 135.0 109690;20711.0 1679.0 109692;1778.0 52.0 109693,109696.0 1157;109697.0 1157;109698.0 1157;109699.0 1157;109700.0 1157;109701.0 1157;109702.0 1157;109703.0 1157;109704.0 1157;109705.0 1157;109706.0 1157;109635.0 1157;109651.0 1157;109660.0 1157;109667.0 1157;109673.0 1157;109675.0 1157;109683.0 1157;109689.0 1157;109690.0 1157;109692.0 1157;109693.0 1157,109696 51;109697 52;109698 57;109699 56;109700 50;109701 51;109702 62;109703 45;109704 65;109705 64;109706 48;109635 47;109651 51;109660 48;109667 46;109673 52;109675 52;109683 40;109689 51;109690 67;109692 43;109693 59
data,1241736900,1516157.0;55969.0;1523881.0;71464.0;1421726.0;53465.0;1530175.0;78279.0;1.27037779677;1.0187093527;1.38580075868;1.08367009713,1763.0 62.0 109696;1352.0 28.0 109697;1937.0 73.0 109698;3227.0 180.0 109699;1906.0 90.0 109700;718.0 17.0 109701;507.0 7.0 109702;594.0 29.0 109703;3487.0 206.0 109704;620.0 25.0 109705;151.0 1.0 109706;33667.0 1627.0 109635;1578.0 61.0 109651;5792.0 68.0 109660;6190.0 167.0 109667;2831.0 120.0 109673;147.0 9.0 109675;4412.0 131.0 109683;5602.0 283.0 109689;3013.0 139.0 109690;20753.0 1683.0 109692;1813.0 52.0 109693,109696.0 18843;109697.0 18843;109698.0 18843;109699.0 18843;109700.0 18843;109701.0 18843;109702.0 18843;109703.0 18843;109704.0 18843;109705.0 18843;109706.0 18843;109635.0 18843;109651.0 18843;109660.0 18843;109667.0 18843;109673.0 18843;109675.0 18843;109683.0 18843;109689.0 18843;109690.0 18843;109692.0 18843;109693.0 18843,109696 880;109697 836;109698 875;109699 925;109700 834;109701 861;109702 844;109703 841;109704 870;109705 881;109706 893;109635 854;109651 868;109660 816;109667 841;109673 872;109675 797;109683 836;109689 831;109690 865;109692 867;109693 856
data,1241737200,1517040.0;56000.0;1524791.0;71499.0;1422571.0;53492.0;1531098.0;78312.0;1.27027763805;1.01864742076;1.38558869517;1.08391768623,1790.0 62.0 109696;1387.0 28.0 109697;1973.0 73.0 109698;3258.0 181.0 109699;1927.0 90.0 109700;770.0 21.0 109701;534.0 8.0 109702;694.0 41.0 109703;3548.0 210.0 109704;644.0 25.0 109705;173.0 1.0 109706;33695.0 1629.0 109635;1633.0 64.0 109651;5821.0 69.0 109660;6227.0 167.0 109667;2858.0 120.0 109673;213.0 10.0 109675;4448.0 131.0 109683;5645.0 283.0 109689;3088.0 144.0 109690;20808.0 1684.0 109692;1836.0 52.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 968;109697 910;109698 932;109699 879;109700 891;109701 932;109702 878;109703 967;109704 920;109705 883;109706 914;109635 936;109651 929;109660 881;109667 862;109673 911;109675 937;109683 925;109689 921;109690 870;109692 875;109693 879
data,1241737500,1517928.0;56030.0;1525672.0;71528.0;1423484.0;53529.0;1532047.0;78355.0;1.2701220499;1.01874875225;1.3855594855;1.08412255131,1816.0 63.0 109696;1411.0 28.0 109697;2006.0 75.0 109698;3294.0 181.0 109699;1953.0 90.0 109700;816.0 21.0 109701;550.0 8.0 109702;855.0 49.0 109703;3618.0 213.0 109704;661.0 25.0 109705;203.0 4.0 109706;33734.0 1630.0 109635;1681.0 66.0 109651;5841.0 69.0 109660;6250.0 167.0 109667;2884.0 121.0 109673;253.0 10.0 109675;4474.0 132.0 109683;5672.0 283.0 109689;3178.0 150.0 109690;20845.0 1684.0 109692;1856.0 53.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 903;109697 909;109698 951;109699 899;109700 867;109701 917;109702 880;109703 903;109704 962;109705 944;109706 883;109635 859;109651 873;109660 937;109667 930;109673 863;109675 920;109683 937;109689 899;109690 903;109692 936;109693 925
data,1241737800,1518841.0;56060.0;1526595.0;71565.0;1424385.0;53572.0;1532964.0;78385.0;1.27009456812;1.01898944927;1.38535228479;1.0844373318,1848.0 65.0 109696;1428.0 29.0 109697;2050.0 77.0 109698;3318.0 181.0 109699;1967.0 90.0 109700;846.0 22.0 109701;573.0 9.0 109702;1004.0 55.0 109703;3704.0 217.0 109704;678.0 25.0 109705;271.0 7.0 109706;33770.0 1634.0 109635;1735.0 69.0 109651;5864.0 69.0 109660;6267.0 167.0 109667;2903.0 123.0 109673;299.0 11.0 109675;4498.0 132.0 109683;5698.0 283.0 109689;3280.0 152.0 109690;20883.0 1687.0 109692;1890.0 55.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 932;109697 887;109698 921;109699 903;109700 831;109701 928;109702 939;109703 900;109704 932;109705 917;109706 934;109635 942;109651 880;109660 856;109667 904;109673 877;109675 914;109683 930;109689 923;109690 932;109692 922;109693 896
data,1241738100,1519706.0;56094.0;1527432.0;71611.0;1425317.0;53607.0;1533865.0;78422.0;1.27016757391;1.0189507808;1.38514087122;1.08453372901,1883.0 67.0 109696;1437.0 29.0 109697;2082.0 77.0 109698;3343.0 184.0 109699;1982.0 90.0 109700;878.0 23.0 109701;592.0 10.0 109702;1163.0 69.0 109703;3765.0 219.0 109704;691.0 26.0 109705;308.0 7.0 109706;33821.0 1635.0 109635;1770.0 72.0 109651;5882.0 69.0 109660;6283.0 168.0 109667;2929.0 124.0 109673;328.0 12.0 109675;4516.0 133.0 109683;5712.0 283.0 109689;3399.0 160.0 109690;20935.0 1692.0 109692;1912.0 56.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 918;109697 940;109698 902;109699 939;109700 911;109701 948;109702 913;109703 833;109704 957;109705 898;109706 916;109635 943;109651 838;109660 925;109667 919;109673 922;109675 919;109683 882;109689 901;109690 917;109692 900;109693 859
data,1241738400,1520609.0;56124.0;1528345.0;71657.0;1426197.0;53644.0;1534800.0;78456.0;1.27029960236;1.01908539116;1.38497939556;1.08490533096,1912.0 68.0 109696;1457.0 29.0 109697;2100.0 77.0 109698;3373.0 184.0 109699;1991.0 90.0 109700;905.0 23.0 109701;618.0 12.0 109702;1392.0 92.0 109703;3847.0 223.0 109704;707.0 26.0 109705;345.0 10.0 109706;33870.0 1638.0 109635;1810.0 73.0 109651;5900.0 70.0 109660;6295.0 168.0 109667;2944.0 125.0 109673;361.0 13.0 109675;4534.0 133.0 109683;5739.0 284.0 109689;3482.0 160.0 109690;21002.0 1696.0 109692;1940.0 57.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 897;109697 919;109698 927;109699 884;109700 888;109701 929;109702 976;109703 861;109704 891;109705 907;109706 910;109635 898;109651 883;109660 932;109667 875;109673 905;109675 903;109683 889;109689 923;109690 955;109692 915;109693 933
data,1241738700,1521516.0;56150.0;1529235.0;71696.0;1427114.0;53676.0;1535709.0;78501.0;1.27042040434;1.0191737766;1.38513793254;1.08505756275,1935.0 69.0 109696;1469.0 29.0 109697;2118.0 77.0 109698;3394.0 184.0 109699;2000.0 90.0 109700;919.0 23.0 109701;647.0 12.0 109702;1719.0 116.0 109703;3912.0 225.0 109704;718.0 26.0 109705;377.0 10.0 109706;33906.0 1639.0 109635;1849.0 73.0 109651;5918.0 70.0 109660;6310.0 168.0 109667;2966.0 126.0 109673;382.0 13.0 109675;4550.0 134.0 109683;5756.0 285.0 109689;3549.0 163.0 109690;21060.0 1700.0 109692;1960.0 58.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 912;109697 923;109698 1008;109699 872;109700 907;109701 863;109702 904;109703 906;109704 963;109705 892;109706 926;109635 921;109651 910;109660 880;109667 844;109673 926;109675 909;109683 909;109689 906;109690 945;109692 899;109693 875
data,1241739000,1522405.0;56175.0;1530179.0;71742.0;1428051.0;53708.0;1536560.0;78545.0;1.27062782835;1.01925390286;1.385339257;1.08513330302,1964.0 70.0 109696;1481.0 29.0 109697;2136.0 79.0 109698;3413.0 184.0 109699;2005.0 90.0 109700;932.0 24.0 109701;665.0 12.0 109702;2133.0 141.0 109703;3955.0 225.0 109704;734.0 26.0 109705;402.0 11.0 109706;33948.0 1640.0 109635;1869.0 73.0 109651;5932.0 70.0 109660;6329.0 170.0 109667;3001.0 129.0 109673;405.0 14.0 109675;4575.0 136.0 109683;5772.0 285.0 109689;3606.0 167.0 109690;21119.0 1702.0 109692;1982.0 59.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 908;109697 948;109698 909;109699 925;109700 870;109701 922;109702 907;109703 923;109704 905;109705 892;109706 953;109635 925;109651 932;109660 938;109667 882;109673 963;109675 851;109683 883;109689 849;109690 898;109692 900;109693 917
data,1241739300,1523308.0;56214.0;1531089.0;71798.0;1428963.0;53749.0;1537476.0;78581.0;1.27073544485;1.01927797145;1.38500850279;1.08535217849,2008.0 74.0 109696;1488.0 29.0 109697;2152.0 79.0 109698;3434.0 186.0 109699;2017.0 93.0 109700;946.0 26.0 109701;676.0 12.0 109702;2539.0 167.0 109703;3972.0 226.0 109704;745.0 26.0 109705;420.0 14.0 109706;33987.0 1642.0 109635;1894.0 75.0 109651;5942.0 70.0 109660;6347.0 171.0 109667;3027.0 129.0 109673;427.0 15.0 109675;4592.0 136.0 109683;5784.0 285.0 109689;3702.0 174.0 109690;21171.0 1704.0 109692;1998.0 59.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 871;109697 955;109698 868;109699 901;109700 947;109701 876;109702 909;109703 961;109704 910;109705 956;109706 938;109635 930;109651 921;109660 848;109667 873;109673 900;109675 916;109683 889;109689 923;109690 952;109692 905;109693 851
data,1241739600,1524256.0;56241.0;1532013.0;71832.0;1429849.0;53774.0;1538364.0;78624.0;1.27075078638;1.01926484635;1.38516307464;1.08560798621,2045.0 75.0 109696;1500.0 29.0 109697;2169.0 79.0 109698;3449.0 186.0 109699;2029.0 93.0 109700;984.0 30.0 109701;699.0 14.0 109702;2919.0 184.0 109703;4000.0 228.0 109704;753.0 26.0 109705;456.0 15.0 109706;34028.0 1643.0 109635;1912.0 75.0 109651;5958.0 70.0 109660;6370.0 171.0 109667;3043.0 129.0 109673;446.0 16.0 109675;4612.0 136.0 109683;5794.0 285.0 109689;3793.0 177.0 109690;21214.0 1705.0 109692;2019.0 60.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 919;109697 934;109698 912;109699 887;109700 931;109701 925;109702 884;109703 852;109704 930;109705 928;109706 911;109635 882;109651 965;109660 887;109667 933;109673 894;109675 888;109683 918;109689 939;109690 894;109692 866;109693 921
