data,1241866500,1823097.0;65476.0;1833478.0;83755.0;1713955.0;63452.0;1829228.0;88950.0;1.27192843413;1.03079792736;1.35395973222;1.07166935324,4145.0 119.0 109728;8283.0 176.0 109697;12804.0 270.0 109667;2656.0 95.0 109734;2360.0 51.0 109735;10081.0 482.0 109711;4839.0 236.0 109746;5330.0 206.0 109742;6136.0 300.0 109743;2247.0 65.0 109745;904.0 14.0 109714;1379.0 35.0 109747;4064.0 166.0 109748;4875.0 226.0 109749;5073.0 138.0 109720;17555.0 879.0 109721;4429.0 134.0 109722;3090.0 46.0 109723;2673.0 54.0 109726,109728.0 4623;109697.0 4623;109667.0 4623;109734.0 4623;109735.0 4623;109711.0 4623;109714.0 4623;109742.0 4623;109743.0 4623;109745.0 4623;109746.0 4623;109747.0 4623;109748.0 4623;109749.0 4623;109720.0 4623;109721.0 4623;109722.0 4623;109723.0 4623;109726.0 4623,109728 267;109697 252;109667 242;109734 231;109735 240;109711 215;109746 264;109742 252;109743 220;109745 223;109714 254;109747 231;109748 239;109749 282;109720 236;109721 255;109722 255;109723 247;109726 218
data,1241867100,1823903.0;65497.0;1834301.0;83775.0;1714786.0;63477.0;1830084.0;88975.0;1.27181564529;1.03082939329;1.35387105093;1.07164285495,4189.0 119.0 109728;8318.0 176.0 109697;12864.0 271.0 109667;2716.0 99.0 109734;2408.0 52.0 109735;937.0 15.0 109714;5373.0 206.0 109742;10118.0 483.0 109711;3135.0 48.0 109723;2290.0 65.0 109745;4881.0 238.0 109746;1437.0 38.0 109747;4106.0 167.0 109748;4909.0 227.0 109749;5106.0 138.0 109720;17598.0 879.0 109721;4462.0 134.0 109722;6185.0 303.0 109743;2714.0 54.0 109726,109728.0 15377;109697.0 15377;109667.0 15377;109734.0 15377;109735.0 15377;109711.0 15377;109714.0 15377;109742.0 15377;109743.0 15377;109745.0 15377;109746.0 15377;109747.0 15377;109748.0 15377;109749.0 15377;109720.0 15377;109721.0 15377;109722.0 15377;109723.0 15377;109726.0 15377,109728 782;109697 812;109667 756;109734 802;109735 829;109714 786;109742 832;109711 775;109723 810;109745 816;109746 890;109747 844;109748 847;109749 790;109720 788;109721 831;109722 787;109743 800;109726 800
data,1241867700,1825003.0;65522.0;1835328.0;83805.0;1715849.0;63516.0;1831174.0;89025.0;1.27184057916;1.03105186322;1.3541251563;1.07158433106,4232.0 121.0 109728;8362.0 177.0 109697;12909.0 271.0 109667;2795.0 101.0 109734;2450.0 52.0 109735;10188.0 486.0 109711;4956.0 242.0 109746;5444.0 210.0 109742;6239.0 303.0 109743;2322.0 65.0 109745;989.0 17.0 109714;1524.0 39.0 109747;4150.0 168.0 109748;4956.0 230.0 109749;5146.0 139.0 109720;17661.0 881.0 109721;4486.0 135.0 109722;3215.0 49.0 109723;2749.0 56.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1048;109697 1001;109667 1052;109734 1075;109735 1038;109711 1069;109746 1065;109742 1067;109743 1066;109745 1034;109714 1023;109747 1113;109748 1090;109749 1001;109720 1129;109721 1041;109722 994;109723 1041;109726 1053
data,1241868300,1826038.0;65544.0;1836403.0;83836.0;1716916.0;63538.0;1832241.0;89086.0;1.27186033851;1.03100640101;1.35457710653;1.07149525443,4273.0 122.0 109728;8403.0 179.0 109697;12944.0 271.0 109667;6285.0 304.0 109743;2871.0 103.0 109734;2481.0 53.0 109735;5064.0 248.0 109746;5509.0 212.0 109742;10250.0 487.0 109711;2358.0 65.0 109745;1043.0 19.0 109714;1575.0 39.0 109747;4225.0 172.0 109748;5066.0 236.0 109749;5190.0 140.0 109720;17716.0 882.0 109721;4528.0 136.0 109722;3274.0 49.0 109723;2793.0 56.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1007;109697 1060;109667 1029;109743 1102;109734 1042;109735 1033;109746 1036;109742 1037;109711 1064;109745 1036;109714 1102;109747 1053;109748 1067;109749 1071;109720 1044;109721 1076;109722 1026;109723 1064;109726 1051
data,1241869200,1827071.0;65581.0;1837465.0;83873.0;1717912.0;63567.0;1833279.0;89123.0;1.27168776117;1.03088018532;1.35437404696;1.07130666302,4319.0 123.0 109728;8441.0 180.0 109697;12969.0 271.0 109667;2968.0 107.0 109734;2509.0 53.0 109735;1111.0 20.0 109714;6330.0 306.0 109743;5616.0 218.0 109742;10302.0 488.0 109711;2391.0 66.0 109745;5174.0 253.0 109746;1622.0 40.0 109747;4312.0 177.0 109748;5157.0 239.0 109749;5219.0 141.0 109720;17761.0 884.0 109721;4565.0 136.0 109722;3301.0 50.0 109723;2843.0 58.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1080;109697 1016;109667 1041;109734 1104;109735 1052;109714 1078;109743 1012;109742 1100;109711 1024;109745 1060;109746 988;109747 1097;109748 1038;109749 1036;109720 1027;109721 1058;109722 1096;109723 1034;109726 1059
data,1241869800,1828151.0;65614.0;1838539.0;83916.0;1718987.0;63598.0;1834336.0;89173.0;1.27170821741;1.0308284973;1.35447202069;1.07121170401,4351.0 124.0 109728;8475.0 181.0 109697;13009.0 274.0 109667;3039.0 107.0 109734;2557.0 56.0 109735;10342.0 488.0 109711;5352.0 266.0 109746;5747.0 225.0 109742;6377.0 308.0 109743;2415.0 66.0 109745;1146.0 20.0 109714;1652.0 40.0 109747;4394.0 178.0 109748;5231.0 242.0 109749;5273.0 143.0 109720;17815.0 887.0 109721;4603.0 139.0 109722;3334.0 51.0 109723;2872.0 58.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1007;109697 1006;109667 1065;109734 1139;109735 1059;109711 1091;109746 1061;109742 1029;109743 1040;109745 1045;109714 1063;109747 1096;109748 1057;109749 1038;109720 1026;109721 1028;109722 1093;109723 987;109726 1070
data,1241870400,1829198.0;65652.0;1839589.0;83953.0;1719960.0;63623.0;1835388.0;89212.0;1.27153457257;1.03064370156;1.3542790021;1.07091147068,4379.0 124.0 109728;8504.0 181.0 109697;13035.0 274.0 109667;3100.0 108.0 109734;2596.0 58.0 109735;10374.0 490.0 109711;5564.0 278.0 109746;5911.0 233.0 109742;6423.0 311.0 109743;2435.0 66.0 109745;1171.0 20.0 109714;1679.0 40.0 109747;4442.0 178.0 109748;5321.0 245.0 109749;5312.0 145.0 109720;17872.0 889.0 109721;4650.0 141.0 109722;3358.0 51.0 109723;2908.0 58.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1040;109697 985;109667 1000;109734 1030;109735 1068;109711 1016;109746 1024;109742 1013;109743 1086;109745 1062;109714 1066;109747 1108;109748 1052;109749 1099;109720 1075;109721 1033;109722 1087;109723 1115;109726 1041
data,1241871000,1830270.0;65683.0;1840657.0;83986.0;1721037.0;63653.0;1836437.0;89272.0;1.27144099887;1.03060169066;1.35456986946;1.07090191963,4398.0 125.0 109728;8539.0 183.0 109697;13064.0 274.0 109667;3130.0 108.0 109734;2629.0 58.0 109735;1190.0 20.0 109714;6120.0 241.0 109742;6473.0 314.0 109743;3384.0 51.0 109723;2456.0 67.0 109745;5822.0 287.0 109746;1702.0 40.0 109747;4473.0 180.0 109748;5401.0 248.0 109749;5348.0 145.0 109720;17930.0 890.0 109721;4705.0 142.0 109722;10406.0 492.0 109711;2932.0 58.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1016;109697 1064;109667 1043;109734 1111;109735 1029;109714 1042;109742 1079;109743 1070;109723 1096;109745 1062;109746 1002;109747 1079;109748 1049;109749 1042;109720 1084;109721 1004;109722 1084;109711 1007;109726 1037
data,1241871300,1831375.0;65721.0;1841713.0;84009.0;1722080.0;63688.0;1837516.0;89324.0;1.27109198392;1.03056978743;1.35459713251;1.0706116036,4430.0 127.0 109728;8571.0 183.0 109697;13087.0 274.0 109667;6583.0 318.0 109743;3156.0 108.0 109734;2678.0 61.0 109735;1211.0 20.0 109714;6266.0 243.0 109742;10448.0 493.0 109711;2480.0 67.0 109745;6023.0 291.0 109746;1727.0 40.0 109747;4535.0 182.0 109748;5506.0 251.0 109749;5382.0 146.0 109720;17977.0 890.0 109721;4749.0 142.0 109722;3403.0 51.0 109723;2946.0 59.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1077;109697 1025;109667 1043;109743 1078;109734 1044;109735 1027;109714 1015;109742 1037;109711 1036;109745 1054;109746 1052;109747 1072;109748 1079;109749 1076;109720 1065;109721 1064;109722 1006;109723 1073;109726 1077
data,1241871900,1832416.0;65761.0;1842794.0;84063.0;1723163.0;63731.0;1838514.0;89390.0;1.27111183339;1.03057603393;1.35480771936;1.0703705317,4465.0 128.0 109728;8598.0 185.0 109697;13108.0 274.0 109667;3176.0 108.0 109734;2717.0 61.0 109735;10486.0 495.0 109711;1225.0 20.0 109714;6452.0 258.0 109742;6683.0 323.0 109743;2494.0 68.0 109745;6301.0 306.0 109746;1749.0 41.0 109747;4610.0 188.0 109748;5582.0 253.0 109749;5405.0 146.0 109720;18004.0 890.0 109721;4789.0 145.0 109722;3422.0 52.0 109723;2973.0 59.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1047;109697 1052;109667 1002;109734 1056;109735 1069;109711 1089;109714 1003;109742 1060;109743 1074;109745 1042;109746 1111;109747 1031;109748 998;109749 1065;109720 1043;109721 1052;109722 1050;109723 1075;109726 1081
data,1241872500,1833503.0;65796.0;1843833.0;84116.0;1724206.0;63763.0;1839589.0;89456.0;1.27127399087;1.03053257188;1.35509831069;1.07034857827,4489.0 128.0 109728;8627.0 186.0 109697;13122.0 274.0 109667;6828.0 333.0 109743;3203.0 110.0 109734;2745.0 61.0 109735;6474.0 313.0 109746;6686.0 271.0 109742;10524.0 497.0 109711;2507.0 68.0 109745;1244.0 20.0 109714;1761.0 42.0 109747;4723.0 196.0 109748;5657.0 261.0 109749;5421.0 146.0 109720;18028.0 891.0 109721;4816.0 145.0 109722;3440.0 52.0 109723;2983.0 59.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1058;109697 1004;109667 1029;109743 1055;109734 1114;109735 1047;109746 1051;109742 1072;109711 1052;109745 1109;109714 1103;109747 1031;109748 1075;109749 1032;109720 1035;109721 1021;109722 1026;109723 1054;109726 1032
