data,1241954400,1996219.0;70951.0;2006378.0;90222.0;1880844.0;68804.0;2001992.0;95713.0;1.26517137417;1.02922558876;1.34511140537;1.07583351272,2434.0 42.0 109760;4252.0 148.0 109761;7036.0 304.0 109762;2962.0 84.0 109763;1620.0 31.0 109764;4845.0 180.0 109766;4048.0 166.0 109767;12718.0 276.0 109697;2719.0 97.0 109769;5098.0 205.0 109740;3717.0 103.0 109741;6922.0 97.0 109723;7973.0 224.0 109745;1806.0 50.0 109731;10928.0 514.0 109684;6450.0 241.0 109686;3019.0 91.0 109752;7928.0 296.0 109755;3041.0 64.0 109756;5606.0 183.0 109758,109760.0 8579;109697.0 8579;109762.0 8579;109731.0 8579;109764.0 8579;109766.0 8579;109767.0 8579;109769.0 8579;109761.0 8579;109740.0 8579;109741.0 8579;109745.0 8579;109763.0 8579;109684.0 8579;109755.0 8579;109686.0 8579;109752.0 8579;109723.0 8579;109756.0 8579;109758.0 8579,109760 414;109761 414;109762 422;109763 457;109764 439;109766 441;109767 450;109697 421;109769 447;109740 424;109741 452;109723 378;109745 416;109731 421;109684 444;109686 446;109752 433;109755 410;109756 395;109758 455
data,1241955000,1996779.0;70965.0;2006963.0;90232.0;1881375.0;68817.0;2002596.0;95727.0;1.26504801974;1.02921512738;1.34501428794;1.07582704836,2465.0 42.0 109760;4281.0 148.0 109761;7070.0 304.0 109762;1841.0 50.0 109731;1644.0 32.0 109764;4871.0 180.0 109766;4075.0 166.0 109767;12735.0 276.0 109697;2749.0 98.0 109769;5130.0 207.0 109740;3754.0 104.0 109741;6955.0 97.0 109723;8009.0 224.0 109745;2988.0 84.0 109763;10957.0 516.0 109684;6472.0 242.0 109686;3054.0 91.0 109752;7955.0 296.0 109755;3065.0 65.0 109756;5637.0 184.0 109758,109760.0 11421;109697.0 11421;109762.0 11421;109731.0 11421;109764.0 11421;109766.0 11421;109767.0 11421;109769.0 11421;109761.0 11421;109740.0 11421;109741.0 11421;109745.0 11421;109763.0 11421;109684.0 11421;109755.0 11421;109686.0 11421;109752.0 11421;109723.0 11421;109756.0 11421;109758.0 11421,109760 541;109761 551;109762 582;109731 571;109764 540;109766 560;109767 594;109697 566;109769 547;109740 558;109741 588;109723 577;109745 602;109763 587;109684 569;109686 540;109752 590;109755 628;109756 550;109758 580
data,1241955600,1997821.0;70995.0;2007936.0;90257.0;1882366.0;68842.0;2003533.0;95753.0;1.26491061843;1.02914891255;1.34488360682;1.07581372952,2500.0 42.0 109760;12775.0 277.0 109697;7112.0 306.0 109762;1892.0 51.0 109731;1688.0 32.0 109764;4915.0 181.0 109766;4342.0 151.0 109761;2786.0 98.0 109769;4136.0 168.0 109767;5224.0 211.0 109740;3826.0 109.0 109741;8057.0 225.0 109745;3022.0 85.0 109763;11011.0 516.0 109684;7989.0 297.0 109755;6529.0 243.0 109686;3092.0 91.0 109752;7002.0 98.0 109723;3110.0 66.0 109756;5672.0 184.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1065;109697 975;109762 981;109731 1008;109764 1037;109766 1051;109761 1027;109769 967;109767 961;109740 1011;109741 1056;109745 1010;109763 968;109684 984;109755 937;109686 971;109752 1025;109723 1001;109756 1038;109758 927
data,1241956500,1998886.0;71021.0;2008934.0;90281.0;1883383.0;68879.0;2004518.0;95789.0;1.26482935119;1.02931767535;1.34495242463;1.07590619482,2528.0 42.0 109760;12809.0 277.0 109697;7167.0 307.0 109762;3070.0 86.0 109763;1727.0 32.0 109764;4954.0 183.0 109766;4192.0 170.0 109767;2857.0 101.0 109769;4387.0 151.0 109761;5310.0 212.0 109740;3907.0 110.0 109741;7048.0 98.0 109723;8096.0 225.0 109745;1930.0 52.0 109731;11069.0 520.0 109684;6596.0 246.0 109686;3120.0 91.0 109752;8032.0 298.0 109755;3152.0 68.0 109756;5727.0 186.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1012;109697 1016;109762 981;109763 991;109764 982;109766 1016;109767 1016;109769 993;109761 957;109740 1043;109741 980;109723 1023;109745 1009;109731 973;109684 1028;109686 999;109752 991;109755 985;109756 966;109758 1039
data,1241957100,1999925.0;71046.0;2009904.0;90310.0;1884348.0;68906.0;2005501.0;95818.0;1.26483712861;1.02936644368;1.34492571251;1.0760013494,2553.0 42.0 109760;4437.0 153.0 109761;7222.0 311.0 109762;1972.0 53.0 109731;1748.0 32.0 109764;5016.0 188.0 109766;4236.0 171.0 109767;12840.0 278.0 109697;2907.0 102.0 109769;5376.0 212.0 109740;3986.0 111.0 109741;7086.0 98.0 109723;8117.0 225.0 109745;3125.0 88.0 109763;11169.0 527.0 109684;6656.0 248.0 109686;3153.0 91.0 109752;8071.0 298.0 109755;3212.0 69.0 109756;5766.0 187.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1026;109761 1066;109762 1032;109731 970;109764 948;109766 1027;109767 943;109697 1013;109769 1036;109740 989;109741 990;109723 1006;109745 993;109763 979;109684 1014;109686 973;109752 1053;109755 983;109756 965;109758 994
data,1241957700,2000875.0;71078.0;2010884.0;90337.0;1885373.0;68940.0;2006465.0;95855.0;1.26462977924;1.0293397745;1.34483171331;1.07583765297,2578.0 42.0 109760;4476.0 153.0 109761;7333.0 318.0 109762;8102.0 299.0 109755;1775.0 33.0 109764;2009.0 53.0 109731;5088.0 189.0 109766;12865.0 278.0 109697;2975.0 104.0 109769;4290.0 171.0 109767;5421.0 212.0 109740;4031.0 111.0 109741;8142.0 225.0 109745;3171.0 90.0 109763;11274.0 531.0 109684;6738.0 254.0 109686;3177.0 93.0 109752;7109.0 98.0 109723;3257.0 69.0 109756;5817.0 188.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 996;109761 955;109762 1026;109755 964;109764 969;109731 1035;109766 1010;109697 979;109769 991;109767 1033;109740 1011;109741 946;109745 965;109763 1004;109684 1048;109686 1025;109752 988;109723 1027;109756 997;109758 1031
data,1241958300,2001858.0;71117.0;2011931.0;90369.0;1886440.0;68977.0;2007388.0;95891.0;1.26434685924;1.0292506384;1.34464104507;1.07581447145,2598.0 42.0 109760;12896.0 279.0 109697;7498.0 324.0 109762;3220.0 90.0 109763;1792.0 33.0 109764;5145.0 190.0 109766;4318.0 171.0 109767;3035.0 105.0 109769;4533.0 156.0 109761;5484.0 216.0 109740;4077.0 111.0 109741;8167.0 227.0 109745;2040.0 54.0 109731;11398.0 533.0 109684;8123.0 299.0 109755;6854.0 260.0 109686;3220.0 97.0 109752;7131.0 99.0 109723;3287.0 69.0 109756;5859.0 188.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 1055;109762 1001;109763 1028;109764 938;109766 995;109767 1015;109769 1057;109761 992;109740 975;109741 997;109745 1034;109731 1027;109684 1006;109755 923;109686 974;109752 982;109723 998;109756 997;109758 1008
data,1241958900,2002840.0;71143.0;2012919.0;90406.0;1887480.0;69026.0;2008368.0;95929.0;1.26440160002;1.02954285793;1.34468545043;1.07591544365,2618.0 43.0 109760;4579.0 159.0 109761;7645.0 333.0 109762;8152.0 300.0 109755;1809.0 34.0 109764;5214.0 193.0 109766;12946.0 281.0 109697;3069.0 105.0 109769;3250.0 90.0 109763;4336.0 171.0 109767;5576.0 221.0 109740;4100.0 112.0 109741;8195.0 228.0 109745;2065.0 55.0 109731;11513.0 537.0 109684;6985.0 263.0 109686;3260.0 97.0 109752;7153.0 99.0 109723;3306.0 70.0 109756;5892.0 189.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 990;109761 1007;109762 1030;109755 980;109764 1022;109766 1004;109697 1045;109769 998;109763 1028;109767 999;109740 987;109741 1043;109745 930;109731 952;109684 1008;109686 1020;109752 942;109723 995;109756 980;109758 1040
data,1241959500,2003853.0;71178.0;2013950.0;90440.0;1888498.0;69059.0;2009352.0;95964.0;1.26424704671;1.02949403449;1.3445358821;1.07585224808,2627.0 43.0 109760;12969.0 281.0 109697;7830.0 337.0 109762;3272.0 90.0 109763;1829.0 34.0 109764;5286.0 195.0 109766;4362.0 173.0 109767;3092.0 105.0 109769;4654.0 162.0 109761;5678.0 228.0 109740;4127.0 112.0 109741;7174.0 100.0 109723;8233.0 230.0 109745;2086.0 57.0 109731;11625.0 541.0 109684;7088.0 266.0 109686;3314.0 98.0 109752;8197.0 303.0 109755;3330.0 70.0 109756;5921.0 189.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 981;109762 972;109763 999;109764 1015;109766 961;109767 933;109769 1065;109761 1018;109740 1000;109741 982;109723 1022;109745 1011;109731 957;109684 1082;109686 1005;109752 994;109755 984;109756 967;109758 1054
data,1241959800,2004871.0;71203.0;2014956.0;90485.0;1889464.0;69086.0;2010365.0;96014.0;1.26444273491;1.02953133233;1.34476931283;1.07586861398,2643.0 43.0 109760;12990.0 281.0 109697;8005.0 349.0 109762;8240.0 306.0 109755;1852.0 35.0 109764;5370.0 202.0 109766;4384.0 173.0 109767;3121.0 105.0 109769;3289.0 90.0 109763;5808.0 232.0 109740;4153.0 113.0 109741;8265.0 232.0 109745;2124.0 58.0 109731;11699.0 543.0 109684;7187.0 271.0 109686;3343.0 98.0 109752;4730.0 166.0 109761;7195.0 101.0 109723;3356.0 71.0 109756;5946.0 190.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1035;109697 1011;109762 985;109755 1013;109764 940;109766 1000;109767 993;109769 1029;109763 984;109740 1034;109741 984;109745 1001;109731 965;109684 950;109686 1028;109752 968;109761 1025;109723 1003;109756 1017;109758 1035
data,1241960400,2005876.0;71228.0;2015935.0;90523.0;1890453.0;69116.0;2011347.0;96048.0;1.26454924166;1.02959409608;1.34479057306;1.07586374115,2652.0 44.0 109760;4797.0 168.0 109761;8212.0 357.0 109762;2164.0 59.0 109731;1869.0 36.0 109764;5507.0 212.0 109766;4403.0 173.0 109767;13006.0 281.0 109697;3136.0 105.0 109769;5897.0 237.0 109740;4168.0 113.0 109741;8299.0 232.0 109745;3302.0 90.0 109763;11767.0 546.0 109684;8307.0 309.0 109755;7269.0 273.0 109686;3367.0 99.0 109752;7218.0 102.0 109723;3373.0 71.0 109756;5966.0 190.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 964;109761 904;109762 1039;109731 1044;109764 1014;109766 1003;109767 1007;109697 968;109769 995;109740 1000;109741 1003;109745 985;109763 1015;109684 1004;109755 982;109686 1012;109752 1011;109723 1027;109756 989;109758 1034
