
New Run at  02/05/2015 21:05:03
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio; extremeGreedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241679900,1343920.0;49069.0;1341462.0;51486.0;1278463.0;58863.0;1344438.0;54958.0;1.05117975303;1.26101553995;1.11958314153;1.1194352307,636.0 10.0 109680;1599.0 60.0 109666;1720.0 37.0 109667;1638.0 47.0 109668;1495.0 97.0 109670;2301.0 31.0 109660;1110.0 53.0 109674;853.0 55.0 109676;773.0 15.0 109678;655.0 26.0 109679;1144.0 25.0 109648;527.0 19.0 109681;434.0 17.0 109682;49172.0 2037.0 109635;3990.0 161.0 109652;3072.0 115.0 109656;289.0 8.0 109683;5753.0 133.0 109628;2181.0 92.0 109661;2086.0 98.0 109663,109648.0 14595;109666.0 14595;109635.0 14595;109668.0 14595;109670.0 14595;109628.0 14595;109674.0 14595;109676.0 14595;109678.0 14595;109679.0 14595;109680.0 14595;109681.0 14595;109682.0 14595;109683.0 14595;109652.0 14595;109656.0 14595;109667.0 14595;109660.0 14595;109661.0 14595;109663.0 14595,109680 783;109666 751;109667 741;109668 696;109670 734;109660 728;109674 757;109676 744;109678 737;109679 746;109648 738;109681 686;109682 698;109635 710;109652 747;109656 657;109683 747;109628 755;109661 713;109663 727
data,1241680500,1344904.0;49094.0;1342532.0;51511.0;1279482.0;58895.0;1345431.0;54974.0;1.05108587994;1.26097684725;1.11933162712;1.11920731652,651.0 10.0 109680;1619.0 60.0 109666;1737.0 38.0 109667;1649.0 48.0 109668;1514.0 97.0 109670;5771.0 134.0 109628;1124.0 53.0 109674;865.0 56.0 109676;792.0 15.0 109678;670.0 26.0 109679;1156.0 25.0 109648;544.0 19.0 109681;456.0 17.0 109682;312.0 8.0 109683;4014.0 161.0 109652;49934.0 2057.0 109635;3085.0 115.0 109656;2312.0 31.0 109660;2191.0 93.0 109661;2102.0 98.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 982;109666 1038;109667 989;109668 987;109670 973;109628 993;109674 999;109676 973;109678 1022;109679 987;109648 1044;109681 957;109682 960;109683 1014;109652 1019;109635 1047;109656 982;109660 978;109661 967;109663 1089
data,1241681400,1345927.0;49114.0;1343512.0;51540.0;1280484.0;58919.0;1346494.0;54992.0;1.0512816015;1.26094867744;1.11920925237;1.11919562307,665.0 10.0 109680;1634.0 60.0 109666;1750.0 38.0 109667;1665.0 49.0 109668;1527.0 97.0 109670;5789.0 134.0 109628;1146.0 53.0 109674;879.0 56.0 109676;804.0 15.0 109678;682.0 26.0 109679;1176.0 25.0 109648;556.0 20.0 109681;472.0 18.0 109682;50641.0 2081.0 109635;4022.0 161.0 109652;3097.0 115.0 109656;325.0 9.0 109683;2331.0 31.0 109660;2200.0 94.0 109661;2117.0 98.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 1002;109666 985;109667 982;109668 965;109670 1033;109628 1063;109674 1053;109676 1010;109678 974;109679 977;109648 1019;109681 1026;109682 943;109635 981;109652 965;109656 1024;109683 1015;109660 1043;109661 946;109663 994
data,1241682000,1346888.0;49138.0;1344567.0;51578.0;1281460.0;58946.0;1347496.0;55008.0;1.05146799356;1.26084962297;1.1189543732;1.11910089351,1189.0 25.0 109648;1647.0 61.0 109666;51419.0 2109.0 109635;1680.0 49.0 109668;1545.0 97.0 109670;5801.0 135.0 109628;1164.0 54.0 109674;894.0 58.0 109676;820.0 18.0 109678;699.0 26.0 109679;681.0 10.0 109680;566.0 20.0 109681;482.0 18.0 109682;1770.0 38.0 109667;4036.0 161.0 109652;3112.0 115.0 109656;336.0 10.0 109683;2344.0 32.0 109660;2217.0 94.0 109661;2131.0 98.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 1049;109666 970;109635 1049;109668 985;109670 1023;109628 1002;109674 966;109676 949;109678 996;109679 979;109680 929;109681 1027;109682 1008;109667 1023;109652 1019;109656 1032;109683 1012;109660 962;109661 1000;109663 1020
data,1241682900,1347859.0;49158.0;1345564.0;51596.0;1282426.0;58975.0;1348536.0;55034.0;1.05138537714;1.2609152371;1.11897090009;1.11896232582,1205.0 25.0 109648;1660.0 61.0 109666;52131.0 2123.0 109635;1692.0 49.0 109668;1564.0 97.0 109670;2360.0 32.0 109660;1184.0 54.0 109674;906.0 59.0 109676;831.0 18.0 109678;714.0 26.0 109679;699.0 10.0 109680;580.0 21.0 109681;495.0 18.0 109682;1778.0 38.0 109667;4049.0 161.0 109652;3136.0 115.0 109656;352.0 10.0 109683;5814.0 135.0 109628;2231.0 94.0 109661;2149.0 100.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 998;109666 1003;109635 999;109668 973;109670 1030;109660 968;109674 978;109676 935;109678 1005;109679 1053;109680 1012;109681 1024;109682 953;109667 1007;109652 1019;109656 1044;109683 927;109628 1040;109661 1025;109663 1007
data,1241683500,1348863.0;49177.0;1346616.0;51616.0;1283490.0;58995.0;1349558.0;55059.0;1.05134774098;1.260748693;1.11903218024;1.11901935826,1223.0 25.0 109648;1669.0 61.0 109666;52905.0 2136.0 109635;1703.0 49.0 109668;1579.0 97.0 109670;2375.0 33.0 109660;1201.0 54.0 109674;918.0 60.0 109676;849.0 18.0 109678;721.0 26.0 109679;711.0 10.0 109680;593.0 22.0 109681;521.0 19.0 109682;1798.0 38.0 109667;4057.0 161.0 109652;3157.0 115.0 109656;362.0 11.0 109683;5828.0 135.0 109628;2244.0 96.0 109661;2168.0 100.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 990;109666 953;109635 1070;109668 992;109670 1007;109660 971;109674 992;109676 1066;109678 1043;109679 1001;109680 1025;109681 962;109682 1033;109667 1019;109652 896;109656 1023;109683 960;109628 1022;109661 992;109663 983
data,1241684400,1349888.0;49198.0;1347612.0;51644.0;1284484.0;59018.0;1350547.0;55077.0;1.05149035012;1.26068352574;1.11895046859;1.11901329431,1244.0 25.0 109648;1684.0 61.0 109666;53619.0 2161.0 109635;1717.0 50.0 109668;1592.0 97.0 109670;5847.0 135.0 109628;1214.0 55.0 109674;943.0 60.0 109676;866.0 18.0 109678;732.0 26.0 109679;723.0 11.0 109680;616.0 22.0 109681;537.0 19.0 109682;369.0 11.0 109683;4066.0 161.0 109652;3168.0 115.0 109656;1811.0 38.0 109667;2389.0 33.0 109660;2259.0 96.0 109661;2182.0 100.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 1026;109666 974;109635 973;109668 981;109670 987;109628 989;109674 1019;109676 1028;109678 1018;109679 994;109680 970;109681 1003;109682 990;109683 1017;109652 964;109656 966;109667 991;109660 991;109661 1026;109663 1093
data,1241685300,1350891.0;49212.0;1348571.0;51666.0;1285527.0;59042.0;1351500.0;55093.0;1.05167201215;1.26075050509;1.11899891326;1.11922101657,1255.0 25.0 109648;1697.0 61.0 109666;1817.0 38.0 109667;1734.0 50.0 109668;1609.0 97.0 109670;5859.0 135.0 109628;1231.0 56.0 109674;957.0 61.0 109676;881.0 18.0 109678;740.0 26.0 109679;730.0 11.0 109680;626.0 22.0 109681;554.0 19.0 109682;54334.0 2176.0 109635;4077.0 161.0 109652;3184.0 115.0 109656;386.0 12.0 109683;2403.0 33.0 109660;2269.0 97.0 109661;2194.0 103.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 972;109666 1052;109667 973;109668 1049;109670 1057;109628 953;109674 1049;109676 975;109678 998;109679 1029;109680 992;109681 1020;109682 960;109635 998;109652 974;109656 1027;109683 984;109660 984;109661 963;109663 991
data,1241686200,1351854.0;49237.0;1349575.0;51698.0;1286553.0;59069.0;1352499.0;55111.0;1.05175582117;1.26057921958;1.11876673721;1.11907931105,748.0 11.0 109680;1710.0 61.0 109666;55043.0 2203.0 109635;1744.0 50.0 109668;1624.0 99.0 109670;5879.0 135.0 109628;1242.0 56.0 109674;972.0 63.0 109676;893.0 18.0 109678;758.0 26.0 109679;1276.0 25.0 109648;637.0 22.0 109681;572.0 19.0 109682;405.0 12.0 109683;4095.0 161.0 109652;3202.0 115.0 109656;1829.0 38.0 109667;2415.0 33.0 109660;2281.0 98.0 109661;2216.0 103.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 998;109666 1020;109635 985;109668 982;109670 1020;109628 999;109674 974;109676 982;109678 986;109679 1035;109648 970;109681 971;109682 1049;109683 950;109652 1055;109656 1055;109667 936;109660 1033;109661 988;109663 1012
data,1241686800,1352846.0;49256.0;1350611.0;51723.0;1287573.0;59093.0;1353514.0;55133.0;1.05182295684;1.26053061719;1.11876299742;1.11891550802,765.0 11.0 109680;1726.0 61.0 109666;55790.0 2225.0 109635;1763.0 50.0 109668;1640.0 100.0 109670;5897.0 135.0 109628;1254.0 56.0 109674;989.0 63.0 109676;909.0 18.0 109678;772.0 26.0 109679;1296.0 25.0 109648;651.0 22.0 109681;586.0 20.0 109682;422.0 12.0 109683;4102.0 161.0 109652;3216.0 116.0 109656;1850.0 38.0 109667;2430.0 33.0 109660;2292.0 98.0 109661;2227.0 103.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 1013;109666 1007;109635 1061;109668 960;109670 961;109628 1015;109674 976;109676 1027;109678 1023;109679 985;109648 977;109681 1005;109682 994;109683 1019;109652 1002;109656 965;109667 1003;109660 1001;109661 966;109663 1040
