
New Run at  02/05/2015 14:52:22
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio; extremeGreedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,972.0;26.0;1040.0;27.0;1025.0;35.0;981.0;33.0;0.970562130178;1.2765478424;1.25758645025;1.32334921715,76.0 3.0 109473;52.0 1.0 109506;56.0 1.0 109508;51.0 1.0 109509;59.0 1.0 109510;62.0 2.0 109511;54.0 2.0 109512;71.0 5.0 109513;46.0 0.0 109514;37.0 0.0 109515;54.0 1.0 109484;33.0 0.0 109453;47.0 0.0 109492;61.0 5.0 109505;40.0 1.0 109494;48.0 1.0 109495;53.0 1.0 109498;40.0 0.0 109501;45.0 1.0 109502;55.0 1.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1010;109506 986;109508 1024;109509 960;109510 1058;109511 1019;109512 969;109513 1024;109514 1013;109515 976;109484 1006;109453 982;109492 1019;109505 949;109494 955;109495 1003;109498 1004;109501 984;109502 1002;109503 1057
data,1241162700,1857.0;56.0;2066.0;59.0;1943.0;67.0;1957.0;71.0;0.946990388605;1.1434729064;1.20307139207;1.12746428571,155.0 7.0 109473;111.0 3.0 109506;121.0 4.0 109508;84.0 1.0 109509;115.0 2.0 109510;95.0 5.0 109505;118.0 4.0 109512;161.0 8.0 109513;87.0 2.0 109514;76.0 0.0 109515;92.0 1.0 109484;63.0 1.0 109453;13.0 0.0 109519;85.0 0.0 109492;80.0 1.0 109494;110.0 4.0 109495;116.0 5.0 109511;86.0 2.0 109498;68.0 0.0 109501;108.0 5.0 109502;122.0 4.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 15120;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 11554;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1017;109506 995;109508 1017;109509 1011;109510 982;109505 478;109512 1010;109513 968;109514 975;109515 1068;109484 1026;109453 952;109519 495;109492 983;109494 1060;109495 988;109511 983;109498 1012;109501 1003;109502 962;109503 1015
data,1241163600,2850.0;84.0;3050.0;89.0;2940.0;98.0;2993.0;97.0;0.990046838407;1.13095238095;1.0995895184;1.14517348965,250.0 11.0 109473;160.0 6.0 109506;180.0 6.0 109508;116.0 2.0 109509;153.0 3.0 109510;194.0 8.0 109511;177.0 6.0 109512;245.0 9.0 109513;154.0 6.0 109514;99.0 0.0 109515;131.0 3.0 109484;96.0 1.0 109453;43.0 0.0 109519;113.0 0.0 109492;118.0 3.0 109494;148.0 4.0 109495;124.0 3.0 109498;96.0 0.0 109501;161.0 5.0 109502;197.0 8.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1012;109506 1030;109508 1021;109509 933;109510 1020;109511 1022;109512 972;109513 1003;109514 1027;109515 972;109484 954;109453 1072;109519 995;109492 998;109494 1023;109495 964;109498 999;109501 1022;109502 975;109503 986
data,1241164800,3834.0;106.0;4073.0;124.0;3981.0;127.0;3961.0;129.0;1.1011678379;1.15387240335;1.17796154011;1.18691954248,352.0 14.0 109473;211.0 6.0 109506;254.0 10.0 109508;144.0 2.0 109509;184.0 4.0 109510;302.0 14.0 109511;242.0 8.0 109512;323.0 10.0 109513;250.0 12.0 109514;113.0 0.0 109515;167.0 4.0 109484;112.0 2.0 109453;67.0 0.0 109519;131.0 0.0 109492;162.0 4.0 109494;180.0 4.0 109495;165.0 4.0 109498;124.0 0.0 109501;208.0 5.0 109502;287.0 16.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 998;109506 1013;109508 1011;109509 1017;109510 1005;109511 1031;109512 990;109513 1050;109514 968;109515 1023;109484 1018;109453 953;109519 996;109492 974;109494 980;109495 938;109498 1030;109501 1006;109502 1018;109503 981
data,1241165700,4870.0;137.0;5098.0;149.0;4943.0;149.0;4937.0;154.0;1.03895043999;1.07152930266;1.10883260469;1.12054793728,465.0 20.0 109473;268.0 8.0 109506;339.0 13.0 109508;166.0 2.0 109509;235.0 6.0 109510;404.0 16.0 109511;293.0 8.0 109512;367.0 10.0 109513;327.0 13.0 109514;127.0 0.0 109515;204.0 5.0 109484;140.0 2.0 109453;89.0 0.0 109519;146.0 0.0 109492;185.0 4.0 109494;215.0 4.0 109495;211.0 5.0 109498;144.0 1.0 109501;240.0 6.0 109502;438.0 21.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1013;109506 1022;109508 1062;109509 991;109510 1046;109511 991;109512 991;109513 969;109514 976;109515 965;109484 1036;109453 1007;109519 975;109492 937;109494 981;109495 984;109498 1021;109501 1054;109502 979;109503 1000
data,1241166900,5813.0;157.0;6101.0;175.0;6000.0;181.0;5913.0;182.0;1.06203222402;1.11693524416;1.13963080377;1.12402044186,604.0 26.0 109473;325.0 9.0 109506;427.0 15.0 109508;190.0 2.0 109509;274.0 6.0 109510;504.0 18.0 109511;340.0 10.0 109512;420.0 13.0 109513;386.0 13.0 109514;149.0 0.0 109515;250.0 10.0 109484;157.0 3.0 109453;105.0 0.0 109519;175.0 1.0 109492;215.0 4.0 109494;232.0 4.0 109495;257.0 6.0 109498;163.0 2.0 109501;275.0 6.0 109502;558.0 22.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1069;109506 979;109508 971;109509 1037;109510 1013;109511 1017;109512 983;109513 977;109514 982;109515 953;109484 980;109453 958;109519 1012;109492 979;109494 1059;109495 963;109498 982;109501 1095;109502 977;109503 1014
data,1241167800,6770.0;178.0;7086.0;199.0;6996.0;216.0;6947.0;213.0;1.06812134705;1.1742825756;1.16614074785;1.2043034852,753.0 27.0 109473;358.0 9.0 109506;544.0 20.0 109508;211.0 3.0 109509;299.0 6.0 109510;599.0 20.0 109511;377.0 11.0 109512;476.0 15.0 109513;452.0 17.0 109514;167.0 2.0 109515;321.0 12.0 109484;183.0 3.0 109453;120.0 0.0 109519;188.0 1.0 109492;242.0 4.0 109494;251.0 4.0 109495;284.0 6.0 109498;183.0 2.0 109501;298.0 6.0 109502;685.0 26.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 982;109508 976;109509 1019;109510 1053;109511 1108;109512 970;109513 994;109514 1038;109515 983;109484 980;109453 957;109519 997;109492 1005;109494 974;109495 1008;109498 975;109501 1020;109502 945;109503 1012
data,1241169000,7757.0;209.0;8053.0;225.0;7959.0;243.0;7970.0;244.0;1.03698464182;1.13317053728;1.13626338002;1.17543918156,874.0 32.0 109473;386.0 9.0 109506;645.0 22.0 109508;238.0 5.0 109509;325.0 6.0 109510;674.0 21.0 109511;419.0 12.0 109512;540.0 16.0 109513;557.0 20.0 109514;187.0 2.0 109515;375.0 12.0 109484;204.0 3.0 109453;132.0 1.0 109519;210.0 1.0 109492;275.0 5.0 109494;266.0 4.0 109495;313.0 6.0 109498;197.0 2.0 109501;320.0 8.0 109502;821.0 33.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 994;109506 979;109508 987;109509 1014;109510 1003;109511 1009;109512 1052;109513 1015;109514 1023;109515 1028;109484 985;109453 953;109519 930;109492 1015;109494 971;109495 988;109498 1011;109501 985;109502 1050;109503 1008
data,1241169900,8809.0;227.0;9056.0;263.0;8928.0;270.0;8933.0;279.0;1.12699006476;1.17357361091;1.21201396002;1.24702297692,981.0 34.0 109473;409.0 10.0 109506;740.0 24.0 109508;257.0 5.0 109509;347.0 7.0 109510;770.0 28.0 109511;454.0 12.0 109512;634.0 24.0 109513;631.0 21.0 109514;210.0 2.0 109515;425.0 13.0 109484;226.0 5.0 109453;157.0 2.0 109519;222.0 1.0 109492;296.0 5.0 109494;284.0 4.0 109495;331.0 6.0 109498;212.0 2.0 109501;362.0 11.0 109502;1013.0 42.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 955;109506 981;109508 1031;109509 966;109510 1001;109511 971;109512 976;109513 992;109514 963;109515 989;109484 1014;109453 1008;109519 1032;109492 962;109494 1067;109495 998;109498 1001;109501 1045;109502 1011;109503 1037
data,1241171100,9764.0;254.0;10084.0;297.0;9945.0;295.0;9891.0;314.0;1.13218570309;1.14027941078;1.22034745657;1.24857399715,1059.0 35.0 109473;427.0 10.0 109506;823.0 28.0 109508;283.0 5.0 109509;359.0 7.0 109510;894.0 32.0 109511;487.0 13.0 109512;740.0 27.0 109513;709.0 25.0 109514;226.0 2.0 109515;463.0 13.0 109484;253.0 7.0 109453;174.0 2.0 109519;237.0 1.0 109492;317.0 5.0 109494;299.0 4.0 109495;350.0 6.0 109498;234.0 2.0 109501;439.0 14.0 109502;1216.0 54.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 954;109506 987;109508 1019;109509 995;109510 1028;109511 1011;109512 992;109513 998;109514 958;109515 953;109484 1027;109453 1008;109519 977;109492 1029;109494 1032;109495 960;109498 1030;109501 1011;109502 1051;109503 980
