
New Run at  03/15/2015 23:40:06
, Time, randomAccesses; randomClicks; ucb1Accesses; ucb1Clicks; ucb1CTRRatio 
data,1241507400,846018.0;30385.0;844834.0;34531.0;1.13804159197
data,1241508000,847086.0;30407.0;845923.0;34564.0;1.13827472658
data,1241508600,848143.0;30424.0;847022.0;34597.0;1.13866643953
data,1241509500,849177.0;30449.0;848030.0;34633.0;1.1389484956
data,1241510100,850234.0;30468.0;849106.0;34661.0;1.13913107572
data,1241511000,851304.0;30501.0;850206.0;34693.0;1.13890706319
data,1241511900,852329.0;30522.0;851299.0;34734.0;1.13937570313
data,1241512500,853349.0;30550.0;852366.0;34770.0;1.13944677139
data,1241513400,854373.0;30570.0;853434.0;34799.0;1.13959070908
data,1241514300,855431.0;30587.0;854481.0;34827.0;1.13988688562
data,1241515200,856463.0;30608.0;855547.0;34863.0;1.14023544242
data,1241515800,857512.0;30638.0;856540.0;34890.0;1.14007419241
data,1241516700,858557.0;30672.0;857559.0;34913.0;1.13959411331
data,1241517300,859620.0;30703.0;858652.0;34949.0;1.13957592746
data,1241518200,860624.0;30728.0;859677.0;34978.0;1.13956427179
data,1241518800,861688.0;30761.0;860717.0;35010.0;1.13941340672
data,1241519400,862722.0;30784.0;861747.0;35045.0;1.13970408991
data,1241520000,863725.0;30812.0;862733.0;35083.0;1.13992404378
data,1241520600,864732.0;30843.0;863729.0;35111.0;1.13970017292
data,1241521200,865707.0;30883.0;864681.0;35158.0;1.13977648686
data,1241521500,866695.0;30911.0;865709.0;35195.0;1.13988823963
data,1241522100,867713.0;30944.0;866737.0;35239.0;1.14008147993
data,1241522700,868693.0;30970.0;867682.0;35270.0;1.14017099343
data,1241523000,869667.0;31008.0;868639.0;35307.0;1.13998917834
data,1241523600,870650.0;31044.0;869651.0;35339.0;1.13965968321
data,1241523900,871673.0;31076.0;870440.0;35364.0;1.13959627974
data,1241524200,872639.0;31115.0;871223.0;35400.0;1.13956405821
data,1241524800,873617.0;31148.0;872203.0;35464.0;1.14041009395
data,1241525100,874599.0;31184.0;873223.0;35525.0;1.14100113154
data,1241525400,875612.0;31230.0;874199.0;35582.0;1.1411947645
data,1241525700,876661.0;31267.0;875176.0;35651.0;1.14214643785
data,1241526000,877638.0;31316.0;876167.0;35703.0;1.14200223202
data,1241526300,878675.0;31350.0;877172.0;35772.0;1.14300778075
data,1241526600,879705.0;31390.0;878183.0;35834.0;1.14355223842
data,1241527200,880660.0;31426.0;879213.0;35898.0;1.14418254219
data,1241527500,881702.0;31468.0;880196.0;35965.0;1.14486257428
data,1241527800,882667.0;31502.0;881221.0;36036.0;1.1458044459
data,1241528100,883732.0;31555.0;882213.0;36098.0;1.14594054089
data,1241528400,884724.0;31610.0;883257.0;36177.0;1.14638045921
data,1241528700,885751.0;31650.0;884235.0;36237.0;1.1468918635
data,1241528700,886738.0;31694.0;885247.0;36304.0;1.14738265743
data,1241529000,887781.0;31741.0;886257.0;36381.0;1.14815413686
data,1241529300,888758.0;31774.0;887245.0;36441.0;1.14883684966
data,1241529600,889715.0;31812.0;888331.0;36505.0;1.14931076262
data,1241529900,890730.0;31858.0;889287.0;36556.0;1.14932881944
data,1241530200,891731.0;31897.0;890323.0;36633.0;1.15029417199
data,1241530500,892729.0;31930.0;891347.0;36704.0;1.1512968422
