
New Run at  03/16/2015 01:46:16
, Time, randomAccesses; randomClicks; ucb1Accesses; ucb1Clicks; ucb1CTRRatio 
data,1241766300,1587038.0;57783.0;1588527.0;64357.0;1.11272649742
data,1241766900,1588111.0;57804.0;1589535.0;64374.0;1.1126622715
data,1241767800,1589143.0;57824.0;1590528.0;64390.0;1.11258180815
data,1241768700,1590146.0;57840.0;1591570.0;64401.0;1.11243740529
data,1241769300,1591206.0;57863.0;1592557.0;64422.0;1.1124094749
data,1241770200,1592161.0;57884.0;1593600.0;64449.0;1.11241108759
data,1241771100,1593108.0;57904.0;1594633.0;64464.0;1.11222628758
data,1241772000,1594099.0;57914.0;1595660.0;64483.0;1.11233756367
data,1241772900,1595109.0;57930.0;1596691.0;64499.0;1.11229232607
data,1241773800,1596082.0;57942.0;1597715.0;64515.0;1.11230299624
data,1241774700,1597035.0;57960.0;1598724.0;64532.0;1.11221228498
data,1241775600,1598026.0;57977.0;1599706.0;64550.0;1.11220328826
data,1241776500,1599002.0;57997.0;1600719.0;64569.0;1.1121220152
data,1241777100,1599957.0;58017.0;1601750.0;64595.0;1.11213424194
data,1241778000,1600975.0;58042.0;1602752.0;64614.0;1.11199409557
data,1241778600,1601911.0;58063.0;1603744.0;64637.0;1.11194948778
data,1241779200,1602871.0;58087.0;1604745.0;64666.0;1.11196109112
data,1241779800,1603878.0;58114.0;1605742.0;64686.0;1.11179595774
data,1241780400,1604900.0;58148.0;1606733.0;64717.0;1.11170064793
data,1241781000,1605919.0;58168.0;1607688.0;64739.0;1.11174125337
data,1241781600,1606946.0;58192.0;1608631.0;64761.0;1.11171921402
data,1241781900,1607929.0;58217.0;1609611.0;64788.0;1.11170789101
data,1241782500,1608904.0;58255.0;1610643.0;64821.0;1.11150996857
data,1241782800,1609904.0;58278.0;1611660.0;64850.0;1.11155739807
data,1241783400,1610870.0;58309.0;1612691.0;64877.0;1.11138491365
data,1241783700,1611920.0;58339.0;1613690.0;64905.0;1.11132875059
data,1241784000,1612915.0;58360.0;1614726.0;64932.0;1.11136352557
data,1241784600,1613910.0;58394.0;1615677.0;64957.0;1.11117510669
data,1241784900,1614868.0;58424.0;1616631.0;64991.0;1.11118931853
data,1241785200,1615862.0;58450.0;1617589.0;65021.0;1.11123320939
data,1241785500,1616929.0;58479.0;1618620.0;65047.0;1.11115176878
data,1241785800,1617868.0;58510.0;1619439.0;65071.0;1.11105580819
data,1241786400,1618848.0;58541.0;1620443.0;65103.0;1.11099774857
data,1241786700,1619833.0;58577.0;1621444.0;65124.0;1.11066281091
data,1241787000,1620802.0;58611.0;1622445.0;65151.0;1.11045748396
data,1241787300,1621810.0;58643.0;1623450.0;65177.0;1.11029719768
data,1241787600,1622796.0;58674.0;1624461.0;65215.0;1.11034116536
data,1241787900,1623813.0;58707.0;1625435.0;65260.0;1.11051285047
data,1241788200,1624811.0;58740.0;1626487.0;65295.0;1.11044803048
data,1241788500,1625814.0;58781.0;1627519.0;65321.0;1.11009627728
data,1241788800,1626780.0;58814.0;1628517.0;65351.0;1.1099618402
data,1241789100,1627732.0;58847.0;1629526.0;65389.0;1.10994631927
data,1241789400,1628718.0;58868.0;1630533.0;65414.0;1.10996102333
data,1241789400,1629662.0;58898.0;1631551.0;65436.0;1.10971915159
data,1241789700,1630624.0;58945.0;1632545.0;65468.0;1.10935557611
data,1241790000,1631635.0;58980.0;1633547.0;65494.0;1.10914448881
data,1241790300,1632614.0;59022.0;1634513.0;65524.0;1.1088725103
data,1241790600,1633615.0;59051.0;1635547.0;65559.0;1.10889837642
data,1241790900,1634645.0;59080.0;1636560.0;65586.0;1.10882287358
data,1241791200,1635648.0;59112.0;1637589.0;65613.0;1.10866203619
data,1241791500,1636639.0;59150.0;1638579.0;65644.0;1.10847473559
data,1241791800,1637647.0;59185.0;1639558.0;65671.0;1.1082952883
data,1241791800,1638699.0;59208.0;1640546.0;65699.0;1.10838118379
data,1241792100,1639704.0;59248.0;1641537.0;65732.0;1.10819945407
data,1241792400,1640670.0;59283.0;1642562.0;65767.0;1.10809583999
data,1241792700,1641694.0;59328.0;1643603.0;65797.0;1.10774977382
data,1241793000,1642711.0;59367.0;1644545.0;65826.0;1.10756128334
data,1241793300,1643659.0;59403.0;1645536.0;65853.0;1.10731585948
data,1241793600,1644581.0;59446.0;1646565.0;65895.0;1.10714936178
data,1241793600,1645558.0;59476.0;1647586.0;65918.0;1.10694838386
data,1241793900,1646590.0;59510.0;1648616.0;65957.0;1.10697269048
data,1241794200,1647561.0;59542.0;1649648.0;65982.0;1.10675699438
data,1241794500,1648582.0;59588.0;1650629.0;66013.0;1.1064498738
data,1241794800,1649566.0;59623.0;1651620.0;66043.0;1.10629903076
data,1241795100,1650555.0;59659.0;1652619.0;66068.0;1.1060441159
data,1241795400,1651614.0;59705.0;1653593.0;66100.0;1.10578498155
data,1241795400,1652586.0;59753.0;1654620.0;66129.0;1.10534548214
data,1241795700,1653597.0;59789.0;1655672.0;66157.0;1.10512113563
data,1241796000,1654616.0;59831.0;1656693.0;66190.0;1.10489574698
data,1241796300,1655665.0;59868.0;1657695.0;66222.0;1.10477893148
data,1241796600,1656652.0;59896.0;1658704.0;66246.0;1.10464883103
data,1241796900,1657629.0;59932.0;1659728.0;66276.0;1.10445476638
data,1241797200,1658600.0;59963.0;1660695.0;66316.0;1.10455349195
data,1241797200,1659565.0;60003.0;1661707.0;66349.0;1.10433601247
data,1241797500,1660555.0;60039.0;1662699.0;66377.0;1.10413912405
data,1241797800,1661543.0;60078.0;1663716.0;66407.0;1.10390267648
data,1241798100,1662547.0;60116.0;1664707.0;66443.0;1.1038124377
data,1241798400,1663545.0;60153.0;1665658.0;66467.0;1.10356394707
data,1241798700,1664548.0;60182.0;1666635.0;66489.0;1.10341532173
data,1241799000,1665524.0;60216.0;1667638.0;66532.0;1.10348844102
data,1241799000,1666522.0;60244.0;1668637.0;66572.0;1.10363886671
data,1241799300,1667518.0;60276.0;1669657.0;66609.0;1.10365099067
data,1241799600,1668547.0;60304.0;1670686.0;66634.0;1.10355345688
data,1241799900,1669530.0;60334.0;1671682.0;66659.0;1.1034108152
data,1241800200,1670484.0;60376.0;1672700.0;66687.0;1.10306500566
data,1241800500,1671456.0;60421.0;1673735.0;66725.0;1.10283089569
data,1241800800,1672470.0;60473.0;1674693.0;66756.0;1.10243228527
data,1241800800,1673398.0;60510.0;1675513.0;66787.0;1.1023416753
data,1241801100,1674424.0;60547.0;1676489.0;66812.0;1.10211414157
data,1241801400,1675420.0;60573.0;1677483.0;66847.0;1.10222030125
data,1241801700,1676376.0;60603.0;1678530.0;66879.0;1.10214307002
data,1241802000,1677355.0;60641.0;1679464.0;66903.0;1.10187803692
data,1241802300,1678435.0;60672.0;1680446.0;66940.0;1.10198926181
data,1241802600,1679465.0;60713.0;1681413.0;66969.0;1.10176425323
data,1241802900,1680444.0;60762.0;1682463.0;67001.0;1.10135606188
data,1241803200,1681450.0;60794.0;1683437.0;67032.0;1.10130737516
data,1241803200,1682525.0;60826.0;1684439.0;67068.0;1.10136770045
data,1241803500,1683496.0;60862.0;1685435.0;67107.0;1.10134069038
data,1241803800,1684540.0;60894.0;1686426.0;67145.0;1.10142064846
data,1241804100,1685571.0;60942.0;1687478.0;67175.0;1.10103190385
data,1241804400,1686521.0;60969.0;1688500.0;67208.0;1.10103871015
data,1241804700,1687516.0;61005.0;1689496.0;67238.0;1.10088026585
data,1241805000,1688529.0;61046.0;1690467.0;67279.0;1.10083984895
data,1241805300,1689467.0;61076.0;1691433.0;67312.0;1.10082129437
data,1241805300,1690410.0;61103.0;1692359.0;67337.0;1.10075530747
data,1241805600,1691300.0;61130.0;1693373.0;67369.0;1.10071205551
data,1241805900,1692224.0;61164.0;1694265.0;67393.0;1.10051361711
data,1241806200,1693155.0;61206.0;1695206.0;67413.0;1.10007904771
data,1241806500,1694048.0;61241.0;1696140.0;67442.0;1.09989741833
data,1241806800,1694958.0;61278.0;1697124.0;67461.0;1.09949575852
data,1241807100,1695913.0;61317.0;1698067.0;67490.0;1.09927734323
data,1241807400,1696877.0;61359.0;1699072.0;67512.0;1.09885725784
data,1241807700,1697815.0;61386.0;1699989.0;67536.0;1.09877875762
data,1241807700,1698730.0;61412.0;1700918.0;67553.0;1.09858174689
data,1241808000,1699643.0;61440.0;1701889.0;67575.0;1.0984020279
data,1241808300,1700562.0;61471.0;1702855.0;67602.0;1.09825722225
data,1241808600,1701501.0;61504.0;1703825.0;67627.0;1.09805471935
data,1241808900,1702447.0;61521.0;1704792.0;67648.0;1.09807948262
data,1241809200,1703386.0;61554.0;1705721.0;67671.0;1.09787119667
data,1241809500,1704300.0;61586.0;1706751.0;67694.0;1.09759989655
data,1241809800,1705235.0;61614.0;1707689.0;67715.0;1.09744037924
data,1241810100,1706149.0;61646.0;1708656.0;67737.0;1.09719387954
data,1241810100,1707130.0;61685.0;1709585.0;67756.0;1.0968420355
data,1241810400,1708130.0;61726.0;1710512.0;67776.0;1.09648474679
data,1241810700,1709121.0;61767.0;1711472.0;67807.0;1.09627884581
data,1241811000,1710118.0;61797.0;1712435.0;67829.0;1.09612480176
data,1241811300,1711008.0;61834.0;1713426.0;67865.0;1.09598648621
data,1241811600,1711934.0;61870.0;1714238.0;67901.0;1.09600353186
data,1241811900,1712825.0;61910.0;1714946.0;67935.0;1.09596155359
data,1241812200,1713768.0;61943.0;1715895.0;67961.0;1.09579381807
data,1241812200,1714710.0;61976.0;1716823.0;67985.0;1.09560679401
data,1241812500,1715641.0;62018.0;1717800.0;68011.0;1.09525494284
