
New Run at  03/15/2015 22:55:09
, Time, randomAccesses; randomClicks; ucb1Accesses; ucb1Clicks; ucb1CTRRatio 
data,1241420700,588795.0;20325.0;587738.0;23347.0;1.15074970336
data,1241421300,589751.0;20344.0;588708.0;23360.0;1.15028442577
data,1241421900,590706.0;20362.0;589643.0;23367.0;1.14964766205
data,1241422800,591740.0;20374.0;590653.0;23384.0;1.1498495346
data,1241423400,592739.0;20390.0;591599.0;23393.0;1.14948886048
data,1241424300,593785.0;20405.0;592575.0;23400.0;1.14911939689
data,1241425200,594806.0;20424.0;593549.0;23407.0;1.14848073991
data,1241425800,595856.0;20438.0;594563.0;23419.0;1.14834765881
data,1241426700,596842.0;20460.0;595563.0;23428.0;1.14752261728
data,1241427600,597829.0;20473.0;596559.0;23442.0;1.14745787651
data,1241428500,598825.0;20484.0;597554.0;23448.0;1.14713307946
data,1241429100,599827.0;20502.0;598563.0;23458.0;1.14659725038
data,1241430000,600811.0;20514.0;599576.0;23472.0;1.14655100738
data,1241430900,601791.0;20533.0;600551.0;23479.0;1.1458373714
data,1241431500,602766.0;20545.0;601543.0;23495.0;1.1459122803
data,1241432100,603775.0;20566.0;602537.0;23510.0;1.14549765235
data,1241433000,604753.0;20578.0;603489.0;23531.0;1.14589782189
data,1241433600,605753.0;20595.0;604198.0;23555.0;1.14666776172
data,1241434200,606721.0;20618.0;605190.0;23588.0;1.14694308594
data,1241434800,607726.0;20650.0;606221.0;23622.0;1.14676241218
data,1241435400,608695.0;20669.0;607245.0;23660.0;1.14744284399
data,1241435700,609694.0;20688.0;608239.0;23691.0;1.14789600095
data,1241436300,610643.0;20714.0;609239.0;23733.0;1.14838722788
data,1241436600,611667.0;20736.0;610199.0;23764.0;1.14878331302
data,1241437200,612654.0;20769.0;611223.0;23801.0;1.14866980041
data,1241437500,613660.0;20796.0;612240.0;23832.0;1.14864756656
data,1241438100,614660.0;20816.0;613255.0;23846.0;1.1481856486
data,1241438400,615656.0;20847.0;614281.0;23866.0;1.14737954614
data,1241438700,616717.0;20883.0;615286.0;23884.0;1.14636537653
data,1241439300,617686.0;20911.0;616271.0;23899.0;1.14551545715
data,1241439600,618719.0;20938.0;617242.0;23919.0;1.14510630613
data,1241439900,619750.0;20978.0;618259.0;23938.0;1.14385208963
data,1241440200,620684.0;21012.0;619254.0;23954.0;1.14264778692
data,1241440500,621723.0;21047.0;620265.0;23969.0;1.14150908577
data,1241440800,622732.0;21080.0;621259.0;23996.0;1.14102914229
data,1241441100,623793.0;21122.0;622273.0;24021.0;1.14002817362
data,1241441400,624792.0;21147.0;623105.0;24037.0;1.13973982063
data,1241441700,625760.0;21186.0;624073.0;24077.0;1.13953012238
data,1241442000,626751.0;21218.0;625075.0;24117.0;1.13967689638
data,1241442300,627779.0;21246.0;626068.0;24172.0;1.14082935062
data,1241442600,628793.0;21281.0;627086.0;24226.0;1.14148517222
data,1241442900,629853.0;21321.0;628135.0;24272.0;1.1415217805
data,1241443200,630883.0;21343.0;629135.0;24345.0;1.14382423211
data,1241443500,631883.0;21366.0;630189.0;24401.0;1.14511803333
data,1241443800,632881.0;21399.0;631205.0;24453.0;1.14575113576
data,1241444100,633871.0;21453.0;632233.0;24511.0;1.14550428916
data,1241444400,634905.0;21487.0;633236.0;24550.0;1.14556269627
data,1241444400,635925.0;21522.0;634251.0;24569.0;1.14458906181
data,1241444700,636914.0;21559.0;635258.0;24595.0;1.14379677219
data,1241445000,637911.0;21593.0;636235.0;24629.0;1.14360574556
data,1241445300,638916.0;21619.0;637239.0;24662.0;1.14375790456
data,1241445600,639953.0;21653.0;638190.0;24687.0;1.14326873146
data,1241445900,640911.0;21677.0;639211.0;24721.0;1.14345832952
data,1241446200,641874.0;21705.0;640217.0;24757.0;1.14356487881
data,1241446200,642926.0;21741.0;641233.0;24783.0;1.14292961315
data,1241446500,643979.0;21773.0;642273.0;24817.0;1.14283372531
data,1241446800,644890.0;21807.0;643245.0;24842.0;1.14208875995
data,1241447100,645903.0;21841.0;644191.0;24873.0;1.14184801097
data,1241447400,646833.0;21877.0;645197.0;24899.0;1.14102186724
data,1241447400,647799.0;21915.0;646183.0;24920.0;1.13996444999
data,1241447700,648829.0;21943.0;647164.0;24953.0;1.14009926495
data,1241448000,649835.0;21973.0;648175.0;24994.0;1.14040006156
data,1241448300,650830.0;22017.0;649184.0;25028.0;1.139640199
data,1241448600,651855.0;22065.0;650159.0;25057.0;1.13856168169
data,1241448600,652881.0;22111.0;651223.0;25084.0;1.1373462681
data,1241448900,653949.0;22146.0;652294.0;25119.0;1.13712326893
data,1241449200,655022.0;22194.0;653305.0;25154.0;1.13634807241
data,1241449500,656081.0;22230.0;654312.0;25187.0;1.1360816758
data,1241449800,657158.0;22258.0;655382.0;25224.0;1.13632643365
data,1241449800,658208.0;22287.0;656428.0;25259.0;1.13642452786
data,1241450100,659212.0;22323.0;657487.0;25287.0;1.13574983789
data,1241450400,660250.0;22354.0;658542.0;25316.0;1.13544152223
data,1241450700,661315.0;22399.0;659597.0;25341.0;1.13429187433
data,1241451000,662374.0;22427.0;660658.0;25381.0;1.13465576648
data,1241451000,663404.0;22471.0;661725.0;25417.0;1.13397226435
data,1241451300,664504.0;22521.0;662771.0;25458.0;1.1333673929
data,1241451600,665535.0;22557.0;663822.0;25495.0;1.13316443361
data,1241451900,666530.0;22598.0;664901.0;25536.0;1.13278002097
data,1241451900,667628.0;22637.0;666026.0;25569.0;1.1322393166
data,1241452200,668667.0;22683.0;667032.0;25613.0;1.131939403
data,1241452500,669628.0;22720.0;668097.0;25645.0;1.13132780178
data,1241452800,670667.0;22757.0;669156.0;25674.0;1.13072784846
data,1241453100,671811.0;22809.0;670222.0;25710.0;1.12985903431
data,1241453100,672913.0;22851.0;671252.0;25754.0;1.1298292316
data,1241453400,673987.0;22896.0;672347.0;25791.0;1.12918893417
data,1241453700,675087.0;22934.0;673406.0;25822.0;1.12873718328
data,1241454000,676129.0;22982.0;674503.0;25860.0;1.12794098717
data,1241454000,677177.0;23031.0;675573.0;25894.0;1.12698014098
data,1241454300,678219.0;23065.0;676632.0;25929.0;1.1268074972
data,1241454600,679272.0;23109.0;677676.0;25970.0;1.12645125918
data,1241454900,680332.0;23143.0;678741.0;26011.0;1.12655969302
data,1241455200,681394.0;23176.0;679797.0;26050.0;1.12664814724
data,1241455200,682430.0;23214.0;680879.0;26094.0;1.12662361112
data,1241455500,683507.0;23245.0;681928.0;26127.0;1.12658622948
data,1241455800,684487.0;23281.0;682986.0;26161.0;1.12617559785
data,1241456100,685467.0;23329.0;683956.0;26194.0;1.1252890374
data,1241456400,686443.0;23372.0;684961.0;26238.0;1.12505430604
data,1241456400,687441.0;23416.0;686003.0;26271.0;1.12427695976
data,1241456700,688415.0;23450.0;687035.0;26306.0;1.12404430937
data,1241457000,689465.0;23492.0;687966.0;26343.0;1.12380378059
data,1241457300,690431.0;23540.0;688933.0;26390.0;1.1235081481
data,1241457300,691358.0;23574.0;689900.0;26447.0;1.12424246039
data,1241457600,692306.0;23610.0;690882.0;26502.0;1.12480407279
data,1241457900,693345.0;23657.0;691876.0;26548.0;1.12458752396
data,1241458200,694421.0;23709.0;692940.0;26605.0;1.12454604046
data,1241458500,695390.0;23761.0;693883.0;26659.0;1.12440128668
data,1241458500,696403.0;23795.0;694887.0;26707.0;1.124827288
data,1241458800,697385.0;23840.0;695865.0;26756.0;1.12476694546
data,1241459100,698342.0;23877.0;696888.0;26810.0;1.12518058715
data,1241459400,699303.0;23910.0;697886.0;26865.0;1.12586981046
data,1241459700,700277.0;23955.0;698876.0;26918.0;1.12594285537
data,1241459700,701229.0;23989.0;699835.0;26966.0;1.12633763491
data,1241460000,702262.0;24022.0;700846.0;27015.0;1.12686626926
data,1241460300,703207.0;24069.0;701796.0;27052.0;1.12619508724
data,1241460600,704182.0;24113.0;702751.0;27095.0;1.12595583673
data,1241460900,705200.0;24148.0;703760.0;27162.0;1.12711518897
data,1241460900,706255.0;24197.0;704743.0;27205.0;1.1267251031
data,1241461200,707290.0;24244.0;705714.0;27255.0;1.12670623026
data,1241461500,708321.0;24287.0;706788.0;27312.0;1.12699134651
data,1241461800,709335.0;24323.0;707745.0;27357.0;1.12726470692
data,1241462100,710342.0;24362.0;708736.0;27412.0;1.1277446743
data,1241462100,711352.0;24405.0;709781.0;27463.0;1.12779288965
data,1241462400,712293.0;24437.0;710821.0;27512.0;1.12816520372
data,1241462700,713264.0;24478.0;711842.0;27559.0;1.12811719927
data,1241463000,714204.0;24516.0;712824.0;27604.0;1.12813837038
data,1241463000,715235.0;24560.0;713833.0;27656.0;1.12827026154
data,1241463300,716194.0;24602.0;714823.0;27708.0;1.12840999761
data,1241463600,717239.0;24647.0;715827.0;27758.0;1.12844378085
data,1241463900,718202.0;24689.0;716846.0;27809.0;1.1285027361
data,1241464200,719208.0;24728.0;717881.0;27855.0;1.1285380884
data,1241464200,720228.0;24767.0;718850.0;27893.0;1.12837523743
data,1241464500,721236.0;24814.0;719841.0;27942.0;1.12824008959
data,1241464800,722226.0;24865.0;720844.0;27983.0;1.12755475268
data,1241465100,723220.0;24907.0;721880.0;28037.0;1.12775701929
data,1241465400,724246.0;24952.0;722877.0;28074.0;1.12725100772
data,1241465400,725217.0;25001.0;723835.0;28123.0;1.12702270062
data,1241465700,726128.0;25044.0;724591.0;28205.0;1.12860678611
data,1241466000,727057.0;25086.0;725424.0;28319.0;1.13141787547
data,1241466300,728015.0;25126.0;726486.0;28491.0;1.13631153513
data,1241466300,728976.0;25167.0;727510.0;28643.0;1.1404107878
data,1241466600,729958.0;25213.0;728479.0;28763.0;1.14311649936
data,1241466900,730878.0;25267.0;729437.0;28884.0;1.14540943647
data,1241467200,731838.0;25315.0;730363.0;28991.0;1.14752315195
data,1241467200,732805.0;25359.0;731276.0;29084.0;1.14928864473
data,1241467500,733690.0;25405.0;732246.0;29145.0;1.1494774404
data,1241467800,734620.0;25453.0;733211.0;29198.0;1.1493383623
data,1241468100,735552.0;25501.0;734174.0;29236.0;1.14861668939
data,1241468100,736439.0;25531.0;735168.0;29283.0;1.14894152622
data,1241468400,737401.0;25584.0;736022.0;29332.0;1.14864587258
data,1241468700,738287.0;25633.0;736925.0;29374.0;1.1480626393
data,1241469000,739191.0;25684.0;737848.0;29423.0;1.14766214418
data,1241469300,740100.0;25731.0;738712.0;29454.0;1.14684009472
data,1241469300,741051.0;25782.0;739562.0;29497.0;1.14639624151
data,1241469600,741968.0;25822.0;740418.0;29528.0;1.14591488934
data,1241469900,742879.0;25871.0;741349.0;29572.0;1.14541497625
data,1241470200,743836.0;25917.0;742233.0;29619.0;1.14530879847
data,1241470200,744731.0;25962.0;743109.0;29666.0;1.14516418675
data,1241470500,745661.0;25999.0;744015.0;29721.0;1.14568838771
data,1241470800,746550.0;26039.0;744952.0;29768.0;1.14566056589
data,1241471100,747450.0;26092.0;745886.0;29818.0;1.14519865979
data,1241471400,748350.0;26137.0;746820.0;29865.0;1.14497394576
data,1241471400,749221.0;26176.0;747698.0;29912.0;1.1450538016
data,1241471700,750176.0;26217.0;748642.0;29956.0;1.14495865836
data,1241472000,751081.0;26256.0;749575.0;30006.0;1.14512058997
data,1241472300,751950.0;26296.0;750528.0;30043.0;1.14465779797
data,1241472600,752851.0;26351.0;751450.0;30092.0;1.14409712684
data,1241472600,753716.0;26388.0;752286.0;30142.0;1.14443292815
data,1241472900,754585.0;26431.0;753126.0;30180.0;1.14405306162
data,1241473200,755425.0;26461.0;754021.0;30211.0;1.14384389852
data,1241473500,756297.0;26493.0;754883.0;30254.0;1.14410108012
data,1241473800,757187.0;26548.0;755733.0;30294.0;1.1432983442
data,1241474100,758028.0;26584.0;756603.0;30333.0;1.14317370335
data,1241474100,758885.0;26629.0;757516.0;30378.0;1.14284801557
data,1241474400,759720.0;26677.0;758390.0;30419.0;1.14227035498
data,1241474700,760581.0;26715.0;759263.0;30452.0;1.14186267792
data,1241475000,761419.0;26751.0;760062.0;30489.0;1.14176795152
data,1241475300,762256.0;26793.0;760902.0;30535.0;1.14169133822
data,1241475600,763091.0;26840.0;761764.0;30577.0;1.14121704245
data,1241475900,763991.0;26889.0;762625.0;30618.0;1.14072083021
data,1241476200,764826.0;26914.0;763496.0;30659.0;1.14113129134
