
New Run at  03/15/2015 22:22:50
, Time, randomAccesses; randomClicks; ucb1Accesses; ucb1Clicks; ucb1CTRRatio 
data,1241334600,397395.0;14319.0;398159.0;15814.0;1.10228756197
data,1241335500,398386.0;14337.0;399178.0;15840.0;1.10264157187
data,1241336400,399439.0;14368.0;400265.0;15863.0;1.10177231293
data,1241337300,400465.0;14394.0;401312.0;15880.0;1.10090899211
data,1241338200,401553.0;14423.0;402405.0;15913.0;1.10097121846
data,1241339100,402629.0;14444.0;403495.0;15939.0;1.10113479413
data,1241340300,403650.0;14467.0;404520.0;15963.0;1.1010346597
data,1241341200,404754.0;14500.0;405626.0;15989.0;1.10031913312
data,1241342400,405850.0;14523.0;406692.0;16020.0;1.10079410504
data,1241343600,406876.0;14544.0;407751.0;16047.0;1.10097390416
data,1241344500,407896.0;14567.0;408787.0;16069.0;1.10070540941
data,1241345700,408912.0;14579.0;409872.0;16090.0;1.10105728022
data,1241346600,409907.0;14597.0;410901.0;16124.0;1.10193840158
data,1241347500,410975.0;14623.0;412005.0;16151.0;1.10173172331
data,1241348400,411973.0;14648.0;413037.0;16180.0;1.10174219458
data,1241349300,413085.0;14678.0;414121.0;16205.0;1.10127130441
data,1241350200,414135.0;14693.0;415202.0;16238.0;1.10231205635
data,1241351100,415120.0;14719.0;416249.0;16276.0;1.1027824104
data,1241351700,416245.0;14742.0;417322.0;16309.0;1.10343987891
data,1241352300,417286.0;14774.0;418372.0;16350.0;1.10380120903
data,1241352900,418300.0;14813.0;419433.0;16389.0;1.10340437153
data,1241353500,419294.0;14841.0;420474.0;16425.0;1.10362546946
data,1241354100,420366.0;14883.0;421484.0;16459.0;1.10295921306
data,1241354700,421414.0;14911.0;422526.0;16494.0;1.10325204507
data,1241355300,422455.0;14936.0;423571.0;16536.0;1.10420674331
data,1241355600,423481.0;14966.0;424612.0;16583.0;1.1050935043
data,1241356200,424554.0;14990.0;425655.0;16621.0;1.10593783129
data,1241356800,425569.0;15017.0;426728.0;16660.0;1.10639616278
data,1241357100,426662.0;15051.0;427786.0;16690.0;1.1059828135
data,1241357700,427713.0;15080.0;428840.0;16742.0;1.10729454197
data,1241358000,428739.0;15107.0;429887.0;16787.0;1.10823928201
data,1241358600,429791.0;15142.0;430966.0;16832.0;1.10857936051
data,1241358900,430807.0;15174.0;432006.0;16871.0;1.10875021845
data,1241359200,431825.0;15209.0;433062.0;16915.0;1.10899361743
data,1241359800,432829.0;15232.0;434101.0;16952.0;1.10965909644
data,1241360100,433881.0;15253.0;435157.0;16994.0;1.11087451114
data,1241360400,434973.0;15281.0;436172.0;17041.0;1.11211018453
data,1241361000,435986.0;15306.0;437192.0;17079.0;1.11275887556
data,1241361300,436982.0;15342.0;438234.0;17122.0;1.1128329941
data,1241361600,438063.0;15376.0;439286.0;17166.0;1.11330702202
data,1241362200,439147.0;15423.0;440354.0;17216.0;1.11319531526
data,1241362500,440245.0;15463.0;441446.0;17257.0;1.11298263772
data,1241362800,441272.0;15490.0;442504.0;17291.0;1.11316069497
data,1241363100,442321.0;15526.0;443532.0;17334.0;1.11340152126
data,1241363700,443351.0;15555.0;444627.0;17385.0;1.11443961158
data,1241364000,444420.0;15589.0;445693.0;17428.0;1.11477462895
data,1241364300,445468.0;15624.0;446757.0;17464.0;1.11454251243
data,1241364600,446531.0;15668.0;447845.0;17507.0;1.11409456037
data,1241365200,447611.0;15700.0;448847.0;17553.0;1.114946746
data,1241365500,448639.0;15733.0;449918.0;17604.0;1.11574120644
data,1241365800,449639.0;15760.0;450971.0;17642.0;1.11610990592
data,1241366100,450724.0;15795.0;452007.0;17680.0;1.11616436691
data,1241366400,451720.0;15818.0;453053.0;17728.0;1.11745098013
data,1241367000,452774.0;15844.0;454125.0;17772.0;1.11834947968
data,1241367300,453820.0;15873.0;455231.0;17820.0;1.11918140611
data,1241367600,454890.0;15910.0;456264.0;17870.0;1.1198105609
data,1241367900,455970.0;15940.0;457294.0;17912.0;1.12046044645
data,1241368200,456900.0;15967.0;458346.0;17950.0;1.12064701865
data,1241368800,457906.0;16013.0;459373.0;17983.0;1.11943868045
data,1241369100,458866.0;16050.0;460304.0;18008.0;1.11848863582
data,1241369400,459813.0;16080.0;461269.0;18029.0;1.11766736875
data,1241369700,460789.0;16106.0;462296.0;18053.0;1.1172327417
data,1241370000,461813.0;16133.0;463341.0;18078.0;1.11686497265
data,1241370300,462798.0;16166.0;464347.0;18100.0;1.11589884949
data,1241370900,463816.0;16198.0;465346.0;18123.0;1.11516321898
data,1241371200,464758.0;16219.0;466276.0;18149.0;1.11535325437
data,1241371500,465736.0;16247.0;467296.0;18173.0;1.11481086183
data,1241371800,466739.0;16279.0;468299.0;18188.0;1.1135457978
data,1241372100,467748.0;16316.0;469309.0;18218.0;1.11285878241
data,1241372400,468667.0;16347.0;470295.0;18249.0;1.11248719769
data,1241373000,469684.0;16381.0;471274.0;18278.0;1.112040356
data,1241373300,470662.0;16407.0;472225.0;18295.0;1.11138209658
data,1241373600,471640.0;16431.0;473170.0;18320.0;1.11136036114
data,1241373900,472618.0;16468.0;474136.0;18344.0;1.11035156731
data,1241374200,473588.0;16503.0;475061.0;18359.0;1.10901503273
data,1241374500,474537.0;16535.0;476011.0;18388.0;1.10862173113
data,1241375100,475429.0;16558.0;477047.0;18417.0;1.10849952126
data,1241375400,476393.0;16596.0;478023.0;18436.0;1.10708215796
data,1241375700,477353.0;16619.0;478967.0;18464.0;1.10727365662
data,1241376000,478279.0;16647.0;479932.0;18489.0;1.10682522285
data,1241376300,479240.0;16675.0;480892.0;18516.0;1.10659024314
data,1241376900,480238.0;16707.0;481864.0;18540.0;1.10596987469
data,1241377200,481192.0;16745.0;482751.0;18562.0;1.10493017178
data,1241377500,482146.0;16787.0;483744.0;18585.0;1.1034494733
data,1241377800,483054.0;16811.0;484714.0;18612.0;1.10334063916
data,1241378100,484024.0;16839.0;485664.0;18636.0;1.10297936807
data,1241378700,484969.0;16872.0;486597.0;18663.0;1.10245136864
data,1241379000,485866.0;16915.0;487539.0;18687.0;1.10096808627
data,1241379300,486866.0;16943.0;488503.0;18706.0;1.10035502457
data,1241379600,487788.0;16978.0;489433.0;18723.0;1.09907358917
data,1241379900,488705.0;17011.0;490360.0;18744.0;1.09815634955
data,1241380500,489610.0;17039.0;491285.0;18759.0;1.09719130066
data,1241380800,490553.0;17060.0;492045.0;18780.0;1.09748267742
data,1241381100,491457.0;17088.0;492679.0;18799.0;1.09740007751
data,1241381400,492372.0;17112.0;493532.0;18820.0;1.09722799094
data,1241381700,493258.0;17151.0;494403.0;18849.0;1.09645776572
data,1241382300,494209.0;17198.0;495336.0;18886.0;1.09565240918
data,1241382600,495123.0;17234.0;496279.0;18920.0;1.09527265774
data,1241382900,496049.0;17265.0;497180.0;18945.0;1.09481050361
data,1241383200,496926.0;17297.0;497621.0;18971.0;1.09524797613
data,1241383800,497877.0;17335.0;498429.0;19006.0;1.09518034271
data,1241384100,498764.0;17365.0;499299.0;19046.0;1.09562868806
data,1241384400,499657.0;17395.0;500182.0;19076.0;1.09548591481
data,1241384700,500518.0;17428.0;501096.0;19106.0;1.09501731534
data,1241385000,501420.0;17455.0;502016.0;19137.0;1.09506045843
data,1241385600,502315.0;17494.0;502913.0;19168.0;1.09438709609
data,1241385900,503186.0;17528.0;503799.0;19199.0;1.09400042897
data,1241386200,504146.0;17553.0;504745.0;19246.0;1.09514954955
data,1241386500,505009.0;17584.0;505654.0;19291.0;1.09567748336
data,1241386800,505862.0;17619.0;506524.0;19323.0;1.09528042817
data,1241387400,506772.0;17649.0;507532.0;19357.0;1.09513366225
data,1241387700,507649.0;17684.0;508480.0;19393.0;1.09484881012
data,1241388000,508587.0;17715.0;509397.0;19428.0;1.09495383791
data,1241388300,509532.0;17747.0;510308.0;19461.0;1.09491218939
data,1241388900,510453.0;17779.0;511196.0;19492.0;1.09475613194
data,1241389200,511345.0;17812.0;512125.0;19519.0;1.09416524149
data,1241389500,512259.0;17843.0;513054.0;19560.0;1.09452955836
data,1241389800,513193.0;17875.0;513948.0;19596.0;1.09466926321
data,1241390100,514152.0;17908.0;514900.0;19628.0;1.09445422284
data,1241390400,515058.0;17939.0;515828.0;19660.0;1.0943002743
data,1241391000,515994.0;17976.0;516748.0;19687.0;1.09358445724
data,1241391300,516862.0;18014.0;517617.0;19727.0;1.09349539532
data,1241391600,517704.0;18054.0;518499.0;19757.0;1.09265022405
data,1241391900,518610.0;18092.0;519450.0;19799.0;1.09258142472
data,1241392200,519525.0;18120.0;520402.0;19831.0;1.09258168278
data,1241392800,520471.0;18156.0;521318.0;19859.0;1.09202106878
data,1241393100,521320.0;18181.0;522177.0;19892.0;1.09231357633
data,1241393400,522194.0;18218.0;523112.0;19928.0;1.091943611
data,1241393700,523081.0;18252.0;524028.0;19970.0;1.09214941419
data,1241394000,523979.0;18286.0;524940.0;20003.0;1.09189438913
data,1241394300,524912.0;18317.0;525824.0;20033.0;1.09178655627
data,1241394600,525791.0;18348.0;526728.0;20072.0;1.09201513972
data,1241394900,526659.0;18383.0;527680.0;20106.0;1.09161166331
data,1241395200,527562.0;18417.0;528634.0;20136.0;1.0911205326
data,1241395800,528427.0;18454.0;529564.0;20181.0;1.09123606799
data,1241396100,529280.0;18482.0;530452.0;20211.0;1.09113435122
data,1241396400,530153.0;18511.0;531387.0;20242.0;1.0909725854
data,1241396700,531052.0;18540.0;532311.0;20271.0;1.09077971239
data,1241397000,531948.0;18573.0;533229.0;20297.0;1.09019757736
data,1241397300,532837.0;18616.0;534160.0;20325.0;1.08909858858
data,1241397600,533747.0;18644.0;535074.0;20352.0;1.08890401272
data,1241397900,534681.0;18667.0;536012.0;20396.0;1.08991019468
data,1241398200,535545.0;18688.0;536921.0;20423.0;1.09003963718
data,1241398500,536438.0;18722.0;537868.0;20451.0;1.08944707049
data,1241398800,537366.0;18753.0;538775.0;20484.0;1.0894486434
data,1241399100,538250.0;18782.0;539691.0;20509.0;1.08903418267
data,1241399400,539145.0;18806.0;540687.0;20556.0;1.08993809332
data,1241399700,540028.0;18833.0;541581.0;20582.0;1.0897350655
data,1241400000,540952.0;18869.0;542521.0;20620.0;1.0896372806
data,1241400300,541893.0;18901.0;543400.0;20650.0;1.08950488235
data,1241400600,542777.0;18936.0;544332.0;20676.0;1.08876925504
data,1241400900,543704.0;18958.0;545210.0;20707.0;1.08923949411
data,1241401200,544660.0;18990.0;546158.0;20740.0;1.08915821012
data,1241401500,545518.0;19018.0;547025.0;20764.0;1.08879993822
data,1241401800,546439.0;19045.0;547949.0;20797.0;1.08898341109
data,1241402100,547335.0;19080.0;548834.0;20836.0;1.08905093206
data,1241402400,548245.0;19103.0;549796.0;20870.0;1.08941657136
data,1241402700,549141.0;19134.0;550689.0;20899.0;1.08917384808
data,1241403000,550021.0;19168.0;551606.0;20934.0;1.08899455671
data,1241403300,550914.0;19197.0;552540.0;20975.0;1.08940330929
data,1241403600,551836.0;19218.0;553389.0;21006.0;1.08997033688
data,1241403900,552749.0;19246.0;554307.0;21037.0;1.0899860205
data,1241404200,553689.0;19279.0;555237.0;21072.0;1.08995545893
data,1241404500,554604.0;19313.0;556139.0;21103.0;1.08966776686
data,1241404800,555482.0;19337.0;557026.0;21140.0;1.09021062249
data,1241405100,556397.0;19362.0;557940.0;21172.0;1.09045802043
data,1241405400,557307.0;19390.0;558857.0;21205.0;1.09057181789
data,1241405700,558195.0;19428.0;559754.0;21237.0;1.09006854673
data,1241406000,559096.0;19464.0;560672.0;21270.0;1.08971495523
data,1241406600,560010.0;19502.0;561553.0;21299.0;1.0891434698
data,1241406900,560963.0;19532.0;562415.0;21332.0;1.08933681523
