
New Run at  02/23/2015 12:40:13
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; exp3CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241334600,397102.0;14459.0;382485.0;14085.0;1.01136113411,8415.0 337.0 109568;5766.0 93.0 109536;10807.0 745.0 109571;9107.0 384.0 109476;2044.0 70.0 109541;4960.0 184.0 109542;1802.0 46.0 109569;2026.0 84.0 109551;2051.0 52.0 109553;10163.0 415.0 109524;2400.0 66.0 109557;7265.0 244.0 109560;6093.0 202.0 109561;1680.0 37.0 109562;9947.0 311.0 109563;3662.0 138.0 109564;2256.0 80.0 109565;1115.0 18.0 109566;11675.0 442.0 109567,109536.0 18313;109568.0 18313;109571.0 18313;109476.0 18313;109541.0 18313;109542.0 18313;109569.0 18313;109551.0 18313;109553.0 18313;109524.0 18313;109557.0 18313;109560.0 18313;109561.0 18313;109562.0 18313;109563.0 18313;109564.0 18313;109565.0 18313;109566.0 18313;109567.0 18313,109568 993;109536 966;109571 1017;109476 985;109541 948;109542 972;109569 966;109551 972;109553 958;109524 935;109557 899;109560 953;109561 995;109562 961;109563 924;109564 919;109565 970;109566 972;109567 1008
data,1241335500,398146.0;14485.0;383538.0;14145.0;1.01372092203,8432.0 338.0 109568;5781.0 93.0 109536;11568.0 797.0 109571;9120.0 387.0 109476;2065.0 70.0 109541;4980.0 184.0 109542;1814.0 46.0 109569;2046.0 85.0 109551;2073.0 52.0 109553;10177.0 415.0 109524;2414.0 66.0 109557;7284.0 244.0 109560;6107.0 202.0 109561;1693.0 37.0 109562;9965.0 313.0 109563;3679.0 138.0 109564;2272.0 81.0 109565;1125.0 18.0 109566;11692.0 442.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1063;109536 1088;109571 1094;109476 1018;109541 1057;109542 1019;109569 1047;109551 1073;109553 1108;109524 1028;109557 1070;109560 1075;109561 1041;109562 1045;109563 1012;109564 1018;109565 1062;109566 1059;109567 1023
data,1241336400,399241.0;14513.0;384590.0;14191.0;1.01506289304,5796.0 93.0 109536;8456.0 338.0 109568;12318.0 835.0 109571;9135.0 389.0 109476;2080.0 70.0 109541;4997.0 184.0 109542;1831.0 46.0 109569;2057.0 85.0 109551;2085.0 52.0 109553;10201.0 417.0 109524;2436.0 66.0 109557;7304.0 246.0 109560;6124.0 202.0 109561;1704.0 37.0 109562;9985.0 313.0 109563;3690.0 138.0 109564;2293.0 82.0 109565;1139.0 19.0 109566;11708.0 442.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1073;109568 1034;109571 1066;109476 997;109541 1003;109542 1087;109569 1085;109551 1039;109553 1141;109524 1010;109557 1060;109560 1078;109561 1057;109562 1046;109563 1072;109564 1037;109565 1057;109566 1030;109567 1028
data,1241337300,400365.0;14538.0;385668.0;14243.0;1.01704298454,5809.0 93.0 109536;8472.0 338.0 109568;13106.0 878.0 109571;9149.0 389.0 109476;2101.0 72.0 109541;5012.0 184.0 109542;1842.0 46.0 109569;2079.0 85.0 109551;2099.0 52.0 109553;10220.0 417.0 109524;2449.0 68.0 109557;7324.0 246.0 109560;6138.0 202.0 109561;1723.0 38.0 109562;10007.0 315.0 109563;3707.0 138.0 109564;2303.0 83.0 109565;1152.0 20.0 109566;11725.0 442.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1056;109568 1083;109571 1111;109476 987;109541 1050;109542 1047;109569 1069;109551 1059;109553 1021;109524 1023;109557 1069;109560 1052;109561 1076;109562 1019;109563 1076;109564 1056;109565 1060;109566 1010;109567 1076
data,1241338200,401373.0;14552.0;386760.0;14290.0;1.01909846094,8490.0 338.0 109568;1858.0 46.0 109569;13903.0 918.0 109571;5821.0 94.0 109536;2123.0 73.0 109541;5035.0 188.0 109542;2102.0 85.0 109551;2118.0 52.0 109553;9161.0 390.0 109476;10235.0 417.0 109524;2467.0 68.0 109557;7333.0 246.0 109560;6156.0 202.0 109561;1737.0 38.0 109562;10019.0 315.0 109563;3723.0 138.0 109564;2315.0 83.0 109565;1171.0 20.0 109566;11742.0 442.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1057;109569 1024;109571 1088;109536 994;109541 1090;109542 1093;109551 1033;109553 1054;109476 1113;109524 1028;109557 1058;109560 1072;109561 1088;109562 1039;109563 1029;109564 1080;109565 1043;109566 1002;109567 1015
data,1241339100,402440.0;14572.0;387830.0;14334.0;1.0207231805,5840.0 94.0 109536;1873.0 46.0 109569;14688.0 960.0 109571;9178.0 390.0 109476;2144.0 74.0 109541;5050.0 188.0 109542;8507.0 338.0 109568;2118.0 85.0 109551;2129.0 52.0 109553;10254.0 417.0 109524;2484.0 68.0 109557;7356.0 247.0 109560;6165.0 202.0 109561;1753.0 38.0 109562;10035.0 315.0 109563;3742.0 138.0 109564;2326.0 83.0 109565;1181.0 20.0 109566;11756.0 442.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1076;109569 1071;109571 1085;109476 1075;109541 1068;109542 1090;109568 1034;109551 1033;109553 1053;109524 1079;109557 1051;109560 1069;109561 1092;109562 1009;109563 1065;109564 1012;109565 1003;109566 988;109567 1047
data,1241340300,403534.0;14587.0;388858.0;14378.0;1.02287270676,5854.0 95.0 109536;1890.0 47.0 109569;15449.0 994.0 109571;9195.0 392.0 109476;2157.0 75.0 109541;8524.0 339.0 109568;5059.0 189.0 109542;2136.0 85.0 109551;2139.0 52.0 109553;10269.0 417.0 109524;2499.0 69.0 109557;7370.0 247.0 109560;6177.0 202.0 109561;1768.0 40.0 109562;10056.0 315.0 109563;3760.0 138.0 109564;2336.0 83.0 109565;1196.0 20.0 109566;11773.0 442.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1022;109569 1059;109571 1045;109476 995;109541 1056;109568 1100;109542 1025;109551 1067;109553 1031;109524 1027;109557 1070;109560 1074;109561 1113;109562 1008;109563 1034;109564 1090;109565 1022;109566 1078;109567 1084
data,1241341200,404597.0;14601.0;389876.0;14417.0;1.02468045876,8542.0 339.0 109568;1902.0 47.0 109569;16178.0 1027.0 109571;9211.0 392.0 109476;2174.0 76.0 109541;5079.0 189.0 109542;2149.0 85.0 109551;2153.0 52.0 109553;10288.0 419.0 109524;2513.0 70.0 109557;5871.0 95.0 109536;7386.0 247.0 109560;6200.0 202.0 109561;1779.0 40.0 109562;10072.0 316.0 109563;3777.0 138.0 109564;2349.0 83.0 109565;1213.0 21.0 109566;11789.0 442.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1059;109569 1072;109571 1046;109476 976;109541 1057;109542 1106;109551 1070;109553 1106;109524 1063;109557 1017;109536 1076;109560 1079;109561 994;109562 1063;109563 1016;109564 1066;109565 1041;109566 1041;109567 1052
data,1241342400,405671.0;14620.0;390948.0;14457.0;1.02609075649,8557.0 339.0 109568;1918.0 47.0 109569;16935.0 1062.0 109571;9227.0 392.0 109476;2193.0 76.0 109541;5100.0 190.0 109542;7406.0 247.0 109560;2165.0 86.0 109551;2170.0 52.0 109553;10308.0 419.0 109524;2521.0 71.0 109557;5889.0 95.0 109536;6225.0 202.0 109561;1800.0 40.0 109562;10092.0 318.0 109563;3800.0 138.0 109564;2361.0 83.0 109565;1224.0 21.0 109566;11806.0 442.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1069;109569 1049;109571 1070;109476 1000;109541 1066;109542 1066;109560 1065;109551 1045;109553 1024;109524 1048;109557 1055;109536 1083;109561 1089;109562 1021;109563 1082;109564 1021;109565 1065;109566 1060;109567 1022
data,1241343600,406716.0;14645.0;391959.0;14506.0;1.02780071101,5907.0 95.0 109536;8580.0 339.0 109568;17653.0 1106.0 109571;9239.0 392.0 109476;2209.0 76.0 109541;5115.0 190.0 109542;1932.0 47.0 109569;2177.0 86.0 109551;2181.0 52.0 109553;10326.0 420.0 109524;2539.0 72.0 109557;7423.0 248.0 109560;6238.0 202.0 109561;1823.0 40.0 109562;10108.0 318.0 109563;3816.0 139.0 109564;2384.0 83.0 109565;1233.0 22.0 109566;11825.0 442.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1072;109568 1055;109571 1035;109476 1073;109541 1050;109542 1059;109569 1043;109551 1019;109553 1075;109524 1084;109557 1016;109560 1012;109561 1041;109562 1092;109563 1026;109564 1094;109565 1083;109566 1024;109567 1047
