
New Run at  01/31/2015 13:21:52
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,968.0;21.0;978.0;28.0;962.0;27.0;1020.0;36.0;1.31970006817;1.29373329373;1.6268907563,84.0 3.0 109473;29.0 0.0 109506;60.0 2.0 109508;30.0 0.0 109509;49.0 1.0 109510;27.0 0.0 109511;43.0 0.0 109512;88.0 5.0 109513;40.0 1.0 109514;39.0 1.0 109515;70.0 3.0 109484;56.0 2.0 109453;78.0 1.0 109492;25.0 0.0 109505;36.0 0.0 109494;43.0 2.0 109495;50.0 2.0 109498;46.0 1.0 109501;30.0 1.0 109502;55.0 3.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1010;109506 986;109508 1024;109509 960;109510 1058;109511 1019;109512 969;109513 1024;109514 1013;109515 976;109484 1006;109453 982;109492 1019;109505 949;109494 955;109495 1003;109498 1004;109501 984;109502 1002;109503 1057
data,1241162700,1948.0;48.0;1880.0;57.0;1861.0;50.0;2040.0;66.0;1.23045212766;1.0903636038;1.31299019608,141.0 5.0 109473;42.0 0.0 109506;108.0 6.0 109508;53.0 0.0 109509;59.0 2.0 109510;31.0 0.0 109505;59.0 0.0 109512;199.0 10.0 109513;56.0 1.0 109514;63.0 1.0 109515;97.0 4.0 109484;90.0 4.0 109453;331.0 6.0 109519;122.0 1.0 109492;65.0 2.0 109494;53.0 3.0 109495;46.0 1.0 109511;73.0 2.0 109498;72.0 2.0 109501;49.0 4.0 109502;71.0 3.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 15120;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 11554;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1017;109506 995;109508 1017;109509 1011;109510 982;109505 478;109512 1010;109513 968;109514 975;109515 1068;109484 1026;109453 952;109519 495;109492 983;109494 1060;109495 988;109511 983;109498 1012;109501 1003;109502 962;109503 1015
data,1241163600,2986.0;76.0;2853.0;76.0;2840.0;81.0;3033.0;90.0;1.04661759551;1.1205800593;1.16585975324,156.0 5.0 109473;51.0 1.0 109506;122.0 6.0 109508;61.0 0.0 109509;76.0 4.0 109510;53.0 1.0 109511;69.0 0.0 109512;218.0 10.0 109513;65.0 1.0 109514;81.0 2.0 109515;107.0 4.0 109484;107.0 6.0 109453;1026.0 17.0 109519;140.0 1.0 109492;74.0 2.0 109494;82.0 3.0 109495;88.0 2.0 109498;89.0 2.0 109501;67.0 4.0 109502;90.0 5.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1012;109506 1030;109508 1021;109509 933;109510 1020;109511 1022;109512 972;109513 1003;109514 1027;109515 972;109484 954;109453 1072;109519 995;109492 998;109494 1023;109495 964;109498 999;109501 1022;109502 975;109503 986
data,1241164800,3953.0;96.0;3855.0;93.0;3859.0;110.0;4013.0;131.0;0.993377107652;1.17374427745;1.34418089127,170.0 5.0 109473;74.0 2.0 109506;144.0 6.0 109508;81.0 0.0 109509;89.0 4.0 109510;73.0 1.0 109511;77.0 0.0 109512;232.0 11.0 109513;80.0 2.0 109514;101.0 3.0 109515;123.0 4.0 109484;118.0 6.0 109453;1729.0 28.0 109519;156.0 1.0 109492;83.0 2.0 109494;95.0 3.0 109495;102.0 2.0 109498;108.0 2.0 109501;83.0 5.0 109502;106.0 6.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 998;109506 1013;109508 1011;109509 1017;109510 1005;109511 1031;109512 990;109513 1050;109514 968;109515 1023;109484 1018;109453 953;109519 996;109492 974;109494 980;109495 938;109498 1030;109501 1006;109502 1018;109503 981
data,1241165700,4924.0;120.0;4828.0;106.0;4884.0;134.0;5004.0;158.0;0.900897542115;1.12581217581;1.29561683986,183.0 5.0 109473;93.0 2.0 109506;156.0 6.0 109508;98.0 0.0 109509;106.0 4.0 109510;86.0 1.0 109511;91.0 0.0 109512;247.0 11.0 109513;100.0 3.0 109514;115.0 4.0 109515;144.0 5.0 109484;124.0 6.0 109453;2427.0 36.0 109519;165.0 1.0 109492;93.0 3.0 109494;110.0 3.0 109495;119.0 3.0 109498;124.0 2.0 109501;95.0 5.0 109502;121.0 6.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1013;109506 1022;109508 1062;109509 991;109510 1046;109511 991;109512 991;109513 969;109514 976;109515 965;109484 1036;109453 1007;109519 975;109492 937;109494 981;109495 984;109498 1021;109501 1054;109502 979;109503 1000
data,1241166900,5944.0;148.0;5871.0;122.0;5960.0;157.0;5986.0;187.0;0.834573971007;1.05796299655;1.25464823327,200.0 5.0 109473;99.0 2.0 109506;174.0 6.0 109508;110.0 0.0 109509;124.0 5.0 109510;106.0 1.0 109511;112.0 0.0 109512;261.0 11.0 109513;111.0 4.0 109514;132.0 4.0 109515;161.0 5.0 109484;138.0 6.0 109453;3151.0 47.0 109519;195.0 1.0 109492;113.0 3.0 109494;127.0 4.0 109495;141.0 4.0 109498;140.0 2.0 109501;110.0 6.0 109502;135.0 6.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1069;109506 979;109508 971;109509 1037;109510 1013;109511 1017;109512 983;109513 977;109514 982;109515 953;109484 980;109453 958;109519 1012;109492 979;109494 1059;109495 963;109498 982;109501 1095;109502 977;109503 1014
data,1241167800,6918.0;172.0;6873.0;138.0;6954.0;184.0;6992.0;229.0;0.807578695198;1.0642293878;1.31730449417,209.0 6.0 109473;105.0 3.0 109506;192.0 6.0 109508;140.0 0.0 109509;141.0 5.0 109510;124.0 2.0 109511;125.0 0.0 109512;279.0 11.0 109513;127.0 4.0 109514;144.0 4.0 109515;181.0 5.0 109484;212.0 7.0 109453;3803.0 58.0 109519;211.0 1.0 109492;132.0 4.0 109494;140.0 4.0 109495;148.0 4.0 109498;155.0 2.0 109501;119.0 6.0 109502;155.0 6.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 982;109508 976;109509 1019;109510 1053;109511 1108;109512 970;109513 994;109514 1038;109515 983;109484 980;109453 957;109519 997;109492 1005;109494 974;109495 1008;109498 975;109501 1020;109502 945;109503 1012
data,1241169000,7915.0;203.0;7865.0;157.0;7938.0;208.0;8017.0;268.0;0.778315728159;1.0216617207;1.30340022526,227.0 6.0 109473;133.0 3.0 109506;210.0 6.0 109508;160.0 1.0 109509;154.0 6.0 109510;137.0 2.0 109511;135.0 1.0 109512;288.0 11.0 109513;138.0 4.0 109514;167.0 4.0 109515;194.0 5.0 109484;327.0 11.0 109453;4397.0 67.0 109519;225.0 1.0 109492;148.0 6.0 109494;156.0 4.0 109495;161.0 5.0 109498;170.0 2.0 109501;135.0 6.0 109502;172.0 6.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 994;109506 979;109508 987;109509 1014;109510 1003;109511 1009;109512 1052;109513 1015;109514 1023;109515 1028;109484 985;109453 953;109519 930;109492 1015;109494 971;109495 988;109498 1011;109501 985;109502 1050;109503 1008
data,1241169900,8951.0;219.0;8862.0;182.0;8906.0;231.0;9049.0;300.0;0.839396365787;1.06012415826;1.35502749869,241.0 6.0 109473;143.0 4.0 109506;231.0 8.0 109508;178.0 2.0 109509;163.0 6.0 109510;154.0 2.0 109511;148.0 3.0 109512;300.0 11.0 109513;148.0 5.0 109514;186.0 4.0 109515;209.0 5.0 109484;515.0 18.0 109453;4946.0 76.0 109519;242.0 1.0 109492;163.0 6.0 109494;170.0 5.0 109495;178.0 5.0 109498;191.0 3.0 109501;145.0 6.0 109502;180.0 6.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 955;109506 981;109508 1031;109509 966;109510 1001;109511 971;109512 976;109513 992;109514 963;109515 989;109484 1014;109453 1008;109519 1032;109492 962;109494 1067;109495 998;109498 1001;109501 1045;109502 1011;109503 1037
data,1241171100,9932.0;238.0;9835.0;204.0;9883.0;267.0;10054.0;338.0;0.865596630111;1.12741087531;1.40293507496,255.0 6.0 109473;158.0 5.0 109506;247.0 8.0 109508;199.0 2.0 109509;170.0 6.0 109510;163.0 2.0 109511;198.0 3.0 109512;311.0 11.0 109513;162.0 6.0 109514;203.0 4.0 109515;227.0 6.0 109484;759.0 25.0 109453;5373.0 86.0 109519;258.0 1.0 109492;179.0 6.0 109494;183.0 6.0 109495;198.0 5.0 109498;203.0 3.0 109501;159.0 7.0 109502;199.0 6.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 954;109506 987;109508 1019;109509 995;109510 1028;109511 1011;109512 992;109513 998;109514 958;109515 953;109484 1027;109453 1008;109519 977;109492 1029;109494 1032;109495 960;109498 1030;109501 1011;109502 1051;109503 980
